"session","gender","disability_scope","exam_body","institution_type","loc_level","loc_label","zone","state","lga","ward","school","ss3_total","o_level_candidates","utme_participants","admitted_students","matriculated_students","delayed_transition_students","loss_ss3_to_olevel","loss_olevel_to_utme","loss_utme_to_admitted","loss_admitted_to_matriculated"
"2019/2020","Female","all","NABTEB","College of Education","lga","Abuja Municipal Area Council","North Central","Abuja Federal Capital Territory","Abuja Municipal Area Council","","","786","775","486","199","179","23","11","289","287","23"
"2019/2020","Female","all","NABTEB","College of Education","lga","Bwari","North Central","Abuja Federal Capital Territory","Bwari","","","553","545","340","136","117","21","8","205","204","21"
"2019/2020","Female","all","NABTEB","College of Education","lga","Gwagwalada","North Central","Abuja Federal Capital Territory","Gwagwalada","","","294","290","178","73","76","0","4","112","105","0"
"2019/2020","Female","all","NABTEB","College of Education","lga","Kuje","North Central","Abuja Federal Capital Territory","Kuje","","","264","260","159","66","64","5","4","101","92","5"
"2019/2020","Female","all","NABTEB","College of Education","lga","Kwali","North Central","Abuja Federal Capital Territory","Kwali","","","270","266","153","61","57","6","4","113","93","6"
"2019/2020","Female","all","NABTEB","Polytechnic","lga","Abuja Municipal Area Council","North Central","Abuja Federal Capital Territory","Abuja Municipal Area Council","","","272","268","169","62","52","10","4","99","107","10"
"2019/2020","Female","all","NABTEB","Polytechnic","lga","Bwari","North Central","Abuja Federal Capital Territory","Bwari","","","363","358","222","94","83","11","5","136","128","11"
"2019/2020","Female","all","NABTEB","Polytechnic","lga","Gwagwalada","North Central","Abuja Federal Capital Territory","Gwagwalada","","","311","306","196","80","70","11","5","110","117","11"
"2019/2020","Female","all","NABTEB","Polytechnic","lga","Kuje","North Central","Abuja Federal Capital Territory","Kuje","","","496","489","304","123","109","17","7","185","182","17"
"2019/2020","Female","all","NABTEB","Polytechnic","lga","Kwali","North Central","Abuja Federal Capital Territory","Kwali","","","351","346","209","79","71","10","5","137","131","10"
"2019/2020","Female","all","NABTEB","University","lga","Abuja Municipal Area Council","North Central","Abuja Federal Capital Territory","Abuja Municipal Area Council","","","57","56","32","12","13","0","1","24","21","0"
"2019/2020","Female","all","NABTEB","University","lga","Bwari","North Central","Abuja Federal Capital Territory","Bwari","","","214","211","132","55","51","5","3","79","76","5"
"2019/2020","Female","all","NABTEB","University","lga","Gwagwalada","North Central","Abuja Federal Capital Territory","Gwagwalada","","","407","401","248","104","96","11","6","153","144","11"
"2019/2020","Female","all","NABTEB","University","lga","Kuje","North Central","Abuja Federal Capital Territory","Kuje","","","225","221","137","54","51","5","4","84","83","5"
"2019/2020","Female","all","NABTEB","University","lga","Kwali","North Central","Abuja Federal Capital Territory","Kwali","","","459","453","271","97","84","15","6","182","174","15"
"2019/2020","Female","all","NECO","College of Education","lga","Abuja Municipal Area Council","North Central","Abuja Federal Capital Territory","Abuja Municipal Area Council","","","1512","1490","918","328","284","44","22","572","590","44"
"2019/2020","Female","all","NECO","College of Education","lga","Bwari","North Central","Abuja Federal Capital Territory","Bwari","","","1060","1044","661","228","199","29","16","383","433","29"
"2019/2020","Female","all","NECO","College of Education","lga","Gwagwalada","North Central","Abuja Federal Capital Territory","Gwagwalada","","","523","515","304","108","91","17","8","211","196","17"
"2019/2020","Female","all","NECO","College of Education","lga","Kuje","North Central","Abuja Federal Capital Territory","Kuje","","","541","533","336","132","111","21","8","197","205","21"
"2019/2020","Female","all","NECO","College of Education","lga","Kwali","North Central","Abuja Federal Capital Territory","Kwali","","","511","503","297","93","77","17","8","206","204","17"
"2019/2020","Female","all","NECO","Polytechnic","lga","Abuja Municipal Area Council","North Central","Abuja Federal Capital Territory","Abuja Municipal Area Council","","","469","462","284","95","77","18","7","178","189","18"
"2019/2020","Female","all","NECO","Polytechnic","lga","Bwari","North Central","Abuja Federal Capital Territory","Bwari","","","746","734","444","176","158","18","12","290","268","18"
"2019/2020","Female","all","NECO","Polytechnic","lga","Gwagwalada","North Central","Abuja Federal Capital Territory","Gwagwalada","","","588","580","352","128","112","16","8","228","225","16"
"2019/2020","Female","all","NECO","Polytechnic","lga","Kuje","North Central","Abuja Federal Capital Territory","Kuje","","","980","966","599","218","186","32","14","367","381","32"
"2019/2020","Female","all","NECO","Polytechnic","lga","Kwali","North Central","Abuja Federal Capital Territory","Kwali","","","669","660","406","138","121","17","9","254","269","17"
"2019/2020","Female","all","NECO","University","lga","Abuja Municipal Area Council","North Central","Abuja Federal Capital Territory","Abuja Municipal Area Council","","","112","110","70","28","24","4","2","40","42","4"
