"session","gender","disability_scope","exam_body","institution_type","loc_level","loc_label","zone","state","lga","ward","school","ss3_total","o_level_candidates","utme_participants","admitted_students","matriculated_students","delayed_transition_students","loss_ss3_to_olevel","loss_olevel_to_utme","loss_utme_to_admitted","loss_admitted_to_matriculated"
"2019/2020","Female","all","NABTEB","College of Education","lga","Dala","North West","Kano","Dala","","","727","716","429","174","149","27","11","287","256","27"
"2019/2020","Female","all","NABTEB","College of Education","lga","Fagge","North West","Kano","Fagge","","","357","352","208","78","70","9","5","144","131","9"
"2019/2020","Female","all","NABTEB","College of Education","lga","Gwale","North West","Kano","Gwale","","","317","313","199","77","70","9","4","114","122","9"
"2019/2020","Female","all","NABTEB","College of Education","lga","Kano Municipal","North West","Kano","Kano Municipal","","","602","593","365","124","109","18","9","228","240","18"
"2019/2020","Female","all","NABTEB","College of Education","lga","Nasarawa","North West","Kano","Nasarawa","","","568","561","325","105","99","9","7","236","220","9"
"2019/2020","Female","all","NABTEB","Polytechnic","lga","Dala","North West","Kano","Dala","","","137","135","81","19","20","0","2","54","63","0"
"2019/2020","Female","all","NABTEB","Polytechnic","lga","Fagge","North West","Kano","Fagge","","","437","430","257","86","80","9","7","173","171","9"
"2019/2020","Female","all","NABTEB","Polytechnic","lga","Gwale","North West","Kano","Gwale","","","639","629","388","155","130","27","10","241","233","27"
"2019/2020","Female","all","NABTEB","Polytechnic","lga","Kano Municipal","North West","Kano","Kano Municipal","","","295","290","178","56","59","0","5","112","122","0"
"2019/2020","Female","all","NABTEB","Polytechnic","lga","Nasarawa","North West","Kano","Nasarawa","","","482","476","281","96","80","18","6","195","185","18"
"2019/2020","Female","all","NABTEB","University","lga","Dala","North West","Kano","Dala","","","612","603","378","154","119","36","9","225","225","36"
"2019/2020","Female","all","NABTEB","University","lga","Fagge","North West","Kano","Fagge","","","631","621","391","164","140","26","10","230","227","26"
"2019/2020","Female","all","NABTEB","University","lga","Gwale","North West","Kano","Gwale","","","491","483","297","117","91","26","8","186","180","26"
"2019/2020","Female","all","NABTEB","University","lga","Kano Municipal","North West","Kano","Kano Municipal","","","548","540","329","124","110","16","8","211","205","16"
"2019/2020","Female","all","NABTEB","University","lga","Nasarawa","North West","Kano","Nasarawa","","","324","319","198","86","79","9","5","121","112","9"
"2019/2020","Female","all","NECO","College of Education","lga","Dala","North West","Kano","Dala","","","1472","1450","913","319","270","50","22","537","595","50"
"2019/2020","Female","all","NECO","College of Education","lga","Fagge","North West","Kano","Fagge","","","655","645","395","129","109","20","10","250","267","20"
"2019/2020","Female","all","NECO","College of Education","lga","Gwale","North West","Kano","Gwale","","","549","541","336","149","131","18","8","205","187","18"
"2019/2020","Female","all","NECO","College of Education","lga","Kano Municipal","North West","Kano","Kano Municipal","","","1111","1094","668","220","190","30","17","426","449","30"
"2019/2020","Female","all","NECO","College of Education","lga","Nasarawa","North West","Kano","Nasarawa","","","1022","1007","611","205","167","38","15","396","406","38"
"2019/2020","Female","all","NECO","Polytechnic","lga","Dala","North West","Kano","Dala","","","239","235","128","28","22","6","4","107","101","6"
