"session","gender","disability_scope","exam_body","institution_type","loc_level","loc_label","zone","state","lga","ward","school","ss3_total","o_level_candidates","utme_participants","admitted_students","matriculated_students","delayed_transition_students","loss_ss3_to_olevel","loss_olevel_to_utme","loss_utme_to_admitted","loss_admitted_to_matriculated"
"2019/2020","Female","all","NABTEB","College of Education","lga","Jema'a","North West","Kaduna","Jema'a","","","520","513","365","167","148","21","7","148","198","21"
"2019/2020","Female","all","NABTEB","College of Education","lga","Kaduna North","North West","Kaduna","Kaduna North","","","643","635","427","174","176","7","8","208","253","7"
"2019/2020","Female","all","NABTEB","College of Education","lga","Kaduna South","North West","Kaduna","Kaduna South","","","244","241","163","78","74","7","3","78","86","7"
"2019/2020","Female","all","NABTEB","College of Education","lga","Soba","North West","Kaduna","Soba","","","347","342","239","105","102","7","5","103","134","7"
"2019/2020","Female","all","NABTEB","College of Education","lga","Zaria","North West","Kaduna","Zaria","","","753","742","504","200","185","21","11","238","304","21"
"2019/2020","Female","all","NABTEB","Polytechnic","lga","Jema'a","North West","Kaduna","Jema'a","","","257","253","175","62","56","7","4","78","113","7"
"2019/2020","Female","all","NABTEB","Polytechnic","lga","Kaduna North","North West","Kaduna","Kaduna North","","","105","103","70","26","19","7","2","33","45","7"
"2019/2020","Female","all","NABTEB","Polytechnic","lga","Kaduna South","North West","Kaduna","Kaduna South","","","310","305","218","96","74","22","5","87","122","22"
"2019/2020","Female","all","NABTEB","Polytechnic","lga","Soba","North West","Kaduna","Soba","","","138","136","87","35","28","7","2","49","53","7"
"2019/2020","Female","all","NABTEB","Polytechnic","lga","Zaria","North West","Kaduna","Zaria","","","218","215","151","52","46","7","3","64","99","7"
"2019/2020","Female","all","NABTEB","University","lga","Jema'a","North West","Kaduna","Jema'a","","","715","705","475","157","148","15","10","230","318","15"
"2019/2020","Female","all","NABTEB","University","lga","Kaduna North","North West","Kaduna","Kaduna North","","","504","496","347","159","139","21","8","149","188","21"
"2019/2020","Female","all","NABTEB","University","lga","Kaduna South","North West","Kaduna","Kaduna South","","","624","614","419","158","148","14","10","195","261","14"
"2019/2020","Female","all","NABTEB","University","lga","Soba","North West","Kaduna","Soba","","","824","812","561","227","214","22","12","251","334","22"
"2019/2020","Female","all","NABTEB","University","lga","Zaria","North West","Kaduna","Zaria","","","298","294","193","69","64","8","4","101","124","8"
"2019/2020","Female","all","NECO","College of Education","lga","Jema'a","North West","Kaduna","Jema'a","","","1095","1079","724","256","224","32","16","355","469","32"
