"session","gender","disability_scope","exam_body","institution_type","loc_level","loc_label","zone","state","lga","ward","school","ss3_total","o_level_candidates","utme_participants","admitted_students","matriculated_students","delayed_transition_students","loss_ss3_to_olevel","loss_olevel_to_utme","loss_utme_to_admitted","loss_admitted_to_matriculated"
"2019/2020","Female","all","NABTEB","College of Education","lga","Mubi North","North East","Adamawa","Mubi North","","","405","399","270","103","99","9","6","129","166","9"
"2019/2020","Female","all","NABTEB","College of Education","lga","Numan","North East","Adamawa","Numan","","","520","512","349","135","110","27","8","163","213","27"
"2019/2020","Female","all","NABTEB","College of Education","lga","Yola North","North East","Adamawa","Yola North","","","472","464","313","105","109","0","8","151","208","0"
"2019/2020","Female","all","NABTEB","College of Education","lga","Yola South","North East","Adamawa","Yola South","","","378","372","254","104","97","10","6","118","150","10"
"2019/2020","Female","all","NABTEB","Polytechnic","lga","Mubi North","North East","Adamawa","Mubi North","","","159","156","106","41","42","0","3","50","65","0"
"2019/2020","Female","all","NABTEB","Polytechnic","lga","Numan","North East","Adamawa","Numan","","","197","194","125","52","44","9","3","69","74","9"
"2019/2020","Female","all","NABTEB","Polytechnic","lga","Yola North","North East","Adamawa","Yola North","","","1057","1043","717","279","249","36","14","326","438","34"
"2019/2020","Female","all","NABTEB","Polytechnic","lga","Yola South","North East","Adamawa","Yola South","","","259","255","181","74","77","0","4","74","107","0"
"2019/2020","Female","all","NABTEB","University","lga","Mubi North","North East","Adamawa","Mubi North","","","506","499","337","146","141","9","7","162","191","9"
"2019/2020","Female","all","NABTEB","University","lga","Numan","North East","Adamawa","Numan","","","500","492","330","135","121","18","8","162","196","18"
"2019/2020","Female","all","NABTEB","University","lga","Yola North","North East","Adamawa","Yola North","","","682","672","463","209","197","19","10","209","255","18"
"2019/2020","Female","all","NABTEB","University","lga","Yola South","North East","Adamawa","Yola South","","","387","381","274","114","98","18","6","107","159","18"
"2019/2020","Female","all","NECO","College of Education","lga","Mubi North","North East","Adamawa","Mubi North","","","720","710","485","165","151","14","10","225","320","14"
"2019/2020","Female","all","NECO","College of Education","lga","Numan","North East","Adamawa","Numan","","","984","970","649","256","242","14","14","321","393","14"
"2019/2020","Female","all","NECO","College of Education","lga","Yola North","North East","Adamawa","Yola North","","","953","938","621","226","202","24","15","317","396","24"
"2019/2020","Female","all","NECO","College of Education","lga","Yola South","North East","Adamawa","Yola South","","","698","687","476","203","183","20","11","211","272","20"
"2019/2020","Female","all","NECO","Polytechnic","lga","Mubi North","North East","Adamawa","Mubi North","","","314","310","215","91","84","9","4","95","125","9"
"2019/2020","Female","all","NECO","Polytechnic","lga","Numan","North East","Adamawa","Numan","","","454","447","301","105","101","4","7","146","196","4"
"2019/2020","Female","all","NECO","Polytechnic","lga","Yola North","North East","Adamawa","Yola North","","","1948","1920","1309","506","475","31","28","611","803","31"
"2019/2020","Female","all","NECO","Polytechnic","lga","Yola South","North East","Adamawa","Yola South","","","467","461","327","129","110","19","6","134","198","19"
"2019/2020","Female","all","NECO","University","lga","Mubi North","North East","Adamawa","Mubi North","","","906","892","623","242","218","24","14","269","381","24"
"2019/2020","Female","all","NECO","University","lga","Numan","North East","Adamawa","Numan","","","905","891","574","188","168","20","14","317","386","20"
"2019/2020","Female","all","NECO","University","lga","Yola North","North East","Adamawa","Yola North","","","1327","1307","908","391","360","31","20","399","517","31"
"2019/2020","Female","all","NECO","University","lga","Yola South","North East","Adamawa","Yola South","","","724","714","486","211","201","10","10","228","274","10"
"2019/2020","Female","all","WAEC","College of Education","lga","Mubi North","North East","Adamawa","Mubi North","","","1020","1005","661","232","206","26","15","344","430","26"
"2019/2020","Female","all","WAEC","College of Education","lga","Numan","North East","Adamawa","Numan","","","1226","1208","823","307","259","48","18","385","516","48"
"2019/2020","Female","all","WAEC","College of Education","lga","Yola North","North East","Adamawa","Yola North","","","1240","1221","825","271","234","37","19","396","554","37"
"2019/2020","Female","all","WAEC","College of Education","lga","Yola South","North East","Adamawa","Yola South","","","846","834","577","213","188","26","12","257","363","26"
"2019/2020","Female","all","WAEC","Polytechnic","lga","Mubi North","North East","Adamawa","Mubi North","","","367","361","247","92","79","14","6","114","154","14"
"2019/2020","Female","all","WAEC","Polytechnic","lga","Numan","North East","Adamawa","Numan","","","573","564","378","127","109","18","9","186","251","18"
"2019/2020","Female","all","WAEC","Polytechnic","lga","Yola North","North East","Adamawa","Yola North","","","2563","2526","1698","627","544","83","37","828","1071","83"
"2019/2020","Female","all","WAEC","Polytechnic","lga","Yola South","North East","Adamawa","Yola South","","","586","577","410","180","157","23","9","167","231","23"
"2019/2020","Female","all","WAEC","University","lga","Mubi North","North East","Adamawa","Mubi North","","","1188","1170","781","279","241","38","18","389","502","38"
"2019/2020","Female","all","WAEC","University","lga","Numan","North East","Adamawa","Numan","","","1206","1188","805","262","223","39","18","383","543","39"
"2019/2020","Female","all","WAEC","University","lga","Yola North","North East","Adamawa","Yola North","","","1742","1717","1173","458","412","47","25","544","714","47"
"2019/2020","Female","all","WAEC","University","lga","Yola South","North East","Adamawa","Yola South","","","981","967","672","260","224","37","14","295","411","37"
"2019/2020","Female","disabled","NABTEB","College of Education","lga","Mubi North","North East","Adamawa","Mubi North","","","50","50","28","0","0","0","0","22","28","0"
"2019/2020","Female","disabled","NABTEB","College of Education","lga","Numan","North East","Adamawa","Numan","","","55","55","35","0","0","0","0","20","35","0"
"2019/2020","Female","disabled","NABTEB","College of Education","lga","Yola North","North East","Adamawa","Yola North","","","69","69","42","0","0","0","0","27","42","0"
"2019/2020","Female","disabled","NABTEB","College of Education","lga","Yola South","North East","Adamawa","Yola South","","","49","49","31","11","11","0","0","18","21","0"
"2019/2020","Female","disabled","NABTEB","Polytechnic","lga","Mubi North","North East","Adamawa","Mubi North","","","22","22","14","0","0","0","0","8","14","0"
"2019/2020","Female","disabled","NABTEB","Polytechnic","lga","Numan","North East","Adamawa","Numan","","","22","22","14","0","0","0","0","8","14","0"
"2019/2020","Female","disabled","NABTEB","Polytechnic","lga","Yola North","North East","Adamawa","Yola North","","","131","131","82","11","11","0","0","49","71","0"
"2019/2020","Female","disabled","NABTEB","Polytechnic","lga","Yola South","North East","Adamawa","Yola South","","","44","44","28","0","0","0","0","16","28","0"
"2019/2020","Female","disabled","NABTEB","University","lga","Mubi North","North East","Adamawa","Mubi North","","","69","69","46","11","11","0","0","23","35","0"
"2019/2020","Female","disabled","NABTEB","University","lga","Numan","North East","Adamawa","Numan","","","70","70","43","11","11","0","0","27","36","0"
"2019/2020","Female","disabled","NABTEB","University","lga","Yola North","North East","Adamawa","Yola North","","","88","88","56","10","11","0","0","32","49","0"
"2019/2020","Female","disabled","NABTEB","University","lga","Yola South","North East","Adamawa","Yola South","","","44","44","28","0","0","0","0","16","28","0"
"2019/2020","Female","disabled","NECO","College of Education","lga","Mubi North","North East","Adamawa","Mubi North","","","88","88","58","22","24","0","0","30","36","0"
"2019/2020","Female","disabled","NECO","College of Education","lga","Numan","North East","Adamawa","Numan","","","98","98","63","15","16","0","0","35","49","0"
"2019/2020","Female","disabled","NECO","College of Education","lga","Yola North","North East","Adamawa","Yola North","","","114","113","69","23","24","0","1","44","46","0"
"2019/2020","Female","disabled","NECO","College of Education","lga","Yola South","North East","Adamawa","Yola South","","","77","77","47","16","17","0","0","30","31","0"
"2019/2020","Female","disabled","NECO","Polytechnic","lga","Mubi North","North East","Adamawa","Mubi North","","","32","32","18","7","8","0","0","14","12","0"
"2019/2020","Female","disabled","NECO","Polytechnic","lga","Numan","North East","Adamawa","Numan","","","44","44","28","7","8","0","0","16","22","0"
"2019/2020","Female","disabled","NECO","Polytechnic","lga","Yola North","North East","Adamawa","Yola North","","","235","233","144","45","48","0","2","89","99","0"
