"session","gender","disability_scope","exam_body","institution_type","loc_level","loc_label","zone","state","lga","ward","school","ss3_total","o_level_candidates","utme_participants","admitted_students","matriculated_students","delayed_transition_students","loss_ss3_to_olevel","loss_olevel_to_utme","loss_utme_to_admitted","loss_admitted_to_matriculated"
"2019/2020","Female","all","NABTEB","College of Education","lga","Alimosho","South West","Lagos","Alimosho","","","94","93","66","27","21","6","1","27","40","6"
"2019/2020","Female","all","NABTEB","College of Education","lga","Ikeja","South West","Lagos","Ikeja","","","465","458","307","115","98","18","7","151","192","18"
"2019/2020","Female","all","NABTEB","College of Education","lga","Kosofe","South West","Lagos","Kosofe","","","111","109","75","34","28","6","2","34","42","6"
"2019/2020","Female","all","NABTEB","College of Education","lga","Lagos Island","South West","Lagos","Lagos Island","","","424","418","288","109","92","17","6","130","180","17"
"2019/2020","Female","all","NABTEB","College of Education","lga","Surulere","South West","Lagos","Surulere","","","503","496","335","127","126","5","7","161","208","5"
"2019/2020","Female","all","NABTEB","Polytechnic","lga","Alimosho","South West","Lagos","Alimosho","","","992","977","653","245","212","34","15","324","409","34"
"2019/2020","Female","all","NABTEB","Polytechnic","lga","Ikeja","South West","Lagos","Ikeja","","","825","813","542","210","177","33","12","271","333","33"
"2019/2020","Female","all","NABTEB","Polytechnic","lga","Kosofe","South West","Lagos","Kosofe","","","387","382","266","101","92","11","5","116","164","11"
"2019/2020","Female","all","NABTEB","Polytechnic","lga","Lagos Island","South West","Lagos","Lagos Island","","","629","620","384","135","112","23","9","236","249","23"
"2019/2020","Female","all","NABTEB","Polytechnic","lga","Surulere","South West","Lagos","Surulere","","","483","475","319","100","92","9","8","156","219","9"
"2019/2020","Female","all","NABTEB","University","lga","Alimosho","South West","Lagos","Alimosho","","","465","459","308","114","105","11","6","151","194","11"
"2019/2020","Female","all","NABTEB","University","lga","Ikeja","South West","Lagos","Ikeja","","","268","264","159","61","56","6","4","105","98","6"
"2019/2020","Female","all","NABTEB","University","lga","Kosofe","South West","Lagos","Kosofe","","","1066","1051","678","229","196","35","15","373","449","35"
"2019/2020","Female","all","NABTEB","University","lga","Lagos Island","South West","Lagos","Lagos Island","","","574","566","360","128","112","18","8","206","232","18"
"2019/2020","Female","all","NABTEB","University","lga","Surulere","South West","Lagos","Surulere","","","513","505","329","122","105","18","8","176","207","18"
"2019/2020","Female","all","NECO","College of Education","lga","Alimosho","South West","Lagos","Alimosho","","","202","199","143","66","55","11","3","56","78","11"
"2019/2020","Female","all","NECO","College of Education","lga","Ikeja","South West","Lagos","Ikeja","","","872","859","553","198","172","26","13","306","355","26"
"2019/2020","Female","all","NECO","College of Education","lga","Kosofe","South West","Lagos","Kosofe","","","177","174","120","48","43","5","3","54","72","5"
"2019/2020","Female","all","NECO","College of Education","lga","Lagos Island","South West","Lagos","Lagos Island","","","868","855","554","193","166","27","13","301","361","27"
"2019/2020","Female","all","NECO","College of Education","lga","Surulere","South West","Lagos","Surulere","","","910","897","581","217","185","32","13","316","364","32"
"2019/2020","Female","all","NECO","Polytechnic","lga","Alimosho","South West","Lagos","Alimosho","","","1865","1838","1190","427","374","53","27","648","763","53"
"2019/2020","Female","all","NECO","Polytechnic","lga","Ikeja","South West","Lagos","Ikeja","","","1619","1595","1060","405","345","60","24","535","656","60"
"2019/2020","Female","all","NECO","Polytechnic","lga","Kosofe","South West","Lagos","Kosofe","","","700","689","449","168","147","21","11","240","281","21"
"2019/2020","Female","all","NECO","Polytechnic","lga","Lagos Island","South West","Lagos","Lagos Island","","","1191","1174","731","234","202","32","17","443","497","32"
"2019/2020","Female","all","NECO","Polytechnic","lga","Surulere","South West","Lagos","Surulere","","","855","842","565","200","172","28","13","277","366","28"
"2019/2020","Female","all","NECO","University","lga","Alimosho","South West","Lagos","Alimosho","","","859","846","572","235","203","32","13","274","338","32"
"2019/2020","Female","all","NECO","University","lga","Ikeja","South West","Lagos","Ikeja","","","578","570","373","133","111","22","8","197","240","22"
"2019/2020","Female","all","NECO","University","lga","Kosofe","South West","Lagos","Kosofe","","","1939","1911","1264","426","374","52","28","647","838","52"
"2019/2020","Female","all","NECO","University","lga","Lagos Island","South West","Lagos","Lagos Island","","","1171","1154","742","252","221","31","17","412","490","31"
"2019/2020","Female","all","NECO","University","lga","Surulere","South West","Lagos","Surulere","","","1020","1006","668","239","201","38","14","338","429","38"
"2019/2020","Female","all","WAEC","College of Education","lga","Alimosho","South West","Lagos","Alimosho","","","250","246","163","57","55","2","4","83","106","2"
"2019/2020","Female","all","WAEC","College of Education","lga","Ikeja","South West","Lagos","Ikeja","","","1107","1090","724","244","221","23","17","366","480","23"
"2019/2020","Female","all","WAEC","College of Education","lga","Kosofe","South West","Lagos","Kosofe","","","236","233","167","62","55","7","3","66","105","7"
"2019/2020","Female","all","WAEC","College of Education","lga","Lagos Island","South West","Lagos","Lagos Island","","","1052","1036","670","244","222","22","16","366","426","22"
