session,gender,disability_scope,exam_body,institution_type,loc_level,loc_label,zone,state,lga,ward,school,ss3_total,o_level_candidates,utme_participants,admitted_students,matriculated_students,delayed_transition_students,loss_ss3_to_olevel,loss_olevel_to_utme,loss_utme_to_admitted,loss_admitted_to_matriculated
2019/2020,Female,all,NABTEB,College of Education,lga,Agaie,North Central,Niger,Agaie,,,360,354,254,104,83,21,6,100,150,21
2019/2020,Female,all,NABTEB,College of Education,lga,Bida,North Central,Niger,Bida,,,586,577,413,155,145,14,9,164,258,14
2019/2020,Female,all,NABTEB,College of Education,lga,Chanchaga,North Central,Niger,Chanchaga,,,412,405,284,104,92,14,7,121,180,14
2019/2020,Female,all,NABTEB,College of Education,lga,Kontagora,North Central,Niger,Kontagora,,,63,62,45,15,15,0,1,17,30,0
2019/2020,Female,all,NABTEB,College of Education,lga,Suleja,North Central,Niger,Suleja,,,719,708,499,200,158,42,11,209,299,42
2019/2020,Female,all,NABTEB,Polytechnic,lga,Agaie,North Central,Niger,Agaie,,,715,704,504,216,183,35,11,200,288,35
2019/2020,Female,all,NABTEB,Polytechnic,lga,Bida,North Central,Niger,Bida,,,138,136,101,44,38,7,2,35,57,7
2019/2020,Female,all,NABTEB,Polytechnic,lga,Chanchaga,North Central,Niger,Chanchaga,,,100,99,73,30,23,7,1,26,43,7
2019/2020,Female,all,NABTEB,Polytechnic,lga,Kontagora,North Central,Niger,Kontagora,,,520,512,369,141,121,21,8,143,228,21
2019/2020,Female,all,NABTEB,Polytechnic,lga,Suleja,North Central,Niger,Suleja,,,152,150,108,52,45,7,2,42,56,7
2019/2020,Female,all,NABTEB,University,lga,Agaie,North Central,Niger,Agaie,,,92,91,69,22,15,7,1,22,47,7
2019/2020,Female,all,NABTEB,University,lga,Bida,North Central,Niger,Bida,,,314,309,219,88,84,7,5,90,131,7
2019/2020,Female,all,NABTEB,University,lga,Chanchaga,North Central,Niger,Chanchaga,,,632,623,445,171,158,14,9,178,274,14
2019/2020,Female,all,NABTEB,University,lga,Kontagora,North Central,Niger,Kontagora,,,393,387,278,89,83,7,6,109,189,7
2019/2020,Female,all,NABTEB,University,lga,Suleja,North Central,Niger,Suleja,,,232,228,160,81,76,7,4,68,79,7
2019/2020,Female,all,NECO,College of Education,lga,Agaie,North Central,Niger,Agaie,,,682,673,499,159,129,30,9,174,340,30
2019/2020,Female,all,NECO,College of Education,lga,Bida,North Central,Niger,Bida,,,1140,1123,798,276,239,37,17,325,522,37
2019/2020,Female,all,NECO,College of Education,lga,Chanchaga,North Central,Niger,Chanchaga,,,714,703,501,171,146,25,11,202,330,25
2019/2020,Female,all,NECO,College of Education,lga,Kontagora,North Central,Niger,Kontagora,,,130,128,97,37,33,4,2,31,60,4
2019/2020,Female,all,NECO,College of Education,lga,Suleja,North Central,Niger,Suleja,,,1337,1318,920,320,282,38,19,398,600,38
2019/2020,Female,all,NECO,Polytechnic,lga,Agaie,North Central,Niger,Agaie,,,1336,1317,934,320,277,43,19,383,614,43
2019/2020,Female,all,NECO,Polytechnic,lga,Bida,North Central,Niger,Bida,,,237,234,171,64,55,9,3,63,107,9
2019/2020,Female,all,NECO,Polytechnic,lga,Chanchaga,North Central,Niger,Chanchaga,,,178,175,128,43,38,5,3,47,85,5
2019/2020,Female,all,NECO,Polytechnic,lga,Kontagora,North Central,Niger,Kontagora,,,1006,992,698,240,202,38,14,294,458,38
2019/2020,Female,all,NECO,Polytechnic,lga,Suleja,North Central,Niger,Suleja,,,308,303,225,90,76,14,5,78,135,14
2019/2020,Female,all,NECO,University,lga,Agaie,North Central,Niger,Agaie,,,154,152,103,37,33,4,2,49,66,4
2019/2020,Female,all,NECO,University,lga,Bida,North Central,Niger,Bida,,,658,649,464,166,141,25,9,185,298,25
2019/2020,Female,all,NECO,University,lga,Chanchaga,North Central,Niger,Chanchaga,,,1211,1193,857,297,250,47,18,336,560,47
2019/2020,Female,all,NECO,University,lga,Kontagora,North Central,Niger,Kontagora,,,759,748,517,165,142,23,11,231,352,23
2019/2020,Female,all,NECO,University,lga,Suleja,North Central,Niger,Suleja,,,462,455,305,106,92,14,7,150,199,14
2019/2020,Female,all,WAEC,College of Education,lga,Agaie,North Central,Niger,Agaie,,,855,842,591,220,196,24,13,251,371,24
2019/2020,Female,all,WAEC,College of Education,lga,Bida,North Central,Niger,Bida,,,1453,1431,1018,380,337,43,22,413,638,43
2019/2020,Female,all,WAEC,College of Education,lga,Chanchaga,North Central,Niger,Chanchaga,,,956,942,663,235,211,24,14,279,428,24
2019/2020,Female,all,WAEC,College of Education,lga,Kontagora,North Central,Niger,Kontagora,,,145,143,103,45,42,3,2,40,58,3
2019/2020,Female,all,WAEC,College of Education,lga,Suleja,North Central,Niger,Suleja,,,1640,1616,1152,440,390,50,24,464,712,50
2019/2020,Female,all,WAEC,Polytechnic,lga,Agaie,North Central,Niger,Agaie,,,1776,1750,1232,480,423,57,26,518,752,57
2019/2020,Female,all,WAEC,Polytechnic,lga,Bida,North Central,Niger,Bida,,,297,292,212,85,73,12,5,80,127,12
2019/2020,Female,all,WAEC,Polytechnic,lga,Chanchaga,North Central,Niger,Chanchaga,,,254,250,173,75,69,6,4,77,98,6
2019/2020,Female,all,WAEC,Polytechnic,lga,Kontagora,North Central,Niger,Kontagora,,,1305,1286,904,344,311,33,19,382,560,33
2019/2020,Female,all,WAEC,Polytechnic,lga,Suleja,North Central,Niger,Suleja,,,381,376,281,120,111,9,5,95,161,9
2019/2020,Female,all,WAEC,University,lga,Agaie,North Central,Niger,Agaie,,,257,253,173,65,58,7,4,80,108,7
2019/2020,Female,all,WAEC,University,lga,Bida,North Central,Niger,Bida,,,821,810,590,259,226,33,11,220,331,33
2019/2020,Female,all,WAEC,University,lga,Chanchaga,North Central,Niger,Chanchaga,,,1489,1467,1056,449,402,47,22,411,607,47
2019/2020,Female,all,WAEC,University,lga,Kontagora,North Central,Niger,Kontagora,,,965,950,664,250,227,23,15,286,414,23
2019/2020,Female,all,WAEC,University,lga,Suleja,North Central,Niger,Suleja,,,563,555,388,150,132,18,8,167,238,18
2019/2020,Female,disabled,NABTEB,College of Education,lga,Agaie,North Central,Niger,Agaie,,,41,41,28,16,16,0,0,13,13,0
2019/2020,Female,disabled,NABTEB,College of Education,lga,Bida,North Central,Niger,Bida,,,71,71,45,31,31,0,0,26,17,0
2019/2020,Female,disabled,NABTEB,College of Education,lga,Chanchaga,North Central,Niger,Chanchaga,,,46,46,28,16,16,0,0,18,14,0
2019/2020,Female,disabled,NABTEB,College of Education,lga,Kontagora,North Central,Niger,Kontagora,,,11,11,7,0,0,0,0,4,7,0
2019/2020,Female,disabled,NABTEB,College of Education,lga,Suleja,North Central,Niger,Suleja,,,83,83,55,21,22,0,0,28,34,0
2019/2020,Female,disabled,NABTEB,Polytechnic,lga,Agaie,North Central,Niger,Agaie,,,97,97,62,32,32,0,0,35,33,0
2019/2020,Female,disabled,NABTEB,Polytechnic,lga,Bida,North Central,Niger,Bida,,,22,22,14,7,8,0,0,8,7,0
2019/2020,Female,disabled,NABTEB,Polytechnic,lga,Chanchaga,North Central,Niger,Chanchaga,,,11,11,7,8,8,0,0,4,0,0
2019/2020,Female,disabled,NABTEB,Polytechnic,lga,Kontagora,North Central,Niger,Kontagora,,,71,71,45,16,16,0,0,26,31,0
2019/2020,Female,disabled,NABTEB,Polytechnic,lga,Suleja,North Central,Niger,Suleja,,,22,22,14,7,7,0,0,8,7,0
2019/2020,Female,disabled,NABTEB,University,lga,Agaie,North Central,Niger,Agaie,,,11,11,7,0,0,0,0,4,7,0
