"session","gender","disability_scope","exam_body","institution_type","loc_level","loc_label","zone","state","lga","ward","school","ss3_total","o_level_candidates","utme_participants","admitted_students","matriculated_students","delayed_transition_students","loss_ss3_to_olevel","loss_olevel_to_utme","loss_utme_to_admitted","loss_admitted_to_matriculated"
"2019/2020","Female","all","NABTEB","College of Education","lga","Aba North","South East","Abia","Aba North","","","557","549","389","125","110","15","8","160","264","15"
"2019/2020","Female","all","NABTEB","College of Education","lga","Aba South","South East","Abia","Aba South","","","349","344","239","75","70","5","5","105","164","5"
"2019/2020","Female","all","NABTEB","College of Education","lga","Arochukwu","South East","Abia","Arochukwu","","","386","380","283","101","86","15","6","97","182","15"
"2019/2020","Female","all","NABTEB","College of Education","lga","Umuahia North","South East","Abia","Umuahia North","","","264","260","188","65","54","11","4","72","123","11"
"2019/2020","Female","all","NABTEB","College of Education","lga","Umuahia South","South East","Abia","Umuahia South","","","560","551","399","146","130","16","9","152","253","16"
"2019/2020","Female","all","NABTEB","Polytechnic","lga","Aba North","South East","Abia","Aba North","","","195","192","142","60","55","5","3","50","82","5"
"2019/2020","Female","all","NABTEB","Polytechnic","lga","Aba South","South East","Abia","Aba South","","","239","235","168","59","49","10","4","67","109","10"
"2019/2020","Female","all","NABTEB","Polytechnic","lga","Arochukwu","South East","Abia","Arochukwu","","","326","322","233","84","75","10","4","89","148","10"
"2019/2020","Female","all","NABTEB","Polytechnic","lga","Umuahia North","South East","Abia","Umuahia North","","","385","379","269","94","74","20","6","110","175","20"
"2019/2020","Female","all","NABTEB","Polytechnic","lga","Umuahia South","South East","Abia","Umuahia South","","","322","317","253","92","76","16","5","64","161","16"
"2019/2020","Female","all","NABTEB","University","lga","Aba North","South East","Abia","Aba North","","","191","188","131","41","35","6","3","57","91","6"
"2019/2020","Female","all","NABTEB","University","lga","Aba South","South East","Abia","Aba South","","","510","502","362","101","86","15","8","140","261","15"
"2019/2020","Female","all","NABTEB","University","lga","Arochukwu","South East","Abia","Arochukwu","","","382","376","274","97","87","10","6","102","177","10"
"2019/2020","Female","all","NABTEB","University","lga","Umuahia North","South East","Abia","Umuahia North","","","439","432","319","121","100","21","7","113","199","21"
"2019/2020","Female","all","NABTEB","University","lga","Umuahia South","South East","Abia","Umuahia South","","","170","168","125","44","35","10","2","43","80","10"
"2019/2020","Female","all","NECO","College of Education","lga","Aba North","South East","Abia","Aba North","","","1091","1075","778","305","274","31","16","297","473","31"
"2019/2020","Female","all","NECO","College of Education","lga","Aba South","South East","Abia","Aba South","","","589","580","414","149","133","16","9","166","266","16"
"2019/2020","Female","all","NECO","College of Education","lga","Arochukwu","South East","Abia","Arochukwu","","","690","681","509","219","195","24","9","172","291","24"
"2019/2020","Female","all","NECO","College of Education","lga","Umuahia North","South East","Abia","Umuahia North","","","497","489","345","122","106","17","8","144","222","17"
