"session","gender","disability_scope","exam_body","institution_type","loc_level","loc_label","zone","state","lga","ward","school","ss3_total","o_level_candidates","utme_participants","admitted_students","matriculated_students","delayed_transition_students","loss_ss3_to_olevel","loss_olevel_to_utme","loss_utme_to_admitted","loss_admitted_to_matriculated"
"2019/2020","Female","all","NABTEB","College of Education","lga","Biu","North East","Borno","Biu","","","301","296","168","70","55","15","5","128","98","15"
"2019/2020","Female","all","NABTEB","College of Education","lga","Gwoza","North East","Borno","Gwoza","","","558","551","312","109","98","15","7","239","204","15"
"2019/2020","Female","all","NABTEB","College of Education","lga","Jere","North East","Borno","Jere","","","213","210","115","51","49","5","3","95","65","5"
"2019/2020","Female","all","NABTEB","College of Education","lga","Maiduguri","North East","Borno","Maiduguri","","","417","411","238","104","84","21","6","173","135","21"
"2019/2020","Female","all","NABTEB","Polytechnic","lga","Biu","North East","Borno","Biu","","","337","332","188","71","63","10","5","144","117","10"
"2019/2020","Female","all","NABTEB","Polytechnic","lga","Chibok","North East","Borno","Chibok","","","371","366","201","84","70","15","5","165","117","15"
"2019/2020","Female","all","NABTEB","Polytechnic","lga","Gwoza","North East","Borno","Gwoza","","","284","280","163","78","69","10","4","117","85","10"
"2019/2020","Female","all","NABTEB","Polytechnic","lga","Jere","North East","Borno","Jere","","","295","290","168","89","84","9","5","122","79","9"
"2019/2020","Female","all","NABTEB","Polytechnic","lga","Maiduguri","North East","Borno","Maiduguri","","","399","393","218","97","84","14","6","175","121","14"
"2019/2020","Female","all","NABTEB","University","lga","Biu","North East","Borno","Biu","","","410","403","236","115","98","18","7","167","121","18"
"2019/2020","Female","all","NABTEB","University","lga","Chibok","North East","Borno","Chibok","","","542","534","297","110","105","10","8","237","187","10"
"2019/2020","Female","all","NABTEB","University","lga","Gwoza","North East","Borno","Gwoza","","","201","198","113","52","49","5","3","85","61","5"
"2019/2020","Female","all","NABTEB","University","lga","Jere","North East","Borno","Jere","","","393","388","221","90","77","14","5","167","131","14"
"2019/2020","Female","all","NABTEB","University","lga","Maiduguri","North East","Borno","Maiduguri","","","156","153","86","33","35","0","3","67","53","0"
"2019/2020","Female","all","NECO","College of Education","lga","Biu","North East","Borno","Biu","","","613","604","345","109","98","11","9","259","236","11"
"2019/2020","Female","all","NECO","College of Education","lga","Gwoza","North East","Borno","Gwoza","","","1088","1073","590","197","169","29","15","483","393","29"
"2019/2020","Female","all","NECO","College of Education","lga","Jere","North East","Borno","Jere","","","398","391","229","92","85","7","7","162","137","7"
