"session","gender","disability_scope","exam_body","institution_type","loc_level","loc_label","zone","state","lga","ward","school","ss3_total","o_level_candidates","utme_participants","admitted_students","matriculated_students","delayed_transition_students","loss_ss3_to_olevel","loss_olevel_to_utme","loss_utme_to_admitted","loss_admitted_to_matriculated"
"2019/2020","Female","all","NABTEB","College of Education","lga","Argungu","North West","Kebbi","Argungu","","","339","333","198","79","79","4","6","135","119","4"
"2019/2020","Female","all","NABTEB","College of Education","lga","Birnin Kebbi","North West","Kebbi","Birnin Kebbi","","","273","268","152","61","59","4","5","116","91","4"
"2019/2020","Female","all","NABTEB","College of Education","lga","Kalgo","North West","Kebbi","Kalgo","","","353","347","205","83","79","7","6","142","122","7"
"2019/2020","Female","all","NABTEB","College of Education","lga","Yauri","North West","Kebbi","Yauri","","","154","152","94","37","33","4","2","58","57","4"
"2019/2020","Female","all","NABTEB","College of Education","lga","Zuru","North West","Kebbi","Zuru","","","150","148","84","37","33","4","2","64","47","4"
"2019/2020","Female","all","NABTEB","Polytechnic","lga","Argungu","North West","Kebbi","Argungu","","","392","386","234","97","88","11","6","152","137","11"
"2019/2020","Female","all","NABTEB","Polytechnic","lga","Birnin Kebbi","North West","Kebbi","Birnin Kebbi","","","293","290","170","50","48","4","3","120","120","4"
"2019/2020","Female","all","NABTEB","Polytechnic","lga","Kalgo","North West","Kebbi","Kalgo","","","158","156","93","28","20","8","2","63","66","8"
"2019/2020","Female","all","NABTEB","Polytechnic","lga","Yauri","North West","Kebbi","Yauri","","","293","289","169","65","57","8","4","120","104","8"
"2019/2020","Female","all","NABTEB","Polytechnic","lga","Zuru","North West","Kebbi","Zuru","","","378","372","220","78","68","11","6","152","142","11"
"2019/2020","Female","all","NABTEB","University","lga","Argungu","North West","Kebbi","Argungu","","","191","188","109","41","38","4","3","79","68","4"
"2019/2020","Female","all","NABTEB","University","lga","Birnin Kebbi","North West","Kebbi","Birnin Kebbi","","","493","485","299","120","105","16","8","186","179","16"
"2019/2020","Female","all","NABTEB","University","lga","Kalgo","North West","Kebbi","Kalgo","","","381","376","215","73","68","7","5","161","142","7"
"2019/2020","Female","all","NABTEB","University","lga","Yauri","North West","Kebbi","Yauri","","","448","442","267","87","77","12","6","175","180","12"
"2019/2020","Female","all","NABTEB","University","lga","Zuru","North West","Kebbi","Zuru","","","553","545","320","114","97","18","8","225","206","18"
"2019/2020","Female","all","NECO","College of Education","lga","Argungu","North West","Kebbi","Argungu","","","641","631","376","149","125","24","10","255","227","24"
"2019/2020","Female","all","NECO","College of Education","lga","Birnin Kebbi","North West","Kebbi","Birnin Kebbi","","","528","520","309","119","100","19","8","211","190","19"
"2019/2020","Female","all","NECO","College of Education","lga","Kalgo","North West","Kebbi","Kalgo","","","675","666","401","157","133","24","9","265","244","24"
"2019/2020","Female","all","NECO","College of Education","lga","Yauri","North West","Kebbi","Yauri","","","325","320","190","84","73","12","5","130","105","12"
"2019/2020","Female","all","NECO","College of Education","lga","Zuru","North West","Kebbi","Zuru","","","290","285","169","60","52","8","5","116","110","8"
"2019/2020","Female","all","NECO","Polytechnic","lga","Argungu","North West","Kebbi","Argungu","","","701","691","416","174","150","24","10","275","242","24"
"2019/2020","Female","all","NECO","Polytechnic","lga","Birnin Kebbi","North West","Kebbi","Birnin Kebbi","","","563","554","319","110","95","15","9","235","210","15"
"2019/2020","Female","all","NECO","Polytechnic","lga","Kalgo","North West","Kebbi","Kalgo","","","357","352","200","75","64","11","5","152","125","11"
"2019/2020","Female","all","NECO","Polytechnic","lga","Yauri","North West","Kebbi","Yauri","","","530","523","303","113","94","19","7","220","190","19"
"2019/2020","Female","all","NECO","Polytechnic","lga","Zuru","North West","Kebbi","Zuru","","","715","704","413","157","130","27","11","291","256","27"
"2019/2020","Female","all","NECO","University","lga","Argungu","North West","Kebbi","Argungu","","","388","382","214","81","69","12","6","168","134","12"
"2019/2020","Female","all","NECO","University","lga","Birnin Kebbi","North West","Kebbi","Birnin Kebbi","","","991","977","583","229","193","36","14","394","354","36"
"2019/2020","Female","all","NECO","University","lga","Kalgo","North West","Kebbi","Kalgo","","","682","672","389","153","130","23","10","283","237","23"
"2019/2020","Female","all","NECO","University","lga","Yauri","North West","Kebbi","Yauri","","","834","822","487","195","168","27","12","335","292","27"
"2019/2020","Female","all","NECO","University","lga","Zuru","North West","Kebbi","Zuru","","","1007","992","586","220","186","34","15","406","366","34"
"2019/2020","Female","all","WAEC","College of Education","lga","Argungu","North West","Kebbi","Argungu","","","755","744","448","173","155","18","11","296","275","18"
"2019/2020","Female","all","WAEC","College of Education","lga","Birnin Kebbi","North West","Kebbi","Birnin Kebbi","","","635","626","384","152","138","14","9","242","232","14"
"2019/2020","Female","all","WAEC","College of Education","lga","Kalgo","North West","Kebbi","Kalgo","","","922","907","534","199","178","21","15","373","335","21"
"2019/2020","Female","all","WAEC","College of Education","lga","Yauri","North West","Kebbi","Yauri","","","402","396","233","87","75","12","6","163","146","12"
"2019/2020","Female","all","WAEC","College of Education","lga","Zuru","North West","Kebbi","Zuru","","","366","361","214","83","78","5","5","147","132","5"
