"session","gender","disability_scope","exam_body","institution_type","loc_level","loc_label","zone","state","lga","ward","school","ss3_total","o_level_candidates","utme_participants","admitted_students","matriculated_students","delayed_transition_students","loss_ss3_to_olevel","loss_olevel_to_utme","loss_utme_to_admitted","loss_admitted_to_matriculated"
"2019/2020","Female","all","NABTEB","College of Education","lga","Balanga","North East","Gombe","Balanga","","","395","389","229","89","80","12","6","160","141","12"
"2019/2020","Female","all","NABTEB","College of Education","lga","Gombe","North East","Gombe","Gombe","","","167","164","96","36","28","8","3","68","61","8"
"2019/2020","Female","all","NABTEB","College of Education","lga","Kaltungo","North East","Gombe","Kaltungo","","","196","193","115","40","38","4","3","78","76","4"
"2019/2020","Female","all","NABTEB","College of Education","lga","Nafada","North East","Gombe","Nafada","","","475","467","279","110","104","8","8","188","169","8"
"2019/2020","Female","all","NABTEB","College of Education","lga","Yamaltu/Deba","North East","Gombe","Yamaltu/Deba","","","585","577","348","136","115","21","8","229","212","21"
"2019/2020","Female","all","NABTEB","Polytechnic","lga","Balanga","North East","Gombe","Balanga","","","147","145","88","27","23","4","2","57","61","4"
"2019/2020","Female","all","NABTEB","Polytechnic","lga","Gombe","North East","Gombe","Gombe","","","662","651","382","120","115","9","11","269","263","9"
"2019/2020","Female","all","NABTEB","Polytechnic","lga","Kaltungo","North East","Gombe","Kaltungo","","","174","172","97","36","28","8","2","75","62","8"
"2019/2020","Female","all","NABTEB","Polytechnic","lga","Nafada","North East","Gombe","Nafada","","","411","406","236","88","77","12","5","170","148","12"
"2019/2020","Female","all","NABTEB","Polytechnic","lga","Yamaltu/Deba","North East","Gombe","Yamaltu/Deba","","","164","161","103","43","41","3","3","58","59","3"
"2019/2020","Female","all","NABTEB","University","lga","Balanga","North East","Gombe","Balanga","","","267","264","150","52","52","3","3","114","98","3"
"2019/2020","Female","all","NABTEB","University","lga","Gombe","North East","Gombe","Gombe","","","89","88","52","13","10","3","1","36","40","3"
"2019/2020","Female","all","NABTEB","University","lga","Kaltungo","North East","Gombe","Kaltungo","","","543","535","313","118","103","16","8","222","195","16"
"2019/2020","Female","all","NABTEB","University","lga","Yamaltu/Deba","North East","Gombe","Yamaltu/Deba","","","163","160","96","31","29","3","3","64","66","3"
"2019/2020","Female","all","NECO","College of Education","lga","Balanga","North East","Gombe","Balanga","","","696","686","400","165","155","10","10","286","235","10"
"2019/2020","Female","all","NECO","College of Education","lga","Gombe","North East","Gombe","Gombe","","","281","276","158","55","47","8","5","118","103","8"
"2019/2020","Female","all","NECO","College of Education","lga","Kaltungo","North East","Gombe","Kaltungo","","","374","369","228","94","86","8","5","141","134","8"
"2019/2020","Female","all","NECO","College of Education","lga","Nafada","North East","Gombe","Nafada","","","844","831","491","192","176","16","13","340","300","16"
