session,gender,disability,exam_body,institution_type,loc_level,loc_label,zone,state,lga,ward,school,ss3_total,o_level_candidates,utme_participants,admitted_students,matriculated_students,delayed_transition_students,loss_ss3_to_olevel,loss_olevel_to_utme,loss_utme_to_admitted,loss_admitted_to_matriculated,median_time_to_matriculation_years
2022/2023,Female,ALL,WAEC,University,lga,Gombe,North East,Gombe,Gombe,,,680,2042,1477,619,568,31,0,565,858,51,1.8
2022/2023,Female,ALL,WAEC,Polytechnic,lga,Gombe,North East,Gombe,Gombe,,,309,928,671,281,258,14,0,257,390,23,1.8
2022/2023,Female,ALL,WAEC,College of Education,lga,Gombe,North East,Gombe,Gombe,,,247,742,537,225,207,11,0,205,312,18,1.8
2022/2023,Female,ALL,NECO,University,lga,Gombe,North East,Gombe,Gombe,,,318,955,691,289,266,15,0,264,402,23,1.8
2022/2023,Female,ALL,NECO,Polytechnic,lga,Gombe,North East,Gombe,Gombe,,,145,434,314,132,121,7,0,120,182,11,1.8
2022/2023,Female,ALL,NECO,College of Education,lga,Gombe,North East,Gombe,Gombe,,,116,347,251,105,97,5,0,96,146,8,1.8
2022/2023,Female,ALL,NABTEB,University,lga,Gombe,North East,Gombe,Gombe,,,99,296,214,90,83,5,0,82,124,7,1.8
2022/2023,Female,ALL,NABTEB,Polytechnic,lga,Gombe,North East,Gombe,Gombe,,,45,135,97,41,38,2,0,38,56,3,1.8
2022/2023,Female,ALL,NABTEB,College of Education,lga,Gombe,North East,Gombe,Gombe,,,36,108,78,33,30,2,0,30,45,3,1.8
2022/2023,Female,Disabled,WAEC,University,lga,Gombe,North East,Gombe,Gombe,,,44,133,96,40,37,2,0,37,56,3,1.8
2022/2023,Female,Disabled,WAEC,Polytechnic,lga,Gombe,North East,Gombe,Gombe,,,20,60,44,18,17,1,0,16,26,1,1.8
2022/2023,Female,Disabled,WAEC,College of Education,lga,Gombe,North East,Gombe,Gombe,,,16,48,35,15,13,1,0,13,20,2,1.8
2022/2023,Female,Disabled,NECO,University,lga,Gombe,North East,Gombe,Gombe,,,21,62,45,19,17,1,0,17,26,2,1.8
2022/2023,Female,Disabled,NECO,Polytechnic,lga,Gombe,North East,Gombe,Gombe,,,9,28,20,9,8,0,0,8,11,1,1.8
2022/2023,Female,Disabled,NECO,College of Education,lga,Gombe,North East,Gombe,Gombe,,,8,23,16,7,6,0,0,7,9,1,1.8
2022/2023,Female,Disabled,NABTEB,University,lga,Gombe,North East,Gombe,Gombe,,,6,19,14,6,5,0,0,5,8,1,1.8
2022/2023,Female,Disabled,NABTEB,Polytechnic,lga,Gombe,North East,Gombe,Gombe,,,3,9,6,3,2,0,0,3,3,1,1.8
2022/2023,Female,Disabled,NABTEB,College of Education,lga,Gombe,North East,Gombe,Gombe,,,2,7,5,2,2,0,0,2,3,0,1.8
