session,gender,disability,exam_body,institution_type,loc_level,loc_label,zone,state,lga,ward,school,ss3_total,o_level_candidates,utme_participants,admitted_students,matriculated_students,delayed_transition_students,loss_ss3_to_olevel,loss_olevel_to_utme,loss_utme_to_admitted,loss_admitted_to_matriculated,median_time_to_matriculation_years
2022/2023,Female,ALL,WAEC,University,lga,Alkaleri,North East,Bauchi,Alkaleri,,,263,788,570,239,220,12,0,218,331,19,1.8
2022/2023,Female,ALL,WAEC,Polytechnic,lga,Alkaleri,North East,Bauchi,Alkaleri,,,119,358,259,109,100,6,0,99,150,9,1.8
2022/2023,Female,ALL,WAEC,College of Education,lga,Alkaleri,North East,Bauchi,Alkaleri,,,95,287,207,87,80,4,0,80,120,7,1.8
2022/2023,Female,ALL,NECO,University,lga,Alkaleri,North East,Bauchi,Alkaleri,,,123,369,267,112,103,6,0,102,155,9,1.8
2022/2023,Female,ALL,NECO,Polytechnic,lga,Alkaleri,North East,Bauchi,Alkaleri,,,56,168,121,51,47,3,0,47,70,4,1.8
2022/2023,Female,ALL,NECO,College of Education,lga,Alkaleri,North East,Bauchi,Alkaleri,,,45,134,97,41,37,2,0,37,56,4,1.8
2022/2023,Female,ALL,NABTEB,University,lga,Alkaleri,North East,Bauchi,Alkaleri,,,38,114,83,35,32,2,0,31,48,3,1.8
2022/2023,Female,ALL,NABTEB,Polytechnic,lga,Alkaleri,North East,Bauchi,Alkaleri,,,17,52,38,16,14,1,0,14,22,2,1.8
2022/2023,Female,ALL,NABTEB,College of Education,lga,Alkaleri,North East,Bauchi,Alkaleri,,,14,42,30,13,12,1,0,12,17,1,1.8
2022/2023,Female,Disabled,WAEC,University,lga,Alkaleri,North East,Bauchi,Alkaleri,,,17,51,37,16,14,1,0,14,21,2,1.8
2022/2023,Female,Disabled,WAEC,Polytechnic,lga,Alkaleri,North East,Bauchi,Alkaleri,,,8,23,17,7,6,0,0,6,10,1,1.8
2022/2023,Female,Disabled,WAEC,College of Education,lga,Alkaleri,North East,Bauchi,Alkaleri,,,6,19,13,6,5,0,0,6,7,1,1.8
2022/2023,Female,Disabled,NECO,University,lga,Alkaleri,North East,Bauchi,Alkaleri,,,8,24,17,7,7,0,0,7,10,0,1.8
2022/2023,Female,Disabled,NECO,Polytechnic,lga,Alkaleri,North East,Bauchi,Alkaleri,,,4,11,8,3,3,0,0,3,5,0,1.8
2022/2023,Female,Disabled,NECO,College of Education,lga,Alkaleri,North East,Bauchi,Alkaleri,,,3,9,6,3,2,0,0,3,3,1,1.8
2022/2023,Female,Disabled,NABTEB,University,lga,Alkaleri,North East,Bauchi,Alkaleri,,,2,7,5,2,2,0,0,2,3,0,1.8
2022/2023,Female,Disabled,NABTEB,Polytechnic,lga,Alkaleri,North East,Bauchi,Alkaleri,,,1,3,2,1,1,0,0,1,1,0,1.8
2022/2023,Female,Disabled,NABTEB,College of Education,lga,Alkaleri,North East,Bauchi,Alkaleri,,,1,3,2,1,1,0,0,1,1,0,1.8
2022/2023,Female,ALL,WAEC,University,lga,Bauchi,North East,Bauchi,Bauchi,,,304,913,661,277,254,14,0,252,384,23,1.8
2022/2023,Female,ALL,WAEC,Polytechnic,lga,Bauchi,North East,Bauchi,Bauchi,,,138,415,300,126,116,6,0,115,174,10,1.8
2022/2023,Female,ALL,WAEC,College of Education,lga,Bauchi,North East,Bauchi,Bauchi,,,111,332,240,101,93,5,0,92,139,8,1.8
2022/2023,Female,ALL,NECO,University,lga,Bauchi,North East,Bauchi,Bauchi,,,142,427,309,130,119,7,0,118,179,11,1.8
2022/2023,Female,ALL,NECO,Polytechnic,lga,Bauchi,North East,Bauchi,Bauchi,,,65,194,140,59,54,3,0,54,81,5,1.8
2022/2023,Female,ALL,NECO,College of Education,lga,Bauchi,North East,Bauchi,Bauchi,,,52,155,112,47,43,2,0,43,65,4,1.8
2022/2023,Female,ALL,NABTEB,University,lga,Bauchi,North East,Bauchi,Bauchi,,,44,133,96,40,37,2,0,37,56,3,1.8
2022/2023,Female,ALL,NABTEB,Polytechnic,lga,Bauchi,North East,Bauchi,Bauchi,,,20,60,44,18,17,1,0,16,26,1,1.8
2022/2023,Female,ALL,NABTEB,College of Education,lga,Bauchi,North East,Bauchi,Bauchi,,,16,48,35,15,13,1,0,13,20,2,1.8
2022/2023,Female,Disabled,WAEC,University,lga,Bauchi,North East,Bauchi,Bauchi,,,20,59,43,18,17,1,0,16,25,1,1.8
2022/2023,Female,Disabled,WAEC,Polytechnic,lga,Bauchi,North East,Bauchi,Bauchi,,,9,27,20,8,8,0,0,7,12,0,1.8
2022/2023,Female,Disabled,WAEC,College of Education,lga,Bauchi,North East,Bauchi,Bauchi,,,7,22,16,7,6,0,0,6,9,1,1.8
2022/2023,Female,Disabled,NECO,University,lga,Bauchi,North East,Bauchi,Bauchi,,,9,28,20,8,8,0,0,8,12,0,1.8
2022/2023,Female,Disabled,NECO,Polytechnic,lga,Bauchi,North East,Bauchi,Bauchi,,,4,13,9,4,4,0,0,4,5,0,1.8
2022/2023,Female,Disabled,NECO,College of Education,lga,Bauchi,North East,Bauchi,Bauchi,,,3,10,7,3,3,0,0,3,4,0,1.8
2022/2023,Female,Disabled,NABTEB,University,lga,Bauchi,North East,Bauchi,Bauchi,,,3,9,6,3,2,0,0,3,3,1,1.8
2022/2023,Female,Disabled,NABTEB,Polytechnic,lga,Bauchi,North East,Bauchi,Bauchi,,,1,4,3,1,1,0,0,1,2,0,1.8
2022/2023,Female,Disabled,NABTEB,College of Education,lga,Bauchi,North East,Bauchi,Bauchi,,,1,3,2,1,1,0,0,1,1,0,1.8
2022/2023,Female,ALL,WAEC,University,lga,Bogoro,North East,Bauchi,Bogoro,,,220,659,477,200,184,10,0,182,277,16,1.8
2022/2023,Female,ALL,WAEC,Polytechnic,lga,Bogoro,North East,Bauchi,Bogoro,,,100,300,217,91,84,5,0,83,126,7,1.8
2022/2023,Female,ALL,WAEC,College of Education,lga,Bogoro,North East,Bauchi,Bogoro,,,80,240,173,73,67,4,0,67,100,6,1.8
2022/2023,Female,ALL,NECO,University,lga,Bogoro,North East,Bauchi,Bogoro,,,103,308,223,93,86,5,0,85,130,7,1.8
2022/2023,Female,ALL,NECO,Polytechnic,lga,Bogoro,North East,Bauchi,Bogoro,,,47,140,101,42,39,2,0,39,59,3,1.8
2022/2023,Female,ALL,NECO,College of Education,lga,Bogoro,North East,Bauchi,Bogoro,,,37,112,81,34,31,2,0,31,47,3,1.8
2022/2023,Female,ALL,NABTEB,University,lga,Bogoro,North East,Bauchi,Bogoro,,,32,96,69,29,27,1,0,27,40,2,1.8
2022/2023,Female,ALL,NABTEB,Polytechnic,lga,Bogoro,North East,Bauchi,Bogoro,,,15,44,31,13,12,1,0,13,18,1,1.8
2022/2023,Female,ALL,NABTEB,College of Education,lga,Bogoro,North East,Bauchi,Bogoro,,,12,35,25,11,10,1,0,10,14,1,1.8
2022/2023,Female,Disabled,WAEC,University,lga,Bogoro,North East,Bauchi,Bogoro,,,14,43,31,13,12,1,0,12,18,1,1.8
