session,gender,disability,exam_body,institution_type,loc_level,loc_label,zone,state,lga,ward,school,ss3_total,o_level_candidates,utme_participants,admitted_students,matriculated_students,delayed_transition_students,loss_ss3_to_olevel,loss_olevel_to_utme,loss_utme_to_admitted,loss_admitted_to_matriculated,median_time_to_matriculation_years
2022/2023,Female,ALL,WAEC,University,lga,Uyo,South South,Akwa Ibom,Uyo,,,590,1769,1280,536,493,27,0,489,744,43,1.8
2022/2023,Female,ALL,WAEC,Polytechnic,lga,Uyo,South South,Akwa Ibom,Uyo,,,268,804,582,244,224,12,0,222,338,20,1.8
2022/2023,Female,ALL,WAEC,College of Education,lga,Uyo,South South,Akwa Ibom,Uyo,,,214,643,465,195,179,10,0,178,270,16,1.8
2022/2023,Female,ALL,NECO,University,lga,Uyo,South South,Akwa Ibom,Uyo,,,276,827,599,251,230,13,0,228,348,21,1.8
2022/2023,Female,ALL,NECO,Polytechnic,lga,Uyo,South South,Akwa Ibom,Uyo,,,125,376,272,114,105,6,0,104,158,9,1.8
2022/2023,Female,ALL,NECO,College of Education,lga,Uyo,South South,Akwa Ibom,Uyo,,,100,301,218,91,84,5,0,83,127,7,1.8
2022/2023,Female,ALL,NABTEB,University,lga,Uyo,South South,Akwa Ibom,Uyo,,,86,257,186,78,72,4,0,71,108,6,1.8
2022/2023,Female,ALL,NABTEB,Polytechnic,lga,Uyo,South South,Akwa Ibom,Uyo,,,39,117,84,35,33,2,0,33,49,2,1.8
2022/2023,Female,ALL,NABTEB,College of Education,lga,Uyo,South South,Akwa Ibom,Uyo,,,31,93,68,28,26,1,0,25,40,2,1.8
2022/2023,Female,Disabled,WAEC,University,lga,Uyo,South South,Akwa Ibom,Uyo,,,38,115,83,35,32,2,0,32,48,3,1.8
2022/2023,Female,Disabled,WAEC,Polytechnic,lga,Uyo,South South,Akwa Ibom,Uyo,,,17,52,38,16,15,1,0,14,22,1,1.8
2022/2023,Female,Disabled,WAEC,College of Education,lga,Uyo,South South,Akwa Ibom,Uyo,,,14,42,30,13,12,1,0,12,17,1,1.8
2022/2023,Female,Disabled,NECO,University,lga,Uyo,South South,Akwa Ibom,Uyo,,,18,54,39,16,15,1,0,15,23,1,1.8
2022/2023,Female,Disabled,NECO,Polytechnic,lga,Uyo,South South,Akwa Ibom,Uyo,,,8,24,18,7,7,0,0,6,11,0,1.8
2022/2023,Female,Disabled,NECO,College of Education,lga,Uyo,South South,Akwa Ibom,Uyo,,,7,20,14,6,5,0,0,6,8,1,1.8
2022/2023,Female,Disabled,NABTEB,University,lga,Uyo,South South,Akwa Ibom,Uyo,,,6,17,12,5,5,0,0,5,7,0,1.8
2022/2023,Female,Disabled,NABTEB,Polytechnic,lga,Uyo,South South,Akwa Ibom,Uyo,,,3,8,5,2,2,0,0,3,3,0,1.8
2022/2023,Female,Disabled,NABTEB,College of Education,lga,Uyo,South South,Akwa Ibom,Uyo,,,2,6,4,2,2,0,0,2,2,0,1.8
2022/2023,Female,ALL,WAEC,University,lga,Eket,South South,Akwa Ibom,Eket,,,529,1587,1148,481,442,24,0,439,667,39,1.8
2022/2023,Female,ALL,WAEC,Polytechnic,lga,Eket,South South,Akwa Ibom,Eket,,,240,721,522,219,201,11,0,199,303,18,1.8
2022/2023,Female,ALL,WAEC,College of Education,lga,Eket,South South,Akwa Ibom,Eket,,,192,577,418,175,161,9,0,159,243,14,1.8
2022/2023,Female,ALL,NECO,University,lga,Eket,South South,Akwa Ibom,Eket,,,247,742,537,225,207,11,0,205,312,18,1.8
2022/2023,Female,ALL,NECO,Polytechnic,lga,Eket,South South,Akwa Ibom,Eket,,,112,337,244,102,94,5,0,93,142,8,1.8
2022/2023,Female,ALL,NECO,College of Education,lga,Eket,South South,Akwa Ibom,Eket,,,90,270,195,82,75,4,0,75,113,7,1.8
2022/2023,Female,ALL,NABTEB,University,lga,Eket,South South,Akwa Ibom,Eket,,,77,230,167,70,64,4,0,63,97,6,1.8
2022/2023,Female,ALL,NABTEB,Polytechnic,lga,Eket,South South,Akwa Ibom,Eket,,,35,105,76,32,29,2,0,29,44,3,1.8
2022/2023,Female,ALL,NABTEB,College of Education,lga,Eket,South South,Akwa Ibom,Eket,,,28,84,61,25,23,1,0,23,36,2,1.8
2022/2023,Female,Disabled,WAEC,University,lga,Eket,South South,Akwa Ibom,Eket,,,34,103,75,31,29,2,0,28,44,2,1.8
2022/2023,Female,Disabled,WAEC,Polytechnic,lga,Eket,South South,Akwa Ibom,Eket,,,16,47,34,14,13,1,0,13,20,1,1.8
2022/2023,Female,Disabled,WAEC,College of Education,lga,Eket,South South,Akwa Ibom,Eket,,,13,38,27,11,10,1,0,11,16,1,1.8
2022/2023,Female,Disabled,NECO,University,lga,Eket,South South,Akwa Ibom,Eket,,,16,48,35,15,13,1,0,13,20,2,1.8
2022/2023,Female,Disabled,NECO,Polytechnic,lga,Eket,South South,Akwa Ibom,Eket,,,7,22,16,7,6,0,0,6,9,1,1.8
2022/2023,Female,Disabled,NECO,College of Education,lga,Eket,South South,Akwa Ibom,Eket,,,6,18,13,5,5,0,0,5,8,0,1.8
2022/2023,Female,Disabled,NABTEB,University,lga,Eket,South South,Akwa Ibom,Eket,,,5,15,11,5,4,0,0,4,6,1,1.8
2022/2023,Female,Disabled,NABTEB,Polytechnic,lga,Eket,South South,Akwa Ibom,Eket,,,2,7,5,2,2,0,0,2,3,0,1.8
2022/2023,Female,Disabled,NABTEB,College of Education,lga,Eket,South South,Akwa Ibom,Eket,,,2,5,4,2,2,0,0,1,2,0,1.8
2022/2023,Female,ALL,WAEC,University,lga,Ikot Ekpene,South South,Akwa Ibom,Ikot Ekpene,,,562,1685,1219,511,469,26,0,466,708,42,1.8
2022/2023,Female,ALL,WAEC,Polytechnic,lga,Ikot Ekpene,South South,Akwa Ibom,Ikot Ekpene,,,255,766,554,232,213,12,0,212,322,19,1.8
2022/2023,Female,ALL,WAEC,College of Education,lga,Ikot Ekpene,South South,Akwa Ibom,Ikot Ekpene,,,204,613,443,186,171,9,0,170,257,15,1.8
2022/2023,Female,ALL,NECO,University,lga,Ikot Ekpene,South South,Akwa Ibom,Ikot Ekpene,,,263,788,570,239,219,12,0,218,331,20,1.8
2022/2023,Female,ALL,NECO,Polytechnic,lga,Ikot Ekpene,South South,Akwa Ibom,Ikot Ekpene,,,119,358,259,109,100,6,0,99,150,9,1.8
2022/2023,Female,ALL,NECO,College of Education,lga,Ikot Ekpene,South South,Akwa Ibom,Ikot Ekpene,,,96,287,207,87,80,4,0,80,120,7,1.8
2022/2023,Female,ALL,NABTEB,University,lga,Ikot Ekpene,South South,Akwa Ibom,Ikot Ekpene,,,82,245,177,74,68,4,0,68,103,6,1.8
2022/2023,Female,ALL,NABTEB,Polytechnic,lga,Ikot Ekpene,South South,Akwa Ibom,Ikot Ekpene,,,37,111,80,34,31,2,0,31,46,3,1.8
2022/2023,Female,ALL,NABTEB,College of Education,lga,Ikot Ekpene,South South,Akwa Ibom,Ikot Ekpene,,,30,89,64,27,25,1,0,25,37,2,1.8
2022/2023,Female,Disabled,WAEC,University,lga,Ikot Ekpene,South South,Akwa Ibom,Ikot Ekpene,,,37,109,79,33,30,2,0,30,46,3,1.8
2022/2023,Female,Disabled,WAEC,Polytechnic,lga,Ikot Ekpene,South South,Akwa Ibom,Ikot Ekpene,,,17,50,36,15,14,1,0,14,21,1,1.8
2022/2023,Female,Disabled,WAEC,College of Education,lga,Ikot Ekpene,South South,Akwa Ibom,Ikot Ekpene,,,13,40,29,12,11,1,0,11,17,1,1.8
2022/2023,Female,Disabled,NECO,University,lga,Ikot Ekpene,South South,Akwa Ibom,Ikot Ekpene,,,17,51,37,16,14,1,0,14,21,2,1.8
2022/2023,Female,Disabled,NECO,Polytechnic,lga,Ikot Ekpene,South South,Akwa Ibom,Ikot Ekpene,,,8,23,17,7,6,0,0,6,10,1,1.8
2022/2023,Female,Disabled,NECO,College of Education,lga,Ikot Ekpene,South South,Akwa Ibom,Ikot Ekpene,,,6,19,13,6,5,0,0,6,7,1,1.8
2022/2023,Female,Disabled,NABTEB,University,lga,Ikot Ekpene,South South,Akwa Ibom,Ikot Ekpene,,,5,16,12,5,4,0,0,4,7,1,1.8
2022/2023,Female,Disabled,NABTEB,Polytechnic,lga,Ikot Ekpene,South South,Akwa Ibom,Ikot Ekpene,,,2,7,5,2,2,0,0,2,3,0,1.8
2022/2023,Female,Disabled,NABTEB,College of Education,lga,Ikot Ekpene,South South,Akwa Ibom,Ikot Ekpene,,,2,6,4,2,2,0,0,2,2,0,1.8
2022/2023,Female,ALL,WAEC,University,lga,Oron,South South,Akwa Ibom,Oron,,,477,1429,1034,433,398,22,0,395,601,35,1.8
2022/2023,Female,ALL,WAEC,Polytechnic,lga,Oron,South South,Akwa Ibom,Oron,,,217,650,470,197,181,10,0,180,273,16,1.8
2022/2023,Female,ALL,WAEC,College of Education,lga,Oron,South South,Akwa Ibom,Oron,,,173,520,376,158,145,8,0,144,218,13,1.8
2022/2023,Female,ALL,NECO,University,lga,Oron,South South,Akwa Ibom,Oron,,,223,669,484,203,186,10,0,185,281,17,1.8
