session,gender,disability,exam_body,institution_type,loc_level,loc_label,zone,state,lga,ward,school,ss3_total,o_level_candidates,utme_participants,admitted_students,matriculated_students,delayed_transition_students,loss_ss3_to_olevel,loss_olevel_to_utme,loss_utme_to_admitted,loss_admitted_to_matriculated,median_time_to_matriculation_years
2022/2023,Female,ALL,WAEC,University,lga,Kaduna North,North West,Kaduna,Kaduna North,,,1713,5139,3718,1558,1431,79,0,1421,2160,127,1.8
2022/2023,Female,ALL,WAEC,Polytechnic,lga,Kaduna North,North West,Kaduna,Kaduna North,,,779,2336,1690,708,650,36,0,646,982,58,1.8
2022/2023,Female,ALL,WAEC,College of Education,lga,Kaduna North,North West,Kaduna,Kaduna North,,,623,1869,1352,566,520,29,0,517,786,46,1.8
2022/2023,Female,ALL,NECO,University,lga,Kaduna North,North West,Kaduna,Kaduna North,,,801,2404,1739,729,669,37,0,665,1010,60,1.8
2022/2023,Female,ALL,NECO,Polytechnic,lga,Kaduna North,North West,Kaduna,Kaduna North,,,364,1093,791,331,304,17,0,302,460,27,1.8
2022/2023,Female,ALL,NECO,College of Education,lga,Kaduna North,North West,Kaduna,Kaduna North,,,291,874,632,265,243,13,0,242,367,22,1.8
2022/2023,Female,ALL,NABTEB,University,lga,Kaduna North,North West,Kaduna,Kaduna North,,,249,746,540,226,208,11,0,206,314,18,1.8
2022/2023,Female,ALL,NABTEB,Polytechnic,lga,Kaduna North,North West,Kaduna,Kaduna North,,,113,339,245,103,94,5,0,94,142,9,1.8
2022/2023,Female,ALL,NABTEB,College of Education,lga,Kaduna North,North West,Kaduna,Kaduna North,,,90,271,196,82,76,4,0,75,114,6,1.8
2022/2023,Female,Disabled,WAEC,University,lga,Kaduna North,North West,Kaduna,Kaduna North,,,111,334,242,101,93,5,0,92,141,8,1.8
2022/2023,Female,Disabled,WAEC,Polytechnic,lga,Kaduna North,North West,Kaduna,Kaduna North,,,51,152,110,46,42,2,0,42,64,4,1.8
2022/2023,Female,Disabled,WAEC,College of Education,lga,Kaduna North,North West,Kaduna,Kaduna North,,,40,121,88,37,34,2,0,33,51,3,1.8
2022/2023,Female,Disabled,NECO,University,lga,Kaduna North,North West,Kaduna,Kaduna North,,,52,156,113,47,44,2,0,43,66,3,1.8
2022/2023,Female,Disabled,NECO,Polytechnic,lga,Kaduna North,North West,Kaduna,Kaduna North,,,24,71,51,22,20,1,0,20,29,2,1.8
2022/2023,Female,Disabled,NECO,College of Education,lga,Kaduna North,North West,Kaduna,Kaduna North,,,19,57,41,17,16,1,0,16,24,1,1.8
2022/2023,Female,Disabled,NABTEB,University,lga,Kaduna North,North West,Kaduna,Kaduna North,,,16,48,35,15,14,1,0,13,20,1,1.8
2022/2023,Female,Disabled,NABTEB,Polytechnic,lga,Kaduna North,North West,Kaduna,Kaduna North,,,7,22,16,7,6,0,0,6,9,1,1.8
