session,gender,disability,exam_body,institution_type,loc_level,loc_label,zone,state,lga,ward,school,ss3_total,o_level_candidates,utme_participants,admitted_students,matriculated_students,delayed_transition_students,loss_ss3_to_olevel,loss_olevel_to_utme,loss_utme_to_admitted,loss_admitted_to_matriculated
2022/2023,Female,ALL,NABTEB,College of Education,lga,Abuja Municipal Area Council,North Central,Abuja Federal Capital Territory,Abuja Municipal Area Council,,,89,229,248,33,32,0,49,0,191,1
2022/2023,Female,ALL,NABTEB,College of Education,lga,Bwari,North Central,Abuja Federal Capital Territory,Bwari,,,68,176,190,23,22,0,38,0,149,2
2022/2023,Female,ALL,NABTEB,College of Education,lga,Gwagwalada,North Central,Abuja Federal Capital Territory,Gwagwalada,,,34,89,98,12,11,0,19,0,77,1
2022/2023,Female,ALL,NABTEB,College of Education,lga,Kuje,North Central,Abuja Federal Capital Territory,Kuje,,,34,89,98,11,10,0,19,0,78,1
2022/2023,Female,ALL,NABTEB,College of Education,lga,Kwali,North Central,Abuja Federal Capital Territory,Kwali,,,34,87,95,12,11,0,19,0,74,1
2022/2023,Female,ALL,NABTEB,Polytechnic,lga,Abuja Municipal Area Council,North Central,Abuja Federal Capital Territory,Abuja Municipal Area Council,,,31,80,87,3,2,0,17,0,76,1
2022/2023,Female,ALL,NABTEB,Polytechnic,lga,Bwari,North Central,Abuja Federal Capital Territory,Bwari,,,44,115,125,4,3,0,24,0,110,1
2022/2023,Female,ALL,NABTEB,Polytechnic,lga,Gwagwalada,North Central,Abuja Federal Capital Territory,Gwagwalada,,,33,86,99,3,2,0,18,0,87,1
2022/2023,Female,ALL,NABTEB,Polytechnic,lga,Kuje,North Central,Abuja Federal Capital Territory,Kuje,,,57,146,160,5,4,0,32,0,140,1
2022/2023,Female,ALL,NABTEB,Polytechnic,lga,Kwali,North Central,Abuja Federal Capital Territory,Kwali,,,44,113,123,3,2,0,25,0,109,1
2022/2023,Female,ALL,NABTEB,University,lga,Abuja Municipal Area Council,North Central,Abuja Federal Capital Territory,Abuja Municipal Area Council,,,6,17,19,3,2,0,3,0,14,1
2022/2023,Female,ALL,NABTEB,University,lga,Bwari,North Central,Abuja Federal Capital Territory,Bwari,,,25,64,74,16,15,0,14,0,51,1
2022/2023,Female,ALL,NABTEB,University,lga,Gwagwalada,North Central,Abuja Federal Capital Territory,Gwagwalada,,,48,125,134,28,27,0,27,0,93,1
2022/2023,Female,ALL,NABTEB,University,lga,Kuje,North Central,Abuja Federal Capital Territory,Kuje,,,27,68,73,18,17,0,15,0,48,1
2022/2023,Female,ALL,NABTEB,University,lga,Kwali,North Central,Abuja Federal Capital Territory,Kwali,,,56,144,155,32,31,0,31,0,108,1
