session,gender,disability,exam_body,institution_type,loc_level,loc_label,zone,state,lga,ward,school,ss3_total,o_level_candidates,utme_participants,admitted_students,matriculated_students,delayed_transition_students,loss_ss3_to_olevel,loss_olevel_to_utme,loss_utme_to_admitted,loss_admitted_to_matriculated,median_time_to_matriculation_years
2022/2023,Female,ALL,WAEC,University,lga,Akure North,South West,Ondo,Akure North,,,276,826,598,251,230,13,0,228,347,21,1.8
2022/2023,Female,ALL,WAEC,Polytechnic,lga,Akure North,South West,Ondo,Akure North,,,125,376,272,114,105,6,0,104,158,9,1.8
2022/2023,Female,ALL,WAEC,College of Education,lga,Akure North,South West,Ondo,Akure North,,,100,300,217,91,84,5,0,83,126,7,1.8
2022/2023,Female,ALL,NECO,University,lga,Akure North,South West,Ondo,Akure North,,,129,386,280,117,108,6,0,106,163,9,1.8
2022/2023,Female,ALL,NECO,Polytechnic,lga,Akure North,South West,Ondo,Akure North,,,59,176,127,53,49,3,0,49,74,4,1.8
2022/2023,Female,ALL,NECO,College of Education,lga,Akure North,South West,Ondo,Akure North,,,47,141,102,43,39,2,0,39,59,4,1.8
2022/2023,Female,ALL,NABTEB,University,lga,Akure North,South West,Ondo,Akure North,,,40,120,87,36,33,2,0,33,51,3,1.8
2022/2023,Female,ALL,NABTEB,Polytechnic,lga,Akure North,South West,Ondo,Akure North,,,18,55,39,17,15,1,0,16,22,2,1.8
2022/2023,Female,ALL,NABTEB,College of Education,lga,Akure North,South West,Ondo,Akure North,,,15,44,32,13,12,1,0,12,19,1,1.8
2022/2023,Female,Disabled,WAEC,University,lga,Akure North,South West,Ondo,Akure North,,,18,54,39,16,15,1,0,15,23,1,1.8
2022/2023,Female,Disabled,WAEC,Polytechnic,lga,Akure North,South West,Ondo,Akure North,,,8,24,18,7,7,0,0,6,11,0,1.8
2022/2023,Female,Disabled,WAEC,College of Education,lga,Akure North,South West,Ondo,Akure North,,,7,20,14,6,5,0,0,6,8,1,1.8
2022/2023,Female,Disabled,NECO,University,lga,Akure North,South West,Ondo,Akure North,,,8,25,18,8,7,0,0,7,10,1,1.8
2022/2023,Female,Disabled,NECO,Polytechnic,lga,Akure North,South West,Ondo,Akure North,,,4,11,8,3,3,0,0,3,5,0,1.8
2022/2023,Female,Disabled,NECO,College of Education,lga,Akure North,South West,Ondo,Akure North,,,3,9,7,3,3,0,0,2,4,0,1.8
2022/2023,Female,Disabled,NABTEB,University,lga,Akure North,South West,Ondo,Akure North,,,3,8,6,2,2,0,0,2,4,0,1.8
2022/2023,Female,Disabled,NABTEB,Polytechnic,lga,Akure North,South West,Ondo,Akure North,,,1,4,3,1,1,0,0,1,2,0,1.8
2022/2023,Female,Disabled,NABTEB,College of Education,lga,Akure North,South West,Ondo,Akure North,,,1,3,2,1,1,0,0,1,1,0,1.8
2022/2023,Female,ALL,WAEC,University,lga,Akure South,South West,Ondo,Akure South,,,305,914,661,277,255,14,0,253,384,22,1.8
2022/2023,Female,ALL,WAEC,Polytechnic,lga,Akure South,South West,Ondo,Akure South,,,139,415,301,126,116,6,0,114,175,10,1.8
2022/2023,Female,ALL,WAEC,College of Education,lga,Akure South,South West,Ondo,Akure South,,,111,332,240,101,93,5,0,92,139,8,1.8
