session,gender,disability,exam_body,institution_type,loc_level,loc_label,zone,state,lga,ward,school,ss3_total,o_level_candidates,utme_participants,admitted_students,matriculated_students,delayed_transition_students,loss_ss3_to_olevel,loss_olevel_to_utme,loss_utme_to_admitted,loss_admitted_to_matriculated,median_time_to_matriculation_years
2022/2023,Female,ALL,WAEC,University,lga,Lagos Island,South West,Lagos,Lagos Island,,,1771,5312,3844,1610,1479,81,0,1468,2234,131,1.8
2022/2023,Female,ALL,WAEC,Polytechnic,lga,Lagos Island,South West,Lagos,Lagos Island,,,805,2415,1747,732,672,37,0,668,1015,60,1.8
2022/2023,Female,ALL,WAEC,College of Education,lga,Lagos Island,South West,Lagos,Lagos Island,,,644,1932,1398,586,538,30,0,534,812,48,1.8
2022/2023,Female,ALL,NECO,University,lga,Lagos Island,South West,Lagos,Lagos Island,,,828,2485,1798,753,692,38,0,687,1045,61,1.8
2022/2023,Female,ALL,NECO,Polytechnic,lga,Lagos Island,South West,Lagos,Lagos Island,,,376,1129,817,342,315,17,0,312,475,27,1.8
2022/2023,Female,ALL,NECO,College of Education,lga,Lagos Island,South West,Lagos,Lagos Island,,,301,904,654,274,252,14,0,250,380,22,1.8
2022/2023,Female,ALL,NABTEB,University,lga,Lagos Island,South West,Lagos,Lagos Island,,,257,771,558,234,215,12,0,213,324,19,1.8
2022/2023,Female,ALL,NABTEB,Polytechnic,lga,Lagos Island,South West,Lagos,Lagos Island,,,117,351,254,106,98,5,0,97,148,8,1.8
2022/2023,Female,ALL,NABTEB,College of Education,lga,Lagos Island,South West,Lagos,Lagos Island,,,93,280,203,85,78,4,0,77,118,7,1.8
2022/2023,Female,Disabled,WAEC,University,lga,Lagos Island,South West,Lagos,Lagos Island,,,115,345,250,105,96,5,0,95,145,9,1.8
2022/2023,Female,Disabled,WAEC,Polytechnic,lga,Lagos Island,South West,Lagos,Lagos Island,,,52,157,114,48,44,2,0,43,66,4,1.8
2022/2023,Female,Disabled,WAEC,College of Education,lga,Lagos Island,South West,Lagos,Lagos Island,,,42,126,91,38,35,2,0,35,53,3,1.8
