session,gender,disability,exam_body,institution_type,loc_level,loc_label,zone,state,lga,ward,school,ss3_total,o_level_candidates,utme_participants,admitted_students,matriculated_students,delayed_transition_students,loss_ss3_to_olevel,loss_olevel_to_utme,loss_utme_to_admitted,loss_admitted_to_matriculated,median_time_to_matriculation_years
2022/2023,Female,ALL,WAEC,University,lga,Owerri North,South East,Imo,Owerri North,,,2885,8654,6262,2623,2410,133,0,2392,3639,213,1.8
2022/2023,Female,ALL,WAEC,Polytechnic,lga,Owerri North,South East,Imo,Owerri North,,,1311,3933,2846,1192,1095,60,0,1087,1654,97,1.8
2022/2023,Female,ALL,WAEC,College of Education,lga,Owerri North,South East,Imo,Owerri North,,,1049,3147,2277,954,876,48,0,870,1323,78,1.8
2022/2023,Female,ALL,NECO,University,lga,Owerri North,South East,Imo,Owerri North,,,1349,4048,2929,1227,1127,62,0,1119,1702,100,1.8
2022/2023,Female,ALL,NECO,Polytechnic,lga,Owerri North,South East,Imo,Owerri North,,,613,1840,1331,558,512,28,0,509,773,46,1.8
2022/2023,Female,ALL,NECO,College of Education,lga,Owerri North,South East,Imo,Owerri North,,,491,1472,1065,446,410,23,0,407,619,36,1.8
2022/2023,Female,ALL,NABTEB,University,lga,Owerri North,South East,Imo,Owerri North,,,419,1256,909,381,350,19,0,347,528,31,1.8
2022/2023,Female,ALL,NABTEB,Polytechnic,lga,Owerri North,South East,Imo,Owerri North,,,190,571,413,173,159,9,0,158,240,14,1.8
2022/2023,Female,ALL,NABTEB,College of Education,lga,Owerri North,South East,Imo,Owerri North,,,152,457,331,138,127,7,0,126,193,11,1.8
2022/2023,Female,Disabled,WAEC,University,lga,Owerri North,South East,Imo,Owerri North,,,187,562,407,170,157,9,0,155,237,13,1.8
2022/2023,Female,Disabled,WAEC,Polytechnic,lga,Owerri North,South East,Imo,Owerri North,,,85,256,185,77,71,4,0,71,108,6,1.8
2022/2023,Female,Disabled,WAEC,College of Education,lga,Owerri North,South East,Imo,Owerri North,,,68,205,148,62,57,3,0,57,86,5,1.8
2022/2023,Female,Disabled,NECO,University,lga,Owerri North,South East,Imo,Owerri North,,,88,263,190,80,73,4,0,73,110,7,1.8
