session,zone,state,lga,ward,school,gender,school_type,school_level,class_grade,qualification_group,qualification_status,student_count,teacher_count,disability_scope,pupil_teacher_ratio
2019/2020,North West,Sokoto,Bodinga,Badau/Darhela,"Community Secondary School, Badau/Darhela",Female,Public,JSS,,NCE,Qualified,1080.0,23,all,46.9565
2019/2020,North West,Sokoto,Bodinga,Badau/Darhela,"Community Secondary School, Badau/Darhela",Female,Public,SSS,,MEd or Equivalent,Qualified,164.0,4,all,41.0
2019/2020,North West,Sokoto,Bodinga,Badau/Darhela,"Community Secondary School, Badau/Darhela",Female,Public,SSS,,NCE,Qualified,687.0,16,all,42.9375
2019/2020,North West,Sokoto,Bodinga,Badau/Darhela,"Community Secondary School, Badau/Darhela",Male,Public,JSS,,BEd or Equivalent,Qualified,457.0,10,all,45.7
2019/2020,North West,Sokoto,Bodinga,Badau/Darhela,"Community Secondary School, Badau/Darhela",Male,Public,JSS,,MEd or Equivalent,Qualified,398.0,9,all,44.2222
2019/2020,North West,Sokoto,Bodinga,Badau/Darhela,"Community Secondary School, Badau/Darhela",Male,Public,JSS,,NCE,Qualified,169.0,4,all,42.25
2019/2020,North West,Sokoto,Bodinga,Badau/Darhela,"Community Secondary School, Badau/Darhela",Male,Public,SSS,,,Unqualified,276.0,6,all,46.0
2019/2020,North West,Sokoto,Bodinga,Badau/Darhela,"Community Secondary School, Badau/Darhela",Male,Public,SSS,,MEd or Equivalent,Qualified,299.0,7,all,42.7143
2019/2020,North West,Sokoto,Bodinga,Badau/Darhela,"Community Secondary School, Badau/Darhela",Male,Public,SSS,,PGDE,Qualified,299.0,7,all,42.7143
2019/2020,North West,Sokoto,Bodinga,Badau/Darhela,"Comprehensive High School, Badau/Darhela",Female,Private,Adult & Non-Formal Education,,,Unqualified,23.0,1,all,23.0
2019/2020,North West,Sokoto,Bodinga,Badau/Darhela,"Comprehensive High School, Badau/Darhela",Female,Private,Adult & Non-Formal Education,,BEd or Equivalent,Qualified,28.0,2,all,14.0
2019/2020,North West,Sokoto,Bodinga,Badau/Darhela,"Comprehensive High School, Badau/Darhela",Female,Private,Adult & Non-Formal Education,,Grade II or Equivalent,Unqualified,56.0,3,all,18.6667
2019/2020,North West,Sokoto,Bodinga,Badau/Darhela,"Comprehensive High School, Badau/Darhela",Female,Private,Adult & Non-Formal Education,,MEd or Equivalent,Qualified,5.0,1,all,5.0
2019/2020,North West,Sokoto,Bodinga,Badau/Darhela,"Comprehensive High School, Badau/Darhela",Female,Private,Adult & Non-Formal Education,,NCE,Qualified,33.0,3,all,11.0
2019/2020,North West,Sokoto,Bodinga,Badau/Darhela,"Comprehensive High School, Badau/Darhela",Female,Private,Adult & Non-Formal Education,,PGDE,Qualified,14.0,1,all,14.0
2019/2020,North West,Sokoto,Bodinga,Badau/Darhela,"Comprehensive High School, Badau/Darhela",Female,Private,JSS,,,Unqualified,259.0,6,all,43.1667
2019/2020,North West,Sokoto,Bodinga,Badau/Darhela,"Comprehensive High School, Badau/Darhela",Female,Private,JSS,,MEd or Equivalent,Qualified,89.0,2,all,44.5
2019/2020,North West,Sokoto,Bodinga,Badau/Darhela,"Comprehensive High School, Badau/Darhela",Female,Private,JSS,,NCE,Qualified,140.0,3,all,46.6667
2019/2020,North West,Sokoto,Bodinga,Badau/Darhela,"Comprehensive High School, Badau/Darhela",Female,Private,JSS,,PGDE,Qualified,259.0,6,all,43.1667
2019/2020,North West,Sokoto,Bodinga,Badau/Darhela,"Comprehensive High School, Badau/Darhela",Female,Private,Pre-Primary/Primary,,BEd or Equivalent,Qualified,484.0,12,all,40.3333
2019/2020,North West,Sokoto,Bodinga,Badau/Darhela,"Comprehensive High School, Badau/Darhela",Female,Private,Pre-Primary/Primary,,Grade II or Equivalent,Unqualified,572.0,14,all,40.8571
2019/2020,North West,Sokoto,Bodinga,Badau/Darhela,"Comprehensive High School, Badau/Darhela",Female,Private,Pre-Primary/Primary,,MEd or Equivalent,Qualified,154.0,4,all,38.5
2019/2020,North West,Sokoto,Bodinga,Badau/Darhela,"Comprehensive High School, Badau/Darhela",Female,Private,Pre-Primary/Primary,,NCE,Qualified,726.0,18,all,40.3333
2019/2020,North West,Sokoto,Bodinga,Badau/Darhela,"Comprehensive High School, Badau/Darhela",Female,Private,Pre-Primary/Primary,Primary 1,Grade II or Equivalent,Unqualified,946.0,24,all,39.4167
2019/2020,North West,Sokoto,Bodinga,Badau/Darhela,"Comprehensive High School, Badau/Darhela",Female,Private,Pre-Primary/Primary,Primary 2,,Unqualified,946.0,24,all,39.4167
2019/2020,North West,Sokoto,Bodinga,Badau/Darhela,"Comprehensive High School, Badau/Darhela",Female,Private,Pre-Primary/Primary,Primary 3,BEd or Equivalent,Qualified,814.0,20,all,40.7
2019/2020,North West,Sokoto,Bodinga,Badau/Darhela,"Comprehensive High School, Badau/Darhela",Female,Private,Pre-Primary/Primary,Primary 4,Grade II or Equivalent,Unqualified,726.0,18,all,40.3333
2019/2020,North West,Sokoto,Bodinga,Badau/Darhela,"Comprehensive High School, Badau/Darhela",Female,Private,Pre-Primary/Primary,Primary 5,NCE,Qualified,726.0,18,all,40.3333
