session,zone,state,lga,ward,school,gender,school_type,school_level,class_grade,qualification_group,qualification_status,student_count,teacher_count,disability_scope,pupil_teacher_ratio
2019/2020,South South,Akwa Ibom,Abak,Abak Urban I,"Community Secondary School, Abak Urban I",Female,Public,JSS,,,Unqualified,150.0,5,all,30.0
2019/2020,South South,Akwa Ibom,Abak,Abak Urban I,"Community Secondary School, Abak Urban I",Female,Public,JSS,,BEd or Equivalent,Qualified,901.0,31,all,29.0645
2019/2020,South South,Akwa Ibom,Abak,Abak Urban I,"Community Secondary School, Abak Urban I",Female,Public,JSS,,Grade II or Equivalent,Unqualified,134.0,5,all,26.8
2019/2020,South South,Akwa Ibom,Abak,Abak Urban I,"Community Secondary School, Abak Urban I",Female,Public,SSS,,BEd or Equivalent,Qualified,102.0,4,all,25.5
2019/2020,South South,Akwa Ibom,Abak,Abak Urban I,"Community Secondary School, Abak Urban I",Female,Public,SSS,,Grade II or Equivalent,Unqualified,256.0,9,all,28.4444
2019/2020,South South,Akwa Ibom,Abak,Abak Urban I,"Community Secondary School, Abak Urban I",Female,Public,SSS,,NCE,Qualified,243.0,9,all,27.0
2019/2020,South South,Akwa Ibom,Abak,Abak Urban I,"Community Secondary School, Abak Urban I",Female,Public,SSS,,PGDE,Qualified,115.0,4,all,28.75
2019/2020,South South,Akwa Ibom,Abak,Abak Urban I,"Community Secondary School, Abak Urban I",Male,Public,JSS,,BEd or Equivalent,Qualified,362.0,12,all,30.1667
2019/2020,South South,Akwa Ibom,Abak,Abak Urban I,"Community Secondary School, Abak Urban I",Male,Public,JSS,,Grade II or Equivalent,Unqualified,379.0,13,all,29.1538
2019/2020,South South,Akwa Ibom,Abak,Abak Urban I,"Community Secondary School, Abak Urban I",Male,Public,JSS,,NCE,Qualified,362.0,12,all,30.1667
2019/2020,South South,Akwa Ibom,Abak,Abak Urban I,"Community Secondary School, Abak Urban I",Male,Public,SSS,,,Unqualified,287.0,10,all,28.7
2019/2020,South South,Akwa Ibom,Abak,Abak Urban I,"Community Secondary School, Abak Urban I",Male,Public,SSS,,PGDE,Qualified,474.0,17,all,27.8824
2019/2020,South South,Akwa Ibom,Abak,Abak Urban I,"Comprehensive High School, Abak Urban I",Female,Private,Adult & Non-Formal Education,,,Unqualified,26.0,2,all,13.0
2019/2020,South South,Akwa Ibom,Abak,Abak Urban I,"Comprehensive High School, Abak Urban I",Female,Private,Adult & Non-Formal Education,,Grade II or Equivalent,Unqualified,61.0,3,all,20.3333
2019/2020,South South,Akwa Ibom,Abak,Abak Urban I,"Comprehensive High School, Abak Urban I",Female,Private,Adult & Non-Formal Education,,MEd or Equivalent,Qualified,26.0,1,all,26.0
2019/2020,South South,Akwa Ibom,Abak,Abak Urban I,"Comprehensive High School, Abak Urban I",Female,Private,Adult & Non-Formal Education,,NCE,Qualified,35.0,2,all,17.5
2019/2020,South South,Akwa Ibom,Abak,Abak Urban I,"Comprehensive High School, Abak Urban I",Female,Private,Adult & Non-Formal Education,,PGDE,Qualified,69.0,3,all,23.0
2019/2020,South South,Akwa Ibom,Abak,Abak Urban I,"Comprehensive High School, Abak Urban I",Female,Private,Pre-Primary/Primary,,,Unqualified,1142.0,45,all,25.3778
2019/2020,South South,Akwa Ibom,Abak,Abak Urban I,"Comprehensive High School, Abak Urban I",Female,Private,Pre-Primary/Primary,,Grade II or Equivalent,Unqualified,677.0,27,all,25.0741
2019/2020,South South,Akwa Ibom,Abak,Abak Urban I,"Comprehensive High School, Abak Urban I",Female,Private,Pre-Primary/Primary,,NCE,Qualified,338.0,13,all,26.0
2019/2020,South South,Akwa Ibom,Abak,Abak Urban I,"Comprehensive High School, Abak Urban I",Female,Private,Pre-Primary/Primary,,PGDE,Qualified,634.0,25,all,25.36
2019/2020,South South,Akwa Ibom,Abak,Abak Urban I,"Comprehensive High School, Abak Urban I",Female,Private,Pre-Primary/Primary,Primary 1,PGDE,Qualified,1100.0,44,all,25.0
2019/2020,South South,Akwa Ibom,Abak,Abak Urban I,"Comprehensive High School, Abak Urban I",Female,Private,Pre-Primary/Primary,Primary 2,MEd or Equivalent,Qualified,1311.0,52,all,25.2115
2019/2020,South South,Akwa Ibom,Abak,Abak Urban I,"Comprehensive High School, Abak Urban I",Female,Private,Pre-Primary/Primary,Primary 3,Grade II or Equivalent,Unqualified,1057.0,42,all,25.1667
2019/2020,South South,Akwa Ibom,Abak,Abak Urban I,"Comprehensive High School, Abak Urban I",Female,Private,Pre-Primary/Primary,Primary 4,NCE,Qualified,973.0,39,all,24.9487
2019/2020,South South,Akwa Ibom,Abak,Abak Urban I,"Comprehensive High School, Abak Urban I",Female,Private,Pre-Primary/Primary,Primary 5,Grade II or Equivalent,Unqualified,888.0,35,all,25.3714
2019/2020,South South,Akwa Ibom,Abak,Abak Urban I,"Comprehensive High School, Abak Urban I",Female,Private,Pre-Primary/Primary,Primary 6,PGDE,Qualified,973.0,39,all,24.9487
2019/2020,South South,Akwa Ibom,Abak,Abak Urban I,"Comprehensive High School, Abak Urban I",Male,Private,Adult & Non-Formal Education,,,Unqualified,84.0,3,all,28.0
2019/2020,South South,Akwa Ibom,Abak,Abak Urban I,"Comprehensive High School, Abak Urban I",Male,Private,Adult & Non-Formal Education,,Grade II or Equivalent,Unqualified,28.0,1,all,28.0
2019/2020,South South,Akwa Ibom,Abak,Abak Urban I,"Comprehensive High School, Abak Urban I",Male,Private,Adult & Non-Formal Education,,MEd or Equivalent,Qualified,14.0,1,all,14.0
