session,zone,state,lga,ward,school,gender,school_type,school_level,class_grade,qualification_group,qualification_status,student_count,teacher_count,disability_scope,pupil_teacher_ratio
2019/2020,North West,Kaduna,Jema'a,Asso,"Community Secondary School, Asso",Female,Public,JSS,,Grade II or Equivalent,Unqualified,560.0,14,all,40.0
2019/2020,North West,Kaduna,Jema'a,Asso,"Community Secondary School, Asso",Female,Public,JSS,,NCE,Qualified,377.0,10,all,37.7
2019/2020,North West,Kaduna,Jema'a,Asso,"Community Secondary School, Asso",Female,Public,JSS,,PGDE,Qualified,166.0,4,all,41.5
2019/2020,North West,Kaduna,Jema'a,Asso,"Community Secondary School, Asso",Female,Public,SSS,,,Unqualified,126.0,3,all,42.0
2019/2020,North West,Kaduna,Jema'a,Asso,"Community Secondary School, Asso",Female,Public,SSS,,BEd or Equivalent,Qualified,276.0,7,all,39.4286
2019/2020,North West,Kaduna,Jema'a,Asso,"Community Secondary School, Asso",Female,Public,SSS,,Grade II or Equivalent,Unqualified,142.0,4,all,35.5
2019/2020,North West,Kaduna,Jema'a,Asso,"Community Secondary School, Asso",Female,Public,SSS,,PGDE,Qualified,268.0,7,all,38.2857
2019/2020,North West,Kaduna,Jema'a,Asso,"Community Secondary School, Asso",Male,Public,JSS,,BEd or Equivalent,Qualified,332.0,8,all,41.5
2019/2020,North West,Kaduna,Jema'a,Asso,"Community Secondary School, Asso",Male,Public,JSS,,Grade II or Equivalent,Unqualified,313.0,8,all,39.125
2019/2020,North West,Kaduna,Jema'a,Asso,"Community Secondary School, Asso",Male,Public,JSS,,PGDE,Qualified,387.0,10,all,38.7
2019/2020,North West,Kaduna,Jema'a,Asso,"Community Secondary School, Asso",Male,Public,SSS,,NCE,Qualified,832.0,22,all,37.8182
2019/2020,North West,Kaduna,Jema'a,Asso,"Comprehensive High School, Asso",Female,Private,Adult & Non-Formal Education,,,Unqualified,35.0,1,all,35.0
2019/2020,North West,Kaduna,Jema'a,Asso,"Comprehensive High School, Asso",Female,Private,Adult & Non-Formal Education,,BEd or Equivalent,Qualified,58.0,2,all,29.0
2019/2020,North West,Kaduna,Jema'a,Asso,"Comprehensive High School, Asso",Female,Private,Adult & Non-Formal Education,,MEd or Equivalent,Qualified,29.0,1,all,29.0
2019/2020,North West,Kaduna,Jema'a,Asso,"Comprehensive High School, Asso",Female,Private,Adult & Non-Formal Education,,NCE,Qualified,64.0,2,all,32.0
2019/2020,North West,Kaduna,Jema'a,Asso,"Comprehensive High School, Asso",Female,Private,JSS,,BEd or Equivalent,Qualified,313.0,8,all,39.125
2019/2020,North West,Kaduna,Jema'a,Asso,"Comprehensive High School, Asso",Female,Private,JSS,,Grade II or Equivalent,Unqualified,349.0,9,all,38.7778
2019/2020,North West,Kaduna,Jema'a,Asso,"Comprehensive High School, Asso",Female,Private,JSS,,MEd or Equivalent,Qualified,175.0,4,all,43.75
2019/2020,North West,Kaduna,Jema'a,Asso,"Comprehensive High School, Asso",Female,Private,JSS,,PGDE,Qualified,156.0,4,all,39.0
2019/2020,North West,Kaduna,Jema'a,Asso,"Comprehensive High School, Asso",Female,Private,Pre-Primary/Primary,Primary 1,,Unqualified,1387.0,41,all,33.8293
2019/2020,North West,Kaduna,Jema'a,Asso,"Comprehensive High School, Asso",Female,Private,Pre-Primary/Primary,Primary 2,NCE,Qualified,1439.0,42,all,34.2619
2019/2020,North West,Kaduna,Jema'a,Asso,"Comprehensive High School, Asso",Female,Private,Pre-Primary/Primary,Primary 3,NCE,Qualified,1256.0,37,all,33.9459
2019/2020,North West,Kaduna,Jema'a,Asso,"Comprehensive High School, Asso",Female,Private,Pre-Primary/Primary,Primary 4,BEd or Equivalent,Qualified,1203.0,35,all,34.3714
2019/2020,North West,Kaduna,Jema'a,Asso,"Comprehensive High School, Asso",Female,Private,Pre-Primary/Primary,Primary 5,BEd or Equivalent,Qualified,1151.0,34,all,33.8529
2019/2020,North West,Kaduna,Jema'a,Asso,"Comprehensive High School, Asso",Female,Private,Pre-Primary/Primary,Primary 6,MEd or Equivalent,Qualified,1203.0,35,all,34.3714
2019/2020,North West,Kaduna,Jema'a,Asso,"Comprehensive High School, Asso",Female,Private,SSS,,BEd or Equivalent,Qualified,252.0,7,all,36.0
2019/2020,North West,Kaduna,Jema'a,Asso,"Comprehensive High School, Asso",Female,Private,SSS,,MEd or Equivalent,Qualified,237.0,6,all,39.5
2019/2020,North West,Kaduna,Jema'a,Asso,"Comprehensive High School, Asso",Female,Private,SSS,,PGDE,Qualified,221.0,6,all,36.8333
2019/2020,North West,Kaduna,Jema'a,Asso,"Comprehensive High School, Asso",Male,Private,Adult & Non-Formal Education,,Grade II or Equivalent,Unqualified,81.0,3,all,27.0
2019/2020,North West,Kaduna,Jema'a,Asso,"Comprehensive High School, Asso",Male,Private,Adult & Non-Formal Education,,MEd or Equivalent,Qualified,36.0,1,all,36.0
2019/2020,North West,Kaduna,Jema'a,Asso,"Comprehensive High School, Asso",Male,Private,Adult & Non-Formal Education,,NCE,Qualified,36.0,1,all,36.0
2019/2020,North West,Kaduna,Jema'a,Asso,"Comprehensive High School, Asso",Male,Private,Adult & Non-Formal Education,,PGDE,Qualified,90.0,4,all,22.5
2019/2020,North West,Kaduna,Jema'a,Asso,"Comprehensive High School, Asso",Male,Private,JSS,,,Unqualified,295.0,8,all,36.875
2019/2020,North West,Kaduna,Jema'a,Asso,"Comprehensive High School, Asso",Male,Private,JSS,,NCE,Qualified,295.0,8,all,36.875
2019/2020,North West,Kaduna,Jema'a,Asso,"Comprehensive High School, Asso",Male,Private,JSS,,PGDE,Qualified,350.0,9,all,38.8889
2019/2020,North West,Kaduna,Jema'a,Asso,"Comprehensive High School, Asso",Male,Private,Pre-Primary/Primary,Primary 1,PGDE,Qualified,1344.0,40,all,33.6
2019/2020,North West,Kaduna,Jema'a,Asso,"Comprehensive High School, Asso",Male,Private,Pre-Primary/Primary,Primary 2,PGDE,Qualified,1427.0,42,all,33.9762
2019/2020,North West,Kaduna,Jema'a,Asso,"Comprehensive High School, Asso",Male,Private,Pre-Primary/Primary,Primary 3,Grade II or Equivalent,Unqualified,1372.0,40,all,34.3
2019/2020,North West,Kaduna,Jema'a,Asso,"Comprehensive High School, Asso",Male,Private,Pre-Primary/Primary,Primary 4,Grade II or Equivalent,Unqualified,1232.0,36,all,34.2222
2019/2020,North West,Kaduna,Jema'a,Asso,"Comprehensive High School, Asso",Male,Private,Pre-Primary/Primary,Primary 5,NCE,Qualified,1120.0,33,all,33.9394
2019/2020,North West,Kaduna,Jema'a,Asso,"Comprehensive High School, Asso",Male,Private,Pre-Primary/Primary,Primary 6,MEd or Equivalent,Qualified,1260.0,37,all,34.0541
2019/2020,North West,Kaduna,Jema'a,Asso,"Comprehensive High School, Asso",Male,Private,SSS,,Grade II or Equivalent,Unqualified,549.0,15,all,36.6
2019/2020,North West,Kaduna,Jema'a,Asso,"Comprehensive High School, Asso",Male,Private,SSS,,MEd or Equivalent,Qualified,239.0,6,all,39.8333
2019/2020,North West,Kaduna,Jema'a,Asso,"Government Secondary School, Asso",Female,Public,Adult & Non-Formal Education,,BEd or Equivalent,Qualified,133.0,5,all,26.6
2019/2020,North West,Kaduna,Jema'a,Asso,"Government Secondary School, Asso",Female,Public,Adult & Non-Formal Education,,Grade II or Equivalent,Unqualified,35.0,1,all,35.0
2019/2020,North West,Kaduna,Jema'a,Asso,"Government Secondary School, Asso",Female,Public,Adult & Non-Formal Education,,MEd or Equivalent,Qualified,92.0,4,all,23.0
2019/2020,North West,Kaduna,Jema'a,Asso,"Government Secondary School, Asso",Female,Public,Adult & Non-Formal Education,,NCE,Qualified,110.0,4,all,27.5
2019/2020,North West,Kaduna,Jema'a,Asso,"Government Secondary School, Asso",Female,Public,Adult & Non-Formal Education,,PGDE,Qualified,29.0,1,all,29.0
2019/2020,North West,Kaduna,Jema'a,Asso,"Government Secondary School, Asso",Female,Public,JSS,,BEd or Equivalent,Qualified,414.0,11,all,37.6364
2019/2020,North West,Kaduna,Jema'a,Asso,"Government Secondary School, Asso",Female,Public,JSS,,Grade II or Equivalent,Unqualified,524.0,14,all,37.4286
2019/2020,North West,Kaduna,Jema'a,Asso,"Government Secondary School, Asso",Female,Public,JSS,,NCE,Qualified,184.0,5,all,36.8
2019/2020,North West,Kaduna,Jema'a,Asso,"Government Secondary School, Asso",Female,Public,Pre-Primary/Primary,,BEd or Equivalent,Qualified,1412.0,41,all,34.439
2019/2020,North West,Kaduna,Jema'a,Asso,"Government Secondary School, Asso",Female,Public,Pre-Primary/Primary,,NCE,Qualified,1622.0,47,all,34.5106
2019/2020,North West,Kaduna,Jema'a,Asso,"Government Secondary School, Asso",Female,Public,Pre-Primary/Primary,,PGDE,Qualified,942.0,28,all,33.6429
2019/2020,North West,Kaduna,Jema'a,Asso,"Government Secondary School, Asso",Female,Public,Pre-Primary/Primary,Primary 1,NCE,Qualified,1596.0,47,all,33.9574
2019/2020,North West,Kaduna,Jema'a,Asso,"Government Secondary School, Asso",Female,Public,Pre-Primary/Primary,Primary 2,MEd or Equivalent,Qualified,1334.0,39,all,34.2051
2019/2020,North West,Kaduna,Jema'a,Asso,"Government Secondary School, Asso",Female,Public,Pre-Primary/Primary,Primary 3,BEd or Equivalent,Qualified,1386.0,41,all,33.8049
2019/2020,North West,Kaduna,Jema'a,Asso,"Government Secondary School, Asso",Female,Public,Pre-Primary/Primary,Primary 4,BEd or Equivalent,Qualified,1230.0,36,all,34.1667
2019/2020,North West,Kaduna,Jema'a,Asso,"Government Secondary School, Asso",Female,Public,Pre-Primary/Primary,Primary 5,MEd or Equivalent,Qualified,1334.0,39,all,34.2051
2019/2020,North West,Kaduna,Jema'a,Asso,"Government Secondary School, Asso",Female,Public,Pre-Primary/Primary,Primary 6,Grade II or Equivalent,Unqualified,1046.0,31,all,33.7419
2019/2020,North West,Kaduna,Jema'a,Asso,"Government Secondary School, Asso",Female,Public,SSS,,BEd or Equivalent,Qualified,237.0,6,all,39.5
2019/2020,North West,Kaduna,Jema'a,Asso,"Government Secondary School, Asso",Female,Public,SSS,,MEd or Equivalent,Qualified,331.0,9,all,36.7778
2019/2020,North West,Kaduna,Jema'a,Asso,"Government Secondary School, Asso",Female,Public,SSS,,PGDE,Qualified,268.0,7,all,38.2857
2019/2020,North West,Kaduna,Jema'a,Asso,"Government Secondary School, Asso",Male,Public,Adult & Non-Formal Education,,,Unqualified,108.0,4,all,27.0
2019/2020,North West,Kaduna,Jema'a,Asso,"Government Secondary School, Asso",Male,Public,Adult & Non-Formal Education,,BEd or Equivalent,Qualified,127.0,5,all,25.4
2019/2020,North West,Kaduna,Jema'a,Asso,"Government Secondary School, Asso",Male,Public,Adult & Non-Formal Education,,Grade II or Equivalent,Unqualified,90.0,3,all,30.0
