session,zone,state,lga,ward,school,gender,school_type,school_level,class_grade,qualification_group,qualification_status,student_count,teacher_count,disability_scope,pupil_teacher_ratio
2019/2020,South South,Delta,Oshimili North,Akwukwu,"Community Secondary School, Akwukwu",Female,Public,JSS,,,Unqualified,165.0,4,all,41.25
2019/2020,South South,Delta,Oshimili North,Akwukwu,"Community Secondary School, Akwukwu",Female,Public,JSS,,BEd or Equivalent,Qualified,367.0,9,all,40.7778
2019/2020,South South,Delta,Oshimili North,Akwukwu,"Community Secondary School, Akwukwu",Female,Public,JSS,,NCE,Qualified,220.0,6,all,36.6667
2019/2020,South South,Delta,Oshimili North,Akwukwu,"Community Secondary School, Akwukwu",Female,Public,JSS,,PGDE,Qualified,348.0,9,all,38.6667
2019/2020,South South,Delta,Oshimili North,Akwukwu,"Community Secondary School, Akwukwu",Female,Public,SSS,,,Unqualified,256.0,7,all,36.5714
2019/2020,South South,Delta,Oshimili North,Akwukwu,"Community Secondary School, Akwukwu",Female,Public,SSS,,Grade II or Equivalent,Unqualified,256.0,7,all,36.5714
2019/2020,South South,Delta,Oshimili North,Akwukwu,"Community Secondary School, Akwukwu",Female,Public,SSS,,MEd or Equivalent,Qualified,299.0,8,all,37.375
2019/2020,South South,Delta,Oshimili North,Akwukwu,"Community Secondary School, Akwukwu",Male,Public,JSS,,BEd or Equivalent,Qualified,339.0,9,all,37.6667
2019/2020,South South,Delta,Oshimili North,Akwukwu,"Community Secondary School, Akwukwu",Male,Public,JSS,,NCE,Qualified,321.0,8,all,40.125
2019/2020,South South,Delta,Oshimili North,Akwukwu,"Community Secondary School, Akwukwu",Male,Public,JSS,,PGDE,Qualified,339.0,9,all,37.6667
2019/2020,South South,Delta,Oshimili North,Akwukwu,"Community Secondary School, Akwukwu",Male,Public,SSS,,BEd or Equivalent,Qualified,338.0,9,all,37.5556
2019/2020,South South,Delta,Oshimili North,Akwukwu,"Community Secondary School, Akwukwu",Male,Public,SSS,,PGDE,Qualified,563.0,15,all,37.5333
2019/2020,South South,Delta,Oshimili North,Akwukwu,"Comprehensive High School, Akwukwu",Female,Private,JSS,,,Unqualified,202.0,5,all,40.4
2019/2020,South South,Delta,Oshimili North,Akwukwu,"Comprehensive High School, Akwukwu",Female,Private,JSS,,BEd or Equivalent,Qualified,183.0,5,all,36.6
2019/2020,South South,Delta,Oshimili North,Akwukwu,"Comprehensive High School, Akwukwu",Female,Private,JSS,,Grade II or Equivalent,Unqualified,348.0,9,all,38.6667
2019/2020,South South,Delta,Oshimili North,Akwukwu,"Comprehensive High School, Akwukwu",Female,Private,JSS,,MEd or Equivalent,Qualified,202.0,5,all,40.4
