session,zone,state,lga,ward,school,gender,school_type,school_level,class_grade,qualification_group,qualification_status,student_count,teacher_count,disability_scope,pupil_teacher_ratio
2019/2020,North East,Adamawa,Mubi North,Bahuli,"Community Secondary School, Bahuli",Female,Public,JSS,,BEd or Equivalent,Qualified,791.0,22,all,35.9545
2019/2020,North East,Adamawa,Mubi North,Bahuli,"Community Secondary School, Bahuli",Female,Public,JSS,,Grade II or Equivalent,Unqualified,446.0,13,all,34.3077
2019/2020,North East,Adamawa,Mubi North,Bahuli,"Community Secondary School, Bahuli",Female,Public,SSS,,MEd or Equivalent,Qualified,298.0,9,all,33.1111
2019/2020,North East,Adamawa,Mubi North,Bahuli,"Community Secondary School, Bahuli",Female,Public,SSS,,NCE,Qualified,544.0,16,all,34.0
2019/2020,North East,Adamawa,Mubi North,Bahuli,"Community Secondary School, Bahuli",Male,Public,JSS,,BEd or Equivalent,Qualified,623.0,18,all,34.6111
2019/2020,North East,Adamawa,Mubi North,Bahuli,"Community Secondary School, Bahuli",Male,Public,JSS,,Grade II or Equivalent,Unqualified,141.0,4,all,35.25
2019/2020,North East,Adamawa,Mubi North,Bahuli,"Community Secondary School, Bahuli",Male,Public,JSS,,MEd or Equivalent,Qualified,402.0,11,all,36.5455
2019/2020,North East,Adamawa,Mubi North,Bahuli,"Community Secondary School, Bahuli",Male,Public,SSS,,BEd or Equivalent,Qualified,486.0,14,all,34.7143
2019/2020,North East,Adamawa,Mubi North,Bahuli,"Community Secondary School, Bahuli",Male,Public,SSS,,NCE,Qualified,428.0,12,all,35.6667
2019/2020,North East,Adamawa,Mubi North,Bahuli,"Comprehensive High School, Bahuli",Female,Private,Adult & Non-Formal Education,,,Unqualified,18.0,1,all,18.0
2019/2020,North East,Adamawa,Mubi North,Bahuli,"Comprehensive High School, Bahuli",Female,Private,Adult & Non-Formal Education,,BEd or Equivalent,Qualified,81.0,4,all,20.25
2019/2020,North East,Adamawa,Mubi North,Bahuli,"Comprehensive High School, Bahuli",Female,Private,Adult & Non-Formal Education,,Grade II or Equivalent,Unqualified,18.0,1,all,18.0
2019/2020,North East,Adamawa,Mubi North,Bahuli,"Comprehensive High School, Bahuli",Female,Private,Adult & Non-Formal Education,,MEd or Equivalent,Qualified,18.0,1,all,18.0
2019/2020,North East,Adamawa,Mubi North,Bahuli,"Comprehensive High School, Bahuli",Female,Private,Adult & Non-Formal Education,,NCE,Qualified,9.0,1,all,9.0
2019/2020,North East,Adamawa,Mubi North,Bahuli,"Comprehensive High School, Bahuli",Female,Private,Adult & Non-Formal Education,,PGDE,Qualified,27.0,2,all,13.5
2019/2020,North East,Adamawa,Mubi North,Bahuli,"Comprehensive High School, Bahuli",Female,Private,Pre-Primary/Primary,,BEd or Equivalent,Qualified,596.0,19,all,31.3684
2019/2020,North East,Adamawa,Mubi North,Bahuli,"Comprehensive High School, Bahuli",Female,Private,Pre-Primary/Primary,,NCE,Qualified,596.0,19,all,31.3684
2019/2020,North East,Adamawa,Mubi North,Bahuli,"Comprehensive High School, Bahuli",Female,Private,Pre-Primary/Primary,,PGDE,Qualified,1284.0,41,all,31.3171
2019/2020,North East,Adamawa,Mubi North,Bahuli,"Comprehensive High School, Bahuli",Female,Private,Pre-Primary/Primary,Primary 1,MEd or Equivalent,Qualified,963.0,31,all,31.0645
2019/2020,North East,Adamawa,Mubi North,Bahuli,"Comprehensive High School, Bahuli",Female,Private,Pre-Primary/Primary,Primary 2,BEd or Equivalent,Qualified,1054.0,34,all,31.0
2019/2020,North East,Adamawa,Mubi North,Bahuli,"Comprehensive High School, Bahuli",Female,Private,Pre-Primary/Primary,Primary 3,BEd or Equivalent,Qualified,1100.0,36,all,30.5556
2019/2020,North East,Adamawa,Mubi North,Bahuli,"Comprehensive High School, Bahuli",Female,Private,Pre-Primary/Primary,Primary 4,Grade II or Equivalent,Unqualified,917.0,30,all,30.5667
2019/2020,North East,Adamawa,Mubi North,Bahuli,"Comprehensive High School, Bahuli",Female,Private,Pre-Primary/Primary,Primary 5,,Unqualified,963.0,31,all,31.0645
2019/2020,North East,Adamawa,Mubi North,Bahuli,"Comprehensive High School, Bahuli",Female,Private,Pre-Primary/Primary,Primary 6,BEd or Equivalent,Qualified,871.0,28,all,31.1071
2019/2020,North East,Adamawa,Mubi North,Bahuli,"Comprehensive High School, Bahuli",Male,Private,Adult & Non-Formal Education,,,Unqualified,30.0,1,all,30.0
2019/2020,North East,Adamawa,Mubi North,Bahuli,"Comprehensive High School, Bahuli",Male,Private,Adult & Non-Formal Education,,BEd or Equivalent,Qualified,90.0,4,all,22.5
2019/2020,North East,Adamawa,Mubi North,Bahuli,"Comprehensive High School, Bahuli",Male,Private,Adult & Non-Formal Education,,Grade II or Equivalent,Unqualified,30.0,2,all,15.0
2019/2020,North East,Adamawa,Mubi North,Bahuli,"Comprehensive High School, Bahuli",Male,Private,Adult & Non-Formal Education,,NCE,Qualified,90.0,3,all,30.0
