session,zone,state,lga,ward,school,gender,school_type,school_level,class_grade,qualification_group,qualification_status,student_count,teacher_count,disability_scope,pupil_teacher_ratio
2019/2020,South East,Anambra,Awka North,Achalla  I,"Community Secondary School, Achalla  I",Female,Public,JSS,,,Unqualified,164.0,5,all,32.8
2019/2020,South East,Anambra,Awka North,Achalla  I,"Community Secondary School, Achalla  I",Female,Public,JSS,,BEd or Equivalent,Qualified,622.0,18,all,34.5556
2019/2020,South East,Anambra,Awka North,Achalla  I,"Community Secondary School, Achalla  I",Female,Public,JSS,,NCE,Qualified,164.0,5,all,32.8
2019/2020,South East,Anambra,Awka North,Achalla  I,"Community Secondary School, Achalla  I",Female,Public,SSS,,,Unqualified,98.0,3,all,32.6667
2019/2020,South East,Anambra,Awka North,Achalla  I,"Community Secondary School, Achalla  I",Female,Public,SSS,,BEd or Equivalent,Qualified,323.0,10,all,32.3
2019/2020,South East,Anambra,Awka North,Achalla  I,"Community Secondary School, Achalla  I",Female,Public,SSS,,Grade II or Equivalent,Unqualified,98.0,3,all,32.6667
2019/2020,South East,Anambra,Awka North,Achalla  I,"Community Secondary School, Achalla  I",Female,Public,SSS,,PGDE,Qualified,98.0,3,all,32.6667
2019/2020,South East,Anambra,Awka North,Achalla  I,"Community Secondary School, Achalla  I",Male,Public,JSS,,,Unqualified,311.0,9,all,34.5556
2019/2020,South East,Anambra,Awka North,Achalla  I,"Community Secondary School, Achalla  I",Male,Public,JSS,,BEd or Equivalent,Qualified,328.0,9,all,36.4444
2019/2020,South East,Anambra,Awka North,Achalla  I,"Community Secondary School, Achalla  I",Male,Public,JSS,,MEd or Equivalent,Qualified,246.0,7,all,35.1429
2019/2020,South East,Anambra,Awka North,Achalla  I,"Community Secondary School, Achalla  I",Male,Public,SSS,,BEd or Equivalent,Qualified,438.0,12,all,36.5
2019/2020,South East,Anambra,Awka North,Achalla  I,"Community Secondary School, Achalla  I",Male,Public,SSS,,NCE,Qualified,250.0,7,all,35.7143
2019/2020,South East,Anambra,Awka North,Achalla  I,"Comprehensive High School, Achalla  I",Female,Private,Adult & Non-Formal Education,,,Unqualified,32.0,2,all,16.0
2019/2020,South East,Anambra,Awka North,Achalla  I,"Comprehensive High School, Achalla  I",Female,Private,Adult & Non-Formal Education,,BEd or Equivalent,Qualified,16.0,1,all,16.0
2019/2020,South East,Anambra,Awka North,Achalla  I,"Comprehensive High School, Achalla  I",Female,Private,Adult & Non-Formal Education,,Grade II or Equivalent,Unqualified,16.0,1,all,16.0
2019/2020,South East,Anambra,Awka North,Achalla  I,"Comprehensive High School, Achalla  I",Female,Private,Adult & Non-Formal Education,,PGDE,Qualified,32.0,2,all,16.0
2019/2020,South East,Anambra,Awka North,Achalla  I,"Comprehensive High School, Achalla  I",Female,Private,JSS,,Grade II or Equivalent,Unqualified,131.0,4,all,32.75
2019/2020,South East,Anambra,Awka North,Achalla  I,"Comprehensive High School, Achalla  I",Female,Private,JSS,,NCE,Qualified,98.0,3,all,32.6667
2019/2020,South East,Anambra,Awka North,Achalla  I,"Comprehensive High School, Achalla  I",Female,Private,JSS,,PGDE,Qualified,474.0,13,all,36.4615
2019/2020,South East,Anambra,Awka North,Achalla  I,"Comprehensive High School, Achalla  I",Female,Private,Pre-Primary/Primary,Primary 1,,Unqualified,717.0,23,all,31.1739
2019/2020,South East,Anambra,Awka North,Achalla  I,"Comprehensive High School, Achalla  I",Female,Private,Pre-Primary/Primary,Primary 2,PGDE,Qualified,717.0,23,all,31.1739
2019/2020,South East,Anambra,Awka North,Achalla  I,"Comprehensive High School, Achalla  I",Female,Private,Pre-Primary/Primary,Primary 3,,Unqualified,717.0,23,all,31.1739
2019/2020,South East,Anambra,Awka North,Achalla  I,"Comprehensive High School, Achalla  I",Female,Private,Pre-Primary/Primary,Primary 4,PGDE,Qualified,566.0,18,all,31.4444
2019/2020,South East,Anambra,Awka North,Achalla  I,"Comprehensive High School, Achalla  I",Female,Private,Pre-Primary/Primary,Primary 5,Grade II or Equivalent,Unqualified,642.0,21,all,30.5714
2019/2020,South East,Anambra,Awka North,Achalla  I,"Comprehensive High School, Achalla  I",Female,Private,Pre-Primary/Primary,Primary 6,BEd or Equivalent,Qualified,566.0,18,all,31.4444
2019/2020,South East,Anambra,Awka North,Achalla  I,"Comprehensive High School, Achalla  I",Female,Private,SSS,,BEd or Equivalent,Qualified,183.0,5,all,36.6
2019/2020,South East,Anambra,Awka North,Achalla  I,"Comprehensive High School, Achalla  I",Female,Private,SSS,,MEd or Equivalent,Qualified,211.0,6,all,35.1667
2019/2020,South East,Anambra,Awka North,Achalla  I,"Comprehensive High School, Achalla  I",Female,Private,SSS,,NCE,Qualified,154.0,5,all,30.8
2019/2020,South East,Anambra,Awka North,Achalla  I,"Comprehensive High School, Achalla  I",Male,Private,Adult & Non-Formal Education,,,Unqualified,25.0,1,all,25.0
2019/2020,South East,Anambra,Awka North,Achalla  I,"Comprehensive High School, Achalla  I",Male,Private,Adult & Non-Formal Education,,BEd or Equivalent,Qualified,50.0,2,all,25.0
2019/2020,South East,Anambra,Awka North,Achalla  I,"Comprehensive High School, Achalla  I",Male,Private,Adult & Non-Formal Education,,Grade II or Equivalent,Unqualified,25.0,1,all,25.0
2019/2020,South East,Anambra,Awka North,Achalla  I,"Comprehensive High School, Achalla  I",Male,Private,Adult & Non-Formal Education,,MEd or Equivalent,Qualified,25.0,1,all,25.0
2019/2020,South East,Anambra,Awka North,Achalla  I,"Comprehensive High School, Achalla  I",Male,Private,Adult & Non-Formal Education,,NCE,Qualified,25.0,1,all,25.0
2019/2020,South East,Anambra,Awka North,Achalla  I,"Comprehensive High School, Achalla  I",Male,Private,JSS,,BEd or Equivalent,Qualified,213.0,6,all,35.5
2019/2020,South East,Anambra,Awka North,Achalla  I,"Comprehensive High School, Achalla  I",Male,Private,JSS,,Grade II or Equivalent,Unqualified,246.0,7,all,35.1429
2019/2020,South East,Anambra,Awka North,Achalla  I,"Comprehensive High School, Achalla  I",Male,Private,JSS,,PGDE,Qualified,197.0,5,all,39.4
2019/2020,South East,Anambra,Awka North,Achalla  I,"Comprehensive High School, Achalla  I",Male,Private,Pre-Primary/Primary,Primary 1,MEd or Equivalent,Qualified,773.0,25,all,30.92
2019/2020,South East,Anambra,Awka North,Achalla  I,"Comprehensive High School, Achalla  I",Male,Private,Pre-Primary/Primary,Primary 2,BEd or Equivalent,Qualified,691.0,22,all,31.4091
2019/2020,South East,Anambra,Awka North,Achalla  I,"Comprehensive High School, Achalla  I",Male,Private,Pre-Primary/Primary,Primary 3,BEd or Equivalent,Qualified,691.0,22,all,31.4091
2019/2020,South East,Anambra,Awka North,Achalla  I,"Comprehensive High School, Achalla  I",Male,Private,Pre-Primary/Primary,Primary 4,NCE,Qualified,651.0,21,all,31.0
2019/2020,South East,Anambra,Awka North,Achalla  I,"Comprehensive High School, Achalla  I",Male,Private,Pre-Primary/Primary,Primary 5,Grade II or Equivalent,Unqualified,610.0,19,all,32.1053
2019/2020,South East,Anambra,Awka North,Achalla  I,"Comprehensive High School, Achalla  I",Male,Private,Pre-Primary/Primary,Primary 6,,Unqualified,610.0,19,all,32.1053
2019/2020,South East,Anambra,Awka North,Achalla  I,"Comprehensive High School, Achalla  I",Male,Private,SSS,,BEd or Equivalent,Qualified,109.0,3,all,36.3333
2019/2020,South East,Anambra,Awka North,Achalla  I,"Comprehensive High School, Achalla  I",Male,Private,SSS,,NCE,Qualified,266.0,8,all,33.25
2019/2020,South East,Anambra,Awka North,Achalla  I,"Comprehensive High School, Achalla  I",Male,Private,SSS,,PGDE,Qualified,172.0,5,all,34.4
2019/2020,South East,Anambra,Awka North,Achalla  I,"Government Secondary School, Achalla  I",Female,Public,Adult & Non-Formal Education,,,Unqualified,24.0,1,all,24.0
2019/2020,South East,Anambra,Awka North,Achalla  I,"Government Secondary School, Achalla  I",Female,Public,Adult & Non-Formal Education,,Grade II or Equivalent,Unqualified,47.0,2,all,23.5
