session,zone,state,lga,ward,school,gender,school_type,school_level,class_grade,qualification_group,qualification_status,student_count,teacher_count,disability_scope,pupil_teacher_ratio
2019/2020,South West,Oyo,Ibadan North,Ward I N2,"Community Secondary School, Ward I N2",Female,Public,JSS,,,Unqualified,250.0,5,all,50.0
2019/2020,South West,Oyo,Ibadan North,Ward I N2,"Community Secondary School, Ward I N2",Female,Public,JSS,,NCE,Qualified,616.0,13,all,47.3846
2019/2020,South West,Oyo,Ibadan North,Ward I N2,"Community Secondary School, Ward I N2",Female,Public,JSS,,PGDE,Qualified,316.0,7,all,45.1429
2019/2020,South West,Oyo,Ibadan North,Ward I N2,"Community Secondary School, Ward I N2",Female,Public,SSS,,BEd or Equivalent,Qualified,241.0,5,all,48.2
2019/2020,South West,Oyo,Ibadan North,Ward I N2,"Community Secondary School, Ward I N2",Female,Public,SSS,,Grade II or Equivalent,Unqualified,228.0,5,all,45.6
2019/2020,South West,Oyo,Ibadan North,Ward I N2,"Community Secondary School, Ward I N2",Female,Public,SSS,,NCE,Qualified,241.0,5,all,48.2
2019/2020,South West,Oyo,Ibadan North,Ward I N2,"Community Secondary School, Ward I N2",Male,Public,JSS,,,Unqualified,132.0,3,all,44.0
2019/2020,South West,Oyo,Ibadan North,Ward I N2,"Community Secondary School, Ward I N2",Male,Public,JSS,,BEd or Equivalent,Qualified,447.0,10,all,44.7
2019/2020,South West,Oyo,Ibadan North,Ward I N2,"Community Secondary School, Ward I N2",Male,Public,JSS,,Grade II or Equivalent,Unqualified,199.0,4,all,49.75
2019/2020,South West,Oyo,Ibadan North,Ward I N2,"Community Secondary School, Ward I N2",Male,Public,JSS,,NCE,Qualified,381.0,8,all,47.625
2019/2020,South West,Oyo,Ibadan North,Ward I N2,"Community Secondary School, Ward I N2",Male,Public,SSS,,BEd or Equivalent,Qualified,732.0,16,all,45.75
2019/2020,South West,Oyo,Ibadan North,Ward I N2,"Comprehensive High School, Ward I N2",Female,Private,Adult & Non-Formal Education,,,Unqualified,41.0,2,all,20.5
2019/2020,South West,Oyo,Ibadan North,Ward I N2,"Comprehensive High School, Ward I N2",Female,Private,Adult & Non-Formal Education,,BEd or Equivalent,Qualified,32.0,2,all,16.0
2019/2020,South West,Oyo,Ibadan North,Ward I N2,"Comprehensive High School, Ward I N2",Female,Private,Adult & Non-Formal Education,,Grade II or Equivalent,Unqualified,25.0,1,all,25.0
2019/2020,South West,Oyo,Ibadan North,Ward I N2,"Comprehensive High School, Ward I N2",Female,Private,Adult & Non-Formal Education,,MEd or Equivalent,Qualified,25.0,1,all,25.0
2019/2020,South West,Oyo,Ibadan North,Ward I N2,"Comprehensive High School, Ward I N2",Female,Private,JSS,,,Unqualified,83.0,2,all,41.5
2019/2020,South West,Oyo,Ibadan North,Ward I N2,"Comprehensive High School, Ward I N2",Female,Private,JSS,,MEd or Equivalent,Qualified,300.0,6,all,50.0
2019/2020,South West,Oyo,Ibadan North,Ward I N2,"Comprehensive High School, Ward I N2",Female,Private,JSS,,NCE,Qualified,316.0,7,all,45.1429
2019/2020,South West,Oyo,Ibadan North,Ward I N2,"Comprehensive High School, Ward I N2",Female,Private,JSS,,PGDE,Qualified,200.0,4,all,50.0
2019/2020,South West,Oyo,Ibadan North,Ward I N2,"Comprehensive High School, Ward I N2",Female,Private,Pre-Primary/Primary,Primary 1,Grade II or Equivalent,Unqualified,874.0,21,all,41.619
2019/2020,South West,Oyo,Ibadan North,Ward I N2,"Comprehensive High School, Ward I N2",Female,Private,Pre-Primary/Primary,Primary 2,MEd or Equivalent,Qualified,874.0,21,all,41.619
2019/2020,South West,Oyo,Ibadan North,Ward I N2,"Comprehensive High School, Ward I N2",Female,Private,Pre-Primary/Primary,Primary 3,,Unqualified,950.0,23,all,41.3043
2019/2020,South West,Oyo,Ibadan North,Ward I N2,"Comprehensive High School, Ward I N2",Female,Private,Pre-Primary/Primary,Primary 4,BEd or Equivalent,Qualified,836.0,21,all,39.8095
2019/2020,South West,Oyo,Ibadan North,Ward I N2,"Comprehensive High School, Ward I N2",Female,Private,Pre-Primary/Primary,Primary 5,BEd or Equivalent,Qualified,722.0,18,all,40.1111
2019/2020,South West,Oyo,Ibadan North,Ward I N2,"Comprehensive High School, Ward I N2",Female,Private,Pre-Primary/Primary,Primary 6,,Unqualified,760.0,19,all,40.0
2019/2020,South West,Oyo,Ibadan North,Ward I N2,"Comprehensive High School, Ward I N2",Female,Private,SSS,,BEd or Equivalent,Qualified,469.0,10,all,46.9
2019/2020,South West,Oyo,Ibadan North,Ward I N2,"Comprehensive High School, Ward I N2",Female,Private,SSS,,NCE,Qualified,121.0,3,all,40.3333
2019/2020,South West,Oyo,Ibadan North,Ward I N2,"Comprehensive High School, Ward I N2",Male,Private,Adult & Non-Formal Education,,BEd or Equivalent,Qualified,52.0,2,all,26.0
2019/2020,South West,Oyo,Ibadan North,Ward I N2,"Comprehensive High School, Ward I N2",Male,Private,Adult & Non-Formal Education,,Grade II or Equivalent,Unqualified,26.0,1,all,26.0
2019/2020,South West,Oyo,Ibadan North,Ward I N2,"Comprehensive High School, Ward I N2",Male,Private,Adult & Non-Formal Education,,NCE,Qualified,52.0,2,all,26.0
2019/2020,South West,Oyo,Ibadan North,Ward I N2,"Comprehensive High School, Ward I N2",Male,Private,Adult & Non-Formal Education,,PGDE,Qualified,26.0,1,all,26.0
2019/2020,South West,Oyo,Ibadan North,Ward I N2,"Comprehensive High School, Ward I N2",Male,Private,JSS,,BEd or Equivalent,Qualified,248.0,5,all,49.6
2019/2020,South West,Oyo,Ibadan North,Ward I N2,"Comprehensive High School, Ward I N2",Male,Private,JSS,,MEd or Equivalent,Qualified,298.0,6,all,49.6667
2019/2020,South West,Oyo,Ibadan North,Ward I N2,"Comprehensive High School, Ward I N2",Male,Private,JSS,,NCE,Qualified,248.0,5,all,49.6
2019/2020,South West,Oyo,Ibadan North,Ward I N2,"Comprehensive High School, Ward I N2",Male,Private,Pre-Primary/Primary,Primary 1,NCE,Qualified,1001.0,25,all,40.04
2019/2020,South West,Oyo,Ibadan North,Ward I N2,"Comprehensive High School, Ward I N2",Male,Private,Pre-Primary/Primary,Primary 2,BEd or Equivalent,Qualified,835.0,21,all,39.7619
2019/2020,South West,Oyo,Ibadan North,Ward I N2,"Comprehensive High School, Ward I N2",Male,Private,Pre-Primary/Primary,Primary 3,BEd or Equivalent,Qualified,918.0,23,all,39.913
2019/2020,South West,Oyo,Ibadan North,Ward I N2,"Comprehensive High School, Ward I N2",Male,Private,Pre-Primary/Primary,Primary 4,Grade II or Equivalent,Unqualified,876.0,22,all,39.8182
2019/2020,South West,Oyo,Ibadan North,Ward I N2,"Comprehensive High School, Ward I N2",Male,Private,Pre-Primary/Primary,Primary 5,NCE,Qualified,709.0,17,all,41.7059
2019/2020,South West,Oyo,Ibadan North,Ward I N2,"Comprehensive High School, Ward I N2",Male,Private,Pre-Primary/Primary,Primary 6,PGDE,Qualified,709.0,17,all,41.7059
2019/2020,South West,Oyo,Ibadan North,Ward I N2,"Comprehensive High School, Ward I N2",Male,Private,SSS,,Grade II or Equivalent,Unqualified,194.0,4,all,48.5
2019/2020,South West,Oyo,Ibadan North,Ward I N2,"Comprehensive High School, Ward I N2",Male,Private,SSS,,MEd or Equivalent,Qualified,224.0,5,all,44.8
2019/2020,South West,Oyo,Ibadan North,Ward I N2,"Comprehensive High School, Ward I N2",Male,Private,SSS,,NCE,Qualified,164.0,4,all,41.0
