session,zone,state,lga,ward,school,gender,school_type,school_level,class_grade,qualification_group,qualification_status,student_count,teacher_count,disability_scope,pupil_teacher_ratio
2019/2020,North Central,Niger,Agaie,Baro,"Community Secondary School, Baro",Female,Public,Adult & Non-Formal Education,,,Unqualified,42.0,2,all,21.0
2019/2020,North Central,Niger,Agaie,Baro,"Community Secondary School, Baro",Female,Public,Adult & Non-Formal Education,,BEd or Equivalent,Qualified,84.0,4,all,21.0
2019/2020,North Central,Niger,Agaie,Baro,"Community Secondary School, Baro",Female,Public,Adult & Non-Formal Education,,Grade II or Equivalent,Unqualified,42.0,2,all,21.0
2019/2020,North Central,Niger,Agaie,Baro,"Community Secondary School, Baro",Female,Public,Adult & Non-Formal Education,,NCE,Qualified,53.0,2,all,26.5
2019/2020,North Central,Niger,Agaie,Baro,"Community Secondary School, Baro",Female,Public,Adult & Non-Formal Education,,PGDE,Qualified,42.0,2,all,21.0
2019/2020,North Central,Niger,Agaie,Baro,"Community Secondary School, Baro",Female,Public,Pre-Primary/Primary,Primary 1,PGDE,Qualified,1425.0,47,all,30.3191
2019/2020,North Central,Niger,Agaie,Baro,"Community Secondary School, Baro",Female,Public,Pre-Primary/Primary,Primary 2,NCE,Qualified,1572.0,52,all,30.2308
2019/2020,North Central,Niger,Agaie,Baro,"Community Secondary School, Baro",Female,Public,Pre-Primary/Primary,Primary 3,BEd or Equivalent,Qualified,1277.0,42,all,30.4048
2019/2020,North Central,Niger,Agaie,Baro,"Community Secondary School, Baro",Female,Public,Pre-Primary/Primary,Primary 4,Grade II or Equivalent,Unqualified,1376.0,45,all,30.5778
2019/2020,North Central,Niger,Agaie,Baro,"Community Secondary School, Baro",Female,Public,Pre-Primary/Primary,Primary 5,,Unqualified,1326.0,44,all,30.1364
2019/2020,North Central,Niger,Agaie,Baro,"Community Secondary School, Baro",Female,Public,Pre-Primary/Primary,Primary 6,BEd or Equivalent,Qualified,1277.0,42,all,30.4048
2019/2020,North Central,Niger,Agaie,Baro,"Community Secondary School, Baro",Male,Public,Adult & Non-Formal Education,,,Unqualified,66.0,3,all,22.0
2019/2020,North Central,Niger,Agaie,Baro,"Community Secondary School, Baro",Male,Public,Adult & Non-Formal Education,,Grade II or Equivalent,Unqualified,181.0,8,all,22.625
2019/2020,North Central,Niger,Agaie,Baro,"Community Secondary School, Baro",Male,Public,Adult & Non-Formal Education,,PGDE,Qualified,132.0,6,all,22.0
2019/2020,North Central,Niger,Agaie,Baro,"Community Secondary School, Baro",Male,Public,Pre-Primary/Primary,Primary 1,PGDE,Qualified,1539.0,51,all,30.1765
2019/2020,North Central,Niger,Agaie,Baro,"Community Secondary School, Baro",Male,Public,Pre-Primary/Primary,Primary 2,Grade II or Equivalent,Unqualified,1645.0,54,all,30.463
2019/2020,North Central,Niger,Agaie,Baro,"Community Secondary School, Baro",Male,Public,Pre-Primary/Primary,Primary 3,,Unqualified,1380.0,45,all,30.6667
2019/2020,North Central,Niger,Agaie,Baro,"Community Secondary School, Baro",Male,Public,Pre-Primary/Primary,Primary 4,Grade II or Equivalent,Unqualified,1486.0,49,all,30.3265
2019/2020,North Central,Niger,Agaie,Baro,"Community Secondary School, Baro",Male,Public,Pre-Primary/Primary,Primary 5,PGDE,Qualified,1326.0,44,all,30.1364
2019/2020,North Central,Niger,Agaie,Baro,"Community Secondary School, Baro",Male,Public,Pre-Primary/Primary,Primary 6,Grade II or Equivalent,Unqualified,1167.0,38,all,30.7105
2019/2020,North Central,Niger,Agaie,Baro,"Comprehensive High School, Baro",Female,Private,Adult & Non-Formal Education,,BEd or Equivalent,Qualified,84.0,4,all,21.0
2019/2020,North Central,Niger,Agaie,Baro,"Comprehensive High School, Baro",Female,Private,Adult & Non-Formal Education,,NCE,Qualified,21.0,1,all,21.0
2019/2020,North Central,Niger,Agaie,Baro,"Comprehensive High School, Baro",Female,Private,Adult & Non-Formal Education,,PGDE,Qualified,21.0,1,all,21.0
2019/2020,North Central,Niger,Agaie,Baro,"Comprehensive High School, Baro",Female,Private,JSS,,,Unqualified,178.0,5,all,35.6
2019/2020,North Central,Niger,Agaie,Baro,"Comprehensive High School, Baro",Female,Private,JSS,,BEd or Equivalent,Qualified,125.0,4,all,31.25
2019/2020,North Central,Niger,Agaie,Baro,"Comprehensive High School, Baro",Female,Private,JSS,,NCE,Qualified,142.0,4,all,35.5
2019/2020,North Central,Niger,Agaie,Baro,"Comprehensive High School, Baro",Female,Private,JSS,,PGDE,Qualified,320.0,10,all,32.0
2019/2020,North Central,Niger,Agaie,Baro,"Comprehensive High School, Baro",Female,Private,Pre-Primary/Primary,Primary 1,NCE,Qualified,1081.0,36,all,30.0278
2019/2020,North Central,Niger,Agaie,Baro,"Comprehensive High School, Baro",Female,Private,Pre-Primary/Primary,Primary 2,BEd or Equivalent,Qualified,933.0,31,all,30.0968
2019/2020,North Central,Niger,Agaie,Baro,"Comprehensive High School, Baro",Female,Private,Pre-Primary/Primary,Primary 3,BEd or Equivalent,Qualified,786.0,26,all,30.2308
2019/2020,North Central,Niger,Agaie,Baro,"Comprehensive High School, Baro",Female,Private,Pre-Primary/Primary,Primary 4,BEd or Equivalent,Qualified,786.0,26,all,30.2308
2019/2020,North Central,Niger,Agaie,Baro,"Comprehensive High School, Baro",Female,Private,Pre-Primary/Primary,Primary 5,BEd or Equivalent,Qualified,884.0,29,all,30.4828
2019/2020,North Central,Niger,Agaie,Baro,"Comprehensive High School, Baro",Female,Private,Pre-Primary/Primary,Primary 6,PGDE,Qualified,884.0,29,all,30.4828
2019/2020,North Central,Niger,Agaie,Baro,"Comprehensive High School, Baro",Female,Private,SSS,,BEd or Equivalent,Qualified,415.0,13,all,31.9231
2019/2020,North Central,Niger,Agaie,Baro,"Comprehensive High School, Baro",Female,Private,SSS,,PGDE,Qualified,83.0,2,all,41.5
2019/2020,North Central,Niger,Agaie,Baro,"Comprehensive High School, Baro",Male,Private,Adult & Non-Formal Education,,BEd or Equivalent,Qualified,33.0,1,all,33.0
2019/2020,North Central,Niger,Agaie,Baro,"Comprehensive High School, Baro",Male,Private,Adult & Non-Formal Education,,NCE,Qualified,33.0,1,all,33.0
2019/2020,North Central,Niger,Agaie,Baro,"Comprehensive High School, Baro",Male,Private,Adult & Non-Formal Education,,PGDE,Qualified,132.0,4,all,33.0
2019/2020,North Central,Niger,Agaie,Baro,"Comprehensive High School, Baro",Male,Private,JSS,,BEd or Equivalent,Qualified,452.0,13,all,34.7692
2019/2020,North Central,Niger,Agaie,Baro,"Comprehensive High School, Baro",Male,Private,JSS,,PGDE,Qualified,208.0,6,all,34.6667
2019/2020,North Central,Niger,Agaie,Baro,"Comprehensive High School, Baro",Male,Private,Pre-Primary/Primary,Primary 1,PGDE,Qualified,1167.0,38,all,30.7105
2019/2020,North Central,Niger,Agaie,Baro,"Comprehensive High School, Baro",Male,Private,Pre-Primary/Primary,Primary 2,NCE,Qualified,902.0,30,all,30.0667
2019/2020,North Central,Niger,Agaie,Baro,"Comprehensive High School, Baro",Male,Private,Pre-Primary/Primary,Primary 3,PGDE,Qualified,902.0,30,all,30.0667
2019/2020,North Central,Niger,Agaie,Baro,"Comprehensive High School, Baro",Male,Private,Pre-Primary/Primary,Primary 4,PGDE,Qualified,849.0,28,all,30.3214
2019/2020,North Central,Niger,Agaie,Baro,"Comprehensive High School, Baro",Male,Private,Pre-Primary/Primary,Primary 5,PGDE,Qualified,902.0,30,all,30.0667
2019/2020,North Central,Niger,Agaie,Baro,"Comprehensive High School, Baro",Male,Private,Pre-Primary/Primary,Primary 6,BEd or Equivalent,Qualified,902.0,30,all,30.0667
2019/2020,North Central,Niger,Agaie,Baro,"Comprehensive High School, Baro",Male,Private,SSS,,Grade II or Equivalent,Unqualified,135.0,4,all,33.75
2019/2020,North Central,Niger,Agaie,Baro,"Comprehensive High School, Baro",Male,Private,SSS,,MEd or Equivalent,Qualified,165.0,5,all,33.0
2019/2020,North Central,Niger,Agaie,Baro,"Comprehensive High School, Baro",Male,Private,SSS,,PGDE,Qualified,195.0,6,all,32.5
2019/2020,North Central,Niger,Agaie,Baro,"Government Secondary School, Baro",Female,Public,JSS,,,Unqualified,481.0,14,all,34.3571
2019/2020,North Central,Niger,Agaie,Baro,"Government Secondary School, Baro",Female,Public,JSS,,BEd or Equivalent,Qualified,392.0,11,all,35.6364
2019/2020,North Central,Niger,Agaie,Baro,"Government Secondary School, Baro",Female,Public,JSS,,Grade II or Equivalent,Unqualified,338.0,10,all,33.8
