session,disability_scope,exam_body,ss3_total,o_level_candidates,utme_participants,admitted_students,matriculated_students,delayed_transition_students,loss_ss3_to_olevel,loss_olevel_to_utme,loss_utme_to_admitted,loss_admitted_to_matriculated
2022/2023,all,NABTEB,226990,181614,209799,107987,97838,803,45376,0,140237,10149
2022/2023,all,NECO,424937,339931,390540,212861,195775,1365,85006,0,259016,17086
2022/2023,all,WAEC,559245,447380,513941,285169,263921,1701,111865,0,337846,21255
2022/2023,disabled,NABTEB,20314,16352,18215,14024,12749,78,3962,0,10787,1275
2022/2023,disabled,NECO,33098,26523,30746,16148,14801,89,6575,0,20424,1347
2022/2023,disabled,WAEC,43479,34631,40170,18298,16919,88,8848,0,27930,1379
2023/2024,all,NABTEB,241729,193418,223371,86817,79048,609,48311,0,162430,7769
2023/2024,all,NECO,447243,357765,411130,170503,156396,1126,89478,0,295684,14107
2023/2024,all,WAEC,600404,480324,551734,232211,214906,1375,120080,0,394768,17307
2023/2024,disabled,NABTEB,21419,17250,19242,11495,10375,66,4169,0,12462,1120
2023/2024,disabled,NECO,34900,27966,32357,12716,11859,46,6934,0,23484,857
2023/2024,disabled,WAEC,46828,37294,43274,14934,13661,78,9534,0,32482,1273
2024/2025,all,NABTEB,485426,388335,271834,129999,119591,773,97091,116501,141835,10408
2024/2025,all,NECO,860147,688123,481683,230356,211913,1369,172024,206440,251327,18443
2024/2025,all,WAEC,1058799,847040,592932,283541,260849,1685,211759,254108,309391,22692
2024/2025,disabled,NABTEB,34993,27996,19595,9373,8622,56,6997,8401,10222,751
2024/2025,disabled,NECO,57364,45894,32127,15364,14132,91,11470,13767,16763,1232
2024/2025,disabled,WAEC,77910,62325,43630,20861,19191,124,15585,18695,22769,1670
