zone,state,lga,ward,school
North Central,Benue,Gboko,Gbk/Central Market,"Community Secondary School, Gbk/Central Market"
North Central,Benue,Gboko,Gbk/Central Market,"Comprehensive High School, Gbk/Central Market"
North Central,Benue,Gboko,Gbk/Central Market,"Government Secondary School, Gbk/Central Market"
North Central,Benue,Gboko,Gbk/Central Market,"Unity College, Gboko"
North Central,Benue,Gboko,Gboko East,"Community Secondary School, Gboko East"
North Central,Benue,Gboko,Gboko East,"Comprehensive High School, Gboko East"
North Central,Benue,Gboko,Gboko East,"Government Secondary School, Gboko East"
North Central,Benue,Gboko,Gboko East,"Unity College, Gboko"
North Central,Benue,Gboko,Gboko North West,"Community Secondary School, Gboko North West"
North Central,Benue,Gboko,Gboko North West,"Comprehensive High School, Gboko North West"
North Central,Benue,Gboko,Gboko North West,"Government Secondary School, Gboko North West"
North Central,Benue,Gboko,Gboko North West,"Unity College, Gboko"
North Central,Benue,Katsina-Ala,Ikurav Tiev I,"Community Secondary School, Ikurav Tiev I"
North Central,Benue,Katsina-Ala,Ikurav Tiev I,"Comprehensive High School, Ikurav Tiev I"
North Central,Benue,Katsina-Ala,Ikurav Tiev I,"Government Secondary School, Ikurav Tiev I"
North Central,Benue,Katsina-Ala,Ikurav Tiev I,"Unity College, Katsina-Ala"
North Central,Benue,Katsina-Ala,Ikurav Tiev II,"Community Secondary School, Ikurav Tiev II"
North Central,Benue,Katsina-Ala,Ikurav Tiev II,"Comprehensive High School, Ikurav Tiev II"
North Central,Benue,Katsina-Ala,Ikurav Tiev II,"Government Secondary School, Ikurav Tiev II"
North Central,Benue,Katsina-Ala,Ikurav Tiev II,"Unity College, Katsina-Ala"
North Central,Benue,Katsina-Ala,Iwar(Tongov I),"Community Secondary School, Iwar(Tongov I)"
North Central,Benue,Katsina-Ala,Iwar(Tongov I),"Comprehensive High School, Iwar(Tongov I)"
North Central,Benue,Katsina-Ala,Iwar(Tongov I),"Government Secondary School, Iwar(Tongov I)"
North Central,Benue,Katsina-Ala,Iwar(Tongov I),"Unity College, Katsina-Ala"
North Central,Benue,Makurdi,Agan,"Community Secondary School, Agan"
North Central,Benue,Makurdi,Agan,"Comprehensive High School, Agan"
North Central,Benue,Makurdi,Agan,"Government Secondary School, Agan"
North Central,Benue,Makurdi,Agan,"Unity College, Makurdi"
North Central,Benue,Makurdi,Ankpa/Wadata,"Community Secondary School, Ankpa/Wadata"
North Central,Benue,Makurdi,Ankpa/Wadata,"Comprehensive High School, Ankpa/Wadata"
North Central,Benue,Makurdi,Ankpa/Wadata,"Government Secondary School, Ankpa/Wadata"
North Central,Benue,Makurdi,Ankpa/Wadata,"Unity College, Makurdi"
North Central,Benue,Makurdi,Bar,"Community Secondary School, Bar"
North Central,Benue,Makurdi,Bar,"Comprehensive High School, Bar"
North Central,Benue,Makurdi,Bar,"Government Secondary School, Bar"
North Central,Benue,Makurdi,Bar,"Unity College, Makurdi"
North Central,Benue,Otukpo,Adoka-Haje,"Community Secondary School, Adoka-Haje"
North Central,Benue,Otukpo,Adoka-Haje,"Comprehensive High School, Adoka-Haje"
North Central,Benue,Otukpo,Adoka-Haje,"Government Secondary School, Adoka-Haje"
North Central,Benue,Otukpo,Adoka-Haje,"Unity College, Otukpo"
North Central,Benue,Otukpo,Adoka-Icho,"Community Secondary School, Adoka-Icho"
North Central,Benue,Otukpo,Adoka-Icho,"Comprehensive High School, Adoka-Icho"
North Central,Benue,Otukpo,Adoka-Icho,"Government Secondary School, Adoka-Icho"
North Central,Benue,Otukpo,Adoka-Icho,"Unity College, Otukpo"
North Central,Benue,Otukpo,Allan,"Community Secondary School, Allan"
North Central,Benue,Otukpo,Allan,"Comprehensive High School, Allan"
North Central,Benue,Otukpo,Allan,"Government Secondary School, Allan"
North Central,Benue,Otukpo,Allan,"Unity College, Otukpo"
North Central,Benue,Vandeikya,Mbadede,"Community Secondary School, Mbadede"
North Central,Benue,Vandeikya,Mbadede,"Comprehensive High School, Mbadede"
North Central,Benue,Vandeikya,Mbadede,"Government Secondary School, Mbadede"
North Central,Benue,Vandeikya,Mbadede,"Unity College, Vandeikya"
North Central,Benue,Vandeikya,Mbagbam,"Community Secondary School, Mbagbam"
North Central,Benue,Vandeikya,Mbagbam,"Comprehensive High School, Mbagbam"
North Central,Benue,Vandeikya,Mbagbam,"Government Secondary School, Mbagbam"
North Central,Benue,Vandeikya,Mbagbam,"Unity College, Vandeikya"
North Central,Benue,Vandeikya,Mbagbera,"Community Secondary School, Mbagbera"
North Central,Benue,Vandeikya,Mbagbera,"Comprehensive High School, Mbagbera"
North Central,Benue,Vandeikya,Mbagbera,"Government Secondary School, Mbagbera"
North Central,Benue,Vandeikya,Mbagbera,"Unity College, Vandeikya"
North Central,Federal Capital Territory,Abuja Municipal Area Council,City Centre,"Community Secondary School, City Centre"
North Central,Federal Capital Territory,Abuja Municipal Area Council,City Centre,"Comprehensive High School, City Centre"
North Central,Federal Capital Territory,Abuja Municipal Area Council,City Centre,"Government Secondary School, City Centre"
North Central,Federal Capital Territory,Abuja Municipal Area Council,City Centre,"Unity College, Abuja Municipal"
North Central,Federal Capital Territory,Abuja Municipal Area Council,Garki,"Community Secondary School, Garki"
North Central,Federal Capital Territory,Abuja Municipal Area Council,Garki,"Comprehensive High School, Garki"
North Central,Federal Capital Territory,Abuja Municipal Area Council,Garki,"Government Secondary School, Garki"
North Central,Federal Capital Territory,Abuja Municipal Area Council,Garki,"Unity College, Abuja Municipal"
North Central,Federal Capital Territory,Abuja Municipal Area Council,Gui,"Community Secondary School, Gui"
North Central,Federal Capital Territory,Abuja Municipal Area Council,Gui,"Comprehensive High School, Gui"
North Central,Federal Capital Territory,Abuja Municipal Area Council,Gui,"Government Secondary School, Gui"
North Central,Federal Capital Territory,Abuja Municipal Area Council,Gui,"Unity College, Abuja Municipal"
North Central,Federal Capital Territory,Bwari,Bwari Central,"Community Secondary School, Bwari Central"
North Central,Federal Capital Territory,Bwari,Bwari Central,"Comprehensive High School, Bwari Central"
North Central,Federal Capital Territory,Bwari,Bwari Central,"Government Secondary School, Bwari Central"
North Central,Federal Capital Territory,Bwari,Bwari Central,"Unity College, Bwari"
