"session","zone","state","lga","ward","school","gender","disability_scope","exam_body","gap_band","institution_type","o_level_candidates","utme_participants","admitted_students","matriculated_students","delayed_transition_students","median_time_to_matriculation_years","ss3_total","loss_ss3_to_olevel","loss_olevel_to_utme","loss_utme_to_admitted","loss_admitted_to_matriculated"
"2019/2020","North East","Adamawa","Mubi North","Bahuli","Community Secondary School, Bahuli","Female","all","NABTEB","1-year","Polytechnic","44","29","10","11","0","1.0","0","0","15","19","0"
"2019/2020","North East","Adamawa","Mubi North","Bahuli","Community Secondary School, Bahuli","Female","all","NABTEB","2-year","Polytechnic","31","22","10","11","0","2.0","0","0","9","12","0"
"2019/2020","North East","Adamawa","Mubi North","Bahuli","Community Secondary School, Bahuli","Female","all","NABTEB","3-5-year","Polytechnic","19","14","10","11","0","1.5","0","0","5","4","0"
"2019/2020","North East","Adamawa","Mubi North","Bahuli","Community Secondary School, Bahuli","Female","all","NABTEB","5+-year","Polytechnic","11","7","0","0","0","1.5","0","0","4","7","0"
"2019/2020","North East","Adamawa","Mubi North","Bahuli","Community Secondary School, Bahuli","Female","all","NECO","1-year","Polytechnic","95","67","30","25","5","1.0","0","0","28","37","5"
"2019/2020","North East","Adamawa","Mubi North","Bahuli","Community Secondary School, Bahuli","Female","all","NECO","2-year","Polytechnic","62","45","23","17","6","2.0","0","0","17","22","6"
"2019/2020","North East","Adamawa","Mubi North","Bahuli","Community Secondary School, Bahuli","Female","all","NECO","3-5-year","Polytechnic","44","32","15","17","0","1.5","0","0","12","17","0"
"2019/2020","North East","Adamawa","Mubi North","Bahuli","Community Secondary School, Bahuli","Female","all","NECO","5+-year","Polytechnic","21","16","8","8","0","1.5","0","0","5","8","0"
"2019/2020","North East","Adamawa","Mubi North","Bahuli","Community Secondary School, Bahuli","Female","all","WAEC","1-year","Polytechnic","110","73","29","25","4","1.0","0","0","37","44","4"
"2019/2020","North East","Adamawa","Mubi North","Bahuli","Community Secondary School, Bahuli","Female","all","WAEC","2-year","Polytechnic","73","51","23","19","4","2.0","0","0","22","28","4"
"2019/2020","North East","Adamawa","Mubi North","Bahuli","Community Secondary School, Bahuli","Female","all","WAEC","3-5-year","Polytechnic","42","31","12","12","0","1.5","0","0","11","19","0"
"2019/2020","North East","Adamawa","Mubi North","Bahuli","Community Secondary School, Bahuli","Female","all","WAEC","5+-year","Polytechnic","20","14","6","6","0","1.5","0","0","6","8","0"
"2019/2020","North East","Adamawa","Mubi North","Bahuli","Community Secondary School, Bahuli","Female","disabled","NABTEB","1-year","Polytechnic","6","3","0","0","0","1.0","0","0","3","3","0"
"2019/2020","North East","Adamawa","Mubi North","Bahuli","Community Secondary School, Bahuli","Female","disabled","NABTEB","2-year","Polytechnic","3","4","0","0","0","2.0","0","0","0","4","0"
