session,zone,state,lga,ward,school,gender,disability_scope,exam_body,gap_band,institution_type,o_level_candidates,utme_participants,admitted_students,matriculated_students,delayed_transition_students,median_time_to_matriculation_years,ss3_total,loss_ss3_to_olevel,loss_olevel_to_utme,loss_utme_to_admitted,loss_admitted_to_matriculated
2019/2020,North East,Taraba,Ardo Kola,Alim-Gora,"Community Secondary School, Alim-Gora",Female,all,NABTEB,1-year,College of Education,50,32,7,8,0,1.0,0,0,18,25,0
2019/2020,North East,Taraba,Ardo Kola,Alim-Gora,"Community Secondary School, Alim-Gora",Female,all,NABTEB,2-year,College of Education,33,20,7,8,0,2.0,0,0,13,13,0
2019/2020,North East,Taraba,Ardo Kola,Alim-Gora,"Community Secondary School, Alim-Gora",Female,all,NABTEB,3-5-year,College of Education,17,12,7,0,7,1.5,0,0,5,5,7
2019/2020,North East,Taraba,Ardo Kola,Alim-Gora,"Community Secondary School, Alim-Gora",Female,all,NABTEB,5+-year,College of Education,14,9,0,0,0,1.5,0,0,5,9,0
2019/2020,North East,Taraba,Ardo Kola,Alim-Gora,"Community Secondary School, Alim-Gora",Female,all,NECO,1-year,College of Education,102,61,19,13,6,1.0,0,0,41,42,6
2019/2020,North East,Taraba,Ardo Kola,Alim-Gora,"Community Secondary School, Alim-Gora",Female,all,NECO,2-year,College of Education,71,43,12,13,0,2.0,0,0,28,31,0
2019/2020,North East,Taraba,Ardo Kola,Alim-Gora,"Community Secondary School, Alim-Gora",Female,all,NECO,3-5-year,College of Education,34,21,6,6,0,1.5,0,0,13,15,0
2019/2020,North East,Taraba,Ardo Kola,Alim-Gora,"Community Secondary School, Alim-Gora",Female,all,NECO,5+-year,College of Education,21,11,0,0,0,1.5,0,0,10,11,0
2019/2020,North East,Taraba,Ardo Kola,Alim-Gora,"Community Secondary School, Alim-Gora",Female,all,WAEC,1-year,College of Education,112,70,24,21,3,1.0,0,0,42,46,3
2019/2020,North East,Taraba,Ardo Kola,Alim-Gora,"Community Secondary School, Alim-Gora",Female,all,WAEC,2-year,College of Education,67,42,14,11,3,2.0,0,0,25,28,3
2019/2020,North East,Taraba,Ardo Kola,Alim-Gora,"Community Secondary School, Alim-Gora",Female,all,WAEC,3-5-year,College of Education,45,28,10,11,0,1.5,0,0,17,18,0
2019/2020,North East,Taraba,Ardo Kola,Alim-Gora,"Community Secondary School, Alim-Gora",Female,all,WAEC,5+-year,College of Education,25,16,5,5,0,1.5,0,0,9,11,0
2019/2020,North East,Taraba,Ardo Kola,Alim-Gora,"Community Secondary School, Alim-Gora",Female,disabled,NABTEB,1-year,College of Education,5,3,0,0,0,1.0,0,0,2,3,0
2019/2020,North East,Taraba,Ardo Kola,Alim-Gora,"Community Secondary School, Alim-Gora",Female,disabled,NABTEB,2-year,College of Education,2,3,0,0,0,2.0,0,0,0,3,0
2019/2020,North East,Taraba,Ardo Kola,Alim-Gora,"Community Secondary School, Alim-Gora",Female,disabled,NABTEB,3-5-year,College of Education,2,0,0,0,0,1.5,0,0,2,0,0
2019/2020,North East,Taraba,Ardo Kola,Alim-Gora,"Community Secondary School, Alim-Gora",Female,disabled,NABTEB,5+-year,College of Education,2,0,0,0,0,1.5,0,0,2,0,0
2019/2020,North East,Taraba,Ardo Kola,Alim-Gora,"Community Secondary School, Alim-Gora",Female,disabled,NECO,1-year,College of Education,10,5,0,0,0,1.0,0,0,5,5,0
2019/2020,North East,Taraba,Ardo Kola,Alim-Gora,"Community Secondary School, Alim-Gora",Female,disabled,NECO,2-year,College of Education,5,3,0,0,0,2.0,0,0,2,3,0
2019/2020,North East,Taraba,Ardo Kola,Alim-Gora,"Community Secondary School, Alim-Gora",Female,disabled,NECO,3-5-year,College of Education,5,3,0,0,0,1.5,0,0,2,3,0
2019/2020,North East,Taraba,Ardo Kola,Alim-Gora,"Community Secondary School, Alim-Gora",Female,disabled,NECO,5+-year,College of Education,3,3,0,0,0,1.5,0,0,0,3,0
2019/2020,North East,Taraba,Ardo Kola,Alim-Gora,"Community Secondary School, Alim-Gora",Female,disabled,WAEC,1-year,College of Education,12,7,5,5,0,1.0,0,0,5,2,0
