"session","zone","state","lga","ward","school","gender","disability_scope","exam_body","gap_band","institution_type","o_level_candidates","utme_participants","admitted_students","matriculated_students","delayed_transition_students","median_time_to_matriculation_years","ss3_total","loss_ss3_to_olevel","loss_olevel_to_utme","loss_utme_to_admitted","loss_admitted_to_matriculated"
"2019/2020","North East","Borno","Biu","Buratai","Community Secondary School, Buratai","Female","all","NABTEB","1-year","University","42","25","13","14","0","1.0","0","0","17","12","0"
"2019/2020","North East","Borno","Biu","Buratai","Community Secondary School, Buratai","Female","all","NABTEB","2-year","University","31","18","6","7","0","2.0","0","0","13","12","0"
"2019/2020","North East","Borno","Biu","Buratai","Community Secondary School, Buratai","Female","all","NABTEB","3-5-year","University","19","10","7","7","0","1.5","0","0","9","3","0"
"2019/2020","North East","Borno","Biu","Buratai","Community Secondary School, Buratai","Female","all","NABTEB","5+-year","University","12","8","6","0","6","1.5","0","0","4","2","6"
"2019/2020","North East","Borno","Biu","Buratai","Community Secondary School, Buratai","Female","all","NECO","1-year","University","78","47","22","19","3","1.0","0","0","31","25","3"
"2019/2020","North East","Borno","Biu","Buratai","Community Secondary School, Buratai","Female","all","NECO","2-year","University","50","31","13","9","4","2.0","0","0","19","18","4"
"2019/2020","North East","Borno","Biu","Buratai","Community Secondary School, Buratai","Female","all","NECO","3-5-year","University","35","20","9","9","0","1.5","0","0","15","11","0"
"2019/2020","North East","Borno","Biu","Buratai","Community Secondary School, Buratai","Female","all","NECO","5+-year","University","18","11","4","5","0","1.5","0","0","7","7","0"
"2019/2020","North East","Borno","Biu","Buratai","Community Secondary School, Buratai","Female","all","WAEC","1-year","University","103","63","31","25","6","1.0","0","0","40","32","6"
"2019/2020","North East","Borno","Biu","Buratai","Community Secondary School, Buratai","Female","all","WAEC","2-year","University","76","46","23","21","2","2.0","0","0","30","23","2"
"2019/2020","North East","Borno","Biu","Buratai","Community Secondary School, Buratai","Female","all","WAEC","3-5-year","University","39","24","12","8","4","1.5","0","0","15","12","4"
"2019/2020","North East","Borno","Biu","Buratai","Community Secondary School, Buratai","Female","all","WAEC","5+-year","University","25","16","8","8","0","1.5","0","0","9","8","0"
"2019/2020","North East","Borno","Biu","Buratai","Community Secondary School, Buratai","Female","disabled","NABTEB","1-year","University","5","2","6","7","0","1.0","0","0","3","0","0"
"2019/2020","North East","Borno","Biu","Buratai","Community Secondary School, Buratai","Female","disabled","NABTEB","2-year","University","2","2","0","0","0","2.0","0","0","0","2","0"
"2019/2020","North East","Borno","Biu","Buratai","Community Secondary School, Buratai","Female","disabled","NABTEB","3-5-year","University","2","0","0","0","0","1.5","0","0","2","0","0"
"2019/2020","North East","Borno","Biu","Buratai","Community Secondary School, Buratai","Female","disabled","NABTEB","5+-year","University","0","0","0","0","0","1.5","0","0","0","0","0"
"2019/2020","North East","Borno","Biu","Buratai","Community Secondary School, Buratai","Female","disabled","NECO","1-year","University","5","5","4","5","0","1.0","0","0","0","1","0"
"2019/2020","North East","Borno","Biu","Buratai","Community Secondary School, Buratai","Female","disabled","NECO","2-year","University","5","2","0","0","0","2.0","0","0","3","2","0"
"2019/2020","North East","Borno","Biu","Buratai","Community Secondary School, Buratai","Female","disabled","NECO","3-5-year","University","2","2","0","0","0","1.5","0","0","0","2","0"
"2019/2020","North East","Borno","Biu","Buratai","Community Secondary School, Buratai","Female","disabled","NECO","5+-year","University","2","0","0","0","0","1.5","0","0","2","0","0"
"2019/2020","North East","Borno","Biu","Buratai","Community Secondary School, Buratai","Female","disabled","WAEC","1-year","University","10","6","4","4","0","1.0","0","0","4","2","0"
"2019/2020","North East","Borno","Biu","Buratai","Community Secondary School, Buratai","Female","disabled","WAEC","2-year","University","5","4","0","0","0","2.0","0","0","1","4","0"
"2019/2020","North East","Borno","Biu","Buratai","Community Secondary School, Buratai","Female","disabled","WAEC","3-5-year","University","5","2","0","0","0","1.5","0","0","3","2","0"
"2019/2020","North East","Borno","Biu","Buratai","Community Secondary School, Buratai","Female","disabled","WAEC","5+-year","University","2","0","0","0","0","1.5","0","0","2","0","0"
"2019/2020","North East","Borno","Biu","Buratai","Community Secondary School, Buratai","Male","all","NABTEB","1-year","University","45","25","6","7","0","1.0","0","0","20","19","0"
"2019/2020","North East","Borno","Biu","Buratai","Community Secondary School, Buratai","Male","all","NABTEB","2-year","University","28","18","6","7","0","2.0","0","0","10","12","0"
"2019/2020","North East","Borno","Biu","Buratai","Community Secondary School, Buratai","Male","all","NABTEB","3-5-year","University","19","10","6","7","0","1.5","0","0","9","4","0"
"2019/2020","North East","Borno","Biu","Buratai","Community Secondary School, Buratai","Male","all","NABTEB","5+-year","University","12","8","0","0","0","1.5","0","0","4","8","0"
"2019/2020","North East","Borno","Biu","Buratai","Community Secondary School, Buratai","Male","all","NECO","1-year","University","86","49","18","19","0","1.0","0","0","37","31","0"
"2019/2020","North East","Borno","Biu","Buratai","Community Secondary School, Buratai","Male","all","NECO","2-year","University","50","29","13","9","4","2.0","0","0","21","16","4"
"2019/2020","North East","Borno","Biu","Buratai","Community Secondary School, Buratai","Male","all","NECO","3-5-year","University","35","20","9","5","4","1.5","0","0","15","11","4"
"2019/2020","North East","Borno","Biu","Buratai","Community Secondary School, Buratai","Male","all","NECO","5+-year","University","15","9","4","5","0","1.5","0","0","6","5","0"
"2019/2020","North East","Borno","Biu","Buratai","Community Secondary School, Buratai","Male","all","WAEC","1-year","University","110","65","27","25","2","1.0","0","0","45","38","2"
"2019/2020","North East","Borno","Biu","Buratai","Community Secondary School, Buratai","Male","all","WAEC","2-year","University","69","40","15","16","0","2.0","0","0","29","25","0"
"2019/2020","North East","Borno","Biu","Buratai","Community Secondary School, Buratai","Male","all","WAEC","3-5-year","University","49","28","11","8","3","1.5","0","0","21","17","3"
"2019/2020","North East","Borno","Biu","Buratai","Community Secondary School, Buratai","Male","all","WAEC","5+-year","University","22","12","4","4","0","1.5","0","0","10","8","0"
"2019/2020","North East","Borno","Biu","Buratai","Community Secondary School, Buratai","Male","disabled","NABTEB","1-year","University","5","2","0","0","0","1.0","0","0","3","2","0"
"2019/2020","North East","Borno","Biu","Buratai","Community Secondary School, Buratai","Male","disabled","NABTEB","2-year","University","2","2","0","0","0","2.0","0","0","0","2","0"
"2019/2020","North East","Borno","Biu","Buratai","Community Secondary School, Buratai","Male","disabled","NABTEB","3-5-year","University","2","0","0","0","0","1.5","0","0","2","0","0"
"2019/2020","North East","Borno","Biu","Buratai","Community Secondary School, Buratai","Male","disabled","NABTEB","5+-year","University","0","0","0","0","0","1.5","0","0","0","0","0"
"2019/2020","North East","Borno","Biu","Buratai","Community Secondary School, Buratai","Male","disabled","NECO","1-year","University","5","2","4","5","0","1.0","0","0","3","0","0"
"2019/2020","North East","Borno","Biu","Buratai","Community Secondary School, Buratai","Male","disabled","NECO","2-year","University","2","2","0","0","0","2.0","0","0","0","2","0"
"2019/2020","North East","Borno","Biu","Buratai","Community Secondary School, Buratai","Male","disabled","NECO","3-5-year","University","2","2","0","0","0","1.5","0","0","0","2","0"
"2019/2020","North East","Borno","Biu","Buratai","Community Secondary School, Buratai","Male","disabled","NECO","5+-year","University","2","0","0","0","0","1.5","0","0","2","0","0"
"2019/2020","North East","Borno","Biu","Buratai","Community Secondary School, Buratai","Male","disabled","WAEC","1-year","University","10","6","4","4","0","1.0","0","0","4","2","0"
"2019/2020","North East","Borno","Biu","Buratai","Community Secondary School, Buratai","Male","disabled","WAEC","2-year","University","5","4","0","0","0","2.0","0","0","1","4","0"
"2019/2020","North East","Borno","Biu","Buratai","Community Secondary School, Buratai","Male","disabled","WAEC","3-5-year","University","2","2","0","0","0","1.5","0","0","0","2","0"
"2019/2020","North East","Borno","Biu","Buratai","Community Secondary School, Buratai","Male","disabled","WAEC","5+-year","University","2","0","0","0","0","1.5","0","0","2","0","0"
"2019/2020","North East","Borno","Biu","Buratai","Comprehensive High School, Buratai","Female","all","NABTEB","1-year","University","31","20","6","7","0","1.0","0","0","11","14","0"
"2019/2020","North East","Borno","Biu","Buratai","Comprehensive High School, Buratai","Female","all","NABTEB","2-year","University","19","10","6","7","0","2.0","0","0","9","4","0"
"2019/2020","North East","Borno","Biu","Buratai","Comprehensive High School, Buratai","Female","all","NABTEB","3-5-year","University","12","8","7","0","7","1.5","0","0","4","1","7"
"2019/2020","North East","Borno","Biu","Buratai","Comprehensive High School, Buratai","Female","all","NABTEB","5+-year","University","7","5","0","0","0","1.5","0","0","2","5","0"
"2019/2020","North East","Borno","Biu","Buratai","Comprehensive High School, Buratai","Female","all","NECO","1-year","University","53","31","13","14","0","1.0","0","0","22","18","0"
"2019/2020","North East","Borno","Biu","Buratai","Comprehensive High School, Buratai","Female","all","NECO","2-year","University","33","18","9","9","0","2.0","0","0","15","9","0"
"2019/2020","North East","Borno","Biu","Buratai","Comprehensive High School, Buratai","Female","all","NECO","3-5-year","University","20","11","4","5","0","1.5","0","0","9","7","0"
"2019/2020","North East","Borno","Biu","Buratai","Comprehensive High School, Buratai","Female","all","NECO","5+-year","University","10","7","4","0","4","1.5","0","0","3","3","4"
"2019/2020","North East","Borno","Biu","Buratai","Comprehensive High School, Buratai","Female","all","WAEC","1-year","University","73","46","15","16","0","1.0","0","0","27","31","0"
"2019/2020","North East","Borno","Biu","Buratai","Comprehensive High School, Buratai","Female","all","WAEC","2-year","University","47","28","11","8","3","2.0","0","0","19","17","3"
"2019/2020","North East","Borno","Biu","Buratai","Comprehensive High School, Buratai","Female","all","WAEC","3-5-year","University","27","16","8","4","4","1.5","0","0","11","8","4"
"2019/2020","North East","Borno","Biu","Buratai","Comprehensive High School, Buratai","Female","all","WAEC","5+-year","University","15","8","4","4","0","1.5","0","0","7","4","0"
"2019/2020","North East","Borno","Biu","Buratai","Comprehensive High School, Buratai","Female","disabled","NABTEB","1-year","University","5","2","0","0","0","1.0","0","0","3","2","0"
"2019/2020","North East","Borno","Biu","Buratai","Comprehensive High School, Buratai","Female","disabled","NABTEB","2-year","University","2","2","0","0","0","2.0","0","0","0","2","0"
"2019/2020","North East","Borno","Biu","Buratai","Comprehensive High School, Buratai","Female","disabled","NABTEB","3-5-year","University","2","0","0","0","0","1.5","0","0","2","0","0"
"2019/2020","North East","Borno","Biu","Buratai","Comprehensive High School, Buratai","Female","disabled","NABTEB","5+-year","University","0","0","0","0","0","1.5","0","0","0","0","0"
"2019/2020","North East","Borno","Biu","Buratai","Comprehensive High School, Buratai","Female","disabled","NECO","1-year","University","5","2","4","5","0","1.0","0","0","3","0","0"
"2019/2020","North East","Borno","Biu","Buratai","Comprehensive High School, Buratai","Female","disabled","NECO","2-year","University","2","2","0","0","0","2.0","0","0","0","2","0"
"2019/2020","North East","Borno","Biu","Buratai","Comprehensive High School, Buratai","Female","disabled","NECO","3-5-year","University","2","2","0","0","0","1.5","0","0","0","2","0"
"2019/2020","North East","Borno","Biu","Buratai","Comprehensive High School, Buratai","Female","disabled","NECO","5+-year","University","2","0","0","0","0","1.5","0","0","2","0","0"
