"session","zone","state","lga","ward","school","gender","disability_scope","exam_body","gap_band","institution_type","o_level_candidates","utme_participants","admitted_students","matriculated_students","delayed_transition_students","median_time_to_matriculation_years","ss3_total","loss_ss3_to_olevel","loss_olevel_to_utme","loss_utme_to_admitted","loss_admitted_to_matriculated"
"2019/2020","South South","Edo","Esan Central","Ewu I","Community Secondary School, Ewu I","Female","all","NABTEB","1-year","College of Education","29","17","10","11","0","1.0","0","0","12","7","0"
"2019/2020","South South","Edo","Esan Central","Ewu I","Community Secondary School, Ewu I","Female","all","NABTEB","2-year","College of Education","16","11","5","5","0","2.0","0","0","5","6","0"
"2019/2020","South South","Edo","Esan Central","Ewu I","Community Secondary School, Ewu I","Female","all","NABTEB","3-5-year","College of Education","13","8","5","5","0","1.5","0","0","5","3","0"
"2019/2020","South South","Edo","Esan Central","Ewu I","Community Secondary School, Ewu I","Female","all","NABTEB","5+-year","College of Education","5","3","0","0","0","1.5","0","0","2","3","0"
"2019/2020","South South","Edo","Esan Central","Ewu I","Community Secondary School, Ewu I","Female","all","NECO","1-year","College of Education","51","33","8","8","0","1.0","0","0","18","25","0"
"2019/2020","South South","Edo","Esan Central","Ewu I","Community Secondary School, Ewu I","Female","all","NECO","2-year","College of Education","31","20","8","4","4","2.0","0","0","11","12","4"
"2019/2020","South South","Edo","Esan Central","Ewu I","Community Secondary School, Ewu I","Female","all","NECO","3-5-year","College of Education","23","13","4","4","0","1.5","0","0","10","9","0"
"2019/2020","South South","Edo","Esan Central","Ewu I","Community Secondary School, Ewu I","Female","all","NECO","5+-year","College of Education","11","8","4","4","0","1.5","0","0","3","4","0"
"2019/2020","South South","Edo","Esan Central","Ewu I","Community Secondary School, Ewu I","Female","all","WAEC","1-year","College of Education","72","44","19","13","6","1.0","0","0","28","25","6"
"2019/2020","South South","Edo","Esan Central","Ewu I","Community Secondary School, Ewu I","Female","all","WAEC","2-year","College of Education","39","23","8","9","0","2.0","0","0","16","15","0"
"2019/2020","South South","Edo","Esan Central","Ewu I","Community Secondary School, Ewu I","Female","all","WAEC","3-5-year","College of Education","22","14","4","4","0","1.5","0","0","8","10","0"
"2019/2020","South South","Edo","Esan Central","Ewu I","Community Secondary School, Ewu I","Female","all","WAEC","5+-year","College of Education","14","9","4","4","0","1.5","0","0","5","5","0"
"2019/2020","South South","Edo","Esan Central","Ewu I","Community Secondary School, Ewu I","Female","disabled","NABTEB","1-year","College of Education","5","3","5","5","0","1.0","0","0","2","0","0"
"2019/2020","South South","Edo","Esan Central","Ewu I","Community Secondary School, Ewu I","Female","disabled","NABTEB","2-year","College of Education","3","3","0","0","0","2.0","0","0","0","3","0"
"2019/2020","South South","Edo","Esan Central","Ewu I","Community Secondary School, Ewu I","Female","disabled","NABTEB","3-5-year","College of Education","3","0","0","0","0","1.5","0","0","3","0","0"
"2019/2020","South South","Edo","Esan Central","Ewu I","Community Secondary School, Ewu I","Female","disabled","NABTEB","5+-year","College of Education","0","0","0","0","0","1.5","0","0","0","0","0"
"2019/2020","South South","Edo","Esan Central","Ewu I","Community Secondary School, Ewu I","Female","disabled","NECO","1-year","College of Education","6","5","4","4","0","1.0","0","0","1","1","0"
"2019/2020","South South","Edo","Esan Central","Ewu I","Community Secondary School, Ewu I","Female","disabled","NECO","2-year","College of Education","6","2","0","0","0","2.0","0","0","4","2","0"
"2019/2020","South South","Edo","Esan Central","Ewu I","Community Secondary School, Ewu I","Female","disabled","NECO","3-5-year","College of Education","3","2","0","0","0","1.5","0","0","1","2","0"
"2019/2020","South South","Edo","Esan Central","Ewu I","Community Secondary School, Ewu I","Female","disabled","NECO","5+-year","College of Education","3","0","0","0","0","1.5","0","0","3","0","0"
"2019/2020","South South","Edo","Esan Central","Ewu I","Community Secondary School, Ewu I","Female","disabled","WAEC","1-year","College of Education","8","5","4","4","0","1.0","0","0","3","1","0"
"2019/2020","South South","Edo","Esan Central","Ewu I","Community Secondary School, Ewu I","Female","disabled","WAEC","2-year","College of Education","5","5","0","0","0","2.0","0","0","0","5","0"
"2019/2020","South South","Edo","Esan Central","Ewu I","Community Secondary School, Ewu I","Female","disabled","WAEC","3-5-year","College of Education","3","2","0","0","0","1.5","0","0","1","2","0"
"2019/2020","South South","Edo","Esan Central","Ewu I","Community Secondary School, Ewu I","Female","disabled","WAEC","5+-year","College of Education","3","0","0","0","0","1.5","0","0","3","0","0"
"2019/2020","South South","Edo","Esan Central","Ewu I","Community Secondary School, Ewu I","Male","all","NABTEB","1-year","College of Education","31","20","10","11","0","1.0","0","0","11","10","0"
