"session","zone","state","lga","ward","school","gender","disability_scope","exam_body","gap_band","institution_type","o_level_candidates","utme_participants","admitted_students","matriculated_students","delayed_transition_students","median_time_to_matriculation_years","ss3_total","loss_ss3_to_olevel","loss_olevel_to_utme","loss_utme_to_admitted","loss_admitted_to_matriculated"
"2019/2020","North West","Jigawa","Auyo","Auyakayi","Adaha Primary School, Adaha","Female","all","NABTEB","1-year","University","40","32","8","8","0","1.0","0","0","8","24","0"
"2019/2020","North West","Jigawa","Auyo","Auyakayi","Afiyo Nomadic Primary School, Afiyau","Female","all","NABTEB","2-year","University","26","21","8","8","0","2.0","0","0","5","13","0"
"2019/2020","North West","Jigawa","Auyo","Auyakayi","Bankada Nomadic Primary School","Female","all","NABTEB","3-5-year","University","16","11","8","0","8","1.5","0","0","5","3","8"
"2019/2020","North West","Jigawa","Auyo","Auyakayi","Ganuwar Kuka Islamiya Primary School","Female","all","NABTEB","5+-year","University","11","7","0","0","0","1.5","0","0","4","7","0"
"2019/2020","North West","Jigawa","Auyo","Auyakayi","Gidado Nomadic Primary School, Kure","Female","all","NECO","1-year","University","87","62","19","20","0","1.0","0","0","25","43","0"
"2019/2020","North West","Jigawa","Auyo","Auyakayi","Junior Secondary School, Hakudau","Female","all","NECO","2-year","University","52","36","13","7","6","2.0","0","0","16","23","6"
"2019/2020","North West","Jigawa","Auyo","Auyakayi","Kudigin Primary School, Kudigin","Female","all","NECO","3-5-year","University","38","26","6","7","0","1.5","0","0","12","20","0"
"2019/2020","North West","Jigawa","Auyo","Auyo","Auyakayi Primary School, Auyakayi","Female","all","NECO","5+-year","University","20","13","6","7","0","1.5","0","0","7","7","0"
"2019/2020","North West","Jigawa","Auyo","Auyo","Auyo Gabas Primary School, Auyo Town","Female","all","WAEC","1-year","University","121","84","34","29","5","1.0","0","0","37","50","5"
"2019/2020","North West","Jigawa","Auyo","Auyo","Auyo Model Primary School, Auyo Town","Female","all","WAEC","2-year","University","78","55","23","18","5","2.0","0","0","23","32","5"
"2019/2020","North West","Jigawa","Auyo","Auyo","Auyo Model Qur`An Primary School, Auyo","Female","all","WAEC","3-5-year","University","48","35","17","12","5","1.5","0","0","13","18","5"
"2019/2020","North West","Jigawa","Auyo","Auyo","Auyo Special Primary School, Auyo Town","Female","all","WAEC","5+-year","University","28","17","6","6","0","1.5","0","0","11","11","0"
"2019/2020","North West","Jigawa","Auyo","Auyo","Bangeli Primary School, Bangeli","Female","disabled","NABTEB","1-year","University","5","4","0","0","0","1.0","0","0","1","4","0"
"2019/2020","North West","Jigawa","Auyo","Auyo","Gatakashe Primary School, Gatakashe","Female","disabled","NABTEB","2-year","University","3","4","0","0","0","2.0","0","0","0","4","0"
"2019/2020","North West","Jigawa","Auyo","Auyo","Guyu Primary School, Guyu","Female","disabled","NABTEB","3-5-year","University","3","0","0","0","0","1.5","0","0","3","0","0"
"2019/2020","North West","Jigawa","Auyo","Auyo","Gwanki Memorial Nursery And Primary School","Female","disabled","NABTEB","5+-year","University","0","0","0","0","0","1.5","0","0","0","0","0"
"2019/2020","North West","Jigawa","Auyo","Auyo","Hakudau Primary School, Hakudau","Female","disabled","NECO","1-year","University","9","7","0","0","0","1.0","0","0","2","7","0"
"2019/2020","North West","Jigawa","Auyo","Auyo","Jamaar Alkali Alkali Nomadic Primary School, Jamaar Alkali","Female","disabled","NECO","2-year","University","6","3","0","0","0","2.0","0","0","3","3","0"
"2019/2020","North West","Jigawa","Auyo","Auyo","Junior Arabic Secondary School, Auyo","Female","disabled","NECO","3-5-year","University","3","3","0","0","0","1.5","0","0","0","3","0"
"2019/2020","North West","Jigawa","Auyo","Auyo","Junior Secondary School, Auyakayi","Female","disabled","NECO","5+-year","University","3","0","0","0","0","1.5","0","0","3","0","0"
"2019/2020","North West","Jigawa","Auyo","Auyo","Junior Secondary School, Auyo","Female","disabled","WAEC","1-year","University","11","9","6","6","0","1.0","0","0","2","3","0"
"2019/2020","North West","Jigawa","Auyo","Auyo","Junior Secondary School, Auyo Central","Female","disabled","WAEC","2-year","University","8","6","0","0","0","2.0","0","0","2","6","0"
"2019/2020","North West","Jigawa","Auyo","Auyo","Junior Secondary School, G/Kuka","Female","disabled","WAEC","3-5-year","University","5","3","0","0","0","1.5","0","0","2","3","0"
"2019/2020","North West","Jigawa","Auyo","Auyo","Kaab Bin Malik  Quran School","Female","disabled","WAEC","5+-year","University","3","0","0","0","0","1.5","0","0","3","0","0"
"2019/2020","North West","Jigawa","Auyo","Auyo","Kalgwai Primary School, Kalgwai","Male","all","NABTEB","1-year","University","45","32","8","8","0","1.0","0","0","13","24","0"
"2019/2020","North West","Jigawa","Auyo","Auyo","M/Majiya Primary School, Mashagwar Majiya","Male","all","NABTEB","2-year","University","29","21","8","8","0","2.0","0","0","8","13","0"
"2019/2020","North West","Jigawa","Auyo","Auyo","M/Shawara Primary School, Mashagwar Shawara","Male","all","NABTEB","3-5-year","University","24","18","8","0","8","1.5","0","0","6","10","8"
"2019/2020","North West","Jigawa","Auyo","Auyo","Muran Primary School, Muran","Male","all","NABTEB","5+-year","University","13","11","0","0","0","1.5","0","0","2","11","0"
"2019/2020","North West","Jigawa","Auyo","Auyo","Sabuwar Auyo Islamiyya","Male","all","NECO","1-year","University","107","78","19","20","0","1.0","0","0","29","59","0"
"2019/2020","North West","Jigawa","Auyo","Auyo","Tsangayar Malam Abdulaziz","Male","all","NECO","2-year","University","70","49","13","13","0","2.0","0","0","21","36","0"
"2019/2020","North West","Jigawa","Auyo","Auyo","Tsangayar Malam Adbu Aba","Male","all","NECO","3-5-year","University","38","26","6","7","0","1.5","0","0","12","20","0"
"2019/2020","North West","Jigawa","Auyo","Auyo","Tsidir Primary School, Tsidir","Male","all","NECO","5+-year","University","20","16","6","0","6","1.5","0","0","4","10","6"
"2019/2020","North West","Jigawa","Auyo","Auyo","Unik Gana Primary School, Unik","Male","all","WAEC","1-year","University","123","87","34","29","5","1.0","0","0","36","53","5"
"2019/2020","North West","Jigawa","Auyo","Auyo","Uza Primary School, Uza","Male","all","WAEC","2-year","University","76","52","17","18","0","2.0","0","0","24","35","0"
"2019/2020","North West","Jigawa","Auyo","Auyo","Zubaro Primary School, Zubaro","Male","all","WAEC","3-5-year","University","53","38","17","12","5","1.5","0","0","15","21","5"
"2019/2020","North West","Jigawa","Auyo","Auyo","Zugo Nomadic Primary School, Zugo","Male","all","WAEC","5+-year","University","31","23","6","6","0","1.5","0","0","8","17","0"
"2019/2020","North West","Jigawa","Auyo","Ayama","Ayama Primary School, Ayama","Male","disabled","NABTEB","1-year","University","5","4","0","0","0","1.0","0","0","1","4","0"
"2019/2020","North West","Jigawa","Auyo","Ayama","Furawa Primary School, Furawa","Male","disabled","NABTEB","2-year","University","3","4","0","0","0","2.0","0","0","0","4","0"
"2019/2020","North West","Jigawa","Auyo","Ayama","Gurajawa Nomadic Primary School, Gurajawa","Male","disabled","NABTEB","3-5-year","University","3","0","0","0","0","1.5","0","0","3","0","0"
"2019/2020","North West","Jigawa","Auyo","Ayama","Junior Secondary School, Ayama","Male","disabled","NABTEB","5+-year","University","0","0","0","0","0","1.5","0","0","0","0","0"
"2019/2020","North West","Jigawa","Auyo","Ayama","M/Hausawa Primary School, Maje Hausawa","Male","disabled","NECO","1-year","University","12","7","0","0","0","1.0","0","0","5","7","0"
"2019/2020","North West","Jigawa","Auyo","Ayama","Marina Nomadic  Primary School","Male","disabled","NECO","2-year","University","6","3","0","0","0","2.0","0","0","3","3","0"
"2019/2020","North West","Jigawa","Auyo","Ayan","Ayan Primary School, Ayan","Male","disabled","NECO","3-5-year","University","3","3","0","0","0","1.5","0","0","0","3","0"
"2019/2020","North West","Jigawa","Auyo","Ayan","Hadiyo Primary School, Hadiyo","Male","disabled","NECO","5+-year","University","3","3","0","0","0","1.5","0","0","0","3","0"
"2019/2020","North West","Jigawa","Auyo","Ayan","Jamaar Ayan Nomadic Primary School","Male","disabled","WAEC","1-year","University","14","9","6","6","0","1.0","0","0","5","3","0"
"2019/2020","North West","Jigawa","Auyo","Ayan","Junior Secondary School, Ayan","Male","disabled","WAEC","2-year","University","8","6","0","0","0","2.0","0","0","2","6","0"
"2019/2020","North West","Jigawa","Auyo","Ayan","Mado Primary School, Mado","Male","disabled","WAEC","3-5-year","University","6","3","0","0","0","1.5","0","0","3","3","0"
"2019/2020","North West","Jigawa","Auyo","Ayan","Safa Karfi Islamiya Primary School","Male","disabled","WAEC","5+-year","University","3","3","0","0","0","1.5","0","0","0","3","0"
"2019/2020","North West","Jigawa","Auyo","Gamafoi","Gamafio  Primary School","Female","all","NABTEB","1-year","University","19","14","8","8","0","1.0","0","0","5","6","0"
"2019/2020","North West","Jigawa","Auyo","Gamafoi","Gasanya Primary School, Gasanya","Female","all","NABTEB","2-year","University","13","11","0","0","0","2.0","0","0","2","11","0"
"2019/2020","North West","Jigawa","Auyo","Gamafoi","Gidan Dalla Primary School, Gidan Dalla","Female","all","NABTEB","3-5-year","University","8","4","0","0","0","1.5","0","0","4","4","0"
"2019/2020","North West","Jigawa","Auyo","Gamafoi","Haruna Islamiyya Primary School","Female","all","NABTEB","5+-year","University","5","4","0","0","0","1.5","0","0","1","4","0"
"2019/2020","North West","Jigawa","Auyo","Gamafoi","Maro Primary School","Female","all","NECO","1-year","University","41","29","6","7","0","1.0","0","0","12","23","0"
"2019/2020","North West","Jigawa","Auyo","Gamafoi","Zumoni Isalamiya Primary School","Female","all","NECO","2-year","University","26","20","6","7","0","2.0","0","0","6","14","0"
"2019/2020","North West","Jigawa","Auyo","Gamsarka","Agamo Islamiyya Primary School","Female","all","NECO","3-5-year","University","14","10","6","0","6","1.5","0","0","4","4","6"
"2019/2020","North West","Jigawa","Auyo","Gamsarka","Gamsarka Primary School, Gamsarka","Female","all","NECO","5+-year","University","9","7","0","0","0","1.5","0","0","2","7","0"
"2019/2020","North West","Jigawa","Auyo","Gamsarka","Ganuwar Kuku Kuka Primary School, Ganuwar Kuku","Female","all","WAEC","1-year","University","53","38","12","12","0","1.0","0","0","15","26","0"
"2019/2020","North West","Jigawa","Auyo","Gamsarka","Junior Arabic Secondary School, Gamsarka","Female","all","WAEC","2-year","University","36","26","12","6","6","2.0","0","0","10","14","6"
"2019/2020","North West","Jigawa","Auyo","Gamsarka","Jura Primary School, Jura","Female","all","WAEC","3-5-year","University","20","14","6","6","0","1.5","0","0","6","8","0"
"2019/2020","North West","Jigawa","Auyo","Gamsarka","Safa Primary School, Safa","Female","all","WAEC","5+-year","University","14","9","6","6","0","1.5","0","0","5","3","0"
"2019/2020","North West","Jigawa","Auyo","Gatafa","Gatafa Islamiyya Primary School","Female","disabled","NABTEB","1-year","University","5","4","0","0","0","1.0","0","0","1","4","0"
"2019/2020","North West","Jigawa","Auyo","Gatafa","Gatafa Primary School, Gatafa","Female","disabled","NABTEB","2-year","University","3","4","0","0","0","2.0","0","0","0","4","0"
"2019/2020","North West","Jigawa","Auyo","Gatafa","Junior Secondary School, Gatafa","Female","disabled","NABTEB","3-5-year","University","3","0","0","0","0","1.5","0","0","3","0","0"
"2019/2020","North West","Jigawa","Auyo","Gatafa","Kaban Primary School, Kaban","Female","disabled","NABTEB","5+-year","University","0","0","0","0","0","1.5","0","0","0","0","0"
"2019/2020","North West","Jigawa","Auyo","Gatafa","Nurul Anwar Islamiyya Primary School","Female","disabled","NECO","1-year","University","6","3","0","0","0","1.0","0","0","3","3","0"
"2019/2020","North West","Jigawa","Auyo","Gatafa","Shamarma Primary School, Shamarma","Female","disabled","NECO","2-year","University","3","3","0","0","0","2.0","0","0","0","3","0"
"2019/2020","North West","Jigawa","Auyo","Kafur","G/Tandu Primary School, G Tandu","Female","disabled","NECO","3-5-year","University","3","0","0","0","0","1.5","0","0","3","0","0"
"2019/2020","North West","Jigawa","Auyo","Kafur","Government Day Junior Secondary Kafur","Female","disabled","NECO","5+-year","University","0","0","0","0","0","1.5","0","0","0","0","0"
"2019/2020","North West","Jigawa","Auyo","Kafur","Junior Arabic Secondary School, Gidado Kure","Female","disabled","WAEC","1-year","University","5","3","0","0","0","1.0","0","0","2","3","0"
"2019/2020","North West","Jigawa","Auyo","Kafur","Kafaradau Primary School, Kafardau","Female","disabled","WAEC","2-year","University","3","3","0","0","0","2.0","0","0","0","3","0"
"2019/2020","North West","Jigawa","Auyo","Kafur","Kafur Primary School, Kafur","Female","disabled","WAEC","3-5-year","University","3","3","0","0","0","1.5","0","0","0","3","0"
"2019/2020","North West","Jigawa","Auyo","Kafur","Shinge Primary School, Shinge","Female","disabled","WAEC","5+-year","University","3","0","0","0","0","1.5","0","0","3","0","0"
"2019/2020","North West","Jigawa","Auyo","Tsidir","Afarmo Primary School, Afarmo","Male","all","NABTEB","1-year","University","24","18","8","8","0","1.0","0","0","6","10","0"
"2019/2020","North West","Jigawa","Auyo","Tsidir","Akubushin Primary School, Akubushin","Male","all","NABTEB","2-year","University","13","11","0","0","0","2.0","0","0","2","11","0"
"2019/2020","North West","Jigawa","Auyo","Tsidir","Galadimawa Nomadic Primary School","Male","all","NABTEB","3-5-year","University","11","7","0","0","0","1.5","0","0","4","7","0"
"2019/2020","North West","Jigawa","Auyo","Tsidir","Junior Secondary School, Adaha","Male","all","NABTEB","5+-year","University","5","3","0","0","0","1.5","0","0","2","3","0"
"2019/2020","North West","Jigawa","Auyo","Tsidir","Kataudi Primary School, Kataudi","Male","all","NECO","1-year","University","43","32","6","7","0","1.0","0","0","11","26","0"
"2019/2020","North West","Jigawa","Auyo","Tsidir","Shiyo Primary School, Shiyo","Male","all","NECO","2-year","University","26","20","6","7","0","2.0","0","0","6","14","0"
"2019/2020","North West","Jigawa","Auyo","Unik","Abuja Gl Nomadic Primary School","Male","all","NECO","3-5-year","University","17","13","6","0","6","1.5","0","0","4","7","6"
"2019/2020","North West","Jigawa","Auyo","Unik","Junior Secondary School, Gasanya","Male","all","NECO","5+-year","University","9","7","0","0","0","1.5","0","0","2","7","0"
"2019/2020","North West","Jigawa","Auyo","Unik","Junior Secondary School, Unik","Male","all","WAEC","1-year","University","59","44","11","12","0","1.0","0","0","15","33","0"
"2019/2020","North West","Jigawa","Auyo","Unik","Junior Secondary School, Unik Babba","Male","all","WAEC","2-year","University","36","26","11","6","5","2.0","0","0","10","15","5"
"2019/2020","North West","Jigawa","Auyo","Unik","Kigin Primary School, Kigin","Male","all","WAEC","3-5-year","University","25","17","6","6","0","1.5","0","0","8","11","0"
"2019/2020","North West","Jigawa","Auyo","Unik","Unik Babba Primary School, Unik Babba","Male","all","WAEC","5+-year","University","17","12","6","6","0","1.5","0","0","5","6","0"
"2019/2020","North West","Jigawa","Babura","Babura","Akula Primary School, Babura Town","Male","disabled","NABTEB","1-year","University","5","3","0","0","0","1.0","0","0","2","3","0"
"2019/2020","North West","Jigawa","Babura","Babura","Alhaji Sani Babura Primary School, Kofar Yamma Tsallake","Male","disabled","NABTEB","2-year","University","3","3","0","0","0","2.0","0","0","0","3","0"
"2019/2020","North West","Jigawa","Babura","Babura","Babura Academy Nursery And Primary School","Male","disabled","NABTEB","3-5-year","University","3","0","0","0","0","1.5","0","0","3","0","0"
"2019/2020","North West","Jigawa","Babura","Babura","Babura Gabas Primary School, Babura","Male","disabled","NABTEB","5+-year","University","0","0","0","0","0","1.5","0","0","0","0","0"
"2019/2020","North West","Jigawa","Babura","Babura","Babura Kudu Primary School, Babura","Male","disabled","NECO","1-year","University","6","3","0","0","0","1.0","0","0","3","3","0"
"2019/2020","North West","Jigawa","Babura","Babura","Babura Model Islamiya Primary School, Babura","Male","disabled","NECO","2-year","University","3","3","0","0","0","2.0","0","0","0","3","0"
"2019/2020","North West","Jigawa","Babura","Babura","Babura Modelprimary School, Babura","Male","disabled","NECO","3-5-year","University","3","0","0","0","0","1.5","0","0","3","0","0"
"2019/2020","North West","Jigawa","Babura","Babura","Govt. Girls Unity Sss/ Junior Arabic Secondary School, Babura","Male","disabled","NECO","5+-year","University","0","0","0","0","0","1.5","0","0","0","0","0"
"2019/2020","North West","Jigawa","Babura","Babura","Jss Gurfai Babura","Male","disabled","WAEC","1-year","University","6","6","0","0","0","1.0","0","0","0","6","0"
"2019/2020","North West","Jigawa","Babura","Babura","Jss Muftahus Sunnah Al-Islamiyya  Babura","Male","disabled","WAEC","2-year","University","6","3","0","0","0","2.0","0","0","3","3","0"
"2019/2020","North West","Jigawa","Babura","Babura","Jss Muni","Male","disabled","WAEC","3-5-year","University","3","3","0","0","0","1.5","0","0","0","3","0"
"2019/2020","North West","Jigawa","Babura","Babura","Jss Sahab Academy Babura","Male","disabled","WAEC","5+-year","University","3","0","0","0","0","1.5","0","0","3","0","0"
"2019/2020","North West","Jigawa","Babura","Babura","Junior Arabic Secondary School, Babura Arewa","Female","all","NABTEB","1-year","University","45","32","15","17","0","1.0","0","0","13","17","0"
"2019/2020","North West","Jigawa","Babura","Babura","Junior Secondary School, Alhaji Sani Babura","Female","all","NABTEB","2-year","University","29","21","15","8","7","2.0","0","0","8","6","7"
"2019/2020","North West","Jigawa","Babura","Babura","Junior Secondary School, Babura Kudu","Female","all","NABTEB","3-5-year","University","16","14","8","8","0","1.5","0","0","2","6","0"
"2019/2020","North West","Jigawa","Babura","Babura","Madinatul Ahabab Islamiyya Primary School, Babura Kofar Yamma","Female","all","NABTEB","5+-year","University","11","7","0","0","0","1.5","0","0","4","7","0"
"2019/2020","North West","Jigawa","Babura","Babura","Muftahus Sunnah Al-Islamiyya Primary School Babura","Female","all","NECO","1-year","University","93","75","32","27","5","1.0","0","0","18","43","5"
"2019/2020","North West","Jigawa","Babura","Babura","Sahab Academy Schools, Babura","Female","all","NECO","2-year","University","52","42","19","13","6","2.0","0","0","10","23","6"
"2019/2020","North West","Jigawa","Babura","Babura","Tsangaya Islamiya M. Primary School, Babura","Female","all","NECO","3-5-year","University","35","26","13","13","0","1.5","0","0","9","13","0"
"2019/2020","North West","Jigawa","Babura","Batali","Ballada Primary School, Ballada","Female","all","NECO","5+-year","University","26","20","6","7","0","1.5","0","0","6","14","0"
"2019/2020","North West","Jigawa","Babura","Batali","Batali Primary School, Batali","Female","all","WAEC","1-year","University","121","90","40","35","5","1.0","0","0","31","50","5"
