"session","zone","state","lga","ward","school","gender","disability_scope","exam_body","gap_band","institution_type","o_level_candidates","utme_participants","admitted_students","matriculated_students","delayed_transition_students","median_time_to_matriculation_years","ss3_total","loss_ss3_to_olevel","loss_olevel_to_utme","loss_utme_to_admitted","loss_admitted_to_matriculated"
"2019/2020","South West","Lagos","Alimosho","Abule-Egba/Aboru/Meiran/Alagbado","Community Secondary School, Abule-Egba/Aboru/Meiran/Alagbado","Female","all","NABTEB","1-year","Polytechnic","43","31","13","15","0","1.0","0","0","12","18","0"
"2019/2020","South West","Lagos","Alimosho","Abule-Egba/Aboru/Meiran/Alagbado","Community Secondary School, Abule-Egba/Aboru/Meiran/Alagbado","Female","all","NABTEB","2-year","Polytechnic","27","18","7","7","0","2.0","0","0","9","11","0"
"2019/2020","South West","Lagos","Alimosho","Abule-Egba/Aboru/Meiran/Alagbado","Community Secondary School, Abule-Egba/Aboru/Meiran/Alagbado","Female","all","NABTEB","3-5-year","Polytechnic","16","9","7","7","0","1.5","0","0","7","2","0"
"2019/2020","South West","Lagos","Alimosho","Abule-Egba/Aboru/Meiran/Alagbado","Community Secondary School, Abule-Egba/Aboru/Meiran/Alagbado","Female","all","NABTEB","5+-year","Polytechnic","8","9","0","0","0","1.5","0","0","0","9","0"
"2019/2020","South West","Lagos","Alimosho","Abule-Egba/Aboru/Meiran/Alagbado","Community Secondary School, Abule-Egba/Aboru/Meiran/Alagbado","Female","all","NECO","1-year","Polytechnic","77","52","18","19","0","1.0","0","0","25","34","0"
"2019/2020","South West","Lagos","Alimosho","Abule-Egba/Aboru/Meiran/Alagbado","Community Secondary School, Abule-Egba/Aboru/Meiran/Alagbado","Female","all","NECO","2-year","Polytechnic","51","32","12","13","0","2.0","0","0","19","20","0"
"2019/2020","South West","Lagos","Alimosho","Abule-Egba/Aboru/Meiran/Alagbado","Community Secondary School, Abule-Egba/Aboru/Meiran/Alagbado","Female","all","NECO","3-5-year","Polytechnic","34","24","12","6","6","1.5","0","0","10","12","6"
"2019/2020","South West","Lagos","Alimosho","Abule-Egba/Aboru/Meiran/Alagbado","Community Secondary School, Abule-Egba/Aboru/Meiran/Alagbado","Female","all","NECO","5+-year","Polytechnic","13","12","6","6","0","1.5","0","0","1","6","0"
"2019/2020","South West","Lagos","Alimosho","Abule-Egba/Aboru/Meiran/Alagbado","Community Secondary School, Abule-Egba/Aboru/Meiran/Alagbado","Female","all","WAEC","1-year","Polytechnic","90","58","21","22","0","1.0","0","0","32","37","0"
"2019/2020","South West","Lagos","Alimosho","Abule-Egba/Aboru/Meiran/Alagbado","Community Secondary School, Abule-Egba/Aboru/Meiran/Alagbado","Female","all","WAEC","2-year","Polytechnic","57","40","16","11","5","2.0","0","0","17","24","5"
