"session","zone","state","lga","ward","school","gender","disability_scope","exam_body","gap_band","institution_type","o_level_candidates","utme_participants","admitted_students","matriculated_students","delayed_transition_students","median_time_to_matriculation_years","ss3_total","loss_ss3_to_olevel","loss_olevel_to_utme","loss_utme_to_admitted","loss_admitted_to_matriculated"
"2019/2020","South East","Imo","Aboh Mbaise","Amuzu","Community Secondary School, Amuzu","Female","all","NABTEB","1-year","College of Education","46","27","10","11","0","1.0","0","0","19","17","0"
"2019/2020","South East","Imo","Aboh Mbaise","Amuzu","Community Secondary School, Amuzu","Female","all","NABTEB","2-year","College of Education","25","16","5","6","0","2.0","0","0","9","11","0"
"2019/2020","South East","Imo","Aboh Mbaise","Amuzu","Community Secondary School, Amuzu","Female","all","NABTEB","3-5-year","College of Education","20","11","5","6","0","1.5","0","0","9","6","0"
"2019/2020","South East","Imo","Aboh Mbaise","Amuzu","Community Secondary School, Amuzu","Female","all","NABTEB","5+-year","College of Education","10","5","5","0","5","1.5","0","0","5","0","5"
"2019/2020","South East","Imo","Aboh Mbaise","Amuzu","Community Secondary School, Amuzu","Female","all","NECO","1-year","College of Education","116","68","26","28","0","1.0","0","0","48","42","0"
"2019/2020","South East","Imo","Aboh Mbaise","Amuzu","Community Secondary School, Amuzu","Female","all","NECO","2-year","College of Education","72","41","18","14","4","2.0","0","0","31","23","4"
"2019/2020","South East","Imo","Aboh Mbaise","Amuzu","Community Secondary School, Amuzu","Female","all","NECO","3-5-year","College of Education","44","27","13","9","4","1.5","0","0","17","14","4"
"2019/2020","South East","Imo","Aboh Mbaise","Amuzu","Community Secondary School, Amuzu","Female","all","NECO","5+-year","College of Education","22","12","4","5","0","1.5","0","0","10","8","0"
"2019/2020","South East","Imo","Aboh Mbaise","Amuzu","Community Secondary School, Amuzu","Female","all","WAEC","1-year","College of Education","133","80","31","29","2","1.0","0","0","53","49","2"
"2019/2020","South East","Imo","Aboh Mbaise","Amuzu","Community Secondary School, Amuzu","Female","all","WAEC","2-year","College of Education","82","50","19","17","2","2.0","0","0","32","31","2"
"2019/2020","South East","Imo","Aboh Mbaise","Amuzu","Community Secondary School, Amuzu","Female","all","WAEC","3-5-year","College of Education","56","35","15","13","2","1.5","0","0","21","20","2"
"2019/2020","South East","Imo","Aboh Mbaise","Amuzu","Community Secondary School, Amuzu","Female","all","WAEC","5+-year","College of Education","32","17","8","8","0","1.5","0","0","15","9","0"
"2019/2020","South East","Imo","Aboh Mbaise","Amuzu","Community Secondary School, Amuzu","Female","disabled","NABTEB","1-year","College of Education","5","3","5","5","0","1.0","0","0","2","0","0"
"2019/2020","South East","Imo","Aboh Mbaise","Amuzu","Community Secondary School, Amuzu","Female","disabled","NABTEB","2-year","College of Education","3","3","0","0","0","2.0","0","0","0","3","0"
"2019/2020","South East","Imo","Aboh Mbaise","Amuzu","Community Secondary School, Amuzu","Female","disabled","NABTEB","3-5-year","College of Education","2","0","0","0","0","1.5","0","0","2","0","0"
"2019/2020","South East","Imo","Aboh Mbaise","Amuzu","Community Secondary School, Amuzu","Female","disabled","NABTEB","5+-year","College of Education","0","0","0","0","0","1.5","0","0","0","0","0"
"2019/2020","South East","Imo","Aboh Mbaise","Amuzu","Community Secondary School, Amuzu","Female","disabled","NECO","1-year","College of Education","8","5","4","5","0","1.0","0","0","3","1","0"
"2019/2020","South East","Imo","Aboh Mbaise","Amuzu","Community Secondary School, Amuzu","Female","disabled","NECO","2-year","College of Education","5","5","0","0","0","2.0","0","0","0","5","0"
"2019/2020","South East","Imo","Aboh Mbaise","Amuzu","Community Secondary School, Amuzu","Female","disabled","NECO","3-5-year","College of Education","3","2","0","0","0","1.5","0","0","1","2","0"
"2019/2020","South East","Imo","Aboh Mbaise","Amuzu","Community Secondary School, Amuzu","Female","disabled","NECO","5+-year","College of Education","3","0","0","0","0","1.5","0","0","3","0","0"
"2019/2020","South East","Imo","Aboh Mbaise","Amuzu","Community Secondary School, Amuzu","Female","disabled","WAEC","1-year","College of Education","11","7","4","4","0","1.0","0","0","4","3","0"
"2019/2020","South East","Imo","Aboh Mbaise","Amuzu","Community Secondary School, Amuzu","Female","disabled","WAEC","2-year","College of Education","5","4","0","0","0","2.0","0","0","1","4","0"
