session,zone,state,lga,ward,school,gender,disability_scope,exam_body,gap_band,institution_type,o_level_candidates,utme_participants,admitted_students,matriculated_students,delayed_transition_students,median_time_to_matriculation_years,ss3_total,loss_ss3_to_olevel,loss_olevel_to_utme,loss_utme_to_admitted,loss_admitted_to_matriculated
2019/2020,South West,Ekiti,Ado Ekiti,Ado 'A' Idofin,"Community Secondary School, Ado 'A' Idofin",Female,all,NABTEB,1-year,University,22,13,4,4,0,1.0,0,0,9,9,0
2019/2020,South West,Ekiti,Ado Ekiti,Ado 'A' Idofin,"Community Secondary School, Ado 'A' Idofin",Female,all,NABTEB,2-year,University,13,9,4,4,0,2.0,0,0,4,5,0
2019/2020,South West,Ekiti,Ado Ekiti,Ado 'A' Idofin,"Community Secondary School, Ado 'A' Idofin",Female,all,NABTEB,3-5-year,University,9,5,4,4,0,1.5,0,0,4,1,0
2019/2020,South West,Ekiti,Ado Ekiti,Ado 'A' Idofin,"Community Secondary School, Ado 'A' Idofin",Female,all,NABTEB,5+-year,University,4,2,0,0,0,1.5,0,0,2,2,0
2019/2020,South West,Ekiti,Ado Ekiti,Ado 'A' Idofin,"Community Secondary School, Ado 'A' Idofin",Female,all,NECO,1-year,University,35,23,7,7,0,1.0,0,0,12,16,0
2019/2020,South West,Ekiti,Ado Ekiti,Ado 'A' Idofin,"Community Secondary School, Ado 'A' Idofin",Female,all,NECO,2-year,University,24,14,7,4,3,2.0,0,0,10,7,3
2019/2020,South West,Ekiti,Ado Ekiti,Ado 'A' Idofin,"Community Secondary School, Ado 'A' Idofin",Female,all,NECO,3-5-year,University,12,8,4,4,0,1.5,0,0,4,4,0
2019/2020,South West,Ekiti,Ado Ekiti,Ado 'A' Idofin,"Community Secondary School, Ado 'A' Idofin",Female,all,NECO,5+-year,University,9,6,4,4,0,1.5,0,0,3,2,0
2019/2020,South West,Ekiti,Ado Ekiti,Ado 'A' Idofin,"Community Secondary School, Ado 'A' Idofin",Female,all,WAEC,1-year,University,48,31,11,9,2,1.0,0,0,17,20,2
2019/2020,South West,Ekiti,Ado Ekiti,Ado 'A' Idofin,"Community Secondary School, Ado 'A' Idofin",Female,all,WAEC,2-year,University,30,18,8,6,2,2.0,0,0,12,10,2
2019/2020,South West,Ekiti,Ado Ekiti,Ado 'A' Idofin,"Community Secondary School, Ado 'A' Idofin",Female,all,WAEC,3-5-year,University,23,15,5,6,0,1.5,0,0,8,10,0
2019/2020,South West,Ekiti,Ado Ekiti,Ado 'A' Idofin,"Community Secondary School, Ado 'A' Idofin",Female,all,WAEC,5+-year,University,14,7,3,3,0,1.5,0,0,7,4,0
