"session","zone","state","lga","ward","school","gender","disability_scope","exam_body","gap_band","institution_type","o_level_candidates","utme_participants","admitted_students","matriculated_students","delayed_transition_students","median_time_to_matriculation_years","ss3_total","loss_ss3_to_olevel","loss_olevel_to_utme","loss_utme_to_admitted","loss_admitted_to_matriculated"
"2019/2020","North West","Zamfara","Bungudu","Bingi North","Community Secondary School, Bingi North","Female","all","NABTEB","1-year","Polytechnic","44","30","13","8","5","1.0","0","0","14","17","5"
"2019/2020","North West","Zamfara","Bungudu","Bingi North","Community Secondary School, Bingi North","Female","all","NABTEB","2-year","Polytechnic","28","20","7","8","0","2.0","0","0","8","13","0"
"2019/2020","North West","Zamfara","Bungudu","Bingi North","Community Secondary School, Bingi North","Female","all","NABTEB","3-5-year","Polytechnic","18","14","7","8","0","1.5","0","0","4","7","0"
"2019/2020","North West","Zamfara","Bungudu","Bingi North","Community Secondary School, Bingi North","Female","all","NABTEB","5+-year","Polytechnic","10","7","0","0","0","1.5","0","0","3","7","0"
"2019/2020","North West","Zamfara","Bungudu","Bingi North","Community Secondary School, Bingi North","Female","all","NECO","1-year","Polytechnic","74","53","11","13","0","1.0","0","0","21","42","0"
"2019/2020","North West","Zamfara","Bungudu","Bingi North","Community Secondary School, Bingi North","Female","all","NECO","2-year","Polytechnic","51","34","11","6","5","2.0","0","0","17","23","5"
"2019/2020","North West","Zamfara","Bungudu","Bingi North","Community Secondary School, Bingi North","Female","all","NECO","3-5-year","Polytechnic","31","22","6","6","0","1.5","0","0","9","16","0"
"2019/2020","North West","Zamfara","Bungudu","Bingi North","Community Secondary School, Bingi North","Female","all","NECO","5+-year","Polytechnic","17","12","6","6","0","1.5","0","0","5","6","0"
"2019/2020","North West","Zamfara","Bungudu","Bingi North","Community Secondary School, Bingi North","Female","all","WAEC","1-year","Polytechnic","119","81","23","19","4","1.0","0","0","38","58","4"
"2019/2020","North West","Zamfara","Bungudu","Bingi North","Community Secondary School, Bingi North","Female","all","WAEC","2-year","Polytechnic","73","51","18","15","3","2.0","0","0","22","33","3"
"2019/2020","North West","Zamfara","Bungudu","Bingi North","Community Secondary School, Bingi North","Female","all","WAEC","3-5-year","Polytechnic","46","32","9","10","0","1.5","0","0","14","23","0"
"2019/2020","North West","Zamfara","Bungudu","Bingi North","Community Secondary School, Bingi North","Female","all","WAEC","5+-year","Polytechnic","27","19","5","5","0","1.5","0","0","8","14","0"
"2019/2020","North West","Zamfara","Bungudu","Bingi North","Community Secondary School, Bingi North","Female","disabled","NABTEB","1-year","Polytechnic","5","3","0","0","0","1.0","0","0","2","3","0"
"2019/2020","North West","Zamfara","Bungudu","Bingi North","Community Secondary School, Bingi North","Female","disabled","NABTEB","2-year","Polytechnic","3","3","0","0","0","2.0","0","0","0","3","0"
