session,zone,state,lga,ward,school,gender,disability_scope,exam_body,gap_band,institution_type,o_level_candidates,utme_participants,admitted_students,matriculated_students,delayed_transition_students,median_time_to_matriculation_years,ss3_total,loss_ss3_to_olevel,loss_olevel_to_utme,loss_utme_to_admitted,loss_admitted_to_matriculated
2019/2020,North Central,Niger,Agaie,Baro,"Community Secondary School, Baro",Female,all,NABTEB,1-year,Polytechnic,40,28,15,8,7,1.0,0,0,12,13,7
2019/2020,North Central,Niger,Agaie,Baro,"Community Secondary School, Baro",Female,all,NABTEB,2-year,Polytechnic,29,21,7,7,0,2.0,0,0,8,14,0
2019/2020,North Central,Niger,Agaie,Baro,"Community Secondary School, Baro",Female,all,NABTEB,3-5-year,Polytechnic,19,14,7,7,0,1.5,0,0,5,7,0
2019/2020,North Central,Niger,Agaie,Baro,"Community Secondary School, Baro",Female,all,NABTEB,5+-year,Polytechnic,11,7,0,0,0,1.5,0,0,4,7,0
2019/2020,North Central,Niger,Agaie,Baro,"Community Secondary School, Baro",Female,all,NECO,1-year,Polytechnic,67,50,21,16,5,1.0,0,0,17,29,5
2019/2020,North Central,Niger,Agaie,Baro,"Community Secondary School, Baro",Female,all,NECO,2-year,Polytechnic,44,31,11,11,0,2.0,0,0,13,20,0
2019/2020,North Central,Niger,Agaie,Baro,"Community Secondary School, Baro",Female,all,NECO,3-5-year,Polytechnic,26,19,6,5,1,1.5,0,0,7,13,1
2019/2020,North Central,Niger,Agaie,Baro,"Community Secondary School, Baro",Female,all,NECO,5+-year,Polytechnic,17,13,6,5,1,1.5,0,0,4,7,1
2019/2020,North Central,Niger,Agaie,Baro,"Community Secondary School, Baro",Female,all,WAEC,1-year,Polytechnic,104,72,25,21,4,1.0,0,0,32,47,4
2019/2020,North Central,Niger,Agaie,Baro,"Community Secondary School, Baro",Female,all,WAEC,2-year,Polytechnic,67,47,20,16,4,2.0,0,0,20,27,4
2019/2020,North Central,Niger,Agaie,Baro,"Community Secondary School, Baro",Female,all,WAEC,3-5-year,Polytechnic,42,31,10,11,0,1.5,0,0,11,21,0
2019/2020,North Central,Niger,Agaie,Baro,"Community Secondary School, Baro",Female,all,WAEC,5+-year,Polytechnic,20,14,5,5,0,1.5,0,0,6,9,0
2019/2020,North Central,Niger,Agaie,Baro,"Community Secondary School, Baro",Female,disabled,NABTEB,1-year,Polytechnic,5,4,0,0,0,1.0,0,0,1,4,0
2019/2020,North Central,Niger,Agaie,Baro,"Community Secondary School, Baro",Female,disabled,NABTEB,2-year,Polytechnic,3,4,0,0,0,2.0,0,0,0,4,0
2019/2020,North Central,Niger,Agaie,Baro,"Community Secondary School, Baro",Female,disabled,NABTEB,3-5-year,Polytechnic,3,0,0,0,0,1.5,0,0,3,0,0
2019/2020,North Central,Niger,Agaie,Baro,"Community Secondary School, Baro",Female,disabled,NABTEB,5+-year,Polytechnic,0,0,0,0,0,1.5,0,0,0,0,0
2019/2020,North Central,Niger,Agaie,Baro,"Community Secondary School, Baro",Female,disabled,NECO,1-year,Polytechnic,6,3,5,5,0,1.0,0,0,3,0,0
2019/2020,North Central,Niger,Agaie,Baro,"Community Secondary School, Baro",Female,disabled,NECO,2-year,Polytechnic,3,3,0,0,0,2.0,0,0,0,3,0
2019/2020,North Central,Niger,Agaie,Baro,"Community Secondary School, Baro",Female,disabled,NECO,3-5-year,Polytechnic,3,3,0,0,0,1.5,0,0,0,3,0
2019/2020,North Central,Niger,Agaie,Baro,"Community Secondary School, Baro",Female,disabled,NECO,5+-year,Polytechnic,3,0,0,0,0,1.5,0,0,3,0,0
2019/2020,North Central,Niger,Agaie,Baro,"Community Secondary School, Baro",Female,disabled,WAEC,1-year,Polytechnic,8,5,5,5,0,1.0,0,0,3,0,0
2019/2020,North Central,Niger,Agaie,Baro,"Community Secondary School, Baro",Female,disabled,WAEC,2-year,Polytechnic,5,3,0,0,0,2.0,0,0,2,3,0
2019/2020,North Central,Niger,Agaie,Baro,"Community Secondary School, Baro",Female,disabled,WAEC,3-5-year,Polytechnic,5,3,0,0,0,1.5,0,0,2,3,0
2019/2020,North Central,Niger,Agaie,Baro,"Community Secondary School, Baro",Female,disabled,WAEC,5+-year,Polytechnic,3,3,0,0,0,1.5,0,0,0,3,0
2019/2020,North Central,Niger,Agaie,Baro,"Community Secondary School, Baro",Male,all,NABTEB,1-year,Polytechnic,46,31,7,7,0,1.0,0,0,15,24,0
2019/2020,North Central,Niger,Agaie,Baro,"Community Secondary School, Baro",Male,all,NABTEB,2-year,Polytechnic,27,17,7,7,0,2.0,0,0,10,10,0
2019/2020,North Central,Niger,Agaie,Baro,"Community Secondary School, Baro",Male,all,NABTEB,3-5-year,Polytechnic,24,14,0,0,0,1.5,0,0,10,14,0
2019/2020,North Central,Niger,Agaie,Baro,"Community Secondary School, Baro",Male,all,NABTEB,5+-year,Polytechnic,8,7,0,0,0,1.5,0,0,1,7,0
2019/2020,North Central,Niger,Agaie,Baro,"Community Secondary School, Baro",Male,all,NECO,1-year,Polytechnic,79,53,16,11,5,1.0,0,0,26,37,5
2019/2020,North Central,Niger,Agaie,Baro,"Community Secondary School, Baro",Male,all,NECO,2-year,Polytechnic,52,34,11,11,0,2.0,0,0,18,23,0
2019/2020,North Central,Niger,Agaie,Baro,"Community Secondary School, Baro",Male,all,NECO,3-5-year,Polytechnic,32,22,5,5,0,1.5,0,0,10,17,0
2019/2020,North Central,Niger,Agaie,Baro,"Community Secondary School, Baro",Male,all,NECO,5+-year,Polytechnic,17,13,5,5,0,1.5,0,0,4,8,0
2019/2020,North Central,Niger,Agaie,Baro,"Community Secondary School, Baro",Male,all,WAEC,1-year,Polytechnic,118,78,20,21,0,1.0,0,0,40,58,0
2019/2020,North Central,Niger,Agaie,Baro,"Community Secondary School, Baro",Male,all,WAEC,2-year,Polytechnic,70,47,15,11,4,2.0,0,0,23,32,4
2019/2020,North Central,Niger,Agaie,Baro,"Community Secondary School, Baro",Male,all,WAEC,3-5-year,Polytechnic,48,33,10,5,5,1.5,0,0,15,23,5
2019/2020,North Central,Niger,Agaie,Baro,"Community Secondary School, Baro",Male,all,WAEC,5+-year,Polytechnic,22,14,5,5,0,1.5,0,0,8,9,0
2019/2020,North Central,Niger,Agaie,Baro,"Community Secondary School, Baro",Male,disabled,NABTEB,1-year,Polytechnic,5,4,0,0,0,1.0,0,0,1,4,0
2019/2020,North Central,Niger,Agaie,Baro,"Community Secondary School, Baro",Male,disabled,NABTEB,2-year,Polytechnic,3,3,0,0,0,2.0,0,0,0,3,0
2019/2020,North Central,Niger,Agaie,Baro,"Community Secondary School, Baro",Male,disabled,NABTEB,3-5-year,Polytechnic,3,0,0,0,0,1.5,0,0,3,0,0
2019/2020,North Central,Niger,Agaie,Baro,"Community Secondary School, Baro",Male,disabled,NABTEB,5+-year,Polytechnic,0,0,0,0,0,1.5,0,0,0,0,0
2019/2020,North Central,Niger,Agaie,Baro,"Community Secondary School, Baro",Male,disabled,NECO,1-year,Polytechnic,9,3,5,5,0,1.0,0,0,6,0,0
2019/2020,North Central,Niger,Agaie,Baro,"Community Secondary School, Baro",Male,disabled,NECO,2-year,Polytechnic,6,3,0,0,0,2.0,0,0,3,3,0
2019/2020,North Central,Niger,Agaie,Baro,"Community Secondary School, Baro",Male,disabled,NECO,3-5-year,Polytechnic,3,3,0,0,0,1.5,0,0,0,3,0
2019/2020,North Central,Niger,Agaie,Baro,"Community Secondary School, Baro",Male,disabled,NECO,5+-year,Polytechnic,0,0,0,0,0,1.5,0,0,0,0,0
2019/2020,North Central,Niger,Agaie,Baro,"Community Secondary School, Baro",Male,disabled,WAEC,1-year,Polytechnic,8,5,0,0,0,1.0,0,0,3,5,0
2019/2020,North Central,Niger,Agaie,Baro,"Community Secondary School, Baro",Male,disabled,WAEC,2-year,Polytechnic,6,3,0,0,0,2.0,0,0,3,3,0
