session,zone,state,lga,ward,school,gender,disability_scope,exam_body,gap_band,institution_type,o_level_candidates,utme_participants,admitted_students,matriculated_students,delayed_transition_students,median_time_to_matriculation_years,ss3_total,loss_ss3_to_olevel,loss_olevel_to_utme,loss_utme_to_admitted,loss_admitted_to_matriculated
2019/2020,South West,Ogun,Abeokuta North,Ago Oko,"Community Secondary School, Ago Oko",Female,all,NABTEB,1-year,Polytechnic,48,34,13,6,7,1.0,0,0,14,21,7
2019/2020,South West,Ogun,Abeokuta North,Ago Oko,"Community Secondary School, Ago Oko",Female,all,NABTEB,2-year,Polytechnic,30,19,6,7,0,2.0,0,0,11,13,0
2019/2020,South West,Ogun,Abeokuta North,Ago Oko,"Community Secondary School, Ago Oko",Female,all,NABTEB,3-5-year,Polytechnic,18,15,6,6,0,1.5,0,0,3,9,0
2019/2020,South West,Ogun,Abeokuta North,Ago Oko,"Community Secondary School, Ago Oko",Female,all,NABTEB,5+-year,Polytechnic,12,8,0,0,0,1.5,0,0,4,8,0
2019/2020,South West,Ogun,Abeokuta North,Ago Oko,"Community Secondary School, Ago Oko",Female,all,NECO,1-year,Polytechnic,88,65,21,16,5,1.0,0,0,23,44,5
2019/2020,South West,Ogun,Abeokuta North,Ago Oko,"Community Secondary School, Ago Oko",Female,all,NECO,2-year,Polytechnic,62,45,10,11,0,2.0,0,0,17,35,0
2019/2020,South West,Ogun,Abeokuta North,Ago Oko,"Community Secondary School, Ago Oko",Female,all,NECO,3-5-year,Polytechnic,43,31,10,6,4,1.5,0,0,12,21,4
2019/2020,South West,Ogun,Abeokuta North,Ago Oko,"Community Secondary School, Ago Oko",Female,all,NECO,5+-year,Polytechnic,20,17,5,6,0,1.5,0,0,3,12,0
2019/2020,South West,Ogun,Abeokuta North,Ago Oko,"Community Secondary School, Ago Oko",Female,all,WAEC,1-year,Polytechnic,124,87,28,26,2,1.0,0,0,37,59,2
2019/2020,South West,Ogun,Abeokuta North,Ago Oko,"Community Secondary School, Ago Oko",Female,all,WAEC,2-year,Polytechnic,79,59,19,20,0,2.0,0,0,20,40,0
2019/2020,South West,Ogun,Abeokuta North,Ago Oko,"Community Secondary School, Ago Oko",Female,all,WAEC,3-5-year,Polytechnic,48,34,9,10,0,1.5,0,0,14,25,0
2019/2020,South West,Ogun,Abeokuta North,Ago Oko,"Community Secondary School, Ago Oko",Female,all,WAEC,5+-year,Polytechnic,29,22,9,5,4,1.5,0,0,7,13,4
2019/2020,South West,Ogun,Abeokuta North,Ago Oko,"Community Secondary School, Ago Oko",Female,disabled,NABTEB,1-year,Polytechnic,6,4,6,6,0,1.0,0,0,2,0,0
