session,zone,state,lga,ward,school,gender,disability_scope,school_type,school_level,class_grade,key_entry_level,student_count,school_count,classroom_count,computer_count,infrastructure_score,is_o_level_student,avg_students_per_school,learners_per_classroom,students_per_computer
2019/2020,South West,Lagos,Alimosho,Abule-Egba/Aboru/Meiran/Alagbado,"Community Secondary School, Abule-Egba/Aboru/Meiran/Alagbado",Female,all,Private,JSS,JSS1,JSS1,98.25,1.5,2.75,1.25,29.45,0.0,65.5,35.7273,78.6
2019/2020,South West,Lagos,Alimosho,Abule-Egba/Aboru/Meiran/Alagbado,"Community Secondary School, Abule-Egba/Aboru/Meiran/Alagbado",Female,all,Private,Pre-Primary/Primary,Primary 1,Primary 1,318.75,3.0,9.25,4.25,28.45,0.0,106.25,34.4595,75.0
2019/2020,South West,Lagos,Alimosho,Abule-Egba/Aboru/Meiran/Alagbado,"Community Secondary School, Abule-Egba/Aboru/Meiran/Alagbado",Female,all,Private,SSS,SSS1,SSS1,102.25,2.0,3.0,1.25,30.45,0.25,51.125,34.0833,81.8
2019/2020,South West,Lagos,Alimosho,Abule-Egba/Aboru/Meiran/Alagbado,"Community Secondary School, Abule-Egba/Aboru/Meiran/Alagbado",Female,all,Public,JSS,JSS1,JSS1,340.75,5.0,8.75,4.0,29.45,0.0,68.15,38.9429,85.1875
2019/2020,South West,Lagos,Alimosho,Abule-Egba/Aboru/Meiran/Alagbado,"Community Secondary School, Abule-Egba/Aboru/Meiran/Alagbado",Female,all,Public,Pre-Primary/Primary,Primary 1,Primary 1,1068.0,8.5,31.25,14.5,28.45,0.0,125.6471,34.176,73.6552
2019/2020,South West,Lagos,Alimosho,Abule-Egba/Aboru/Meiran/Alagbado,"Community Secondary School, Abule-Egba/Aboru/Meiran/Alagbado",Female,all,Public,SSS,SSS1,SSS1,197.0,4.0,5.5,2.5,30.45,0.25,49.25,35.8182,78.8
2019/2020,South West,Lagos,Alimosho,Abule-Egba/Aboru/Meiran/Alagbado,"Community Secondary School, Abule-Egba/Aboru/Meiran/Alagbado",Female,disabled,Private,JSS,JSS1,JSS1,2.25,0.75,0.25,0.0,14.725,0.0,3.0,9.0,0.0
2019/2020,South West,Lagos,Alimosho,Abule-Egba/Aboru/Meiran/Alagbado,"Community Secondary School, Abule-Egba/Aboru/Meiran/Alagbado",Female,disabled,Private,Pre-Primary/Primary,Primary 1,Primary 1,10.25,1.5,0.25,0.0,14.225,0.0,6.8333,41.0,0.0
2019/2020,South West,Lagos,Alimosho,Abule-Egba/Aboru/Meiran/Alagbado,"Community Secondary School, Abule-Egba/Aboru/Meiran/Alagbado",Female,disabled,Private,SSS,SSS1,SSS1,2.25,1.0,0.25,0.0,15.225,0.0,2.25,9.0,0.0
2019/2020,South West,Lagos,Alimosho,Abule-Egba/Aboru/Meiran/Alagbado,"Community Secondary School, Abule-Egba/Aboru/Meiran/Alagbado",Female,disabled,Public,JSS,JSS1,JSS1,7.0,2.5,0.25,0.0,14.725,0.0,2.8,28.0,0.0
