session,zone,state,lga,ward,school,gender,disability_scope,school_type,school_level,class_grade,key_entry_level,student_count,school_count,classroom_count,computer_count,infrastructure_score,is_o_level_student,avg_students_per_school,learners_per_classroom,students_per_computer
2019/2020,South West,Oyo,Ibadan North,Ward I N2,"Community Secondary School, Ward I N2",Female,all,Private,JSS,JSS1,JSS1,124.0,1.5,3.0,2.25,25.75,0.0,82.6667,41.3333,55.1111
2019/2020,South West,Oyo,Ibadan North,Ward I N2,"Community Secondary School, Ward I N2",Female,all,Private,Pre-Primary/Primary,Primary 1,Primary 1,238.5,2.0,6.25,4.5,24.75,0.0,119.25,38.16,53.0
2019/2020,South West,Oyo,Ibadan North,Ward I N2,"Community Secondary School, Ward I N2",Female,all,Private,SSS,SSS1,SSS1,115.5,2.0,3.0,2.25,26.75,0.25,57.75,38.5,51.3333
2019/2020,South West,Oyo,Ibadan North,Ward I N2,"Community Secondary School, Ward I N2",Female,all,Public,JSS,JSS1,JSS1,345.5,5.0,7.75,5.75,25.75,0.0,69.1,44.5806,60.087
2019/2020,South West,Oyo,Ibadan North,Ward I N2,"Community Secondary School, Ward I N2",Female,all,Public,Pre-Primary/Primary,Primary 1,Primary 1,1230.0,11.0,31.5,22.75,24.75,0.0,111.8182,39.0476,54.0659
2019/2020,South West,Oyo,Ibadan North,Ward I N2,"Community Secondary School, Ward I N2",Female,all,Public,SSS,SSS1,SSS1,204.25,4.0,5.0,3.75,26.75,0.25,51.0625,40.85,54.4667
2019/2020,South West,Oyo,Ibadan North,Ward I N2,"Community Secondary School, Ward I N2",Female,disabled,Private,JSS,JSS1,JSS1,2.75,0.75,0.25,0.25,12.875,0.0,3.6667,11.0,11.0
2019/2020,South West,Oyo,Ibadan North,Ward I N2,"Community Secondary School, Ward I N2",Female,disabled,Private,Pre-Primary/Primary,Primary 1,Primary 1,7.75,1.0,0.25,0.25,12.375,0.0,7.75,31.0,31.0
2019/2020,South West,Oyo,Ibadan North,Ward I N2,"Community Secondary School, Ward I N2",Female,disabled,Private,SSS,SSS1,SSS1,2.25,1.0,0.25,0.25,13.375,0.0,2.25,9.0,9.0
2019/2020,South West,Oyo,Ibadan North,Ward I N2,"Community Secondary School, Ward I N2",Female,disabled,Public,JSS,JSS1,JSS1,7.5,2.5,0.25,0.25,12.875,0.0,3.0,30.0,30.0
