session,zone,state,lga,ward,school,gender,disability_scope,school_type,school_level,class_grade,key_entry_level,student_count,school_count,classroom_count,computer_count,infrastructure_score,is_o_level_student,avg_students_per_school,learners_per_classroom,students_per_computer
2019/2020,North West,Zamfara,Bungudu,Bingi North,"Community Secondary School, Bingi North",Female,all,Private,JSS,JSS1,JSS1,84.0,1.5,1.75,1.25,25.25,0.0,56.0,48.0,67.2
2019/2020,North West,Zamfara,Bungudu,Bingi North,"Community Secondary School, Bingi North",Female,all,Private,Pre-Primary/Primary,Primary 1,Primary 1,241.75,2.0,5.75,3.75,24.25,0.0,120.875,42.0435,64.4667
2019/2020,North West,Zamfara,Bungudu,Bingi North,"Community Secondary School, Bingi North",Female,all,Private,SSS,SSS1,SSS1,65.5,1.0,1.5,1.0,26.25,0.25,65.5,43.6667,65.5
2019/2020,North West,Zamfara,Bungudu,Bingi North,"Community Secondary School, Bingi North",Female,all,Public,JSS,JSS1,JSS1,225.0,3.5,4.5,2.75,25.25,0.0,64.2857,50.0,81.8182
2019/2020,North West,Zamfara,Bungudu,Bingi North,"Community Secondary School, Bingi North",Female,all,Public,Pre-Primary/Primary,Primary 1,Primary 1,785.75,6.5,18.0,11.0,24.25,0.0,120.8846,43.6528,71.4318
2019/2020,North West,Zamfara,Bungudu,Bingi North,"Community Secondary School, Bingi North",Female,all,Public,SSS,SSS1,SSS1,154.25,3.0,3.5,2.25,26.25,0.25,51.4167,44.0714,68.5556
2019/2020,North West,Zamfara,Bungudu,Bingi North,"Community Secondary School, Bingi North",Female,disabled,Private,JSS,JSS1,JSS1,2.25,0.75,0.25,0.25,12.625,0.0,3.0,9.0,9.0
2019/2020,North West,Zamfara,Bungudu,Bingi North,"Community Secondary School, Bingi North",Female,disabled,Private,Pre-Primary/Primary,Primary 1,Primary 1,5.75,1.0,0.25,0.25,12.125,0.0,5.75,23.0,23.0
2019/2020,North West,Zamfara,Bungudu,Bingi North,"Community Secondary School, Bingi North",Female,disabled,Private,SSS,SSS1,SSS1,1.0,0.5,0.25,0.25,13.125,0.0,2.0,4.0,4.0
2019/2020,North West,Zamfara,Bungudu,Bingi North,"Community Secondary School, Bingi North",Female,disabled,Public,JSS,JSS1,JSS1,5.5,1.75,0.25,0.25,12.625,0.0,3.1429,22.0,22.0
2019/2020,North West,Zamfara,Bungudu,Bingi North,"Community Secondary School, Bingi North",Female,disabled,Public,Pre-Primary/Primary,Primary 1,Primary 1,18.75,3.25,0.5,0.25,12.125,0.0,5.7692,37.5,75.0
2019/2020,North West,Zamfara,Bungudu,Bingi North,"Community Secondary School, Bingi North",Female,disabled,Public,SSS,SSS1,SSS1,2.75,1.5,0.25,0.25,13.125,0.0,1.8333,11.0,11.0
2019/2020,North West,Zamfara,Bungudu,Bingi North,"Community Secondary School, Bingi North",Male,all,Private,JSS,JSS1,JSS1,78.25,1.5,1.75,1.25,25.25,0.0,52.1667,44.7143,62.6
2019/2020,North West,Zamfara,Bungudu,Bingi North,"Community Secondary School, Bingi North",Male,all,Private,Pre-Primary/Primary,Primary 1,Primary 1,237.0,2.0,5.5,3.5,24.25,0.0,118.5,43.0909,67.7143
2019/2020,North West,Zamfara,Bungudu,Bingi North,"Community Secondary School, Bingi North",Male,all,Private,SSS,SSS1,SSS1,67.25,1.0,1.75,1.25,26.25,0.25,67.25,38.4286,53.8
2019/2020,North West,Zamfara,Bungudu,Bingi North,"Community Secondary School, Bingi North",Male,all,Public,JSS,JSS1,JSS1,203.5,3.5,4.25,2.75,25.25,0.0,58.1429,47.8824,74.0
2019/2020,North West,Zamfara,Bungudu,Bingi North,"Community Secondary School, Bingi North",Male,all,Public,Pre-Primary/Primary,Primary 1,Primary 1,748.75,6.5,17.25,10.5,24.25,0.0,115.1923,43.4058,71.3095
2019/2020,North West,Zamfara,Bungudu,Bingi North,"Community Secondary School, Bingi North",Male,all,Public,SSS,SSS1,SSS1,154.75,3.0,3.5,2.25,26.25,0.25,51.5833,44.2143,68.7778
2019/2020,North West,Zamfara,Bungudu,Bingi North,"Community Secondary School, Bingi North",Male,disabled,Private,JSS,JSS1,JSS1,2.0,0.75,0.25,0.25,12.625,0.0,2.6667,8.0,8.0
2019/2020,North West,Zamfara,Bungudu,Bingi North,"Community Secondary School, Bingi North",Male,disabled,Private,Pre-Primary/Primary,Primary 1,Primary 1,5.75,1.0,0.25,0.25,12.125,0.0,5.75,23.0,23.0
2019/2020,North West,Zamfara,Bungudu,Bingi North,"Community Secondary School, Bingi North",Male,disabled,Private,SSS,SSS1,SSS1,1.25,0.5,0.25,0.25,13.125,0.0,2.5,5.0,5.0
2019/2020,North West,Zamfara,Bungudu,Bingi North,"Community Secondary School, Bingi North",Male,disabled,Public,JSS,JSS1,JSS1,4.75,1.75,0.25,0.25,12.625,0.0,2.7143,19.0,19.0
2019/2020,North West,Zamfara,Bungudu,Bingi North,"Community Secondary School, Bingi North",Male,disabled,Public,Pre-Primary/Primary,Primary 1,Primary 1,18.0,3.25,0.5,0.25,12.125,0.0,5.5385,36.0,72.0
2019/2020,North West,Zamfara,Bungudu,Bingi North,"Community Secondary School, Bingi North",Male,disabled,Public,SSS,SSS1,SSS1,2.75,1.5,0.25,0.25,13.125,0.0,1.8333,11.0,11.0
2019/2020,North West,Zamfara,Bungudu,Bingi North,"Comprehensive High School, Bingi North",Female,all,Private,JSS,JSS1,JSS1,84.0,1.5,1.75,1.25,25.25,0.0,56.0,48.0,67.2
2019/2020,North West,Zamfara,Bungudu,Bingi North,"Comprehensive High School, Bingi North",Female,all,Private,Pre-Primary/Primary,Primary 1,Primary 1,241.75,2.0,5.75,3.75,24.25,0.0,120.875,42.0435,64.4667
2019/2020,North West,Zamfara,Bungudu,Bingi North,"Comprehensive High School, Bingi North",Female,all,Private,SSS,SSS1,SSS1,65.5,1.0,1.5,1.0,26.25,0.25,65.5,43.6667,65.5
2019/2020,North West,Zamfara,Bungudu,Bingi North,"Comprehensive High School, Bingi North",Female,all,Public,JSS,JSS1,JSS1,225.0,3.5,4.5,2.75,25.25,0.0,64.2857,50.0,81.8182
2019/2020,North West,Zamfara,Bungudu,Bingi North,"Comprehensive High School, Bingi North",Female,all,Public,Pre-Primary/Primary,Primary 1,Primary 1,785.75,6.5,18.0,11.0,24.25,0.0,120.8846,43.6528,71.4318
2019/2020,North West,Zamfara,Bungudu,Bingi North,"Comprehensive High School, Bingi North",Female,all,Public,SSS,SSS1,SSS1,154.25,3.0,3.5,2.25,26.25,0.25,51.4167,44.0714,68.5556
2019/2020,North West,Zamfara,Bungudu,Bingi North,"Comprehensive High School, Bingi North",Female,disabled,Private,JSS,JSS1,JSS1,2.25,0.75,0.25,0.25,12.625,0.0,3.0,9.0,9.0
2019/2020,North West,Zamfara,Bungudu,Bingi North,"Comprehensive High School, Bingi North",Female,disabled,Private,Pre-Primary/Primary,Primary 1,Primary 1,5.75,1.0,0.25,0.25,12.125,0.0,5.75,23.0,23.0
