session,zone,state,lga,ward,school,gender,disability_scope,school_type,school_level,class_grade,key_entry_level,student_count,school_count,classroom_count,computer_count,infrastructure_score,is_o_level_student,avg_students_per_school,learners_per_classroom,students_per_computer
2019/2020,South West,Ogun,Abeokuta North,Ago Oko,"Community Secondary School, Ago Oko",Female,all,Private,JSS,JSS1,JSS1,53.75,0.5,1.25,0.25,36.55,0.0,107.5,43.0,215.0
2019/2020,South West,Ogun,Abeokuta North,Ago Oko,"Community Secondary School, Ago Oko",Female,all,Private,Pre-Primary/Primary,Primary 1,Primary 1,124.5,1.0,2.75,0.75,35.55,0.0,124.5,45.2727,166.0
2019/2020,South West,Ogun,Abeokuta North,Ago Oko,"Community Secondary School, Ago Oko",Female,all,Private,SSS,SSS1,SSS1,40.25,0.5,1.0,0.25,37.55,0.25,80.5,40.25,161.0
2019/2020,South West,Ogun,Abeokuta North,Ago Oko,"Community Secondary School, Ago Oko",Female,all,Public,JSS,JSS1,JSS1,168.0,2.5,3.25,1.0,36.55,0.0,67.2,51.6923,168.0
2019/2020,South West,Ogun,Abeokuta North,Ago Oko,"Community Secondary School, Ago Oko",Female,all,Public,Pre-Primary/Primary,Primary 1,Primary 1,516.25,4.5,10.75,3.5,35.55,0.0,114.7222,48.0233,147.5
2019/2020,South West,Ogun,Abeokuta North,Ago Oko,"Community Secondary School, Ago Oko",Female,all,Public,SSS,SSS1,SSS1,103.75,2.0,2.25,0.75,37.55,0.25,51.875,46.1111,138.3333
2019/2020,South West,Ogun,Abeokuta North,Ago Oko,"Community Secondary School, Ago Oko",Female,disabled,Private,JSS,JSS1,JSS1,1.75,0.25,0.25,0.0,18.275,0.0,7.0,7.0,0.0
2019/2020,South West,Ogun,Abeokuta North,Ago Oko,"Community Secondary School, Ago Oko",Female,disabled,Private,Pre-Primary/Primary,Primary 1,Primary 1,4.0,0.5,0.25,0.0,17.775,0.0,8.0,16.0,0.0
2019/2020,South West,Ogun,Abeokuta North,Ago Oko,"Community Secondary School, Ago Oko",Female,disabled,Private,SSS,SSS1,SSS1,0.5,0.25,0.25,0.0,18.775,0.0,2.0,2.0,0.0
2019/2020,South West,Ogun,Abeokuta North,Ago Oko,"Community Secondary School, Ago Oko",Female,disabled,Public,JSS,JSS1,JSS1,3.75,1.25,0.25,0.0,18.275,0.0,3.0,15.0,0.0
