session,zone,state,lga,ward,school,gender,disability_scope,school_type,school_level,class_grade,key_entry_level,student_count,school_count,classroom_count,computer_count,infrastructure_score,is_o_level_student,avg_students_per_school,learners_per_classroom,students_per_computer
2019/2020,North West,Kaduna,Jema'A,Asso,"Community Secondary School, Asso",Female,all,Private,JSS,JSS1,JSS1,88.0,1.5,2.0,1.5,24.85,0.0,58.6667,44.0,58.6667
2019/2020,North West,Kaduna,Jema'A,Asso,"Community Secondary School, Asso",Female,all,Private,Pre-Primary/Primary,Primary 1,Primary 1,209.5,2.0,5.0,3.5,23.85,0.0,104.75,41.9,59.8571
2019/2020,North West,Kaduna,Jema'A,Asso,"Community Secondary School, Asso",Female,all,Private,SSS,SSS1,SSS1,73.5,1.5,1.75,1.25,25.85,0.25,49.0,42.0,58.8
2019/2020,North West,Kaduna,Jema'A,Asso,"Community Secondary School, Asso",Female,all,Public,JSS,JSS1,JSS1,248.25,3.5,5.25,3.5,24.85,0.0,70.9286,47.2857,70.9286
2019/2020,North West,Kaduna,Jema'A,Asso,"Community Secondary School, Asso",Female,all,Public,Pre-Primary/Primary,Primary 1,Primary 1,882.5,7.5,21.25,14.25,23.85,0.0,117.6667,41.5294,61.9298
2019/2020,North West,Kaduna,Jema'A,Asso,"Community Secondary School, Asso",Female,all,Public,SSS,SSS1,SSS1,156.75,3.0,3.75,2.5,25.85,0.25,52.25,41.8,62.7
2019/2020,North West,Kaduna,Jema'A,Asso,"Community Secondary School, Asso",Female,disabled,Private,JSS,JSS1,JSS1,1.75,0.75,0.25,0.25,12.425,0.0,2.3333,7.0,7.0
2019/2020,North West,Kaduna,Jema'A,Asso,"Community Secondary School, Asso",Female,disabled,Private,Pre-Primary/Primary,Primary 1,Primary 1,6.5,1.0,0.25,0.25,11.925,0.0,6.5,26.0,26.0
2019/2020,North West,Kaduna,Jema'A,Asso,"Community Secondary School, Asso",Female,disabled,Private,SSS,SSS1,SSS1,1.0,0.75,0.25,0.25,12.925,0.0,1.3333,4.0,4.0
2019/2020,North West,Kaduna,Jema'A,Asso,"Community Secondary School, Asso",Female,disabled,Public,JSS,JSS1,JSS1,5.0,1.75,0.25,0.25,12.425,0.0,2.8571,20.0,20.0
2019/2020,North West,Kaduna,Jema'A,Asso,"Community Secondary School, Asso",Female,disabled,Public,Pre-Primary/Primary,Primary 1,Primary 1,26.75,3.75,0.75,0.5,11.925,0.0,7.1333,35.6667,53.5
2019/2020,North West,Kaduna,Jema'A,Asso,"Community Secondary School, Asso",Female,disabled,Public,SSS,SSS1,SSS1,3.25,1.5,0.25,0.25,12.925,0.0,2.1667,13.0,13.0
2019/2020,North West,Kaduna,Jema'A,Asso,"Community Secondary School, Asso",Male,all,Private,JSS,JSS1,JSS1,80.5,1.5,2.0,1.5,24.85,0.0,53.6667,40.25,53.6667
2019/2020,North West,Kaduna,Jema'A,Asso,"Community Secondary School, Asso",Male,all,Private,Pre-Primary/Primary,Primary 1,Primary 1,230.0,2.0,5.5,3.75,23.85,0.0,115.0,41.8182,61.3333
2019/2020,North West,Kaduna,Jema'A,Asso,"Community Secondary School, Asso",Male,all,Private,SSS,SSS1,SSS1,78.25,1.5,2.0,1.5,25.85,0.25,52.1667,39.125,52.1667
2019/2020,North West,Kaduna,Jema'A,Asso,"Community Secondary School, Asso",Male,all,Public,JSS,JSS1,JSS1,231.5,3.5,5.0,3.5,24.85,0.0,66.1429,46.3,66.1429
2019/2020,North West,Kaduna,Jema'A,Asso,"Community Secondary School, Asso",Male,all,Public,Pre-Primary/Primary,Primary 1,Primary 1,806.5,7.5,19.25,12.75,23.85,0.0,107.5333,41.8961,63.2549
2019/2020,North West,Kaduna,Jema'A,Asso,"Community Secondary School, Asso",Male,all,Public,SSS,SSS1,SSS1,178.25,3.0,4.0,2.75,25.85,0.25,59.4167,44.5625,64.8182
2019/2020,North West,Kaduna,Jema'A,Asso,"Community Secondary School, Asso",Male,disabled,Private,JSS,JSS1,JSS1,1.5,0.75,0.25,0.25,12.425,0.0,2.0,6.0,6.0
2019/2020,North West,Kaduna,Jema'A,Asso,"Community Secondary School, Asso",Male,disabled,Private,Pre-Primary/Primary,Primary 1,Primary 1,7.0,1.0,0.25,0.25,11.925,0.0,7.0,28.0,28.0
