session,zone,state,lga,ward,school,gender,disability_scope,school_type,school_level,class_grade,key_entry_level,student_count,school_count,classroom_count,computer_count,infrastructure_score,is_o_level_student,avg_students_per_school,learners_per_classroom,students_per_computer,usable_classroom_count,laboratory_count,computer_access_count,water_source_count,handwashing_facility_count,toilet_count
2019/2020,North West,Sokoto,Bodinga,Badau/Darhela,"Community Secondary School, Badau/Darhela",Female,all,Private,JSS,JSS1,JSS1,92.75,1.5,2.0,0.75,31.45,0.0,61.8333,46.375,123.6667,0.56,0.51,0.14,0.85,0.61,0.59
2019/2020,North West,Sokoto,Bodinga,Badau/Darhela,"Community Secondary School, Badau/Darhela",Female,all,Private,Pre-Primary/Primary,Primary 1,Primary 1,412.5,3.5,9.0,3.5,30.45,0.0,117.8571,45.8333,117.8571,3.36,0.84,0.33,2.03,1.45,1.42
2019/2020,North West,Sokoto,Bodinga,Badau/Darhela,"Community Secondary School, Badau/Darhela",Female,all,Private,SSS,SSS1,SSS1,88.75,1.5,2.0,0.75,32.45,0.25,59.1667,44.375,118.3333,0.57,0.62,0.14,0.87,0.63,0.61
2019/2020,North West,Sokoto,Bodinga,Badau/Darhela,"Community Secondary School, Badau/Darhela",Female,all,Public,JSS,JSS1,JSS1,298.0,4.5,5.75,2.0,31.45,0.0,66.2222,51.8261,149.0,1.47,1.53,0.39,2.5,1.81,1.76
2019/2020,North West,Sokoto,Bodinga,Badau/Darhela,"Community Secondary School, Badau/Darhela",Female,all,Public,Pre-Primary/Primary,Primary 1,Primary 1,832.5,7.5,18.0,7.0,30.45,0.0,111.0,46.25,118.9286,6.45,1.8,0.69,4.32,3.09,3.03
2019/2020,North West,Sokoto,Bodinga,Badau/Darhela,"Community Secondary School, Badau/Darhela",Female,all,Public,SSS,SSS1,SSS1,190.25,3.5,4.0,1.5,32.45,0.25,54.3571,47.5625,126.8333,1.04,1.44,0.33,2,1.45,1.41
2019/2020,North West,Sokoto,Bodinga,Badau/Darhela,"Community Secondary School, Badau/Darhela",Female,disabled,Private,JSS,JSS1,JSS1,2.25,0.75,0.25,0.0,15.725,0.0,3.0,9.0,0.0,0.24,0.31,0.63,0.47,0.32,0.29
2019/2020,North West,Sokoto,Bodinga,Badau/Darhela,"Community Secondary School, Badau/Darhela",Female,disabled,Private,Pre-Primary/Primary,Primary 1,Primary 1,12.75,1.75,0.25,0.0,15.225,0.0,7.2857,51.0,0.0,0.06,0.39,0.67,0.65,0.43,0.39
2019/2020,North West,Sokoto,Bodinga,Badau/Darhela,"Community Secondary School, Badau/Darhela",Female,disabled,Private,SSS,SSS1,SSS1,1.5,0.75,0.25,0.0,16.225,0.0,2.0,6.0,0.0,0.24,0.36,0.63,0.48,0.32,0.3
2019/2020,North West,Sokoto,Bodinga,Badau/Darhela,"Community Secondary School, Badau/Darhela",Female,disabled,Public,JSS,JSS1,JSS1,7.0,2.25,0.25,0.0,15.725,0.0,3.1111,28.0,0.0,0.09,0.85,1.51,1,0.66,0.58
2019/2020,North West,Sokoto,Bodinga,Badau/Darhela,"Community Secondary School, Badau/Darhela",Female,disabled,Public,Pre-Primary/Primary,Primary 1,Primary 1,23.75,3.75,0.5,0.25,15.225,0.0,6.3333,47.5,95.0,0.13,0.6,0.28,1.32,0.86,0.86
2019/2020,North West,Sokoto,Bodinga,Badau/Darhela,"Community Secondary School, Badau/Darhela",Female,disabled,Public,SSS,SSS1,SSS1,2.75,1.75,0.25,0.0,16.225,0.0,1.5714,11.0,0.0,0.21,0.84,1.47,1.05,0.7,0.64
2019/2020,North West,Sokoto,Bodinga,Badau/Darhela,"Community Secondary School, Badau/Darhela",Male,all,Private,JSS,JSS1,JSS1,81.5,1.5,1.75,0.5,31.45,0.0,54.3333,46.5714,163.0,0.46,0.51,0.13,0.84,0.6,0.59
2019/2020,North West,Sokoto,Bodinga,Badau/Darhela,"Community Secondary School, Badau/Darhela",Male,all,Private,Pre-Primary/Primary,Primary 1,Primary 1,408.0,3.5,8.75,3.25,30.45,0.0,116.5714,46.6286,125.5385,3.19,0.84,0.32,2.02,1.45,1.42
2019/2020,North West,Sokoto,Bodinga,Badau/Darhela,"Community Secondary School, Badau/Darhela",Male,all,Private,SSS,SSS1,SSS1,97.25,1.5,2.25,0.75,32.45,0.25,64.8333,43.2222,129.6667,0.68,0.62,0.14,0.88,0.63,0.62
2019/2020,North West,Sokoto,Bodinga,Badau/Darhela,"Community Secondary School, Badau/Darhela",Male,all,Public,JSS,JSS1,JSS1,270.0,4.5,5.25,2.0,31.45,0.0,60.0,51.4286,135.0,1.3,1.53,0.4,2.5,1.8,1.75
2019/2020,North West,Sokoto,Bodinga,Badau/Darhela,"Community Secondary School, Badau/Darhela",Male,all,Public,Pre-Primary/Primary,Primary 1,Primary 1,908.75,7.5,19.75,7.75,30.45,0.0,121.1667,46.0127,117.2581,7.44,1.8,0.7,4.36,3.12,3.06
2019/2020,North West,Sokoto,Bodinga,Badau/Darhela,"Community Secondary School, Badau/Darhela",Male,all,Public,SSS,SSS1,SSS1,203.5,3.5,4.25,1.5,32.45,0.25,58.1429,47.8824,135.6667,1.12,1.44,0.32,2,1.45,1.41
2019/2020,North West,Sokoto,Bodinga,Badau/Darhela,"Community Secondary School, Badau/Darhela",Male,disabled,Private,JSS,JSS1,JSS1,2.0,0.75,0.25,0.0,15.725,0.0,2.6667,8.0,0.0,0.24,0.31,0.63,0.47,0.32,0.29
2019/2020,North West,Sokoto,Bodinga,Badau/Darhela,"Community Secondary School, Badau/Darhela",Male,disabled,Private,Pre-Primary/Primary,Primary 1,Primary 1,12.25,1.75,0.25,0.0,15.225,0.0,7.0,49.0,0.0,0.06,0.39,0.69,0.66,0.43,0.4
2019/2020,North West,Sokoto,Bodinga,Badau/Darhela,"Community Secondary School, Badau/Darhela",Male,disabled,Private,SSS,SSS1,SSS1,1.75,0.75,0.25,0.0,16.225,0.0,2.3333,7.0,0.0,0.24,0.36,0.63,0.48,0.32,0.3
2019/2020,North West,Sokoto,Bodinga,Badau/Darhela,"Community Secondary School, Badau/Darhela",Male,disabled,Public,JSS,JSS1,JSS1,6.25,2.25,0.25,0.0,15.725,0.0,2.7778,25.0,0.0,0.1,0.89,1.68,1.03,0.68,0.6
2019/2020,North West,Sokoto,Bodinga,Badau/Darhela,"Community Secondary School, Badau/Darhela",Male,disabled,Public,Pre-Primary/Primary,Primary 1,Primary 1,26.0,3.75,0.5,0.25,15.225,0.0,6.9333,52.0,104.0,0.12,0.6,0.27,1.3,0.85,0.84
2019/2020,North West,Sokoto,Bodinga,Badau/Darhela,"Community Secondary School, Badau/Darhela",Male,disabled,Public,SSS,SSS1,SSS1,3.25,1.75,0.25,0.0,16.225,0.0,1.8571,13.0,0.0,0.18,0.84,1.47,0.99,0.66,0.59
2019/2020,North West,Sokoto,Bodinga,Badau/Darhela,"Comprehensive High School, Badau/Darhela",Female,all,Private,JSS,JSS1,JSS1,92.75,1.5,2.0,0.75,31.45,0.0,61.8333,46.375,123.6667,0.56,0.51,0.14,0.85,0.61,0.59
