session,zone,state,lga,ward,school,gender,disability_scope,school_type,school_level,class_grade,key_entry_level,student_count,school_count,classroom_count,computer_count,infrastructure_score,is_o_level_student,avg_students_per_school,learners_per_classroom,students_per_computer
2019/2020,North Central,Kogi,Ankpa,Ankpa I,"Community Secondary School, Ankpa I",Female,all,Private,JSS,JSS1,JSS1,94.25,1.5,3.0,1.0,24.85,0.0,62.8333,31.4167,94.25
2019/2020,North Central,Kogi,Ankpa,Ankpa I,"Community Secondary School, Ankpa I",Female,all,Private,Pre-Primary/Primary,Primary 1,Primary 1,320.75,2.5,10.75,3.5,23.85,0.0,128.3,29.8372,91.6429
2019/2020,North Central,Kogi,Ankpa,Ankpa I,"Community Secondary School, Ankpa I",Female,all,Private,SSS,SSS1,SSS1,106.75,2.0,3.5,1.0,25.85,0.25,53.375,30.5,106.75
2019/2020,North Central,Kogi,Ankpa,Ankpa I,"Community Secondary School, Ankpa I",Female,all,Public,JSS,JSS1,JSS1,359.25,5.0,10.5,3.5,24.85,0.0,71.85,34.2143,102.6429
2019/2020,North Central,Kogi,Ankpa,Ankpa I,"Community Secondary School, Ankpa I",Female,all,Public,Pre-Primary/Primary,Primary 1,Primary 1,1193.0,10.0,40.75,14.0,23.85,0.0,119.3,29.2761,85.2143
2019/2020,North Central,Kogi,Ankpa,Ankpa I,"Community Secondary School, Ankpa I",Female,all,Public,SSS,SSS1,SSS1,204.75,3.5,6.5,2.25,25.85,0.25,58.5,31.5,91.0
2019/2020,North Central,Kogi,Ankpa,Ankpa I,"Community Secondary School, Ankpa I",Female,disabled,Private,JSS,JSS1,JSS1,2.75,0.75,0.25,0.0,12.425,0.0,3.6667,11.0,0.0
2019/2020,North Central,Kogi,Ankpa,Ankpa I,"Community Secondary School, Ankpa I",Female,disabled,Private,Pre-Primary/Primary,Primary 1,Primary 1,9.5,1.25,0.25,0.0,11.925,0.0,7.6,38.0,0.0
2019/2020,North Central,Kogi,Ankpa,Ankpa I,"Community Secondary School, Ankpa I",Female,disabled,Private,SSS,SSS1,SSS1,1.5,1.0,0.25,0.0,12.925,0.0,1.5,6.0,0.0
2019/2020,North Central,Kogi,Ankpa,Ankpa I,"Community Secondary School, Ankpa I",Female,disabled,Public,JSS,JSS1,JSS1,8.25,2.5,0.25,0.0,12.425,0.0,3.3,33.0,0.0
2019/2020,North Central,Kogi,Ankpa,Ankpa I,"Community Secondary School, Ankpa I",Female,disabled,Public,Pre-Primary/Primary,Primary 1,Primary 1,41.75,5.0,1.5,0.5,11.925,0.0,8.35,27.8333,83.5
2019/2020,North Central,Kogi,Ankpa,Ankpa I,"Community Secondary School, Ankpa I",Female,disabled,Public,SSS,SSS1,SSS1,5.25,1.75,0.25,0.0,12.925,0.0,3.0,21.0,0.0
2019/2020,North Central,Kogi,Ankpa,Ankpa I,"Community Secondary School, Ankpa I",Male,all,Private,JSS,JSS1,JSS1,93.25,1.5,3.0,1.0,24.85,0.0,62.1667,31.0833,93.25
2019/2020,North Central,Kogi,Ankpa,Ankpa I,"Community Secondary School, Ankpa I",Male,all,Private,Pre-Primary/Primary,Primary 1,Primary 1,310.25,2.5,10.5,3.5,23.85,0.0,124.1,29.5476,88.6429
2019/2020,North Central,Kogi,Ankpa,Ankpa I,"Community Secondary School, Ankpa I",Male,all,Private,SSS,SSS1,SSS1,105.75,2.0,3.5,1.0,25.85,0.25,52.875,30.2143,105.75
2019/2020,North Central,Kogi,Ankpa,Ankpa I,"Community Secondary School, Ankpa I",Male,all,Public,JSS,JSS1,JSS1,336.5,5.0,10.0,3.25,24.85,0.0,67.3,33.65,103.5385
2019/2020,North Central,Kogi,Ankpa,Ankpa I,"Community Secondary School, Ankpa I",Male,all,Public,Pre-Primary/Primary,Primary 1,Primary 1,1103.75,10.0,37.5,13.0,23.85,0.0,110.375,29.4333,84.9038
2019/2020,North Central,Kogi,Ankpa,Ankpa I,"Community Secondary School, Ankpa I",Male,all,Public,SSS,SSS1,SSS1,222.5,3.5,7.0,2.25,25.85,0.25,63.5714,31.7857,98.8889
2019/2020,North Central,Kogi,Ankpa,Ankpa I,"Community Secondary School, Ankpa I",Male,disabled,Private,JSS,JSS1,JSS1,2.5,0.75,0.25,0.0,12.425,0.0,3.3333,10.0,0.0
2019/2020,North Central,Kogi,Ankpa,Ankpa I,"Community Secondary School, Ankpa I",Male,disabled,Private,Pre-Primary/Primary,Primary 1,Primary 1,9.25,1.25,0.25,0.0,11.925,0.0,7.4,37.0,0.0
2019/2020,North Central,Kogi,Ankpa,Ankpa I,"Community Secondary School, Ankpa I",Male,disabled,Private,SSS,SSS1,SSS1,1.75,1.0,0.25,0.0,12.925,0.0,1.75,7.0,0.0
2019/2020,North Central,Kogi,Ankpa,Ankpa I,"Community Secondary School, Ankpa I",Male,disabled,Public,JSS,JSS1,JSS1,7.25,2.5,0.25,0.0,12.425,0.0,2.9,29.0,0.0
2019/2020,North Central,Kogi,Ankpa,Ankpa I,"Community Secondary School, Ankpa I",Male,disabled,Public,Pre-Primary/Primary,Primary 1,Primary 1,38.5,5.0,1.25,0.5,11.925,0.0,7.7,30.8,77.0
2019/2020,North Central,Kogi,Ankpa,Ankpa I,"Community Secondary School, Ankpa I",Male,disabled,Public,SSS,SSS1,SSS1,5.5,1.75,0.25,0.0,12.925,0.0,3.1429,22.0,0.0
2019/2020,North Central,Kogi,Ankpa,Ankpa I,"Comprehensive High School, Ankpa I",Female,all,Private,JSS,JSS1,JSS1,94.25,1.5,3.0,1.0,24.85,0.0,62.8333,31.4167,94.25
2019/2020,North Central,Kogi,Ankpa,Ankpa I,"Comprehensive High School, Ankpa I",Female,all,Private,Pre-Primary/Primary,Primary 1,Primary 1,320.75,2.5,10.75,3.5,23.85,0.0,128.3,29.8372,91.6429
2019/2020,North Central,Kogi,Ankpa,Ankpa I,"Comprehensive High School, Ankpa I",Female,all,Private,SSS,SSS1,SSS1,106.75,2.0,3.5,1.0,25.85,0.25,53.375,30.5,106.75
2019/2020,North Central,Kogi,Ankpa,Ankpa I,"Comprehensive High School, Ankpa I",Female,all,Public,JSS,JSS1,JSS1,359.25,5.0,10.5,3.5,24.85,0.0,71.85,34.2143,102.6429
2019/2020,North Central,Kogi,Ankpa,Ankpa I,"Comprehensive High School, Ankpa I",Female,all,Public,Pre-Primary/Primary,Primary 1,Primary 1,1193.0,10.0,40.75,14.0,23.85,0.0,119.3,29.2761,85.2143
2019/2020,North Central,Kogi,Ankpa,Ankpa I,"Comprehensive High School, Ankpa I",Female,all,Public,SSS,SSS1,SSS1,204.75,3.5,6.5,2.25,25.85,0.25,58.5,31.5,91.0
2019/2020,North Central,Kogi,Ankpa,Ankpa I,"Comprehensive High School, Ankpa I",Female,disabled,Private,JSS,JSS1,JSS1,2.75,0.75,0.25,0.0,12.425,0.0,3.6667,11.0,0.0
2019/2020,North Central,Kogi,Ankpa,Ankpa I,"Comprehensive High School, Ankpa I",Female,disabled,Private,Pre-Primary/Primary,Primary 1,Primary 1,9.5,1.25,0.25,0.0,11.925,0.0,7.6,38.0,0.0
2019/2020,North Central,Kogi,Ankpa,Ankpa I,"Comprehensive High School, Ankpa I",Female,disabled,Private,SSS,SSS1,SSS1,1.5,1.0,0.25,0.0,12.925,0.0,1.5,6.0,0.0
2019/2020,North Central,Kogi,Ankpa,Ankpa I,"Comprehensive High School, Ankpa I",Female,disabled,Public,JSS,JSS1,JSS1,8.25,2.5,0.25,0.0,12.425,0.0,3.3,33.0,0.0
2019/2020,North Central,Kogi,Ankpa,Ankpa I,"Comprehensive High School, Ankpa I",Female,disabled,Public,Pre-Primary/Primary,Primary 1,Primary 1,41.75,5.0,1.5,0.5,11.925,0.0,8.35,27.8333,83.5
2019/2020,North Central,Kogi,Ankpa,Ankpa I,"Comprehensive High School, Ankpa I",Female,disabled,Public,SSS,SSS1,SSS1,5.25,1.75,0.25,0.0,12.925,0.0,3.0,21.0,0.0
2019/2020,North Central,Kogi,Ankpa,Ankpa I,"Comprehensive High School, Ankpa I",Male,all,Private,JSS,JSS1,JSS1,93.25,1.5,3.0,1.0,24.85,0.0,62.1667,31.0833,93.25
2019/2020,North Central,Kogi,Ankpa,Ankpa I,"Comprehensive High School, Ankpa I",Male,all,Private,Pre-Primary/Primary,Primary 1,Primary 1,310.25,2.5,10.5,3.5,23.85,0.0,124.1,29.5476,88.6429
2019/2020,North Central,Kogi,Ankpa,Ankpa I,"Comprehensive High School, Ankpa I",Male,all,Private,SSS,SSS1,SSS1,105.75,2.0,3.5,1.0,25.85,0.25,52.875,30.2143,105.75
2019/2020,North Central,Kogi,Ankpa,Ankpa I,"Comprehensive High School, Ankpa I",Male,all,Public,JSS,JSS1,JSS1,336.5,5.0,10.0,3.25,24.85,0.0,67.3,33.65,103.5385
2019/2020,North Central,Kogi,Ankpa,Ankpa I,"Comprehensive High School, Ankpa I",Male,all,Public,Pre-Primary/Primary,Primary 1,Primary 1,1103.75,10.0,37.5,13.0,23.85,0.0,110.375,29.4333,84.9038
2019/2020,North Central,Kogi,Ankpa,Ankpa I,"Comprehensive High School, Ankpa I",Male,all,Public,SSS,SSS1,SSS1,222.5,3.5,7.0,2.25,25.85,0.25,63.5714,31.7857,98.8889
2019/2020,North Central,Kogi,Ankpa,Ankpa I,"Comprehensive High School, Ankpa I",Male,disabled,Private,JSS,JSS1,JSS1,2.5,0.75,0.25,0.0,12.425,0.0,3.3333,10.0,0.0
2019/2020,North Central,Kogi,Ankpa,Ankpa I,"Comprehensive High School, Ankpa I",Male,disabled,Private,Pre-Primary/Primary,Primary 1,Primary 1,9.25,1.25,0.25,0.0,11.925,0.0,7.4,37.0,0.0
2019/2020,North Central,Kogi,Ankpa,Ankpa I,"Comprehensive High School, Ankpa I",Male,disabled,Private,SSS,SSS1,SSS1,1.75,1.0,0.25,0.0,12.925,0.0,1.75,7.0,0.0
2019/2020,North Central,Kogi,Ankpa,Ankpa I,"Comprehensive High School, Ankpa I",Male,disabled,Public,JSS,JSS1,JSS1,7.25,2.5,0.25,0.0,12.425,0.0,2.9,29.0,0.0
2019/2020,North Central,Kogi,Ankpa,Ankpa I,"Comprehensive High School, Ankpa I",Male,disabled,Public,Pre-Primary/Primary,Primary 1,Primary 1,38.5,5.0,1.25,0.5,11.925,0.0,7.7,30.8,77.0
2019/2020,North Central,Kogi,Ankpa,Ankpa I,"Comprehensive High School, Ankpa I",Male,disabled,Public,SSS,SSS1,SSS1,5.5,1.75,0.25,0.0,12.925,0.0,3.1429,22.0,0.0
2019/2020,North Central,Kogi,Ankpa,Ankpa I,"Government Secondary School, Ankpa I",Female,all,Private,JSS,JSS1,JSS1,94.25,1.5,3.0,1.0,24.85,0.0,62.8333,31.4167,94.25
2019/2020,North Central,Kogi,Ankpa,Ankpa I,"Government Secondary School, Ankpa I",Female,all,Private,Pre-Primary/Primary,Primary 1,Primary 1,320.75,2.5,10.75,3.5,23.85,0.0,128.3,29.8372,91.6429
2019/2020,North Central,Kogi,Ankpa,Ankpa I,"Government Secondary School, Ankpa I",Female,all,Private,SSS,SSS1,SSS1,106.75,2.0,3.5,1.0,25.85,0.25,53.375,30.5,106.75
2019/2020,North Central,Kogi,Ankpa,Ankpa I,"Government Secondary School, Ankpa I",Female,all,Public,JSS,JSS1,JSS1,359.25,5.0,10.5,3.5,24.85,0.0,71.85,34.2143,102.6429
2019/2020,North Central,Kogi,Ankpa,Ankpa I,"Government Secondary School, Ankpa I",Female,all,Public,Pre-Primary/Primary,Primary 1,Primary 1,1193.0,10.0,40.75,14.0,23.85,0.0,119.3,29.2761,85.2143
2019/2020,North Central,Kogi,Ankpa,Ankpa I,"Government Secondary School, Ankpa I",Female,all,Public,SSS,SSS1,SSS1,204.75,3.5,6.5,2.25,25.85,0.25,58.5,31.5,91.0
2019/2020,North Central,Kogi,Ankpa,Ankpa I,"Government Secondary School, Ankpa I",Female,disabled,Private,JSS,JSS1,JSS1,2.75,0.75,0.25,0.0,12.425,0.0,3.6667,11.0,0.0
2019/2020,North Central,Kogi,Ankpa,Ankpa I,"Government Secondary School, Ankpa I",Female,disabled,Private,Pre-Primary/Primary,Primary 1,Primary 1,9.5,1.25,0.25,0.0,11.925,0.0,7.6,38.0,0.0
2019/2020,North Central,Kogi,Ankpa,Ankpa I,"Government Secondary School, Ankpa I",Female,disabled,Private,SSS,SSS1,SSS1,1.5,1.0,0.25,0.0,12.925,0.0,1.5,6.0,0.0
2019/2020,North Central,Kogi,Ankpa,Ankpa I,"Government Secondary School, Ankpa I",Female,disabled,Public,JSS,JSS1,JSS1,8.25,2.5,0.25,0.0,12.425,0.0,3.3,33.0,0.0
2019/2020,North Central,Kogi,Ankpa,Ankpa I,"Government Secondary School, Ankpa I",Female,disabled,Public,Pre-Primary/Primary,Primary 1,Primary 1,41.75,5.0,1.5,0.5,11.925,0.0,8.35,27.8333,83.5
2019/2020,North Central,Kogi,Ankpa,Ankpa I,"Government Secondary School, Ankpa I",Female,disabled,Public,SSS,SSS1,SSS1,5.25,1.75,0.25,0.0,12.925,0.0,3.0,21.0,0.0
2019/2020,North Central,Kogi,Ankpa,Ankpa I,"Government Secondary School, Ankpa I",Male,all,Private,JSS,JSS1,JSS1,93.25,1.5,3.0,1.0,24.85,0.0,62.1667,31.0833,93.25
2019/2020,North Central,Kogi,Ankpa,Ankpa I,"Government Secondary School, Ankpa I",Male,all,Private,Pre-Primary/Primary,Primary 1,Primary 1,310.25,2.5,10.5,3.5,23.85,0.0,124.1,29.5476,88.6429
2019/2020,North Central,Kogi,Ankpa,Ankpa I,"Government Secondary School, Ankpa I",Male,all,Private,SSS,SSS1,SSS1,105.75,2.0,3.5,1.0,25.85,0.25,52.875,30.2143,105.75
2019/2020,North Central,Kogi,Ankpa,Ankpa I,"Government Secondary School, Ankpa I",Male,all,Public,JSS,JSS1,JSS1,336.5,5.0,10.0,3.25,24.85,0.0,67.3,33.65,103.5385
2019/2020,North Central,Kogi,Ankpa,Ankpa I,"Government Secondary School, Ankpa I",Male,all,Public,Pre-Primary/Primary,Primary 1,Primary 1,1103.75,10.0,37.5,13.0,23.85,0.0,110.375,29.4333,84.9038
2019/2020,North Central,Kogi,Ankpa,Ankpa I,"Government Secondary School, Ankpa I",Male,all,Public,SSS,SSS1,SSS1,222.5,3.5,7.0,2.25,25.85,0.25,63.5714,31.7857,98.8889
2019/2020,North Central,Kogi,Ankpa,Ankpa I,"Government Secondary School, Ankpa I",Male,disabled,Private,JSS,JSS1,JSS1,2.5,0.75,0.25,0.0,12.425,0.0,3.3333,10.0,0.0
2019/2020,North Central,Kogi,Ankpa,Ankpa I,"Government Secondary School, Ankpa I",Male,disabled,Private,Pre-Primary/Primary,Primary 1,Primary 1,9.25,1.25,0.25,0.0,11.925,0.0,7.4,37.0,0.0
2019/2020,North Central,Kogi,Ankpa,Ankpa I,"Government Secondary School, Ankpa I",Male,disabled,Private,SSS,SSS1,SSS1,1.75,1.0,0.25,0.0,12.925,0.0,1.75,7.0,0.0
2019/2020,North Central,Kogi,Ankpa,Ankpa I,"Government Secondary School, Ankpa I",Male,disabled,Public,JSS,JSS1,JSS1,7.25,2.5,0.25,0.0,12.425,0.0,2.9,29.0,0.0
2019/2020,North Central,Kogi,Ankpa,Ankpa I,"Government Secondary School, Ankpa I",Male,disabled,Public,Pre-Primary/Primary,Primary 1,Primary 1,38.5,5.0,1.25,0.5,11.925,0.0,7.7,30.8,77.0
