session,zone,state,lga,ward,school,gender,disability_scope,school_type,school_level,class_grade,key_entry_level,student_count,school_count,classroom_count,computer_count,infrastructure_score,is_o_level_student,avg_students_per_school,learners_per_classroom,students_per_computer
2019/2020,South East,Imo,Aboh-Mbaise,Amuzu,"Community Secondary School, Amuzu",Female,all,Private,JSS,JSS1,JSS1,62.75,1.0,2.0,1.25,29.25,0.0,62.75,31.375,50.2
2019/2020,South East,Imo,Aboh-Mbaise,Amuzu,"Community Secondary School, Amuzu",Female,all,Private,Pre-Primary/Primary,Primary 1,Primary 1,115.75,1.0,4.25,2.5,28.25,0.0,115.75,27.2353,46.3
2019/2020,South East,Imo,Aboh-Mbaise,Amuzu,"Community Secondary School, Amuzu",Female,all,Private,SSS,SSS1,SSS1,55.5,1.0,2.0,1.25,30.25,0.25,55.5,27.75,44.4
2019/2020,South East,Imo,Aboh-Mbaise,Amuzu,"Community Secondary School, Amuzu",Female,all,Public,JSS,JSS1,JSS1,180.5,2.5,5.5,3.25,29.25,0.0,72.2,32.8182,55.5385
2019/2020,South East,Imo,Aboh-Mbaise,Amuzu,"Community Secondary School, Amuzu",Female,all,Public,Pre-Primary/Primary,Primary 1,Primary 1,660.0,5.5,23.0,13.0,28.25,0.0,120.0,28.6957,50.7692
2019/2020,South East,Imo,Aboh-Mbaise,Amuzu,"Community Secondary School, Amuzu",Female,all,Public,SSS,SSS1,SSS1,98.0,2.0,3.25,2.0,30.25,0.25,49.0,30.1538,49.0
2019/2020,South East,Imo,Aboh-Mbaise,Amuzu,"Community Secondary School, Amuzu",Female,disabled,Private,JSS,JSS1,JSS1,1.5,0.5,0.25,0.25,14.625,0.0,3.0,6.0,6.0
2019/2020,South East,Imo,Aboh-Mbaise,Amuzu,"Community Secondary School, Amuzu",Female,disabled,Private,Pre-Primary/Primary,Primary 1,Primary 1,4.0,0.5,0.25,0.25,14.125,0.0,8.0,16.0,16.0
2019/2020,South East,Imo,Aboh-Mbaise,Amuzu,"Community Secondary School, Amuzu",Female,disabled,Private,SSS,SSS1,SSS1,1.0,0.5,0.25,0.25,15.125,0.0,2.0,4.0,4.0
2019/2020,South East,Imo,Aboh-Mbaise,Amuzu,"Community Secondary School, Amuzu",Female,disabled,Public,JSS,JSS1,JSS1,3.25,1.25,0.25,0.25,14.625,0.0,2.6,13.0,13.0
