session,zone,state,lga,ward,school,gender,disability_scope,school_type,school_level,class_grade,key_entry_level,student_count,school_count,classroom_count,computer_count,infrastructure_score,is_o_level_student,avg_students_per_school,learners_per_classroom,students_per_computer,usable_classroom_count,laboratory_count,computer_access_count,water_source_count,handwashing_facility_count,toilet_count
2019/2020,North West,Kano,Dala,Adakawa,"Community Secondary School, Adakawa",Female,all,Private,JSS,JSS1,JSS1,123.5,1.5,2.5,2.0,30.45,0.0,82.3333,49.4,61.75,0.73,0.52,0.19,0.84,0.6,0.58
2019/2020,North West,Kano,Dala,Adakawa,"Community Secondary School, Adakawa",Female,all,Private,Pre-Primary/Primary,Primary 1,Primary 1,213.75,2.0,4.75,3.5,29.45,0.0,106.875,45.0,61.0714,1.72,0.48,0.25,1.13,0.81,0.79
2019/2020,North West,Kano,Dala,Adakawa,"Community Secondary School, Adakawa",Female,all,Private,SSS,SSS1,SSS1,99.75,2.0,2.25,1.75,31.45,0.25,49.875,44.3333,57.0,0.61,0.83,0.27,1.13,0.81,0.79
2019/2020,North West,Kano,Dala,Adakawa,"Community Secondary School, Adakawa",Female,all,Public,JSS,JSS1,JSS1,309.25,5.0,5.75,4.25,30.45,0.0,61.85,53.7826,72.7647,1.38,1.71,0.58,2.71,1.95,1.89
2019/2020,North West,Kano,Dala,Adakawa,"Community Secondary School, Adakawa",Female,all,Public,Pre-Primary/Primary,Primary 1,Primary 1,1183.5,10.0,25.25,18.25,29.45,0.0,118.35,46.8713,64.8493,9.23,2.41,1.22,5.68,4.05,3.95
2019/2020,North West,Kano,Dala,Adakawa,"Community Secondary School, Adakawa",Female,all,Public,SSS,SSS1,SSS1,216.0,4.0,4.5,3.25,31.45,0.25,54.0,48.0,66.4615,1.15,1.65,0.5,2.24,1.61,1.56
2019/2020,North West,Kano,Dala,Adakawa,"Community Secondary School, Adakawa",Female,disabled,Private,JSS,JSS1,JSS1,3.25,0.75,0.25,0.25,15.225,0.0,4.3333,13.0,13.0,0.18,0.24,0.28,0.39,0.26,0.25
2019/2020,North West,Kano,Dala,Adakawa,"Community Secondary School, Adakawa",Female,disabled,Private,Pre-Primary/Primary,Primary 1,Primary 1,7.5,1.0,0.25,0.25,14.725,0.0,7.5,30.0,30.0,0.09,0.18,0.18,0.38,0.25,0.25
2019/2020,North West,Kano,Dala,Adakawa,"Community Secondary School, Adakawa",Female,disabled,Private,SSS,SSS1,SSS1,2.25,1.0,0.25,0.25,15.725,0.0,2.25,9.0,9.0,0.24,0.41,0.53,0.61,0.4,0.39
2019/2020,North West,Kano,Dala,Adakawa,"Community Secondary School, Adakawa",Female,disabled,Public,JSS,JSS1,JSS1,7.0,2.5,0.25,0.25,15.225,0.0,2.8,28.0,28.0,0.09,0.7,0.47,1,0.65,0.64
2019/2020,North West,Kano,Dala,Adakawa,"Community Secondary School, Adakawa",Female,disabled,Public,Pre-Primary/Primary,Primary 1,Primary 1,42.5,5.0,1.0,0.75,14.725,0.0,8.5,42.5,56.6667,0.28,0.82,0.53,1.78,1.15,1.14
2019/2020,North West,Kano,Dala,Adakawa,"Community Secondary School, Adakawa",Female,disabled,Public,SSS,SSS1,SSS1,3.25,2.0,0.25,0.25,15.725,0.0,1.625,13.0,13.0,0.18,0.77,0.75,1.04,0.69,0.67
2019/2020,North West,Kano,Dala,Adakawa,"Community Secondary School, Adakawa",Male,all,Private,JSS,JSS1,JSS1,107.0,1.5,2.25,1.75,30.45,0.0,71.3333,47.5556,61.1429,0.64,0.52,0.19,0.84,0.6,0.58
2019/2020,North West,Kano,Dala,Adakawa,"Community Secondary School, Adakawa",Male,all,Private,Pre-Primary/Primary,Primary 1,Primary 1,222.5,2.0,4.75,3.5,29.45,0.0,111.25,46.8421,63.5714,1.68,0.48,0.25,1.13,0.81,0.78
2019/2020,North West,Kano,Dala,Adakawa,"Community Secondary School, Adakawa",Male,all,Private,SSS,SSS1,SSS1,104.0,2.0,2.25,1.75,31.45,0.25,52.0,46.2222,59.4286,0.59,0.83,0.26,1.13,0.81,0.78
2019/2020,North West,Kano,Dala,Adakawa,"Community Secondary School, Adakawa",Male,all,Public,JSS,JSS1,JSS1,293.0,5.0,5.5,4.0,30.45,0.0,58.6,53.2727,73.25,1.31,1.71,0.58,2.71,1.94,1.88
2019/2020,North West,Kano,Dala,Adakawa,"Community Secondary School, Adakawa",Male,all,Public,Pre-Primary/Primary,Primary 1,Primary 1,1228.75,10.0,26.25,19.0,29.45,0.0,122.875,46.8095,64.6711,9.79,2.41,1.23,5.7,4.06,3.97
2019/2020,North West,Kano,Dala,Adakawa,"Community Secondary School, Adakawa",Male,all,Public,SSS,SSS1,SSS1,227.5,4.0,4.75,3.5,31.45,0.25,56.875,47.8947,65.0,1.24,1.65,0.5,2.25,1.62,1.57
2019/2020,North West,Kano,Dala,Adakawa,"Community Secondary School, Adakawa",Male,disabled,Private,JSS,JSS1,JSS1,2.5,0.75,0.25,0.25,15.225,0.0,3.3333,10.0,10.0,0.23,0.25,0.36,0.44,0.29,0.28
2019/2020,North West,Kano,Dala,Adakawa,"Community Secondary School, Adakawa",Male,disabled,Private,Pre-Primary/Primary,Primary 1,Primary 1,7.75,1.0,0.25,0.25,14.725,0.0,7.75,31.0,31.0,0.09,0.18,0.17,0.38,0.25,0.24
2019/2020,North West,Kano,Dala,Adakawa,"Community Secondary School, Adakawa",Male,disabled,Private,SSS,SSS1,SSS1,2.25,1.0,0.25,0.25,15.725,0.0,2.25,9.0,9.0,0.24,0.41,0.53,0.61,0.4,0.39
2019/2020,North West,Kano,Dala,Adakawa,"Community Secondary School, Adakawa",Male,disabled,Public,JSS,JSS1,JSS1,6.75,2.5,0.25,0.25,15.225,0.0,2.7,27.0,27.0,0.1,0.7,0.49,1,0.66,0.64
2019/2020,North West,Kano,Dala,Adakawa,"Community Secondary School, Adakawa",Male,disabled,Public,Pre-Primary/Primary,Primary 1,Primary 1,44.25,5.0,1.0,0.75,14.725,0.0,8.85,44.25,59.0,0.27,0.82,0.51,1.76,1.15,1.13
2019/2020,North West,Kano,Dala,Adakawa,"Community Secondary School, Adakawa",Male,disabled,Public,SSS,SSS1,SSS1,3.25,2.0,0.25,0.25,15.725,0.0,1.625,13.0,13.0,0.18,0.77,0.75,1.04,0.69,0.67
2019/2020,North West,Kano,Dala,Adakawa,"Comprehensive High School, Adakawa",Female,all,Private,JSS,JSS1,JSS1,123.5,1.5,2.5,2.0,30.45,0.0,82.3333,49.4,61.75,0.73,0.52,0.19,0.84,0.6,0.58
2019/2020,North West,Kano,Dala,Adakawa,"Comprehensive High School, Adakawa",Female,all,Private,Pre-Primary/Primary,Primary 1,Primary 1,213.75,2.0,4.75,3.5,29.45,0.0,106.875,45.0,61.0714,1.72,0.48,0.25,1.13,0.81,0.79
2019/2020,North West,Kano,Dala,Adakawa,"Comprehensive High School, Adakawa",Female,all,Private,SSS,SSS1,SSS1,99.75,2.0,2.25,1.75,31.45,0.25,49.875,44.3333,57.0,0.61,0.83,0.27,1.13,0.81,0.79
2019/2020,North West,Kano,Dala,Adakawa,"Comprehensive High School, Adakawa",Female,all,Public,JSS,JSS1,JSS1,309.25,5.0,5.75,4.25,30.45,0.0,61.85,53.7826,72.7647,1.38,1.71,0.58,2.71,1.95,1.89
2019/2020,North West,Kano,Dala,Adakawa,"Comprehensive High School, Adakawa",Female,all,Public,Pre-Primary/Primary,Primary 1,Primary 1,1183.5,10.0,25.25,18.25,29.45,0.0,118.35,46.8713,64.8493,9.23,2.41,1.22,5.68,4.05,3.95
2019/2020,North West,Kano,Dala,Adakawa,"Comprehensive High School, Adakawa",Female,all,Public,SSS,SSS1,SSS1,216.0,4.0,4.5,3.25,31.45,0.25,54.0,48.0,66.4615,1.15,1.65,0.5,2.24,1.61,1.56
2019/2020,North West,Kano,Dala,Adakawa,"Comprehensive High School, Adakawa",Female,disabled,Private,JSS,JSS1,JSS1,3.25,0.75,0.25,0.25,15.225,0.0,4.3333,13.0,13.0,0.18,0.24,0.28,0.39,0.26,0.25
2019/2020,North West,Kano,Dala,Adakawa,"Comprehensive High School, Adakawa",Female,disabled,Private,Pre-Primary/Primary,Primary 1,Primary 1,7.5,1.0,0.25,0.25,14.725,0.0,7.5,30.0,30.0,0.09,0.18,0.18,0.38,0.25,0.25
