session,zone,state,lga,ward,school,gender,disability_scope,school_type,school_level,class_grade,key_entry_level,student_count,school_count,classroom_count,computer_count,infrastructure_score,is_o_level_student,avg_students_per_school,learners_per_classroom,students_per_computer
2019/2020,South South,Rivers,Bonny,Ward II Court/ Ada Allison,"Community Secondary School, Ward II Court/ Ada Allison",Female,all,Private,JSS,JSS1,JSS1,119.75,2.0,2.5,1.75,27.3,0.0,59.875,47.9,68.4286
2019/2020,South South,Rivers,Bonny,Ward II Court/ Ada Allison,"Community Secondary School, Ward II Court/ Ada Allison",Female,all,Private,Pre-Primary/Primary,Primary 1,Primary 1,315.25,2.5,7.0,5.0,26.3,0.0,126.1,45.0357,63.05
2019/2020,South South,Rivers,Bonny,Ward II Court/ Ada Allison,"Community Secondary School, Ward II Court/ Ada Allison",Female,all,Private,SSS,SSS1,SSS1,97.75,1.5,2.25,1.75,28.3,0.25,65.1667,43.4444,55.8571
2019/2020,South South,Rivers,Bonny,Ward II Court/ Ada Allison,"Community Secondary School, Ward II Court/ Ada Allison",Female,all,Public,JSS,JSS1,JSS1,352.0,5.0,7.0,5.0,27.3,0.0,70.4,50.2857,70.4
2019/2020,South South,Rivers,Bonny,Ward II Court/ Ada Allison,"Community Secondary School, Ward II Court/ Ada Allison",Female,all,Public,Pre-Primary/Primary,Primary 1,Primary 1,1076.0,9.5,24.25,17.25,26.3,0.0,113.2632,44.3711,62.3768
2019/2020,South South,Rivers,Bonny,Ward II Court/ Ada Allison,"Community Secondary School, Ward II Court/ Ada Allison",Female,all,Public,SSS,SSS1,SSS1,201.25,4.0,4.25,3.0,28.3,0.25,50.3125,47.3529,67.0833
2019/2020,South South,Rivers,Bonny,Ward II Court/ Ada Allison,"Community Secondary School, Ward II Court/ Ada Allison",Female,disabled,Private,JSS,JSS1,JSS1,3.25,1.0,0.25,0.25,13.65,0.0,3.25,13.0,13.0
2019/2020,South South,Rivers,Bonny,Ward II Court/ Ada Allison,"Community Secondary School, Ward II Court/ Ada Allison",Female,disabled,Private,Pre-Primary/Primary,Primary 1,Primary 1,10.5,1.25,0.25,0.25,13.15,0.0,8.4,42.0,42.0
2019/2020,South South,Rivers,Bonny,Ward II Court/ Ada Allison,"Community Secondary School, Ward II Court/ Ada Allison",Female,disabled,Private,SSS,SSS1,SSS1,1.5,0.75,0.25,0.25,14.15,0.0,2.0,6.0,6.0
2019/2020,South South,Rivers,Bonny,Ward II Court/ Ada Allison,"Community Secondary School, Ward II Court/ Ada Allison",Female,disabled,Public,JSS,JSS1,JSS1,7.5,2.5,0.25,0.25,13.65,0.0,3.0,30.0,30.0
2019/2020,South South,Rivers,Bonny,Ward II Court/ Ada Allison,"Community Secondary School, Ward II Court/ Ada Allison",Female,disabled,Public,Pre-Primary/Primary,Primary 1,Primary 1,28.25,4.75,0.75,0.5,13.15,0.0,5.9474,37.6667,56.5
2019/2020,South South,Rivers,Bonny,Ward II Court/ Ada Allison,"Community Secondary School, Ward II Court/ Ada Allison",Female,disabled,Public,SSS,SSS1,SSS1,3.75,2.0,0.25,0.25,14.15,0.0,1.875,15.0,15.0
2019/2020,South South,Rivers,Bonny,Ward II Court/ Ada Allison,"Community Secondary School, Ward II Court/ Ada Allison",Male,all,Private,JSS,JSS1,JSS1,104.0,2.0,2.25,1.75,27.3,0.0,52.0,46.2222,59.4286
2019/2020,South South,Rivers,Bonny,Ward II Court/ Ada Allison,"Community Secondary School, Ward II Court/ Ada Allison",Male,all,Private,Pre-Primary/Primary,Primary 1,Primary 1,340.75,2.5,7.5,5.5,26.3,0.0,136.3,45.4333,61.9545
2019/2020,South South,Rivers,Bonny,Ward II Court/ Ada Allison,"Community Secondary School, Ward II Court/ Ada Allison",Male,all,Private,SSS,SSS1,SSS1,95.0,1.5,2.25,1.75,28.3,0.25,63.3333,42.2222,54.2857
2019/2020,South South,Rivers,Bonny,Ward II Court/ Ada Allison,"Community Secondary School, Ward II Court/ Ada Allison",Male,all,Public,JSS,JSS1,JSS1,292.0,5.0,5.75,4.25,27.3,0.0,58.4,50.7826,68.7059
2019/2020,South South,Rivers,Bonny,Ward II Court/ Ada Allison,"Community Secondary School, Ward II Court/ Ada Allison",Male,all,Public,Pre-Primary/Primary,Primary 1,Primary 1,1164.0,9.5,26.0,18.5,26.3,0.0,122.5263,44.7692,62.9189
