session,zone,state,lga,ward,school,gender,disability_scope,school_type,school_level,class_grade,key_entry_level,student_count,school_count,classroom_count,computer_count,infrastructure_score,is_o_level_student,avg_students_per_school,learners_per_classroom,students_per_computer
2019/2020,South South,Akwa Ibom,Abak,Abak Urban I,"Community Secondary School, Abak Urban I",Female,all,Private,JSS,JSS1,JSS1,80.0,1.0,2.0,1.5,24.55,0.0,80.0,40.0,53.3333
2019/2020,South South,Akwa Ibom,Abak,Abak Urban I,"Community Secondary School, Abak Urban I",Female,all,Private,Pre-Primary/Primary,Primary 1,Primary 1,180.0,1.5,4.5,3.25,23.55,0.0,120.0,40.0,55.3846
2019/2020,South South,Akwa Ibom,Abak,Abak Urban I,"Community Secondary School, Abak Urban I",Female,all,Private,SSS,SSS1,SSS1,39.75,1.0,1.25,1.0,25.55,0.25,39.75,31.8,39.75
2019/2020,South South,Akwa Ibom,Abak,Abak Urban I,"Community Secondary School, Abak Urban I",Female,all,Public,JSS,JSS1,JSS1,211.5,3.0,4.75,3.5,24.55,0.0,70.5,44.5263,60.4286
2019/2020,South South,Akwa Ibom,Abak,Abak Urban I,"Community Secondary School, Abak Urban I",Female,all,Public,Pre-Primary/Primary,Primary 1,Primary 1,658.0,5.5,16.25,11.75,23.55,0.0,119.6364,40.4923,56.0
2019/2020,South South,Akwa Ibom,Abak,Abak Urban I,"Community Secondary School, Abak Urban I",Female,all,Public,SSS,SSS1,SSS1,142.0,2.5,3.5,2.75,25.55,0.25,56.8,40.5714,51.6364
2019/2020,South South,Akwa Ibom,Abak,Abak Urban I,"Community Secondary School, Abak Urban I",Female,disabled,Private,JSS,JSS1,JSS1,1.5,0.5,0.25,0.25,12.275,0.0,3.0,6.0,6.0
2019/2020,South South,Akwa Ibom,Abak,Abak Urban I,"Community Secondary School, Abak Urban I",Female,disabled,Private,Pre-Primary/Primary,Primary 1,Primary 1,5.5,0.75,0.25,0.25,11.775,0.0,7.3333,22.0,22.0
2019/2020,South South,Akwa Ibom,Abak,Abak Urban I,"Community Secondary School, Abak Urban I",Female,disabled,Private,SSS,SSS1,SSS1,0.5,0.5,0.25,0.25,12.775,0.0,1.0,2.0,2.0
2019/2020,South South,Akwa Ibom,Abak,Abak Urban I,"Community Secondary School, Abak Urban I",Female,disabled,Public,JSS,JSS1,JSS1,5.0,1.5,0.25,0.25,12.275,0.0,3.3333,20.0,20.0
2019/2020,South South,Akwa Ibom,Abak,Abak Urban I,"Community Secondary School, Abak Urban I",Female,disabled,Public,Pre-Primary/Primary,Primary 1,Primary 1,17.5,2.75,0.5,0.25,11.775,0.0,6.3636,35.0,70.0
2019/2020,South South,Akwa Ibom,Abak,Abak Urban I,"Community Secondary School, Abak Urban I",Female,disabled,Public,SSS,SSS1,SSS1,2.75,1.25,0.25,0.25,12.775,0.0,2.2,11.0,11.0
2019/2020,South South,Akwa Ibom,Abak,Abak Urban I,"Community Secondary School, Abak Urban I",Male,all,Private,JSS,JSS1,JSS1,73.25,1.0,1.75,1.25,24.55,0.0,73.25,41.8571,58.6
2019/2020,South South,Akwa Ibom,Abak,Abak Urban I,"Community Secondary School, Abak Urban I",Male,all,Private,Pre-Primary/Primary,Primary 1,Primary 1,167.5,1.5,4.25,3.25,23.55,0.0,111.6667,39.4118,51.5385
2019/2020,South South,Akwa Ibom,Abak,Abak Urban I,"Community Secondary School, Abak Urban I",Male,all,Private,SSS,SSS1,SSS1,49.25,1.0,1.25,1.0,25.55,0.25,49.25,39.4,49.25
2019/2020,South South,Akwa Ibom,Abak,Abak Urban I,"Community Secondary School, Abak Urban I",Male,all,Public,JSS,JSS1,JSS1,186.75,3.0,4.25,3.25,24.55,0.0,62.25,43.9412,57.4615
2019/2020,South South,Akwa Ibom,Abak,Abak Urban I,"Community Secondary School, Abak Urban I",Male,all,Public,Pre-Primary/Primary,Primary 1,Primary 1,742.25,5.5,18.25,13.25,23.55,0.0,134.9545,40.6712,56.0189
2019/2020,South South,Akwa Ibom,Abak,Abak Urban I,"Community Secondary School, Abak Urban I",Male,all,Public,SSS,SSS1,SSS1,147.5,2.5,3.5,2.75,25.55,0.25,59.0,42.1429,53.6364
2019/2020,South South,Akwa Ibom,Abak,Abak Urban I,"Community Secondary School, Abak Urban I",Male,disabled,Private,JSS,JSS1,JSS1,1.5,0.5,0.25,0.25,12.275,0.0,3.0,6.0,6.0
2019/2020,South South,Akwa Ibom,Abak,Abak Urban I,"Community Secondary School, Abak Urban I",Male,disabled,Private,Pre-Primary/Primary,Primary 1,Primary 1,5.0,0.75,0.25,0.25,11.775,0.0,6.6667,20.0,20.0
2019/2020,South South,Akwa Ibom,Abak,Abak Urban I,"Community Secondary School, Abak Urban I",Male,disabled,Private,SSS,SSS1,SSS1,0.5,0.5,0.25,0.25,12.775,0.0,1.0,2.0,2.0
