session,zone,state,lga,ward,school,gender,disability_scope,school_type,school_level,class_grade,key_entry_level,student_count,school_count,classroom_count,computer_count,infrastructure_score,is_o_level_student,avg_students_per_school,learners_per_classroom,students_per_computer,usable_classroom_count,laboratory_count,computer_access_count,water_source_count,handwashing_facility_count,toilet_count
2019/2020,South East,Anambra,Awka North,Achalla  I,"Community Secondary School, Achalla  I",Female,all,Private,JSS,JSS1,JSS1,81.75,1.0,2.25,1.5,32.65,0.0,81.75,36.3333,54.5,0.89,0.36,0.14,0.62,0.45,0.43
2019/2020,South East,Anambra,Awka North,Achalla  I,"Community Secondary School, Achalla  I",Female,all,Private,Pre-Primary/Primary,Primary 1,Primary 1,183.0,1.5,5.25,3.25,31.65,0.0,122.0,34.8571,56.3077,2.62,0.38,0.21,0.95,0.68,0.67
2019/2020,South East,Anambra,Awka North,Achalla  I,"Community Secondary School, Achalla  I",Female,all,Private,SSS,SSS1,SSS1,44.0,0.5,1.25,0.75,33.65,0.25,88.0,35.2,58.6667,0.41,0.21,0.07,0.31,0.22,0.21
2019/2020,South East,Anambra,Awka North,Achalla  I,"Community Secondary School, Achalla  I",Female,all,Public,JSS,JSS1,JSS1,197.75,3.0,5.0,3.0,32.65,0.0,65.9167,39.55,65.9167,1.67,1.06,0.38,1.8,1.3,1.26
2019/2020,South East,Anambra,Awka North,Achalla  I,"Community Secondary School, Achalla  I",Female,all,Public,Pre-Primary/Primary,Primary 1,Primary 1,688.5,6.0,19.25,11.25,31.65,0.0,114.75,35.7662,61.2,9.07,1.52,0.78,3.76,2.7,2.64
2019/2020,South East,Anambra,Awka North,Achalla  I,"Community Secondary School, Achalla  I",Female,all,Public,SSS,SSS1,SSS1,152.5,3.0,4.25,2.5,33.65,0.25,50.8333,35.8824,61.0,1.43,1.27,0.4,1.84,1.33,1.29
2019/2020,South East,Anambra,Awka North,Achalla  I,"Community Secondary School, Achalla  I",Female,disabled,Private,JSS,JSS1,JSS1,1.5,0.5,0.25,0.25,16.325,0.0,3.0,6.0,6.0,0.24,0.2,0.39,0.32,0.21,0.2
2019/2020,South East,Anambra,Awka North,Achalla  I,"Community Secondary School, Achalla  I",Female,disabled,Private,Pre-Primary/Primary,Primary 1,Primary 1,5.25,0.75,0.25,0.25,15.825,0.0,7.0,21.0,21.0,0.12,0.15,0.18,0.33,0.22,0.21
2019/2020,South East,Anambra,Awka North,Achalla  I,"Community Secondary School, Achalla  I",Female,disabled,Private,SSS,SSS1,SSS1,1.0,0.25,0.25,0.25,16.825,0.0,4.0,4.0,4.0,0.24,0.12,0.21,0.16,0.11,0.1
2019/2020,South East,Anambra,Awka North,Achalla  I,"Community Secondary School, Achalla  I",Female,disabled,Public,JSS,JSS1,JSS1,4.25,1.5,0.25,0.25,16.325,0.0,2.8333,17.0,17.0,0.14,0.46,0.44,0.72,0.48,0.46
