session,zone,state,lga,ward,school,gender,disability_scope,school_type,school_level,class_grade,key_entry_level,student_count,school_count,classroom_count,computer_count,infrastructure_score,is_o_level_student,avg_students_per_school,learners_per_classroom,students_per_computer,usable_classroom_count,laboratory_count,computer_access_count,water_source_count,handwashing_facility_count,toilet_count
2019/2020,North West,Jigawa,Auyo,Auyakayi,"Adaha Primary School, Adaha",Female,all,Private,Pre-Primary/Primary,Primary 1,Primary 1,2.0,0.0,0.0,0.0,51.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0
2019/2020,North West,Jigawa,Auyo,Auyakayi,"Adaha Primary School, Adaha",Female,disabled,Private,Pre-Primary/Primary,Primary 1,Primary 1,2.0,0.0,0.0,0.0,51.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0
2019/2020,North West,Jigawa,Auyo,Auyakayi,"Adaha Primary School, Adaha",Male,all,Private,Pre-Primary/Primary,Primary 1,Primary 1,2.0,0.0,0.0,0.0,51.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0
2019/2020,North West,Jigawa,Auyo,Auyakayi,"Adaha Primary School, Adaha",Male,disabled,Private,Pre-Primary/Primary,Primary 1,Primary 1,2.0,0.0,0.0,0.0,51.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0
2019/2020,North West,Jigawa,Auyo,Auyakayi,"Afiyo Nomadic Primary School, Afiyau",Female,all,Private,Pre-Primary/Primary,Primary 1,Primary 1,68.0,0.0,2.0,1.0,51.0,0.0,0.0,34.0,68.0,0.79,0,0,0,0,0
2019/2020,North West,Jigawa,Auyo,Auyakayi,"Afiyo Nomadic Primary School, Afiyau",Male,all,Private,Pre-Primary/Primary,Primary 1,Primary 1,66.0,0.0,2.0,1.0,51.0,0.0,0.0,33.0,66.0,0.8,0,0,0,0,0
2019/2020,North West,Jigawa,Auyo,Auyakayi,Bankada Nomadic Primary School,Female,all,Public,Pre-Primary/Primary,Primary 1,Primary 1,5.0,1.0,0.0,0.0,51.0,0.0,5.0,0.0,0.0,0,0.41,0.84,0.88,0.63,0.58
2019/2020,North West,Jigawa,Auyo,Auyakayi,Bankada Nomadic Primary School,Female,disabled,Public,Pre-Primary/Primary,Primary 1,Primary 1,5.0,1.0,0.0,0.0,51.0,0.0,5.0,0.0,0.0,0,0.41,0.84,0.88,0.63,0.58
2019/2020,North West,Jigawa,Auyo,Auyakayi,Bankada Nomadic Primary School,Male,all,Public,Pre-Primary/Primary,Primary 1,Primary 1,6.0,1.0,0.0,0.0,51.0,0.0,6.0,0.0,0.0,0,0.41,0.84,0.88,0.63,0.58
2019/2020,North West,Jigawa,Auyo,Auyakayi,Bankada Nomadic Primary School,Male,disabled,Public,Pre-Primary/Primary,Primary 1,Primary 1,6.0,1.0,0.0,0.0,51.0,0.0,6.0,0.0,0.0,0,0.41,0.84,0.88,0.63,0.58
