session,zone,state,lga,ward,school,gender,disability_scope,school_type,school_level,class_grade,key_entry_level,student_count,school_count,classroom_count,computer_count,infrastructure_score,is_o_level_student,avg_students_per_school,learners_per_classroom,students_per_computer,usable_classroom_count,laboratory_count,computer_access_count,water_source_count,handwashing_facility_count,toilet_count
2019/2020,North Central,Plateau,Barkin Ladi,Barakin Ladi,"Community Secondary School, Barakin Ladi",Female,all,Private,JSS,JSS1,JSS1,66.25,1.0,2.0,0.75,35.6,0.0,66.25,33.125,88.3333,0.8,0.36,0.12,0.65,0.47,0.46
2019/2020,North Central,Plateau,Barkin Ladi,Barakin Ladi,"Community Secondary School, Barakin Ladi",Female,all,Private,Pre-Primary/Primary,Primary 1,Primary 1,182.5,1.5,5.75,2.25,34.6,0.0,121.6667,31.7391,81.1111,3.15,0.4,0.18,1.03,0.74,0.73
2019/2020,North Central,Plateau,Barkin Ladi,Barakin Ladi,"Community Secondary School, Barakin Ladi",Female,all,Private,SSS,SSS1,SSS1,36.0,1.0,1.25,0.5,36.6,0.25,36.0,28.8,72.0,0.48,0.43,0.13,0.64,0.47,0.46
2019/2020,North Central,Plateau,Barkin Ladi,Barakin Ladi,"Community Secondary School, Barakin Ladi",Female,all,Public,JSS,JSS1,JSS1,157.75,2.0,4.5,1.75,35.6,0.0,78.875,35.0556,90.1429,1.82,0.73,0.23,1.3,0.95,0.92
2019/2020,North Central,Plateau,Barkin Ladi,Barakin Ladi,"Community Secondary School, Barakin Ladi",Female,all,Public,Pre-Primary/Primary,Primary 1,Primary 1,523.75,4.5,16.25,7.0,34.6,0.0,116.3889,32.2308,74.8214,8.56,1.2,0.55,3.06,2.21,2.17
2019/2020,North Central,Plateau,Barkin Ladi,Barakin Ladi,"Community Secondary School, Barakin Ladi",Female,all,Public,SSS,SSS1,SSS1,103.75,2.0,3.25,1.25,36.6,0.25,51.875,31.9231,83.0,1.24,0.86,0.24,1.29,0.94,0.91
2019/2020,North Central,Plateau,Barkin Ladi,Barakin Ladi,"Community Secondary School, Barakin Ladi",Female,disabled,Private,JSS,JSS1,JSS1,1.75,0.5,0.25,0.0,17.8,0.0,3.5,7.0,0.0,0.24,0.21,0.42,0.33,0.22,0.2
2019/2020,North Central,Plateau,Barkin Ladi,Barakin Ladi,"Community Secondary School, Barakin Ladi",Female,disabled,Private,Pre-Primary/Primary,Primary 1,Primary 1,5.25,0.75,0.25,0.0,17.3,0.0,7.0,21.0,0.0,0.12,0.24,0.63,0.38,0.25,0.22
2019/2020,North Central,Plateau,Barkin Ladi,Barakin Ladi,"Community Secondary School, Barakin Ladi",Female,disabled,Private,SSS,SSS1,SSS1,0.5,0.5,0.25,0.0,18.3,0.0,1.0,2.0,0.0,0.24,0.24,0.42,0.33,0.22,0.21
2019/2020,North Central,Plateau,Barkin Ladi,Barakin Ladi,"Community Secondary School, Barakin Ladi",Female,disabled,Public,JSS,JSS1,JSS1,3.25,1.0,0.25,0.0,17.8,0.0,3.25,13.0,0.0,0.18,0.42,0.84,0.58,0.39,0.36
2019/2020,North Central,Plateau,Barkin Ladi,Barakin Ladi,"Community Secondary School, Barakin Ladi",Female,disabled,Public,Pre-Primary/Primary,Primary 1,Primary 1,16.0,2.25,0.5,0.25,17.3,0.0,7.1111,32.0,64.0,0.17,0.4,0.23,0.91,0.61,0.6
2019/2020,North Central,Plateau,Barkin Ladi,Barakin Ladi,"Community Secondary School, Barakin Ladi",Female,disabled,Public,SSS,SSS1,SSS1,1.5,1.0,0.25,0.0,18.3,0.0,1.5,6.0,0.0,0.24,0.49,0.84,0.66,0.45,0.41
2019/2020,North Central,Plateau,Barkin Ladi,Barakin Ladi,"Community Secondary School, Barakin Ladi",Male,all,Private,JSS,JSS1,JSS1,64.5,1.0,2.0,0.75,35.6,0.0,64.5,32.25,86.0,0.81,0.36,0.12,0.65,0.47,0.46
2019/2020,North Central,Plateau,Barkin Ladi,Barakin Ladi,"Community Secondary School, Barakin Ladi",Male,all,Private,Pre-Primary/Primary,Primary 1,Primary 1,171.5,1.5,5.5,2.25,34.6,0.0,114.3333,31.1818,76.2222,2.97,0.4,0.18,1.03,0.74,0.73
2019/2020,North Central,Plateau,Barkin Ladi,Barakin Ladi,"Community Secondary School, Barakin Ladi",Male,all,Private,SSS,SSS1,SSS1,39.5,1.0,1.25,0.5,36.6,0.25,39.5,31.6,79.0,0.44,0.43,0.12,0.64,0.46,0.45
2019/2020,North Central,Plateau,Barkin Ladi,Barakin Ladi,"Community Secondary School, Barakin Ladi",Male,all,Public,JSS,JSS1,JSS1,141.25,2.0,4.0,1.5,35.6,0.0,70.625,35.3125,94.1667,1.53,0.73,0.22,1.29,0.94,0.91
2019/2020,North Central,Plateau,Barkin Ladi,Barakin Ladi,"Community Secondary School, Barakin Ladi",Male,all,Public,Pre-Primary/Primary,Primary 1,Primary 1,472.25,4.5,14.75,6.25,34.6,0.0,104.9444,32.0169,75.56,7.43,1.2,0.55,3.03,2.19,2.15
2019/2020,North Central,Plateau,Barkin Ladi,Barakin Ladi,"Community Secondary School, Barakin Ladi",Male,all,Public,SSS,SSS1,SSS1,104.5,2.0,3.25,1.25,36.6,0.25,52.25,32.1538,83.6,1.23,0.86,0.24,1.29,0.94,0.91
2019/2020,North Central,Plateau,Barkin Ladi,Barakin Ladi,"Community Secondary School, Barakin Ladi",Male,disabled,Private,JSS,JSS1,JSS1,1.5,0.5,0.25,0.0,17.8,0.0,3.0,6.0,0.0,0.24,0.21,0.42,0.33,0.22,0.2
2019/2020,North Central,Plateau,Barkin Ladi,Barakin Ladi,"Community Secondary School, Barakin Ladi",Male,disabled,Private,Pre-Primary/Primary,Primary 1,Primary 1,5.0,0.75,0.25,0.0,17.3,0.0,6.6667,20.0,0.0,0.12,0.24,0.63,0.38,0.26,0.23
2019/2020,North Central,Plateau,Barkin Ladi,Barakin Ladi,"Community Secondary School, Barakin Ladi",Male,disabled,Private,SSS,SSS1,SSS1,1.0,0.5,0.25,0.0,18.3,0.0,2.0,4.0,0.0,0.24,0.24,0.42,0.33,0.22,0.21
2019/2020,North Central,Plateau,Barkin Ladi,Barakin Ladi,"Community Secondary School, Barakin Ladi",Male,disabled,Public,JSS,JSS1,JSS1,3.0,1.0,0.25,0.0,17.8,0.0,3.0,12.0,0.0,0.19,0.42,0.84,0.6,0.4,0.37
2019/2020,North Central,Plateau,Barkin Ladi,Barakin Ladi,"Community Secondary School, Barakin Ladi",Male,disabled,Public,Pre-Primary/Primary,Primary 1,Primary 1,14.25,2.25,0.5,0.25,17.3,0.0,6.3333,28.5,57.0,0.19,0.4,0.25,0.94,0.62,0.62
2019/2020,North Central,Plateau,Barkin Ladi,Barakin Ladi,"Community Secondary School, Barakin Ladi",Male,disabled,Public,SSS,SSS1,SSS1,1.75,1.0,0.25,0.0,18.3,0.0,1.75,7.0,0.0,0.24,0.49,0.84,0.66,0.45,0.41
2019/2020,North Central,Plateau,Barkin Ladi,Barakin Ladi,"Comprehensive High School, Barakin Ladi",Female,all,Private,JSS,JSS1,JSS1,66.25,1.0,2.0,0.75,35.6,0.0,66.25,33.125,88.3333,0.8,0.36,0.12,0.65,0.47,0.46
