session,zone,state,lga,ward,school,gender,disability_scope,school_type,school_level,class_grade,key_entry_level,student_count,school_count,classroom_count,computer_count,infrastructure_score,is_o_level_student,avg_students_per_school,learners_per_classroom,students_per_computer
2019/2020,South South,Edo,Esan Central,Ewu I,"Community Secondary School, Ewu I",Female,all,Private,JSS,JSS1,JSS1,61.75,1.0,1.5,1.0,34.6,0.0,61.75,41.1667,61.75
2019/2020,South South,Edo,Esan Central,Ewu I,"Community Secondary School, Ewu I",Female,all,Private,Pre-Primary/Primary,Primary 1,Primary 1,236.5,2.0,5.25,2.75,33.6,0.0,118.25,45.0476,86.0
2019/2020,South South,Edo,Esan Central,Ewu I,"Community Secondary School, Ewu I",Female,all,Private,SSS,SSS1,SSS1,60.75,1.0,1.5,1.0,35.6,0.25,60.75,40.5,60.75
2019/2020,South South,Edo,Esan Central,Ewu I,"Community Secondary School, Ewu I",Female,all,Public,JSS,JSS1,JSS1,267.0,4.0,5.25,2.75,34.6,0.0,66.75,50.8571,97.0909
2019/2020,South South,Edo,Esan Central,Ewu I,"Community Secondary School, Ewu I",Female,all,Public,Pre-Primary/Primary,Primary 1,Primary 1,849.75,6.5,19.0,9.5,33.6,0.0,130.7308,44.7237,89.4474
2019/2020,South South,Edo,Esan Central,Ewu I,"Community Secondary School, Ewu I",Female,all,Public,SSS,SSS1,SSS1,161.5,3.0,3.5,2.0,35.6,0.25,53.8333,46.1429,80.75
2019/2020,South South,Edo,Esan Central,Ewu I,"Community Secondary School, Ewu I",Female,disabled,Private,JSS,JSS1,JSS1,1.5,0.5,0.25,0.25,17.3,0.0,3.0,6.0,6.0
2019/2020,South South,Edo,Esan Central,Ewu I,"Community Secondary School, Ewu I",Female,disabled,Private,Pre-Primary/Primary,Primary 1,Primary 1,6.5,1.0,0.25,0.25,16.8,0.0,6.5,26.0,26.0
2019/2020,South South,Edo,Esan Central,Ewu I,"Community Secondary School, Ewu I",Female,disabled,Private,SSS,SSS1,SSS1,1.5,0.5,0.25,0.25,17.8,0.0,3.0,6.0,6.0
2019/2020,South South,Edo,Esan Central,Ewu I,"Community Secondary School, Ewu I",Female,disabled,Public,JSS,JSS1,JSS1,7.0,2.0,0.25,0.25,17.3,0.0,3.5,28.0,28.0
2019/2020,South South,Edo,Esan Central,Ewu I,"Community Secondary School, Ewu I",Female,disabled,Public,Pre-Primary/Primary,Primary 1,Primary 1,22.25,3.25,0.5,0.25,16.8,0.0,6.8462,44.5,89.0
2019/2020,South South,Edo,Esan Central,Ewu I,"Community Secondary School, Ewu I",Female,disabled,Public,SSS,SSS1,SSS1,3.25,1.5,0.25,0.25,17.8,0.0,2.1667,13.0,13.0
2019/2020,South South,Edo,Esan Central,Ewu I,"Community Secondary School, Ewu I",Male,all,Private,JSS,JSS1,JSS1,59.5,1.0,1.25,0.75,34.6,0.0,59.5,47.6,79.3333
2019/2020,South South,Edo,Esan Central,Ewu I,"Community Secondary School, Ewu I",Male,all,Private,Pre-Primary/Primary,Primary 1,Primary 1,247.25,2.0,5.5,3.0,33.6,0.0,123.625,44.9545,82.4167
2019/2020,South South,Edo,Esan Central,Ewu I,"Community Secondary School, Ewu I",Male,all,Private,SSS,SSS1,SSS1,60.25,1.0,1.5,1.0,35.6,0.25,60.25,40.1667,60.25
2019/2020,South South,Edo,Esan Central,Ewu I,"Community Secondary School, Ewu I",Male,all,Public,JSS,JSS1,JSS1,248.0,4.0,5.0,2.75,34.6,0.0,62.0,49.6,90.1818
2019/2020,South South,Edo,Esan Central,Ewu I,"Community Secondary School, Ewu I",Male,all,Public,Pre-Primary/Primary,Primary 1,Primary 1,921.75,6.5,20.5,10.25,33.6,0.0,141.8077,44.9634,89.9268
2019/2020,South South,Edo,Esan Central,Ewu I,"Community Secondary School, Ewu I",Male,all,Public,SSS,SSS1,SSS1,181.0,3.0,4.0,2.25,35.6,0.25,60.3333,45.25,80.4444
