session,zone,state,lga,ward,school,gender,disability_scope,school_type,school_level,class_grade,key_entry_level,student_count,school_count,classroom_count,computer_count,infrastructure_score,is_o_level_student,avg_students_per_school,learners_per_classroom,students_per_computer
2019/2020,South East,Abia,Aba North,Ariaria Market,"Community Secondary School, Ariaria Market",Female,all,Private,JSS,JSS1,JSS1,62.75,1.0,2.0,1.5,25.9,0.0,62.75,31.375,41.8333
2019/2020,South East,Abia,Aba North,Ariaria Market,"Community Secondary School, Ariaria Market",Female,all,Private,Pre-Primary/Primary,Primary 1,Primary 1,165.0,1.5,5.75,4.25,24.9,0.0,110.0,28.6957,38.8235
2019/2020,South East,Abia,Aba North,Ariaria Market,"Community Secondary School, Ariaria Market",Female,all,Private,SSS,SSS1,SSS1,75.75,1.5,2.5,2.0,26.9,0.25,50.5,30.3,37.875
2019/2020,South East,Abia,Aba North,Ariaria Market,"Community Secondary School, Ariaria Market",Female,all,Public,JSS,JSS1,JSS1,239.5,3.5,7.0,5.25,25.9,0.0,68.4286,34.2143,45.619
2019/2020,South East,Abia,Aba North,Ariaria Market,"Community Secondary School, Ariaria Market",Female,all,Public,Pre-Primary/Primary,Primary 1,Primary 1,812.75,7.0,27.75,20.5,24.9,0.0,116.1071,29.2883,39.6463
2019/2020,South East,Abia,Aba North,Ariaria Market,"Community Secondary School, Ariaria Market",Female,all,Public,SSS,SSS1,SSS1,133.25,3.0,4.5,3.5,26.9,0.25,44.4167,29.6111,38.0714
2019/2020,South East,Abia,Aba North,Ariaria Market,"Community Secondary School, Ariaria Market",Female,disabled,Private,JSS,JSS1,JSS1,1.0,0.5,0.25,0.25,12.95,0.0,2.0,4.0,4.0
2019/2020,South East,Abia,Aba North,Ariaria Market,"Community Secondary School, Ariaria Market",Female,disabled,Private,Pre-Primary/Primary,Primary 1,Primary 1,5.5,0.75,0.25,0.25,12.45,0.0,7.3333,22.0,22.0
2019/2020,South East,Abia,Aba North,Ariaria Market,"Community Secondary School, Ariaria Market",Female,disabled,Private,SSS,SSS1,SSS1,1.0,0.75,0.25,0.25,13.45,0.0,1.3333,4.0,4.0
2019/2020,South East,Abia,Aba North,Ariaria Market,"Community Secondary School, Ariaria Market",Female,disabled,Public,JSS,JSS1,JSS1,6.0,1.75,0.25,0.25,12.95,0.0,3.4286,24.0,24.0
2019/2020,South East,Abia,Aba North,Ariaria Market,"Community Secondary School, Ariaria Market",Female,disabled,Public,Pre-Primary/Primary,Primary 1,Primary 1,27.5,3.5,1.0,0.75,12.45,0.0,7.8571,27.5,36.6667
2019/2020,South East,Abia,Aba North,Ariaria Market,"Community Secondary School, Ariaria Market",Female,disabled,Public,SSS,SSS1,SSS1,1.5,1.5,0.25,0.25,13.45,0.0,1.0,6.0,6.0
2019/2020,South East,Abia,Aba North,Ariaria Market,"Community Secondary School, Ariaria Market",Male,all,Private,JSS,JSS1,JSS1,57.25,1.0,2.0,1.5,25.9,0.0,57.25,28.625,38.1667
2019/2020,South East,Abia,Aba North,Ariaria Market,"Community Secondary School, Ariaria Market",Male,all,Private,Pre-Primary/Primary,Primary 1,Primary 1,183.25,1.5,6.25,4.75,24.9,0.0,122.1667,29.32,38.5789
2019/2020,South East,Abia,Aba North,Ariaria Market,"Community Secondary School, Ariaria Market",Male,all,Private,SSS,SSS1,SSS1,79.0,1.5,2.5,2.0,26.9,0.25,52.6667,31.6,39.5
2019/2020,South East,Abia,Aba North,Ariaria Market,"Community Secondary School, Ariaria Market",Male,all,Public,JSS,JSS1,JSS1,226.0,3.5,6.75,5.0,25.9,0.0,64.5714,33.4815,45.2
2019/2020,South East,Abia,Aba North,Ariaria Market,"Community Secondary School, Ariaria Market",Male,all,Public,Pre-Primary/Primary,Primary 1,Primary 1,836.0,7.0,28.5,21.0,24.9,0.0,119.4286,29.3333,39.8095
2019/2020,South East,Abia,Aba North,Ariaria Market,"Community Secondary School, Ariaria Market",Male,all,Public,SSS,SSS1,SSS1,142.0,3.0,4.75,3.5,26.9,0.25,47.3333,29.8947,40.5714
2019/2020,South East,Abia,Aba North,Ariaria Market,"Community Secondary School, Ariaria Market",Male,disabled,Private,JSS,JSS1,JSS1,1.0,0.5,0.25,0.25,12.95,0.0,2.0,4.0,4.0
