session,zone,state,lga,ward,school,gender,disability_scope,school_type,school_level,class_grade,key_entry_level,student_count,school_count,classroom_count,computer_count,infrastructure_score,is_o_level_student,avg_students_per_school,learners_per_classroom,students_per_computer
2019/2020,South East,Ebonyi,Abakaliki,Abakpa,"Community Secondary School, Abakpa",Female,all,Private,JSS,JSS1,JSS1,45.0,0.5,1.0,0.25,38.2,0.0,90.0,45.0,180.0
2019/2020,South East,Ebonyi,Abakaliki,Abakpa,"Community Secondary School, Abakpa",Female,all,Private,Pre-Primary/Primary,Primary 1,Primary 1,194.25,2.0,4.25,1.5,37.2,0.0,97.125,45.7059,129.5
2019/2020,South East,Ebonyi,Abakaliki,Abakpa,"Community Secondary School, Abakpa",Female,all,Private,SSS,SSS1,SSS1,52.25,1.0,1.25,0.25,39.2,0.25,52.25,41.8,209.0
2019/2020,South East,Ebonyi,Abakaliki,Abakpa,"Community Secondary School, Abakpa",Female,all,Public,JSS,JSS1,JSS1,205.5,3.0,3.75,1.25,38.2,0.0,68.5,54.8,164.4
2019/2020,South East,Ebonyi,Abakaliki,Abakpa,"Community Secondary School, Abakpa",Female,all,Public,Pre-Primary/Primary,Primary 1,Primary 1,517.75,4.5,10.75,3.75,37.2,0.0,115.0556,48.1628,138.0667
2019/2020,South East,Ebonyi,Abakaliki,Abakpa,"Community Secondary School, Abakpa",Female,all,Public,SSS,SSS1,SSS1,107.0,2.0,2.25,0.75,39.2,0.25,53.5,47.5556,142.6667
2019/2020,South East,Ebonyi,Abakaliki,Abakpa,"Community Secondary School, Abakpa",Female,disabled,Private,JSS,JSS1,JSS1,1.0,0.25,0.25,0.0,19.1,0.0,4.0,4.0,0.0
2019/2020,South East,Ebonyi,Abakaliki,Abakpa,"Community Secondary School, Abakpa",Female,disabled,Private,Pre-Primary/Primary,Primary 1,Primary 1,6.5,1.0,0.25,0.0,18.6,0.0,6.5,26.0,0.0
2019/2020,South East,Ebonyi,Abakaliki,Abakpa,"Community Secondary School, Abakpa",Female,disabled,Private,SSS,SSS1,SSS1,1.0,0.5,0.25,0.0,19.6,0.0,2.0,4.0,0.0
2019/2020,South East,Ebonyi,Abakaliki,Abakpa,"Community Secondary School, Abakpa",Female,disabled,Public,JSS,JSS1,JSS1,5.0,1.5,0.25,0.0,19.1,0.0,3.3333,20.0,0.0
2019/2020,South East,Ebonyi,Abakaliki,Abakpa,"Community Secondary School, Abakpa",Female,disabled,Public,Pre-Primary/Primary,Primary 1,Primary 1,17.25,2.25,0.25,0.0,18.6,0.0,7.6667,69.0,0.0
2019/2020,South East,Ebonyi,Abakaliki,Abakpa,"Community Secondary School, Abakpa",Female,disabled,Public,SSS,SSS1,SSS1,2.25,1.0,0.25,0.0,19.6,0.0,2.25,9.0,0.0
2019/2020,South East,Ebonyi,Abakaliki,Abakpa,"Community Secondary School, Abakpa",Male,all,Private,JSS,JSS1,JSS1,43.5,0.5,1.0,0.25,38.2,0.0,87.0,43.5,174.0
2019/2020,South East,Ebonyi,Abakaliki,Abakpa,"Community Secondary School, Abakpa",Male,all,Private,Pre-Primary/Primary,Primary 1,Primary 1,190.5,2.0,4.0,1.5,37.2,0.0,95.25,47.625,127.0
2019/2020,South East,Ebonyi,Abakaliki,Abakpa,"Community Secondary School, Abakpa",Male,all,Private,SSS,SSS1,SSS1,54.25,1.0,1.25,0.25,39.2,0.25,54.25,43.4,217.0
2019/2020,South East,Ebonyi,Abakaliki,Abakpa,"Community Secondary School, Abakpa",Male,all,Public,JSS,JSS1,JSS1,173.5,3.0,3.25,1.0,38.2,0.0,57.8333,53.3846,173.5
2019/2020,South East,Ebonyi,Abakaliki,Abakpa,"Community Secondary School, Abakpa",Male,all,Public,Pre-Primary/Primary,Primary 1,Primary 1,539.25,4.5,11.0,4.0,37.2,0.0,119.8333,49.0227,134.8125
2019/2020,South East,Ebonyi,Abakaliki,Abakpa,"Community Secondary School, Abakpa",Male,all,Public,SSS,SSS1,SSS1,115.25,2.0,2.5,0.75,39.2,0.25,57.625,46.1,153.6667
2019/2020,South East,Ebonyi,Abakaliki,Abakpa,"Community Secondary School, Abakpa",Male,disabled,Private,JSS,JSS1,JSS1,1.0,0.25,0.25,0.0,19.1,0.0,4.0,4.0,0.0
2019/2020,South East,Ebonyi,Abakaliki,Abakpa,"Community Secondary School, Abakpa",Male,disabled,Private,Pre-Primary/Primary,Primary 1,Primary 1,6.25,1.0,0.25,0.0,18.6,0.0,6.25,25.0,0.0
2019/2020,South East,Ebonyi,Abakaliki,Abakpa,"Community Secondary School, Abakpa",Male,disabled,Private,SSS,SSS1,SSS1,1.25,0.5,0.25,0.0,19.6,0.0,2.5,5.0,0.0
2019/2020,South East,Ebonyi,Abakaliki,Abakpa,"Community Secondary School, Abakpa",Male,disabled,Public,JSS,JSS1,JSS1,4.0,1.5,0.25,0.0,19.1,0.0,2.6667,16.0,0.0
2019/2020,South East,Ebonyi,Abakaliki,Abakpa,"Community Secondary School, Abakpa",Male,disabled,Public,Pre-Primary/Primary,Primary 1,Primary 1,18.0,2.25,0.25,0.0,18.6,0.0,8.0,72.0,0.0
2019/2020,South East,Ebonyi,Abakaliki,Abakpa,"Community Secondary School, Abakpa",Male,disabled,Public,SSS,SSS1,SSS1,2.25,1.0,0.25,0.0,19.6,0.0,2.25,9.0,0.0
2019/2020,South East,Ebonyi,Abakaliki,Abakpa,"Comprehensive High School, Abakpa",Female,all,Private,JSS,JSS1,JSS1,45.0,0.5,1.0,0.25,38.2,0.0,90.0,45.0,180.0
2019/2020,South East,Ebonyi,Abakaliki,Abakpa,"Comprehensive High School, Abakpa",Female,all,Private,Pre-Primary/Primary,Primary 1,Primary 1,194.25,2.0,4.25,1.5,37.2,0.0,97.125,45.7059,129.5
2019/2020,South East,Ebonyi,Abakaliki,Abakpa,"Comprehensive High School, Abakpa",Female,all,Private,SSS,SSS1,SSS1,52.25,1.0,1.25,0.25,39.2,0.25,52.25,41.8,209.0
2019/2020,South East,Ebonyi,Abakaliki,Abakpa,"Comprehensive High School, Abakpa",Female,all,Public,JSS,JSS1,JSS1,205.5,3.0,3.75,1.25,38.2,0.0,68.5,54.8,164.4
2019/2020,South East,Ebonyi,Abakaliki,Abakpa,"Comprehensive High School, Abakpa",Female,all,Public,Pre-Primary/Primary,Primary 1,Primary 1,517.75,4.5,10.75,3.75,37.2,0.0,115.0556,48.1628,138.0667
2019/2020,South East,Ebonyi,Abakaliki,Abakpa,"Comprehensive High School, Abakpa",Female,all,Public,SSS,SSS1,SSS1,107.0,2.0,2.25,0.75,39.2,0.25,53.5,47.5556,142.6667
2019/2020,South East,Ebonyi,Abakaliki,Abakpa,"Comprehensive High School, Abakpa",Female,disabled,Private,JSS,JSS1,JSS1,1.0,0.25,0.25,0.0,19.1,0.0,4.0,4.0,0.0
2019/2020,South East,Ebonyi,Abakaliki,Abakpa,"Comprehensive High School, Abakpa",Female,disabled,Private,Pre-Primary/Primary,Primary 1,Primary 1,6.5,1.0,0.25,0.0,18.6,0.0,6.5,26.0,0.0
2019/2020,South East,Ebonyi,Abakaliki,Abakpa,"Comprehensive High School, Abakpa",Female,disabled,Private,SSS,SSS1,SSS1,1.0,0.5,0.25,0.0,19.6,0.0,2.0,4.0,0.0
2019/2020,South East,Ebonyi,Abakaliki,Abakpa,"Comprehensive High School, Abakpa",Female,disabled,Public,JSS,JSS1,JSS1,5.0,1.5,0.25,0.0,19.1,0.0,3.3333,20.0,0.0
2019/2020,South East,Ebonyi,Abakaliki,Abakpa,"Comprehensive High School, Abakpa",Female,disabled,Public,Pre-Primary/Primary,Primary 1,Primary 1,17.25,2.25,0.25,0.0,18.6,0.0,7.6667,69.0,0.0
2019/2020,South East,Ebonyi,Abakaliki,Abakpa,"Comprehensive High School, Abakpa",Female,disabled,Public,SSS,SSS1,SSS1,2.25,1.0,0.25,0.0,19.6,0.0,2.25,9.0,0.0
2019/2020,South East,Ebonyi,Abakaliki,Abakpa,"Comprehensive High School, Abakpa",Male,all,Private,JSS,JSS1,JSS1,43.5,0.5,1.0,0.25,38.2,0.0,87.0,43.5,174.0
2019/2020,South East,Ebonyi,Abakaliki,Abakpa,"Comprehensive High School, Abakpa",Male,all,Private,Pre-Primary/Primary,Primary 1,Primary 1,190.5,2.0,4.0,1.5,37.2,0.0,95.25,47.625,127.0
2019/2020,South East,Ebonyi,Abakaliki,Abakpa,"Comprehensive High School, Abakpa",Male,all,Private,SSS,SSS1,SSS1,54.25,1.0,1.25,0.25,39.2,0.25,54.25,43.4,217.0
2019/2020,South East,Ebonyi,Abakaliki,Abakpa,"Comprehensive High School, Abakpa",Male,all,Public,JSS,JSS1,JSS1,173.5,3.0,3.25,1.0,38.2,0.0,57.8333,53.3846,173.5
2019/2020,South East,Ebonyi,Abakaliki,Abakpa,"Comprehensive High School, Abakpa",Male,all,Public,Pre-Primary/Primary,Primary 1,Primary 1,539.25,4.5,11.0,4.0,37.2,0.0,119.8333,49.0227,134.8125
2019/2020,South East,Ebonyi,Abakaliki,Abakpa,"Comprehensive High School, Abakpa",Male,all,Public,SSS,SSS1,SSS1,115.25,2.0,2.5,0.75,39.2,0.25,57.625,46.1,153.6667
2019/2020,South East,Ebonyi,Abakaliki,Abakpa,"Comprehensive High School, Abakpa",Male,disabled,Private,JSS,JSS1,JSS1,1.0,0.25,0.25,0.0,19.1,0.0,4.0,4.0,0.0
2019/2020,South East,Ebonyi,Abakaliki,Abakpa,"Comprehensive High School, Abakpa",Male,disabled,Private,Pre-Primary/Primary,Primary 1,Primary 1,6.25,1.0,0.25,0.0,18.6,0.0,6.25,25.0,0.0
2019/2020,South East,Ebonyi,Abakaliki,Abakpa,"Comprehensive High School, Abakpa",Male,disabled,Private,SSS,SSS1,SSS1,1.25,0.5,0.25,0.0,19.6,0.0,2.5,5.0,0.0
2019/2020,South East,Ebonyi,Abakaliki,Abakpa,"Comprehensive High School, Abakpa",Male,disabled,Public,JSS,JSS1,JSS1,4.0,1.5,0.25,0.0,19.1,0.0,2.6667,16.0,0.0
2019/2020,South East,Ebonyi,Abakaliki,Abakpa,"Comprehensive High School, Abakpa",Male,disabled,Public,Pre-Primary/Primary,Primary 1,Primary 1,18.0,2.25,0.25,0.0,18.6,0.0,8.0,72.0,0.0
2019/2020,South East,Ebonyi,Abakaliki,Abakpa,"Comprehensive High School, Abakpa",Male,disabled,Public,SSS,SSS1,SSS1,2.25,1.0,0.25,0.0,19.6,0.0,2.25,9.0,0.0
2019/2020,South East,Ebonyi,Abakaliki,Abakpa,"Government Secondary School, Abakpa",Female,all,Private,JSS,JSS1,JSS1,45.0,0.5,1.0,0.25,38.2,0.0,90.0,45.0,180.0
2019/2020,South East,Ebonyi,Abakaliki,Abakpa,"Government Secondary School, Abakpa",Female,all,Private,Pre-Primary/Primary,Primary 1,Primary 1,194.25,2.0,4.25,1.5,37.2,0.0,97.125,45.7059,129.5
2019/2020,South East,Ebonyi,Abakaliki,Abakpa,"Government Secondary School, Abakpa",Female,all,Private,SSS,SSS1,SSS1,52.25,1.0,1.25,0.25,39.2,0.25,52.25,41.8,209.0
2019/2020,South East,Ebonyi,Abakaliki,Abakpa,"Government Secondary School, Abakpa",Female,all,Public,JSS,JSS1,JSS1,205.5,3.0,3.75,1.25,38.2,0.0,68.5,54.8,164.4
2019/2020,South East,Ebonyi,Abakaliki,Abakpa,"Government Secondary School, Abakpa",Female,all,Public,Pre-Primary/Primary,Primary 1,Primary 1,517.75,4.5,10.75,3.75,37.2,0.0,115.0556,48.1628,138.0667
2019/2020,South East,Ebonyi,Abakaliki,Abakpa,"Government Secondary School, Abakpa",Female,all,Public,SSS,SSS1,SSS1,107.0,2.0,2.25,0.75,39.2,0.25,53.5,47.5556,142.6667
2019/2020,South East,Ebonyi,Abakaliki,Abakpa,"Government Secondary School, Abakpa",Female,disabled,Private,JSS,JSS1,JSS1,1.0,0.25,0.25,0.0,19.1,0.0,4.0,4.0,0.0
2019/2020,South East,Ebonyi,Abakaliki,Abakpa,"Government Secondary School, Abakpa",Female,disabled,Private,Pre-Primary/Primary,Primary 1,Primary 1,6.5,1.0,0.25,0.0,18.6,0.0,6.5,26.0,0.0
2019/2020,South East,Ebonyi,Abakaliki,Abakpa,"Government Secondary School, Abakpa",Female,disabled,Private,SSS,SSS1,SSS1,1.0,0.5,0.25,0.0,19.6,0.0,2.0,4.0,0.0
2019/2020,South East,Ebonyi,Abakaliki,Abakpa,"Government Secondary School, Abakpa",Female,disabled,Public,JSS,JSS1,JSS1,5.0,1.5,0.25,0.0,19.1,0.0,3.3333,20.0,0.0
2019/2020,South East,Ebonyi,Abakaliki,Abakpa,"Government Secondary School, Abakpa",Female,disabled,Public,Pre-Primary/Primary,Primary 1,Primary 1,17.25,2.25,0.25,0.0,18.6,0.0,7.6667,69.0,0.0
2019/2020,South East,Ebonyi,Abakaliki,Abakpa,"Government Secondary School, Abakpa",Female,disabled,Public,SSS,SSS1,SSS1,2.25,1.0,0.25,0.0,19.6,0.0,2.25,9.0,0.0
2019/2020,South East,Ebonyi,Abakaliki,Abakpa,"Government Secondary School, Abakpa",Male,all,Private,JSS,JSS1,JSS1,43.5,0.5,1.0,0.25,38.2,0.0,87.0,43.5,174.0
2019/2020,South East,Ebonyi,Abakaliki,Abakpa,"Government Secondary School, Abakpa",Male,all,Private,Pre-Primary/Primary,Primary 1,Primary 1,190.5,2.0,4.0,1.5,37.2,0.0,95.25,47.625,127.0
2019/2020,South East,Ebonyi,Abakaliki,Abakpa,"Government Secondary School, Abakpa",Male,all,Private,SSS,SSS1,SSS1,54.25,1.0,1.25,0.25,39.2,0.25,54.25,43.4,217.0
2019/2020,South East,Ebonyi,Abakaliki,Abakpa,"Government Secondary School, Abakpa",Male,all,Public,JSS,JSS1,JSS1,173.5,3.0,3.25,1.0,38.2,0.0,57.8333,53.3846,173.5
2019/2020,South East,Ebonyi,Abakaliki,Abakpa,"Government Secondary School, Abakpa",Male,all,Public,Pre-Primary/Primary,Primary 1,Primary 1,539.25,4.5,11.0,4.0,37.2,0.0,119.8333,49.0227,134.8125
2019/2020,South East,Ebonyi,Abakaliki,Abakpa,"Government Secondary School, Abakpa",Male,all,Public,SSS,SSS1,SSS1,115.25,2.0,2.5,0.75,39.2,0.25,57.625,46.1,153.6667
2019/2020,South East,Ebonyi,Abakaliki,Abakpa,"Government Secondary School, Abakpa",Male,disabled,Private,JSS,JSS1,JSS1,1.0,0.25,0.25,0.0,19.1,0.0,4.0,4.0,0.0
2019/2020,South East,Ebonyi,Abakaliki,Abakpa,"Government Secondary School, Abakpa",Male,disabled,Private,Pre-Primary/Primary,Primary 1,Primary 1,6.25,1.0,0.25,0.0,18.6,0.0,6.25,25.0,0.0
2019/2020,South East,Ebonyi,Abakaliki,Abakpa,"Government Secondary School, Abakpa",Male,disabled,Private,SSS,SSS1,SSS1,1.25,0.5,0.25,0.0,19.6,0.0,2.5,5.0,0.0
2019/2020,South East,Ebonyi,Abakaliki,Abakpa,"Government Secondary School, Abakpa",Male,disabled,Public,JSS,JSS1,JSS1,4.0,1.5,0.25,0.0,19.1,0.0,2.6667,16.0,0.0
2019/2020,South East,Ebonyi,Abakaliki,Abakpa,"Government Secondary School, Abakpa",Male,disabled,Public,Pre-Primary/Primary,Primary 1,Primary 1,18.0,2.25,0.25,0.0,18.6,0.0,8.0,72.0,0.0
2019/2020,South East,Ebonyi,Abakaliki,Abakpa,"Government Secondary School, Abakpa",Male,disabled,Public,SSS,SSS1,SSS1,2.25,1.0,0.25,0.0,19.6,0.0,2.25,9.0,0.0
2019/2020,South East,Ebonyi,Abakaliki,Abakpa,"Unity College, Abakaliki",Female,all,Private,JSS,JSS1,JSS1,45.0,0.5,1.0,0.25,38.2,0.0,90.0,45.0,180.0
2019/2020,South East,Ebonyi,Abakaliki,Abakpa,"Unity College, Abakaliki",Female,all,Private,Pre-Primary/Primary,Primary 1,Primary 1,194.25,2.0,4.25,1.5,37.2,0.0,97.125,45.7059,129.5
2019/2020,South East,Ebonyi,Abakaliki,Abakpa,"Unity College, Abakaliki",Female,all,Private,SSS,SSS1,SSS1,52.25,1.0,1.25,0.25,39.2,0.25,52.25,41.8,209.0
2019/2020,South East,Ebonyi,Abakaliki,Abakpa,"Unity College, Abakaliki",Female,all,Public,JSS,JSS1,JSS1,205.5,3.0,3.75,1.25,38.2,0.0,68.5,54.8,164.4
2019/2020,South East,Ebonyi,Abakaliki,Abakpa,"Unity College, Abakaliki",Female,all,Public,Pre-Primary/Primary,Primary 1,Primary 1,517.75,4.5,10.75,3.75,37.2,0.0,115.0556,48.1628,138.0667
2019/2020,South East,Ebonyi,Abakaliki,Abakpa,"Unity College, Abakaliki",Female,all,Public,SSS,SSS1,SSS1,107.0,2.0,2.25,0.75,39.2,0.25,53.5,47.5556,142.6667
