session,zone,state,lga,ward,school,gender,disability_scope,school_type,school_level,class_grade,key_entry_level,student_count,school_count,classroom_count,computer_count,infrastructure_score,is_o_level_student,avg_students_per_school,learners_per_classroom,students_per_computer,usable_classroom_count,laboratory_count,computer_access_count,water_source_count,handwashing_facility_count,toilet_count
2019/2020,North East,Adamawa,Mubi North,Bahuli,"Community Secondary School, Bahuli",Female,all,Private,JSS,JSS1,JSS1,60.0,1.0,1.25,0.25,28.3,0.0,60.0,48.0,240.0,0.33,0.32,0.07,0.52,0.37,0.36
2019/2020,North East,Adamawa,Mubi North,Bahuli,"Community Secondary School, Bahuli",Female,all,Private,Pre-Primary/Primary,Primary 1,Primary 1,153.0,1.0,3.5,1.0,27.3,0.0,153.0,43.7143,153.0,1.58,0.22,0.08,0.56,0.4,0.39
2019/2020,North East,Adamawa,Mubi North,Bahuli,"Community Secondary School, Bahuli",Female,all,Private,SSS,SSS1,SSS1,47.0,1.0,1.25,0.25,29.3,0.25,47.0,37.6,188.0,0.39,0.39,0.08,0.55,0.39,0.38
2019/2020,North East,Adamawa,Mubi North,Bahuli,"Community Secondary School, Bahuli",Female,all,Public,JSS,JSS1,JSS1,171.75,2.5,3.25,1.0,28.3,0.0,68.7,52.8462,171.75,0.82,0.81,0.19,1.29,0.92,0.9
2019/2020,North East,Adamawa,Mubi North,Bahuli,"Community Secondary School, Bahuli",Female,all,Public,Pre-Primary/Primary,Primary 1,Primary 1,618.25,5.0,13.25,4.5,27.3,0.0,123.65,46.6604,137.3889,4.98,1.11,0.41,2.7,1.91,1.88
2019/2020,North East,Adamawa,Mubi North,Bahuli,"Community Secondary School, Bahuli",Female,all,Public,SSS,SSS1,SSS1,124.0,2.5,2.75,0.75,29.3,0.25,49.6,45.0909,165.3333,0.73,0.98,0.2,1.33,0.95,0.93
2019/2020,North East,Adamawa,Mubi North,Bahuli,"Community Secondary School, Bahuli",Female,disabled,Private,JSS,JSS1,JSS1,1.5,0.5,0.25,0.0,14.15,0.0,3.0,6.0,0.0,0.24,0.2,0.42,0.31,0.2,0.19
2019/2020,North East,Adamawa,Mubi North,Bahuli,"Community Secondary School, Bahuli",Female,disabled,Private,Pre-Primary/Primary,Primary 1,Primary 1,3.5,0.5,0.25,0.0,13.65,0.0,7.0,14.0,0.0,0.17,0.15,0.42,0.26,0.17,0.15
2019/2020,North East,Adamawa,Mubi North,Bahuli,"Community Secondary School, Bahuli",Female,disabled,Private,SSS,SSS1,SSS1,1.0,0.5,0.25,0.0,14.65,0.0,2.0,4.0,0.0,0.24,0.24,0.42,0.31,0.2,0.19
2019/2020,North East,Adamawa,Mubi North,Bahuli,"Community Secondary School, Bahuli",Female,disabled,Public,JSS,JSS1,JSS1,5.0,1.25,0.25,0.0,14.15,0.0,4.0,20.0,0.0,0.12,0.51,1.05,0.59,0.39,0.34
2019/2020,North East,Adamawa,Mubi North,Bahuli,"Community Secondary School, Bahuli",Female,disabled,Public,Pre-Primary/Primary,Primary 1,Primary 1,20.75,2.5,0.5,0.25,13.65,0.0,8.3,41.5,83.0,0.14,0.38,0.2,0.85,0.55,0.55
2019/2020,North East,Adamawa,Mubi North,Bahuli,"Community Secondary School, Bahuli",Female,disabled,Public,SSS,SSS1,SSS1,3.25,1.25,0.25,0.0,14.65,0.0,2.6,13.0,0.0,0.18,0.59,1.05,0.68,0.45,0.4
2019/2020,North East,Adamawa,Mubi North,Bahuli,"Community Secondary School, Bahuli",Male,all,Private,JSS,JSS1,JSS1,52.25,1.0,1.25,0.25,28.3,0.0,52.25,41.8,209.0,0.36,0.32,0.07,0.53,0.37,0.37
2019/2020,North East,Adamawa,Mubi North,Bahuli,"Community Secondary School, Bahuli",Male,all,Private,Pre-Primary/Primary,Primary 1,Primary 1,145.75,1.0,3.25,1.0,27.3,0.0,145.75,44.8462,145.75,1.39,0.22,0.08,0.56,0.39,0.39
2019/2020,North East,Adamawa,Mubi North,Bahuli,"Community Secondary School, Bahuli",Male,all,Private,SSS,SSS1,SSS1,46.5,1.0,1.25,0.25,29.3,0.25,46.5,37.2,186.0,0.39,0.39,0.08,0.55,0.39,0.38
2019/2020,North East,Adamawa,Mubi North,Bahuli,"Community Secondary School, Bahuli",Male,all,Public,JSS,JSS1,JSS1,168.75,2.5,3.25,1.0,28.3,0.0,67.5,51.9231,168.75,0.83,0.81,0.19,1.29,0.92,0.9
2019/2020,North East,Adamawa,Mubi North,Bahuli,"Community Secondary School, Bahuli",Male,all,Public,Pre-Primary/Primary,Primary 1,Primary 1,635.25,5.0,13.75,4.5,27.3,0.0,127.05,46.2,141.1667,5.29,1.11,0.41,2.72,1.92,1.89
2019/2020,North East,Adamawa,Mubi North,Bahuli,"Community Secondary School, Bahuli",Male,all,Public,SSS,SSS1,SSS1,124.0,2.5,2.75,0.75,29.3,0.25,49.6,45.0909,165.3333,0.73,0.98,0.2,1.33,0.95,0.93
2019/2020,North East,Adamawa,Mubi North,Bahuli,"Community Secondary School, Bahuli",Male,disabled,Private,JSS,JSS1,JSS1,1.5,0.5,0.25,0.0,14.15,0.0,3.0,6.0,0.0,0.24,0.2,0.42,0.31,0.2,0.19
2019/2020,North East,Adamawa,Mubi North,Bahuli,"Community Secondary School, Bahuli",Male,disabled,Private,Pre-Primary/Primary,Primary 1,Primary 1,3.25,0.5,0.25,0.0,13.65,0.0,6.5,13.0,0.0,0.18,0.15,0.42,0.27,0.17,0.16
2019/2020,North East,Adamawa,Mubi North,Bahuli,"Community Secondary School, Bahuli",Male,disabled,Private,SSS,SSS1,SSS1,1.25,0.5,0.25,0.0,14.65,0.0,2.5,5.0,0.0,0.24,0.24,0.42,0.31,0.2,0.19
2019/2020,North East,Adamawa,Mubi North,Bahuli,"Community Secondary School, Bahuli",Male,disabled,Public,JSS,JSS1,JSS1,4.75,1.25,0.25,0.0,14.15,0.0,3.8,19.0,0.0,0.13,0.51,1.05,0.6,0.39,0.34
2019/2020,North East,Adamawa,Mubi North,Bahuli,"Community Secondary School, Bahuli",Male,disabled,Public,Pre-Primary/Primary,Primary 1,Primary 1,21.0,2.5,0.5,0.25,13.65,0.0,8.4,42.0,84.0,0.14,0.38,0.2,0.85,0.55,0.54
2019/2020,North East,Adamawa,Mubi North,Bahuli,"Community Secondary School, Bahuli",Male,disabled,Public,SSS,SSS1,SSS1,2.75,1.25,0.25,0.0,14.65,0.0,2.2,11.0,0.0,0.21,0.59,1.05,0.72,0.48,0.44
2019/2020,North East,Adamawa,Mubi North,Bahuli,"Comprehensive High School, Bahuli",Female,all,Private,JSS,JSS1,JSS1,60.0,1.0,1.25,0.25,28.3,0.0,60.0,48.0,240.0,0.33,0.32,0.07,0.52,0.37,0.36
2019/2020,North East,Adamawa,Mubi North,Bahuli,"Comprehensive High School, Bahuli",Female,all,Private,Pre-Primary/Primary,Primary 1,Primary 1,153.0,1.0,3.5,1.0,27.3,0.0,153.0,43.7143,153.0,1.58,0.22,0.08,0.56,0.4,0.39
2019/2020,North East,Adamawa,Mubi North,Bahuli,"Comprehensive High School, Bahuli",Female,all,Private,SSS,SSS1,SSS1,47.0,1.0,1.25,0.25,29.3,0.25,47.0,37.6,188.0,0.39,0.39,0.08,0.55,0.39,0.38
2019/2020,North East,Adamawa,Mubi North,Bahuli,"Comprehensive High School, Bahuli",Female,all,Public,JSS,JSS1,JSS1,171.75,2.5,3.25,1.0,28.3,0.0,68.7,52.8462,171.75,0.82,0.81,0.19,1.29,0.92,0.9
2019/2020,North East,Adamawa,Mubi North,Bahuli,"Comprehensive High School, Bahuli",Female,all,Public,Pre-Primary/Primary,Primary 1,Primary 1,618.25,5.0,13.25,4.5,27.3,0.0,123.65,46.6604,137.3889,4.98,1.11,0.41,2.7,1.91,1.88
2019/2020,North East,Adamawa,Mubi North,Bahuli,"Comprehensive High School, Bahuli",Female,all,Public,SSS,SSS1,SSS1,124.0,2.5,2.75,0.75,29.3,0.25,49.6,45.0909,165.3333,0.73,0.98,0.2,1.33,0.95,0.93
2019/2020,North East,Adamawa,Mubi North,Bahuli,"Comprehensive High School, Bahuli",Female,disabled,Private,JSS,JSS1,JSS1,1.5,0.5,0.25,0.0,14.15,0.0,3.0,6.0,0.0,0.24,0.2,0.42,0.31,0.2,0.19
2019/2020,North East,Adamawa,Mubi North,Bahuli,"Comprehensive High School, Bahuli",Female,disabled,Private,Pre-Primary/Primary,Primary 1,Primary 1,3.5,0.5,0.25,0.0,13.65,0.0,7.0,14.0,0.0,0.17,0.15,0.42,0.26,0.17,0.15
2019/2020,North East,Adamawa,Mubi North,Bahuli,"Comprehensive High School, Bahuli",Female,disabled,Private,SSS,SSS1,SSS1,1.0,0.5,0.25,0.0,14.65,0.0,2.0,4.0,0.0,0.24,0.24,0.42,0.31,0.2,0.19
2019/2020,North East,Adamawa,Mubi North,Bahuli,"Comprehensive High School, Bahuli",Female,disabled,Public,JSS,JSS1,JSS1,5.0,1.25,0.25,0.0,14.15,0.0,4.0,20.0,0.0,0.12,0.51,1.05,0.59,0.39,0.34
2019/2020,North East,Adamawa,Mubi North,Bahuli,"Comprehensive High School, Bahuli",Female,disabled,Public,Pre-Primary/Primary,Primary 1,Primary 1,20.75,2.5,0.5,0.25,13.65,0.0,8.3,41.5,83.0,0.14,0.38,0.2,0.85,0.55,0.55
2019/2020,North East,Adamawa,Mubi North,Bahuli,"Comprehensive High School, Bahuli",Female,disabled,Public,SSS,SSS1,SSS1,3.25,1.25,0.25,0.0,14.65,0.0,2.6,13.0,0.0,0.18,0.59,1.05,0.68,0.45,0.4
2019/2020,North East,Adamawa,Mubi North,Bahuli,"Comprehensive High School, Bahuli",Male,all,Private,JSS,JSS1,JSS1,52.25,1.0,1.25,0.25,28.3,0.0,52.25,41.8,209.0,0.36,0.32,0.07,0.53,0.37,0.37
2019/2020,North East,Adamawa,Mubi North,Bahuli,"Comprehensive High School, Bahuli",Male,all,Private,Pre-Primary/Primary,Primary 1,Primary 1,145.75,1.0,3.25,1.0,27.3,0.0,145.75,44.8462,145.75,1.39,0.22,0.08,0.56,0.39,0.39
2019/2020,North East,Adamawa,Mubi North,Bahuli,"Comprehensive High School, Bahuli",Male,all,Private,SSS,SSS1,SSS1,46.5,1.0,1.25,0.25,29.3,0.25,46.5,37.2,186.0,0.39,0.39,0.08,0.55,0.39,0.38
2019/2020,North East,Adamawa,Mubi North,Bahuli,"Comprehensive High School, Bahuli",Male,all,Public,JSS,JSS1,JSS1,168.75,2.5,3.25,1.0,28.3,0.0,67.5,51.9231,168.75,0.83,0.81,0.19,1.29,0.92,0.9
2019/2020,North East,Adamawa,Mubi North,Bahuli,"Comprehensive High School, Bahuli",Male,all,Public,Pre-Primary/Primary,Primary 1,Primary 1,635.25,5.0,13.75,4.5,27.3,0.0,127.05,46.2,141.1667,5.29,1.11,0.41,2.72,1.92,1.89
