session,zone,state,lga,ward,school,gender,disability_scope,school_type,school_level,class_grade,key_entry_level,student_count,school_count,classroom_count,computer_count,infrastructure_score,is_o_level_student,avg_students_per_school,learners_per_classroom,students_per_computer,usable_classroom_count,laboratory_count,computer_access_count,water_source_count,handwashing_facility_count,toilet_count
2019/2020,North East,Borno,Biu,Buratai,"Community Secondary School, Buratai",Female,all,Private,JSS,JSS1,JSS1,55.75,0.5,1.75,1.25,28.35,0.0,111.5,31.8571,44.6,0.68,0.17,0.08,0.28,0.2,0.19
2019/2020,North East,Borno,Biu,Buratai,"Community Secondary School, Buratai",Female,all,Private,Pre-Primary/Primary,Primary 1,Primary 1,163.0,1.5,5.75,4.0,27.35,0.0,108.6667,28.3478,40.75,3.33,0.36,0.24,0.91,0.64,0.63
2019/2020,North East,Borno,Biu,Buratai,"Community Secondary School, Buratai",Female,all,Private,SSS,SSS1,SSS1,46.5,1.0,1.75,1.25,29.35,0.25,46.5,26.5714,37.2,0.77,0.41,0.17,0.59,0.42,0.41
2019/2020,North East,Borno,Biu,Buratai,"Community Secondary School, Buratai",Female,all,Public,JSS,JSS1,JSS1,191.25,3.0,5.75,4.0,28.35,0.0,63.75,33.2609,47.8125,2.25,1.01,0.44,1.69,1.2,1.17
2019/2020,North East,Borno,Biu,Buratai,"Community Secondary School, Buratai",Female,all,Public,Pre-Primary/Primary,Primary 1,Primary 1,666.25,5.5,23.0,16.25,27.35,0.0,121.1364,28.9674,41.0,13.76,1.31,0.87,3.38,2.38,2.34
2019/2020,North East,Borno,Biu,Buratai,"Community Secondary School, Buratai",Female,all,Public,SSS,SSS1,SSS1,124.0,2.0,4.25,3.0,29.35,0.25,62.0,29.1765,41.3333,1.88,0.82,0.32,1.18,0.84,0.82
2019/2020,North East,Borno,Biu,Buratai,"Community Secondary School, Buratai",Female,disabled,Private,JSS,JSS1,JSS1,1.5,0.25,0.25,0.25,14.175,0.0,6.0,6.0,6.0,0.24,0.1,0.19,0.15,0.1,0.09
2019/2020,North East,Borno,Biu,Buratai,"Community Secondary School, Buratai",Female,disabled,Private,Pre-Primary/Primary,Primary 1,Primary 1,4.75,0.75,0.25,0.25,13.675,0.0,6.3333,19.0,19.0,0.13,0.14,0.2,0.32,0.21,0.2
2019/2020,North East,Borno,Biu,Buratai,"Community Secondary School, Buratai",Female,disabled,Private,SSS,SSS1,SSS1,0.5,0.5,0.25,0.25,14.675,0.0,1.0,2.0,2.0,0.24,0.24,0.42,0.31,0.21,0.19
2019/2020,North East,Borno,Biu,Buratai,"Community Secondary School, Buratai",Female,disabled,Public,JSS,JSS1,JSS1,3.75,1.5,0.25,0.25,14.175,0.0,2.5,15.0,15.0,0.16,0.45,0.49,0.71,0.46,0.45
2019/2020,North East,Borno,Biu,Buratai,"Community Secondary School, Buratai",Female,disabled,Public,Pre-Primary/Primary,Primary 1,Primary 1,21.25,2.75,0.75,0.5,13.675,0.0,7.7273,28.3333,42.5,0.28,0.45,0.36,1.03,0.66,0.66
2019/2020,North East,Borno,Biu,Buratai,"Community Secondary School, Buratai",Female,disabled,Public,SSS,SSS1,SSS1,2.25,1.0,0.25,0.25,14.675,0.0,2.25,9.0,9.0,0.24,0.41,0.53,0.59,0.39,0.38
