session,zone,state,lga,ward,school,gender,disability_scope,school_type,school_level,class_grade,key_entry_level,student_count,school_count,classroom_count,computer_count,infrastructure_score,is_o_level_student,avg_students_per_school,learners_per_classroom,students_per_computer
2019/2020,North East,Gombe,Balanga,Bambam,"Community Secondary School, Bambam",Female,all,Private,JSS,JSS1,JSS1,59.0,1.0,1.5,1.0,35.65,0.0,59.0,39.3333,59.0
2019/2020,North East,Gombe,Balanga,Bambam,"Community Secondary School, Bambam",Female,all,Private,Pre-Primary/Primary,Primary 1,Primary 1,190.25,1.5,5.25,3.75,34.65,0.0,126.8333,36.2381,50.7333
2019/2020,North East,Gombe,Balanga,Bambam,"Community Secondary School, Bambam",Female,all,Private,SSS,SSS1,SSS1,48.75,1.0,1.5,1.0,36.65,0.25,48.75,32.5,48.75
2019/2020,North East,Gombe,Balanga,Bambam,"Community Secondary School, Bambam",Female,all,Public,JSS,JSS1,JSS1,228.0,3.5,5.5,4.0,35.65,0.0,65.1429,41.4545,57.0
2019/2020,North East,Gombe,Balanga,Bambam,"Community Secondary School, Bambam",Female,all,Public,Pre-Primary/Primary,Primary 1,Primary 1,723.25,6.0,19.5,13.5,34.65,0.0,120.5417,37.0897,53.5741
2019/2020,North East,Gombe,Balanga,Bambam,"Community Secondary School, Bambam",Female,all,Public,SSS,SSS1,SSS1,143.5,2.5,3.75,2.75,36.65,0.25,57.4,38.2667,52.1818
2019/2020,North East,Gombe,Balanga,Bambam,"Community Secondary School, Bambam",Female,disabled,Private,JSS,JSS1,JSS1,1.5,0.5,0.25,0.25,17.825,0.0,3.0,6.0,6.0
2019/2020,North East,Gombe,Balanga,Bambam,"Community Secondary School, Bambam",Female,disabled,Private,Pre-Primary/Primary,Primary 1,Primary 1,5.25,0.75,0.25,0.25,17.325,0.0,7.0,21.0,21.0
2019/2020,North East,Gombe,Balanga,Bambam,"Community Secondary School, Bambam",Female,disabled,Private,SSS,SSS1,SSS1,1.0,0.5,0.25,0.25,18.325,0.0,2.0,4.0,4.0
2019/2020,North East,Gombe,Balanga,Bambam,"Community Secondary School, Bambam",Female,disabled,Public,JSS,JSS1,JSS1,6.5,1.75,0.25,0.25,17.825,0.0,3.7143,26.0,26.0
2019/2020,North East,Gombe,Balanga,Bambam,"Community Secondary School, Bambam",Female,disabled,Public,Pre-Primary/Primary,Primary 1,Primary 1,19.75,3.0,0.5,0.25,17.325,0.0,6.5833,39.5,79.0
2019/2020,North East,Gombe,Balanga,Bambam,"Community Secondary School, Bambam",Female,disabled,Public,SSS,SSS1,SSS1,2.25,1.25,0.25,0.25,18.325,0.0,1.8,9.0,9.0
2019/2020,North East,Gombe,Balanga,Bambam,"Community Secondary School, Bambam",Male,all,Private,JSS,JSS1,JSS1,52.75,1.0,1.5,1.0,35.65,0.0,52.75,35.1667,52.75
2019/2020,North East,Gombe,Balanga,Bambam,"Community Secondary School, Bambam",Male,all,Private,Pre-Primary/Primary,Primary 1,Primary 1,200.75,1.5,5.5,4.0,34.65,0.0,133.8333,36.5,50.1875
2019/2020,North East,Gombe,Balanga,Bambam,"Community Secondary School, Bambam",Male,all,Private,SSS,SSS1,SSS1,47.5,1.0,1.5,1.0,36.65,0.25,47.5,31.6667,47.5
2019/2020,North East,Gombe,Balanga,Bambam,"Community Secondary School, Bambam",Male,all,Public,JSS,JSS1,JSS1,190.75,3.5,4.5,3.25,35.65,0.0,54.5,42.3889,58.6923
2019/2020,North East,Gombe,Balanga,Bambam,"Community Secondary School, Bambam",Male,all,Public,Pre-Primary/Primary,Primary 1,Primary 1,703.5,6.0,19.0,13.0,34.65,0.0,117.25,37.0263,54.1154
2019/2020,North East,Gombe,Balanga,Bambam,"Community Secondary School, Bambam",Male,all,Public,SSS,SSS1,SSS1,150.5,2.5,4.0,2.75,36.65,0.25,60.2,37.625,54.7273
2019/2020,North East,Gombe,Balanga,Bambam,"Community Secondary School, Bambam",Male,disabled,Private,JSS,JSS1,JSS1,1.5,0.5,0.25,0.25,17.825,0.0,3.0,6.0,6.0
2019/2020,North East,Gombe,Balanga,Bambam,"Community Secondary School, Bambam",Male,disabled,Private,Pre-Primary/Primary,Primary 1,Primary 1,5.75,0.75,0.25,0.25,17.325,0.0,7.6667,23.0,23.0
2019/2020,North East,Gombe,Balanga,Bambam,"Community Secondary School, Bambam",Male,disabled,Private,SSS,SSS1,SSS1,1.0,0.5,0.25,0.25,18.325,0.0,2.0,4.0,4.0
2019/2020,North East,Gombe,Balanga,Bambam,"Community Secondary School, Bambam",Male,disabled,Public,JSS,JSS1,JSS1,5.25,1.75,0.25,0.25,17.825,0.0,3.0,21.0,21.0
2019/2020,North East,Gombe,Balanga,Bambam,"Community Secondary School, Bambam",Male,disabled,Public,Pre-Primary/Primary,Primary 1,Primary 1,19.0,3.0,0.5,0.25,17.325,0.0,6.3333,38.0,76.0
2019/2020,North East,Gombe,Balanga,Bambam,"Community Secondary School, Bambam",Male,disabled,Public,SSS,SSS1,SSS1,2.25,1.25,0.25,0.25,18.325,0.0,1.8,9.0,9.0
2019/2020,North East,Gombe,Balanga,Bambam,"Comprehensive High School, Bambam",Female,all,Private,JSS,JSS1,JSS1,59.0,1.0,1.5,1.0,35.65,0.0,59.0,39.3333,59.0
2019/2020,North East,Gombe,Balanga,Bambam,"Comprehensive High School, Bambam",Female,all,Private,Pre-Primary/Primary,Primary 1,Primary 1,190.25,1.5,5.25,3.75,34.65,0.0,126.8333,36.2381,50.7333
2019/2020,North East,Gombe,Balanga,Bambam,"Comprehensive High School, Bambam",Female,all,Private,SSS,SSS1,SSS1,48.75,1.0,1.5,1.0,36.65,0.25,48.75,32.5,48.75
2019/2020,North East,Gombe,Balanga,Bambam,"Comprehensive High School, Bambam",Female,all,Public,JSS,JSS1,JSS1,228.0,3.5,5.5,4.0,35.65,0.0,65.1429,41.4545,57.0
2019/2020,North East,Gombe,Balanga,Bambam,"Comprehensive High School, Bambam",Female,all,Public,Pre-Primary/Primary,Primary 1,Primary 1,723.25,6.0,19.5,13.5,34.65,0.0,120.5417,37.0897,53.5741
2019/2020,North East,Gombe,Balanga,Bambam,"Comprehensive High School, Bambam",Female,all,Public,SSS,SSS1,SSS1,143.5,2.5,3.75,2.75,36.65,0.25,57.4,38.2667,52.1818
2019/2020,North East,Gombe,Balanga,Bambam,"Comprehensive High School, Bambam",Female,disabled,Private,JSS,JSS1,JSS1,1.5,0.5,0.25,0.25,17.825,0.0,3.0,6.0,6.0
2019/2020,North East,Gombe,Balanga,Bambam,"Comprehensive High School, Bambam",Female,disabled,Private,Pre-Primary/Primary,Primary 1,Primary 1,5.25,0.75,0.25,0.25,17.325,0.0,7.0,21.0,21.0
2019/2020,North East,Gombe,Balanga,Bambam,"Comprehensive High School, Bambam",Female,disabled,Private,SSS,SSS1,SSS1,1.0,0.5,0.25,0.25,18.325,0.0,2.0,4.0,4.0
2019/2020,North East,Gombe,Balanga,Bambam,"Comprehensive High School, Bambam",Female,disabled,Public,JSS,JSS1,JSS1,6.5,1.75,0.25,0.25,17.825,0.0,3.7143,26.0,26.0
2019/2020,North East,Gombe,Balanga,Bambam,"Comprehensive High School, Bambam",Female,disabled,Public,Pre-Primary/Primary,Primary 1,Primary 1,19.75,3.0,0.5,0.25,17.325,0.0,6.5833,39.5,79.0
2019/2020,North East,Gombe,Balanga,Bambam,"Comprehensive High School, Bambam",Female,disabled,Public,SSS,SSS1,SSS1,2.25,1.25,0.25,0.25,18.325,0.0,1.8,9.0,9.0
2019/2020,North East,Gombe,Balanga,Bambam,"Comprehensive High School, Bambam",Male,all,Private,JSS,JSS1,JSS1,52.75,1.0,1.5,1.0,35.65,0.0,52.75,35.1667,52.75
2019/2020,North East,Gombe,Balanga,Bambam,"Comprehensive High School, Bambam",Male,all,Private,Pre-Primary/Primary,Primary 1,Primary 1,200.75,1.5,5.5,4.0,34.65,0.0,133.8333,36.5,50.1875
2019/2020,North East,Gombe,Balanga,Bambam,"Comprehensive High School, Bambam",Male,all,Private,SSS,SSS1,SSS1,47.5,1.0,1.5,1.0,36.65,0.25,47.5,31.6667,47.5
2019/2020,North East,Gombe,Balanga,Bambam,"Comprehensive High School, Bambam",Male,all,Public,JSS,JSS1,JSS1,190.75,3.5,4.5,3.25,35.65,0.0,54.5,42.3889,58.6923
2019/2020,North East,Gombe,Balanga,Bambam,"Comprehensive High School, Bambam",Male,all,Public,Pre-Primary/Primary,Primary 1,Primary 1,703.5,6.0,19.0,13.0,34.65,0.0,117.25,37.0263,54.1154
2019/2020,North East,Gombe,Balanga,Bambam,"Comprehensive High School, Bambam",Male,all,Public,SSS,SSS1,SSS1,150.5,2.5,4.0,2.75,36.65,0.25,60.2,37.625,54.7273
2019/2020,North East,Gombe,Balanga,Bambam,"Comprehensive High School, Bambam",Male,disabled,Private,JSS,JSS1,JSS1,1.5,0.5,0.25,0.25,17.825,0.0,3.0,6.0,6.0
2019/2020,North East,Gombe,Balanga,Bambam,"Comprehensive High School, Bambam",Male,disabled,Private,Pre-Primary/Primary,Primary 1,Primary 1,5.75,0.75,0.25,0.25,17.325,0.0,7.6667,23.0,23.0
2019/2020,North East,Gombe,Balanga,Bambam,"Comprehensive High School, Bambam",Male,disabled,Private,SSS,SSS1,SSS1,1.0,0.5,0.25,0.25,18.325,0.0,2.0,4.0,4.0
2019/2020,North East,Gombe,Balanga,Bambam,"Comprehensive High School, Bambam",Male,disabled,Public,JSS,JSS1,JSS1,5.25,1.75,0.25,0.25,17.825,0.0,3.0,21.0,21.0
2019/2020,North East,Gombe,Balanga,Bambam,"Comprehensive High School, Bambam",Male,disabled,Public,Pre-Primary/Primary,Primary 1,Primary 1,19.0,3.0,0.5,0.25,17.325,0.0,6.3333,38.0,76.0
2019/2020,North East,Gombe,Balanga,Bambam,"Comprehensive High School, Bambam",Male,disabled,Public,SSS,SSS1,SSS1,2.25,1.25,0.25,0.25,18.325,0.0,1.8,9.0,9.0
2019/2020,North East,Gombe,Balanga,Bambam,"Government Secondary School, Bambam",Female,all,Private,JSS,JSS1,JSS1,59.0,1.0,1.5,1.0,35.65,0.0,59.0,39.3333,59.0
2019/2020,North East,Gombe,Balanga,Bambam,"Government Secondary School, Bambam",Female,all,Private,Pre-Primary/Primary,Primary 1,Primary 1,190.25,1.5,5.25,3.75,34.65,0.0,126.8333,36.2381,50.7333
