session,gender,disability,school_type,school_level,class_grade,qualification_group,qualification_status,loc_level,loc_label,zone,state,lga,ward,school,student_count,teacher_count,pupil_teacher_ratio
2024/2025,Female,ALL,Public,Pre-Primary/Primary,,Qualified,Qualified,lga,Gombe,North East,Gombe,Gombe,,,19668,592,33.223
2024/2025,Female,Disabled,Public,Pre-Primary/Primary,,Qualified,Qualified,lga,Gombe,North East,Gombe,Gombe,,,1287,39,33.0
2024/2025,Female,ALL,Public,Pre-Primary/Primary,,Unqualified,Unqualified,lga,Gombe,North East,Gombe,Gombe,,,6897,182,37.8956
2024/2025,Female,Disabled,Public,Pre-Primary/Primary,,Unqualified,Unqualified,lga,Gombe,North East,Gombe,Gombe,,,462,12,38.5
2024/2025,Female,ALL,Public,JSS,,Qualified,Qualified,lga,Gombe,North East,Gombe,Gombe,,,6105,172,35.4942
2024/2025,Female,Disabled,Public,JSS,,Qualified,Qualified,lga,Gombe,North East,Gombe,Gombe,,,396,11,36.0
2024/2025,Female,ALL,Public,JSS,,Unqualified,Unqualified,lga,Gombe,North East,Gombe,Gombe,,,2145,65,33.0
2024/2025,Female,Disabled,Public,JSS,,Unqualified,Unqualified,lga,Gombe,North East,Gombe,Gombe,,,132,4,33.0
2024/2025,Female,ALL,Public,SSS,,Qualified,Qualified,lga,Gombe,North East,Gombe,Gombe,,,5775,139,41.5468
2024/2025,Female,Disabled,Public,SSS,,Qualified,Qualified,lga,Gombe,North East,Gombe,Gombe,,,363,9,40.3333
2024/2025,Female,ALL,Public,SSS,,Unqualified,Unqualified,lga,Gombe,North East,Gombe,Gombe,,,2013,55,36.6
2024/2025,Female,Disabled,Public,SSS,,Unqualified,Unqualified,lga,Gombe,North East,Gombe,Gombe,,,132,4,33.0
2024/2025,Female,ALL,Public,Adult & Non-Formal Education,,Qualified,Qualified,lga,Gombe,North East,Gombe,Gombe,,,1353,40,33.825
