session,gender,disability_scope,exam_body,gap_band,institution_type,loc_level,loc_label,zone,state,lga,ward,school,ss3_total,o_level_candidates,utme_participants,admitted_students,matriculated_students,delayed_transition_students,loss_ss3_to_olevel,loss_olevel_to_utme,loss_utme_to_admitted,loss_admitted_to_matriculated
2019/2020,Female,all,NABTEB,1-year,College of Education,ward,City Centre,North Central,Federal Capital Territory,Abuja Municipal Area Council,City Centre,,0,94,60,32,27,6,0,34,28,6
2019/2020,Female,all,NABTEB,1-year,College of Education,ward,Garki,North Central,Federal Capital Territory,Abuja Municipal Area Council,Garki,,0,114,73,25,27,0,0,41,48,0
2019/2020,Female,all,NABTEB,1-year,College of Education,ward,Gui,North Central,Federal Capital Territory,Abuja Municipal Area Council,Gui,,0,138,85,32,26,7,0,53,53,7
2019/2020,Female,all,NABTEB,1-year,College of Education,ward,Bwari Central,North Central,Federal Capital Territory,Bwari,Bwari Central,,0,48,31,13,13,0,0,17,18,0
2019/2020,Female,all,NABTEB,1-year,College of Education,ward,Byazhin,North Central,Federal Capital Territory,Bwari,Byazhin,,0,127,76,25,25,0,0,51,51,0
2019/2020,Female,all,NABTEB,1-year,College of Education,ward,Dutse Alhaji,North Central,Federal Capital Territory,Bwari,Dutse Alhaji,,0,70,45,19,20,0,0,25,26,0
2019/2020,Female,all,NABTEB,1-year,College of Education,ward,Dobi,North Central,Federal Capital Territory,Gwagwalada,Dobi,,0,35,21,7,7,0,0,14,14,0
2019/2020,Female,all,NABTEB,1-year,College of Education,ward,Gwagwalada Centre,North Central,Federal Capital Territory,Gwagwalada,Gwagwalada Centre,,0,99,63,25,25,0,0,36,38,0
2019/2020,Female,all,NABTEB,1-year,College of Education,ward,Chibiri,North Central,Federal Capital Territory,Kuje,Chibiri,,0,30,18,6,6,0,0,12,12,0
2019/2020,Female,all,NABTEB,1-year,College of Education,ward,Gaube,North Central,Federal Capital Territory,Kuje,Gaube,,0,83,52,25,19,6,0,31,27,6
2019/2020,Female,all,NABTEB,1-year,College of Education,ward,Ashara,North Central,Federal Capital Territory,Kwali,Ashara,,0,84,49,19,14,6,0,35,30,6
2019/2020,Female,all,NABTEB,1-year,College of Education,ward,Gumbo,North Central,Federal Capital Territory,Kwali,Gumbo,,0,38,21,6,6,0,0,17,15,0
2019/2020,Female,all,NABTEB,1-year,Polytechnic,ward,City Centre,North Central,Federal Capital Territory,Abuja Municipal Area Council,City Centre,,0,59,37,13,13,0,0,22,24,0
2019/2020,Female,all,NABTEB,1-year,Polytechnic,ward,Garki,North Central,Federal Capital Territory,Abuja Municipal Area Council,Garki,,0,59,37,13,13,0,0,22,24,0
2019/2020,Female,all,NABTEB,1-year,Polytechnic,ward,Bwari Central,North Central,Federal Capital Territory,Bwari,Bwari Central,,0,70,48,19,19,0,0,22,29,0
2019/2020,Female,all,NABTEB,1-year,Polytechnic,ward,Byazhin,North Central,Federal Capital Territory,Bwari,Byazhin,,0,49,28,6,6,0,0,21,22,0
2019/2020,Female,all,NABTEB,1-year,Polytechnic,ward,Dutse Alhaji,North Central,Federal Capital Territory,Bwari,Dutse Alhaji,,0,38,21,13,7,6,0,17,8,6
2019/2020,Female,all,NABTEB,1-year,Polytechnic,ward,Dobi,North Central,Federal Capital Territory,Gwagwalada,Dobi,,0,89,58,19,20,0,0,31,39,0
2019/2020,Female,all,NABTEB,1-year,Polytechnic,ward,Gwako,North Central,Federal Capital Territory,Gwagwalada,Gwako,,0,46,31,13,6,7,0,15,18,7
2019/2020,Female,all,NABTEB,1-year,Polytechnic,ward,Chibiri,North Central,Federal Capital Territory,Kuje,Chibiri,,0,84,55,26,19,7,0,29,29,7
2019/2020,Female,all,NABTEB,1-year,Polytechnic,ward,Gaube,North Central,Federal Capital Territory,Kuje,Gaube,,0,46,31,13,6,7,0,15,18,7
2019/2020,Female,all,NABTEB,1-year,Polytechnic,ward,Gudun Karya,North Central,Federal Capital Territory,Kuje,Gudun Karya,,0,84,51,18,21,0,0,33,33,0
