"session","gender","disability_scope","exam_body","gap_band","institution_type","loc_level","loc_label","zone","state","lga","ward","school","ss3_total","o_level_candidates","utme_participants","admitted_students","matriculated_students","delayed_transition_students","loss_ss3_to_olevel","loss_olevel_to_utme","loss_utme_to_admitted","loss_admitted_to_matriculated"
"2019/2020","Female","all","NABTEB","1-year","College of Education","ward","Ward II Court/ Ada Allison","South South","Rivers","Bonny","Ward II Court/ Ada Allison","","0","152","83","24","28","0","0","69","59","0"
"2019/2020","Female","all","NABTEB","1-year","College of Education","ward","Ward III Dan Jumbo/ Beresiri","South South","Rivers","Bonny","Ward III Dan Jumbo/ Beresiri","","0","116","66","22","16","6","0","50","44","6"
"2019/2020","Female","all","NABTEB","1-year","College of Education","ward","Ward III Orosiriri","South South","Rivers","Bonny","Ward III Orosiriri","","0","29","14","7","4","3","0","15","7","3"
"2019/2020","Female","all","NABTEB","1-year","College of Education","ward","Agbonchia","South South","Rivers","Eleme","Agbonchia","","0","29","17","4","4","0","0","12","13","0"
"2019/2020","Female","all","NABTEB","1-year","College of Education","ward","Alesa","South South","Rivers","Eleme","Alesa","","0","61","40","11","11","0","0","21","29","0"
"2019/2020","Female","all","NABTEB","1-year","College of Education","ward","Choba","South South","Rivers","Obio-Akpor","Choba","","0","41","23","7","4","3","0","18","16","3"
"2019/2020","Female","all","NABTEB","1-year","College of Education","ward","Elelenwo (3B)","South South","Rivers","Obio-Akpor","Elelenwo (3B)","","0","35","20","7","4","3","0","15","13","3"
"2019/2020","Female","all","NABTEB","1-year","College of Education","ward","Oro-Igwe","South South","Rivers","Obio-Akpor","Oro-Igwe","","0","90","52","15","15","0","0","38","37","0"
"2019/2020","Female","all","NABTEB","1-year","College of Education","ward","Kalio","South South","Rivers","Okrika","Kalio","","0","38","23","7","7","0","0","15","16","0"
"2019/2020","Female","all","NABTEB","1-year","College of Education","ward","Abuloma/Amadi-Ama","South South","Rivers","Port Harcourt","Abuloma/Amadi-Ama","","0","32","20","7","7","0","0","12","13","0"
"2019/2020","Female","all","NABTEB","1-year","College of Education","ward","Diobu","South South","Rivers","Port Harcourt","Diobu","","0","88","52","14","16","0","0","36","38","0"
"2019/2020","Female","all","NABTEB","1-year","College of Education","ward","Elekahia","South South","Rivers","Port Harcourt","Elekahia","","0","53","29","11","8","3","0","24","18","3"
"2019/2020","Female","all","NABTEB","1-year","Polytechnic","ward","Ward III Dan Jumbo/ Beresiri","South South","Rivers","Bonny","Ward III Dan Jumbo/ Beresiri","","0","50","26","7","8","0","0","24","19","0"
"2019/2020","Female","all","NABTEB","1-year","Polytechnic","ward","Ward III Orosiriri","South South","Rivers","Bonny","Ward III Orosiriri","","0","88","49","14","15","0","0","39","35","0"
"2019/2020","Female","all","NABTEB","1-year","Polytechnic","ward","Agbonchia","South South","Rivers","Eleme","Agbonchia","","0","23","14","7","4","3","0","9","7","3"
