session,gender,disability_scope,exam_body,gap_band,institution_type,loc_level,loc_label,zone,state,lga,ward,school,ss3_total,o_level_candidates,utme_participants,admitted_students,matriculated_students,delayed_transition_students,loss_ss3_to_olevel,loss_olevel_to_utme,loss_utme_to_admitted,loss_admitted_to_matriculated
2019/2020,Female,all,NABTEB,1-year,College of Education,ward,Agamo/Oke-Oore/Akomowa,South West,Ondo,Akure North,Agamo/Oke-Oore/Akomowa,,0,23,19,4,5,0,0,4,15,0
2019/2020,Female,all,NABTEB,1-year,College of Education,ward,Ayede/Ogbese,South West,Ondo,Akure North,Ayede/Ogbese,,0,87,57,22,15,8,0,30,35,8
2019/2020,Female,all,NABTEB,1-year,College of Education,ward,Ayetoro,South West,Ondo,Akure North,Ayetoro,,0,39,26,9,9,0,0,13,17,0
2019/2020,Female,all,NABTEB,1-year,College of Education,ward,Aponmu,South West,Ondo,Akure South,Aponmu,,0,64,48,18,13,5,0,16,30,5
2019/2020,Female,all,NABTEB,1-year,College of Education,ward,Gbogi/Isikan I,South West,Ondo,Akure South,Gbogi/Isikan I,,0,134,93,26,27,0,0,41,67,0
2019/2020,Female,all,NABTEB,1-year,College of Education,ward,Gbogi/Isikan II,South West,Ondo,Akure South,Gbogi/Isikan II,,0,41,32,13,9,4,0,9,19,4
2019/2020,Female,all,NABTEB,1-year,College of Education,ward,Ago-Alaye,South West,Ondo,Odigbo,Ago-Alaye,,0,62,48,13,14,0,0,14,35,0
2019/2020,Female,all,NABTEB,1-year,College of Education,ward,Asantan Oja,South West,Ondo,Ondo East,Asantan Oja,,0,41,29,9,9,0,0,12,20,0
2019/2020,Female,all,NABTEB,1-year,College of Education,ward,Ateru/Otasan/Igba,South West,Ondo,Ondo East,Ateru/Otasan/Igba,,0,49,35,9,9,0,0,14,26,0
2019/2020,Female,all,NABTEB,1-year,College of Education,ward,Enuowa/Obalalu,South West,Ondo,Ondo West,Enuowa/Obalalu,,0,28,22,4,5,0,0,6,18,0
2019/2020,Female,all,NABTEB,1-year,College of Education,ward,Gbaghengha/Gbongbo/Ajagba Alafia,South West,Ondo,Ondo West,Gbaghengha/Gbongbo/Ajagba Alafia,,0,77,54,17,13,4,0,23,37,4
2019/2020,Female,all,NABTEB,1-year,College of Education,ward,Ifore/Odosida/Loro,South West,Ondo,Ondo West,Ifore/Odosida/Loro,,0,41,29,9,9,0,0,12,20,0
2019/2020,Female,all,NABTEB,1-year,Polytechnic,ward,Agamo/Oke-Oore/Akomowa,South West,Ondo,Akure North,Agamo/Oke-Oore/Akomowa,,0,109,80,27,22,5,0,29,53,5
2019/2020,Female,all,NABTEB,1-year,Polytechnic,ward,Ayede/Ogbese,South West,Ondo,Akure North,Ayede/Ogbese,,0,46,35,13,13,0,0,11,22,0
2019/2020,Female,all,NABTEB,1-year,Polytechnic,ward,Ayetoro,South West,Ondo,Akure North,Ayetoro,,0,57,42,13,9,4,0,15,29,4
2019/2020,Female,all,NABTEB,1-year,Polytechnic,ward,Aponmu,South West,Ondo,Akure South,Aponmu,,0,36,26,9,4,5,0,10,17,5
2019/2020,Female,all,NABTEB,1-year,Polytechnic,ward,Gbogi/Isikan II,South West,Ondo,Akure South,Gbogi/Isikan II,,0,28,19,4,5,0,0,9,15,0
2019/2020,Female,all,NABTEB,1-year,Polytechnic,ward,Agbabu,South West,Ondo,Odigbo,Agbabu,,0,60,45,22,13,9,0,15,23,9
2019/2020,Female,all,NABTEB,1-year,Polytechnic,ward,Ago-Alaye,South West,Ondo,Odigbo,Ago-Alaye,,0,44,32,13,9,4,0,12,19,4
2019/2020,Female,all,NABTEB,1-year,Polytechnic,ward,Ajue,South West,Ondo,Odigbo,Ajue,,0,87,61,18,13,5,0,26,43,5
2019/2020,Female,all,NABTEB,1-year,Polytechnic,ward,Asantan Oja,South West,Ondo,Ondo East,Asantan Oja,,0,121,90,31,31,0,0,31,59,0
2019/2020,Female,all,NABTEB,1-year,Polytechnic,ward,Ateru/Otasan/Igba,South West,Ondo,Ondo East,Ateru/Otasan/Igba,,0,51,38,18,18,0,0,13,20,0
2019/2020,Female,all,NABTEB,1-year,Polytechnic,ward,Bolorunduro I,South West,Ondo,Ondo East,Bolorunduro I,,0,131,106,31,31,0,0,25,75,0
2019/2020,Female,all,NABTEB,1-year,Polytechnic,ward,Enuowa/Obalalu,South West,Ondo,Ondo West,Enuowa/Obalalu,,0,36,26,9,9,0,0,10,17,0
2019/2020,Female,all,NABTEB,1-year,Polytechnic,ward,Gbaghengha/Gbongbo/Ajagba Alafia,South West,Ondo,Ondo West,Gbaghengha/Gbongbo/Ajagba Alafia,,0,31,22,9,9,0,0,9,13,0
2019/2020,Female,all,NABTEB,1-year,Polytechnic,ward,Ifore/Odosida/Loro,South West,Ondo,Ondo West,Ifore/Odosida/Loro,,0,44,32,9,9,0,0,12,23,0
2019/2020,Female,all,NABTEB,1-year,University,ward,Ayetoro,South West,Ondo,Akure North,Ayetoro,,0,72,57,18,18,0,0,15,39,0
2019/2020,Female,all,NABTEB,1-year,University,ward,Aponmu,South West,Ondo,Akure South,Aponmu,,0,59,45,17,13,4,0,14,28,4
2019/2020,Female,all,NABTEB,1-year,University,ward,Gbogi/Isikan II,South West,Ondo,Akure South,Gbogi/Isikan II,,0,95,61,18,18,0,0,34,43,0
2019/2020,Female,all,NABTEB,1-year,University,ward,Agbabu,South West,Ondo,Odigbo,Agbabu,,0,70,51,17,13,4,0,19,34,4
2019/2020,Female,all,NABTEB,1-year,University,ward,Ago-Alaye,South West,Ondo,Odigbo,Ago-Alaye,,0,49,38,13,13,0,0,11,25,0
2019/2020,Female,all,NABTEB,1-year,University,ward,Ajue,South West,Ondo,Odigbo,Ajue,,0,85,61,22,18,4,0,24,39,4
2019/2020,Female,all,NABTEB,1-year,University,ward,Ateru/Otasan/Igba,South West,Ondo,Ondo East,Ateru/Otasan/Igba,,0,54,42,17,13,4,0,12,25,4
2019/2020,Female,all,NABTEB,1-year,University,ward,Bolorunduro I,South West,Ondo,Ondo East,Bolorunduro I,,0,31,22,9,4,5,0,9,13,5
2019/2020,Female,all,NABTEB,1-year,University,ward,Enuowa/Obalalu,South West,Ondo,Ondo West,Enuowa/Obalalu,,0,93,71,18,18,0,0,22,53,0
2019/2020,Female,all,NABTEB,1-year,University,ward,Gbaghengha/Gbongbo/Ajagba Alafia,South West,Ondo,Ondo West,Gbaghengha/Gbongbo/Ajagba Alafia,,0,36,26,9,9,0,0,10,17,0
2019/2020,Female,all,NABTEB,1-year,University,ward,Ifore/Odosida/Loro,South West,Ondo,Ondo West,Ifore/Odosida/Loro,,0,67,48,17,17,0,0,19,31,0
2019/2020,Female,all,NABTEB,2-year,College of Education,ward,Agamo/Oke-Oore/Akomowa,South West,Ondo,Akure North,Agamo/Oke-Oore/Akomowa,,0,15,13,4,5,0,0,2,9,0
2019/2020,Female,all,NABTEB,2-year,College of Education,ward,Ayede/Ogbese,South West,Ondo,Akure North,Ayede/Ogbese,,0,51,39,12,15,0,0,12,27,0
2019/2020,Female,all,NABTEB,2-year,College of Education,ward,Ayetoro,South West,Ondo,Akure North,Ayetoro,,0,26,19,9,4,5,0,7,10,5
2019/2020,Female,all,NABTEB,2-year,College of Education,ward,Aponmu,South West,Ondo,Akure South,Aponmu,,0,47,35,13,8,5,0,12,22,5
2019/2020,Female,all,NABTEB,2-year,College of Education,ward,Gbogi/Isikan I,South West,Ondo,Akure South,Gbogi/Isikan I,,0,85,58,21,18,4,0,27,37,4
2019/2020,Female,all,NABTEB,2-year,College of Education,ward,Gbogi/Isikan II,South West,Ondo,Akure South,Gbogi/Isikan II,,0,28,22,9,9,0,0,6,13,0
2019/2020,Female,all,NABTEB,2-year,College of Education,ward,Ago-Alaye,South West,Ondo,Odigbo,Ago-Alaye,,0,41,32,8,9,0,0,9,24,0
2019/2020,Female,all,NABTEB,2-year,College of Education,ward,Asantan Oja,South West,Ondo,Ondo East,Asantan Oja,,0,28,19,4,4,0,0,9,15,0
2019/2020,Female,all,NABTEB,2-year,College of Education,ward,Ateru/Otasan/Igba,South West,Ondo,Ondo East,Ateru/Otasan/Igba,,0,26,19,4,4,0,0,7,15,0
2019/2020,Female,all,NABTEB,2-year,College of Education,ward,Enuowa/Obalalu,South West,Ondo,Ondo West,Enuowa/Obalalu,,0,18,13,4,5,0,0,5,9,0
2019/2020,Female,all,NABTEB,2-year,College of Education,ward,Gbaghengha/Gbongbo/Ajagba Alafia,South West,Ondo,Ondo West,Gbaghengha/Gbongbo/Ajagba Alafia,,0,48,36,13,13,0,0,12,23,0
2019/2020,Female,all,NABTEB,2-year,College of Education,ward,Ifore/Odosida/Loro,South West,Ondo,Ondo West,Ifore/Odosida/Loro,,0,26,19,4,4,0,0,7,15,0
2019/2020,Female,all,NABTEB,2-year,Polytechnic,ward,Agamo/Oke-Oore/Akomowa,South West,Ondo,Akure North,Agamo/Oke-Oore/Akomowa,,0,67,48,23,14,9,0,19,25,9
2019/2020,Female,all,NABTEB,2-year,Polytechnic,ward,Ayede/Ogbese,South West,Ondo,Akure North,Ayede/Ogbese,,0,31,26,9,9,0,0,5,17,0
2019/2020,Female,all,NABTEB,2-year,Polytechnic,ward,Ayetoro,South West,Ondo,Akure North,Ayetoro,,0,39,26,9,9,0,0,13,17,0
2019/2020,Female,all,NABTEB,2-year,Polytechnic,ward,Aponmu,South West,Ondo,Akure South,Aponmu,,0,18,13,4,4,0,0,5,9,0
2019/2020,Female,all,NABTEB,2-year,Polytechnic,ward,Gbogi/Isikan II,South West,Ondo,Akure South,Gbogi/Isikan II,,0,18,13,4,5,0,0,5,9,0
2019/2020,Female,all,NABTEB,2-year,Polytechnic,ward,Agbabu,South West,Ondo,Odigbo,Agbabu,,0,38,29,13,10,4,0,9,16,4
2019/2020,Female,all,NABTEB,2-year,Polytechnic,ward,Ago-Alaye,South West,Ondo,Odigbo,Ago-Alaye,,0,26,19,9,4,5,0,7,10,5
2019/2020,Female,all,NABTEB,2-year,Polytechnic,ward,Ajue,South West,Ondo,Odigbo,Ajue,,0,52,35,9,8,1,0,17,26,1
2019/2020,Female,all,NABTEB,2-year,Polytechnic,ward,Asantan Oja,South West,Ondo,Ondo East,Asantan Oja,,0,78,54,22,17,5,0,24,32,5
2019/2020,Female,all,NABTEB,2-year,Polytechnic,ward,Ateru/Otasan/Igba,South West,Ondo,Ondo East,Ateru/Otasan/Igba,,0,31,23,8,8,0,0,8,15,0
2019/2020,Female,all,NABTEB,2-year,Polytechnic,ward,Bolorunduro I,South West,Ondo,Ondo East,Bolorunduro I,,0,77,58,22,19,4,0,19,36,4
2019/2020,Female,all,NABTEB,2-year,Polytechnic,ward,Enuowa/Obalalu,South West,Ondo,Ondo West,Enuowa/Obalalu,,0,23,16,4,5,0,0,7,12,0
2019/2020,Female,all,NABTEB,2-year,Polytechnic,ward,Gbaghengha/Gbongbo/Ajagba Alafia,South West,Ondo,Ondo West,Gbaghengha/Gbongbo/Ajagba Alafia,,0,18,16,4,4,0,0,2,12,0
2019/2020,Female,all,NABTEB,2-year,Polytechnic,ward,Ifore/Odosida/Loro,South West,Ondo,Ondo West,Ifore/Odosida/Loro,,0,31,22,9,9,0,0,9,13,0
2019/2020,Female,all,NABTEB,2-year,University,ward,Ayetoro,South West,Ondo,Akure North,Ayetoro,,0,49,38,18,8,10,0,11,20,10
2019/2020,Female,all,NABTEB,2-year,University,ward,Aponmu,South West,Ondo,Akure South,Aponmu,,0,39,29,9,9,0,0,10,20,0
2019/2020,Female,all,NABTEB,2-year,University,ward,Gbogi/Isikan II,South West,Ondo,Akure South,Gbogi/Isikan II,,0,56,35,8,10,0,0,21,27,0
2019/2020,Female,all,NABTEB,2-year,University,ward,Agbabu,South West,Ondo,Odigbo,Agbabu,,0,41,29,8,8,0,0,12,21,0
2019/2020,Female,all,NABTEB,2-year,University,ward,Ago-Alaye,South West,Ondo,Odigbo,Ago-Alaye,,0,31,22,9,9,0,0,9,13,0
2019/2020,Female,all,NABTEB,2-year,University,ward,Ajue,South West,Ondo,Odigbo,Ajue,,0,56,45,18,14,4,0,11,27,4
2019/2020,Female,all,NABTEB,2-year,University,ward,Ateru/Otasan/Igba,South West,Ondo,Ondo East,Ateru/Otasan/Igba,,0,33,26,9,9,0,0,7,17,0
2019/2020,Female,all,NABTEB,2-year,University,ward,Bolorunduro I,South West,Ondo,Ondo East,Bolorunduro I,,0,21,13,4,4,0,0,8,9,0
