"session","gender","disability_scope","exam_body","gap_band","institution_type","loc_level","loc_label","zone","state","lga","ward","school","ss3_total","o_level_candidates","utme_participants","admitted_students","matriculated_students","delayed_transition_students","loss_ss3_to_olevel","loss_olevel_to_utme","loss_utme_to_admitted","loss_admitted_to_matriculated"
"2019/2020","Female","all","NABTEB","1-year","College of Education","ward","Ankpa Suburb I","North Central","Kogi","Ankpa","Ankpa Suburb I","","0","101","62","28","22","6","0","39","34","6"
"2019/2020","Female","all","NABTEB","1-year","College of Education","ward","Ede","North Central","Kogi","Idah","Ede","","0","55","30","10","12","0","0","25","20","0"
"2019/2020","Female","all","NABTEB","1-year","College of Education","ward","Ega","North Central","Kogi","Idah","Ega","","0","77","45","17","17","0","0","32","28","0"
"2019/2020","Female","all","NABTEB","1-year","College of Education","ward","Ichala","North Central","Kogi","Idah","Ichala","","0","32","18","6","6","0","0","14","12","0"
"2019/2020","Female","all","NABTEB","1-year","College of Education","ward","Aiyeteju","North Central","Kogi","Kabba/Bunu","Aiyeteju","","0","61","33","11","12","0","0","28","22","0"
"2019/2020","Female","all","NABTEB","1-year","College of Education","ward","Aiyetoro-Kiri","North Central","Kogi","Kabba/Bunu","Aiyetoro-Kiri","","0","144","90","28","23","5","0","54","62","5"
"2019/2020","Female","all","NABTEB","1-year","College of Education","ward","Aiyewa","North Central","Kogi","Kabba/Bunu","Aiyewa","","0","72","43","12","12","0","0","29","31","0"
"2019/2020","Female","all","NABTEB","1-year","College of Education","ward","Abuga/Ozuja","North Central","Kogi","Okene","Abuga/Ozuja","","0","75","42","12","12","0","0","33","30","0"
"2019/2020","Female","all","NABTEB","1-year","College of Education","ward","Bariki","North Central","Kogi","Okene","Bariki","","0","38","21","11","11","0","0","17","10","0"
"2019/2020","Female","all","NABTEB","1-year","College of Education","ward","Idoji","North Central","Kogi","Okene","Idoji","","0","67","39","12","12","0","0","28","27","0"
"2019/2020","Female","all","NABTEB","1-year","Polytechnic","ward","Ankpa I","North Central","Kogi","Ankpa","Ankpa I","","0","58","33","11","12","0","0","25","22","0"
"2019/2020","Female","all","NABTEB","1-year","Polytechnic","ward","Ankpa II","North Central","Kogi","Ankpa","Ankpa II","","0","124","76","28","28","0","0","48","48","0"
"2019/2020","Female","all","NABTEB","1-year","Polytechnic","ward","Ankpa Suburb I","North Central","Kogi","Ankpa","Ankpa Suburb I","","0","95","51","16","11","6","0","44","35","6"
"2019/2020","Female","all","NABTEB","1-year","Polytechnic","ward","Ede","North Central","Kogi","Idah","Ede","","0","26","15","6","6","0","0","11","9","0"
"2019/2020","Female","all","NABTEB","1-year","Polytechnic","ward","Ichala","North Central","Kogi","Idah","Ichala","","0","49","27","11","6","5","0","22","16","5"
"2019/2020","Female","all","NABTEB","1-year","Polytechnic","ward","Aiyeteju","North Central","Kogi","Kabba/Bunu","Aiyeteju","","0","93","58","22","17","5","0","35","36","5"
"2019/2020","Female","all","NABTEB","1-year","Polytechnic","ward","Aiyewa","North Central","Kogi","Kabba/Bunu","Aiyewa","","0","52","31","6","6","0","0","21","25","0"
"2019/2020","Female","all","NABTEB","1-year","Polytechnic","ward","Eggan","North Central","Kogi","Lokoja","Eggan","","0","55","30","12","11","1","0","25","18","1"
"2019/2020","Female","all","NABTEB","1-year","Polytechnic","ward","Kakanda","North Central","Kogi","Lokoja","Kakanda","","0","26","18","5","6","0","0","8","13","0"
"2019/2020","Female","all","NABTEB","1-year","Polytechnic","ward","Kupa North East","North Central","Kogi","Lokoja","Kupa North East","","0","116","65","16","16","0","0","51","49","0"
"2019/2020","Female","all","NABTEB","1-year","Polytechnic","ward","Abuga/Ozuja","North Central","Kogi","Okene","Abuga/Ozuja","","0","29","15","6","6","0","0","14","9","0"
"2019/2020","Female","all","NABTEB","1-year","University","ward","Ankpa I","North Central","Kogi","Ankpa","Ankpa I","","0","84","46","11","12","0","0","38","35","0"
"2019/2020","Female","all","NABTEB","1-year","University","ward","Ankpa II","North Central","Kogi","Ankpa","Ankpa II","","0","64","34","17","11","6","0","30","17","6"
"2019/2020","Female","all","NABTEB","1-year","University","ward","Ede","North Central","Kogi","Idah","Ede","","0","26","18","6","6","0","0","8","12","0"
"2019/2020","Female","all","NABTEB","1-year","University","ward","Ega","North Central","Kogi","Idah","Ega","","0","69","39","12","12","0","0","30","27","0"
"2019/2020","Female","all","NABTEB","1-year","University","ward","Ichala","North Central","Kogi","Idah","Ichala","","0","61","36","12","12","0","0","25","24","0"
"2019/2020","Female","all","NABTEB","1-year","University","ward","Aiyetoro-Kiri","North Central","Kogi","Kabba/Bunu","Aiyetoro-Kiri","","0","35","18","6","6","0","0","17","12","0"
